Input_Current,Temperature,vd,vg,vs,i_source,v_source,p_source,Io,gm1,gds1,vt,vdsat,cgd1,cgs1,gain_db,freq,s11_db,nf_db,iip3_dbm
8.227389360331477e-05,-40.0,0.9437367,0.3049461,0.0597122,0.0002654647,1.0,0.0002654647,0.0001831581,0.00520139,0.0005195033,0.4380003,0.0352027,5.832148e-14,4.056139e-14,4.427387,1000000000.0,-7.63659,7.081536,-10.278823193844104
8.227389360331477e-05,-32.0,0.943568,0.2978092,0.05988879,0.000265702,1.0,0.000265702,0.0001833835,0.005060971,0.0005065206,0.4315077,0.03643922,5.869617e-14,4.053497e-14,4.241959,1000000000.0,-7.50872,7.330148,-10.04425642760328
8.227389360331477e-05,-24.0,0.9433955,0.2907182,0.06006919,0.0002659322,1.0,0.0002659322,0.0001836049,0.00492631,0.0004940916,0.4250168,0.03767562,5.906226e-14,4.0509259999999997e-14,4.059665,1000000000.0,-7.38521,7.576437,-9.809007746962983
8.227389360331477e-05,-16.0,0.9432183,0.2836711,0.0602543,0.000266158,1.0,0.000266158,0.0001838255,0.004797423,0.0004822138,0.4185278,0.03891167,5.94196e-14,4.048426e-14,3.880986,1000000000.0,-7.26615,7.819931,-9.573736573878058
8.227389360331477e-05,-8.0,0.9430352,0.2766675,0.0604454,0.0002663831,1.0,0.0002663831,0.0001840486,0.004674244,0.0004708787,0.4120413,0.04014708,5.976819e-14,4.045996e-14,3.706302,1000000000.0,-7.15153,8.060237,-9.33887637136722
8.227389360331477e-05,0.0,0.9428445,0.2697085,0.06064427,0.000266613,1.0,0.000266613,0.0001842795,0.004556701,0.0004600792,0.4055576,0.04138163,6.010825999999999e-14,4.043634e-14,3.535992,1000000000.0,-7.04135,8.296967,-9.10492335277722
8.227389360331477e-05,8.0,0.942644,0.262797,0.06085336,0.000266855,1.0,0.000266855,0.0001845268,0.004444756,0.0004498123,0.3990777,0.04261507,6.044031e-14,4.041336e-14,3.370496,1000000000.0,-6.93563,8.529704,-8.872147140606799
8.227389360331477e-05,16.0,0.9424306,0.2559383,0.06107581,0.0002671185,1.0,0.0002671185,0.0001848021,0.004338407,0.0004400799,0.3926024,0.04384718,6.076506e-14,4.039098e-14,3.210331,1000000000.0,-6.83441,8.757978,-8.640858555063915
8.227389360331477e-05,24.0,0.9422398,0.249041,0.06127398,0.0002672895,1.0,0.0002672895,0.0001849386,0.004233708,0.0004304695,0.3861206,0.04507662,6.107342e-14,4.0369719999999996e-14,3.048946,1000000000.0,-6.73417,8.986223,-8.411277444302883
8.227389360331477e-05,32.0,0.9420214,0.2422309,0.06150123,0.0002675294,1.0,0.0002675294,0.0001851769,0.00413579,0.0004215224,0.3796482,0.04630457,6.137874e-14,4.034879e-14,2.895804,1000000000.0,-6.63958,9.207851,-8.183594552698949
8.227389360331477e-05,40.0,0.9417941,0.2354586,0.06173773,0.000267778,1.0,0.000267778,0.0001854241,0.004042317,0.0004129963,0.3731794,0.04753014,6.167608999999999e-14,4.0328480000000006e-14,2.747226,1000000000.0,-6.54857,9.425322,-7.958010581506386
8.227389360331477e-05,48.0,0.9415571,0.2287244,0.06198417,0.0002680373,1.0,0.0002680373,0.0001856825,0.003953095,0.0004048736,0.3667144,0.04875301,6.196578e-14,4.030876e-14,2.603256,1000000000.0,-6.461,9.638543,-7.7346395439755256
8.227389360331477e-05,56.0,0.9413097,0.2220288,0.06224136,0.0002683096,1.0,0.0002683096,0.0001859546,0.003867942,0.000397138,0.3602535,0.04997286,6.224812e-14,4.0289599999999994e-14,2.463945,1000000000.0,-6.37673,9.847432,-7.513661658859888
8.227389360331477e-05,64.0,0.9410511,0.2153729,0.06251021,0.0002685973,1.0,0.0002685973,0.0001862435,0.003786694,0.000389775,0.353797,0.05118937,6.252349e-14,4.027099e-14,2.329351,1000000000.0,-6.29565,10.0519,-7.295167757513369
8.227389360331477e-05,72.0,0.9407803,0.2087582,0.06279178,0.0002689034,1.0,0.0002689034,0.0001865527,0.003709201,0.0003827717,0.3473454,0.0524022,6.279229e-14,4.0252889999999996e-14,2.199545,1000000000.0,-6.21764,10.25187,-7.079294786705674
8.227389360331477e-05,80.0,0.9404961,0.2021866,0.06308724,0.000269231,1.0,0.000269231,0.0001868863,0.003635329,0.0003761168,0.340899,0.053611,6.305493e-14,4.023526e-14,2.074612,1000000000.0,-6.14261,10.44723,-6.866140738567495
8.227389360331477e-05,88.0,0.9401973,0.1956603,0.06339787,0.0002695839,1.0,0.0002695839,0.0001872484,0.003564956,0.0003698002,0.3344584,0.05481542,6.331186e-14,4.021809e-14,1.954646,1000000000.0,-6.07047,10.6379,-6.65582196348997
8.227389360331477e-05,96.0,0.9398826,0.1891822,0.06372512,0.0002699657,1.0,0.0002699657,0.0001876436,0.003497971,0.0003638129,0.328024,0.05601508,6.356353999999999e-14,4.020133e-14,1.839753,1000000000.0,-6.00115,10.82378,-6.448461529722991
8.227389360331477e-05,104.0,0.9395905,0.1826421,0.0640282,0.0002702566,1.0,0.0002702566,0.0001878865,0.003430907,0.0003577837,0.321583,0.05720805,6.379932e-14,4.018561e-14,1.722439,1000000000.0,-5.93145,11.01044,-6.244155885229112
8.227389360331477e-05,112.0,0.9392553,0.1762238,0.0643766,0.0002706605,1.0,0.0002706605,0.0001882884,0.003369181,0.0003522986,0.3151574,0.05839637,6.403754e-14,4.016985e-14,1.615063,1000000000.0,-5.86641,11.18868,-6.043047832339674
8.227389360331477e-05,120.0,0.9389033,0.1698525,0.06474259,0.0002710953,1.0,0.0002710953,0.0001887214,0.003310319,0.0003470939,0.3087386,0.05957856,6.427094000000001e-14,4.015447e-14,1.512428,1000000000.0,-5.80376,11.36235,-5.845258372511182
0.00011431920446634078,-40.0,0.9326368,0.327007,0.07149898,0.0003336506,1.0,0.0003336506,0.00021931,0.006155885,0.0006205195,0.4413963,0.03538195,6.014047e-14,4.045999e-14,5.659303,1000000000.0,-8.46239,6.343315,-10.016391926995794
0.00011431920446634078,-32.0,0.9323992,0.3201901,0.07174842,0.0003340505,1.0,0.0003340505,0.0002197002,0.005997068,0.0006057294,0.4349436,0.03662526,6.053919e-14,4.043205e-14,5.487588,1000000000.0,-8.32188,6.569999,-9.816221161697328
0.00011431920446634078,-24.0,0.9321574,0.3134226,0.07200208,0.0003344404,1.0,0.0003344404,0.0002200788,0.005844002,0.0005915082,0.428493,0.03786853,6.092881e-14,4.040487e-14,5.318018,1000000000.0,-8.1855,6.795399,-9.61470076826545
0.00011431920446634078,-16.0,0.931911,0.3067017,0.07226029,0.0003348213,1.0,0.0003348213,0.000220451,0.005696892,0.0005778686,0.4220445,0.03911151,6.130917e-14,4.037842e-14,5.151207,1000000000.0,-8.0535,7.01899,-9.41249817730516
0.00011431920446634078,-8.0,0.9316593,0.3000254,0.0725237,0.0003351949,1.0,0.0003351949,0.0002208193,0.005555745,0.0005648066,0.4155984,0.04035394,6.168014000000001e-14,4.035273e-14,4.987555,1000000000.0,-7.92595,7.240381,-9.210135250374947
