Input_Current,Temperature,vd,vg,vs,i_source,v_source,p_source,Io,gm1,gds1,vt,vdsat,cgd1,cgs1,gain_db,freq,s11_db,nf_db,iip3_dbm
4.356428940331013e-05,-40.0,1.705877,0.4455092,0.02020294,0.0001192299,1.8,0.00021461382,7.566603e-05,0.002299665,4.2891370000000005e-05,0.5219698,0.02970223,1.620588e-13,1.5753710000000002e-13,7.116638,1000000000.0,-5.96193,8.228029,-14.43495127940281
4.356428940331013e-05,-25.454545454545453,1.706543,0.4410722,0.02006014,0.000118695,1.8,0.000213651,7.513086000000001e-05,0.002162671,4.10928e-05,0.5165733,0.03182839,1.635205e-13,1.5752980000000002e-13,6.582487,1000000000.0,-5.79522,8.704257,-14.111397240282471
4.356428940331013e-05,-10.90909090909091,1.70722,0.4367834,0.01991484,0.0001181508,1.8,0.00021267144,7.458663e-05,0.002037586,3.9401500000000006e-05,0.5111764,0.03396438,1.651641e-13,1.575215e-13,6.064137,1000000000.0,-5.64374,9.174984,-13.788555168461365
4.356428940331013e-05,3.636363636363633,1.707903,0.4326241,0.01976809,0.0001176012,1.8,0.00021168216,7.40371e-05,0.001923325,3.781108000000001e-05,0.5057793,0.03610933,1.66977e-13,1.575124e-13,5.561867,1000000000.0,-5.50594,9.638458,-13.468832992105334
4.356428940331013e-05,18.18181818181818,1.708589,0.4285791,0.01962085,0.0001170498,1.8,0.00021068964,7.348588000000001e-05,0.001818842,3.631523e-05,0.5003824,0.03826248,1.6894400000000002e-13,1.575026e-13,5.07563,1000000000.0,-5.3804,10.09339,-13.153814061223684
4.356428940331013e-05,32.72727272727272,1.709274,0.4246359,0.01947396,0.0001164996,1.8,0.00020969928,7.293632e-05,0.001723166,3.4907910000000006e-05,0.494986,0.04042311,1.7104760000000002e-13,1.574921e-13,4.605182,1000000000.0,-5.26581,10.53884,-12.844478743609727
4.356428940331013e-05,47.272727272727266,1.709953,0.420784,0.01932816,0.0001159536,1.8,0.00020871648,7.23914e-05,0.00163541,3.358338e-05,0.4895901,0.04259056,1.732693e-13,1.57481e-13,4.150173,1000000000.0,-5.161,10.97414,-12.541368920741078
4.356428940331013e-05,61.81818181818181,1.710624,0.4170143,0.0191841,0.000115414,1.8,0.0002077452,7.185367000000001e-05,0.001554778,3.233626e-05,0.4841951,0.04476423,1.7559e-13,1.5746940000000002e-13,3.710195,1000000000.0,-5.06494,11.39883,-12.24473973852831
4.356428940331013e-05,76.36363636363636,1.711285,0.4133189,0.01904228,0.0001148829,1.8,0.00020678922,7.132524e-05,0.001480556,3.1161510000000004e-05,0.4788011,0.04694354,1.7799050000000002e-13,1.574574e-13,3.284802,1000000000.0,-4.97671,11.81261,-11.954638810296757
4.356428940331013e-05,90.9090909090909,1.711933,0.4096907,0.01890311,0.0001143617,1.8,0.00020585106,7.080776000000001e-05,0.001412105,3.005438e-05,0.4734082,0.04912796,1.8045230000000002e-13,1.574451e-13,2.873536,1000000000.0,-4.89551,12.21531,-11.67098615127982
4.356428940331013e-05,105.45454545454544,1.712567,0.4061231,0.01876687,0.0001138519,1.8,0.00020493342,7.030236e-05,0.001348855,2.901038e-05,0.4680164,0.05131695,1.829575e-13,1.574326e-13,2.475919,1000000000.0,-4.82062,12.60688,-11.393607956847788
4.356428940331013e-05,120.0,1.713186,0.4026094,0.01863351,0.0001133541,1.8,0.00020403738,6.980920000000001e-05,0.001290287,2.8025090000000003e-05,0.4626258,0.05350996,1.854891e-13,1.574199e-13,2.09141,1000000000.0,-4.75141,12.98739,-11.122282041079039
5.484419097658244e-05,-40.0,1.687787,0.4566864,0.02408588,0.0001450524,1.8,0.00026109432000000004,9.025589e-05,0.002710028,5.112945e-05,0.5231759,0.030001,1.6343350000000002e-13,1.57532e-13,8.500272,1000000000.0,-6.44878,7.425718,-13.944639496954387
5.484419097658244e-05,-25.454545454545453,1.688414,0.452638,0.0239513,0.0001445484,1.8,0.00026018712000000006,8.975219e-05,0.002554024,4.9059070000000004e-05,0.517778,0.0321671,1.652295e-13,1.5752299999999998e-13,7.985345,1000000000.0,-6.25687,7.873079,-13.644169482376043
