Input_Current,Temperature,vd,vg,vs,i_source,v_source,p_source,Io,gm1,gds1,vt,vdsat,cgd1,cgs1,gain_db,freq,s11_db,nf_db,iip3_dbm
6.396971669108595e-05,-40.0,0.9310512,0.2616345,0.04800106,0.0002433212,1.0,0.0002433212,0.0001792385,0.005256637,0.0005266179,0.4401273,0.03423611,9.731645999999999e-14,7.762807e-14,5.460974,1000000000.0,-8.52683,7.072451,-9.857500028081773
6.396971669108595e-05,-26.666666666666664,0.9308176,0.2484557,0.04816196,0.000243929,1.0,0.000243929,0.0001798673,0.005014979,0.0005048102,0.4294457,0.03624381,9.819506000000001e-14,7.756204e-14,5.111042,1000000000.0,-8.30509,7.370519,-9.403598191494176
6.396971669108595e-05,-13.333333333333332,0.9305979,0.2353365,0.04831301,0.0002445003,1.0,0.0002445003,0.0001803846,0.00479046,0.0004845231,0.4187617,0.0382493,9.90437e-14,7.74985e-14,4.768914,1000000000.0,-8.09799,7.666147,-8.952267409479532
6.396971669108595e-05,0.0,0.930341,0.2223689,0.04849002,0.0002451686,1.0,0.0002451686,0.0001810465,0.004587923,0.0004662832,0.408087,0.04025172,9.987656e-14,7.743666e-14,4.445056,1000000000.0,-7.91037,7.951934,-8.504998736489426
6.396971669108595e-05,13.333333333333336,0.9300608,0.2095157,0.04868317,0.0002458974,1.0,0.0002458974,0.0001817686,0.004403143,0.0004496799,0.3974186,0.04224943,1.0068710000000002e-13,7.737684e-14,4.135983,1000000000.0,-7.73853,8.2295,-8.062926362548026
6.396971669108595e-05,26.66666666666667,0.929753,0.1967789,0.04889558,0.0002466982,1.0,0.0002466982,0.0001825646,0.004234605,0.0004345826,0.3867576,0.04424094,1.0147550000000002e-13,7.731899e-14,3.841948,1000000000.0,-7.58125,8.498171,-7.626944980621808
6.396971669108595e-05,40.0,0.9294089,0.184182,0.04913318,0.0002475932,1.0,0.0002475932,0.0001835152,0.004082377,0.0004210246,0.3761061,0.04622489,1.0224740000000002e-13,7.726275e-14,3.565846,1000000000.0,-7.4388,8.755573,-7.197848357798549
6.396971669108595e-05,53.33333333333334,0.9290374,0.1716759,0.04938987,0.0002485596,1.0,0.0002485596,0.0001844682,0.003941592,0.0004085208,0.3654622,0.04819916,1.0299190000000001e-13,7.720872e-14,3.301023,1000000000.0,-7.30669,9.005821,-6.776410128983052
6.396971669108595e-05,66.66666666666667,0.9286135,0.1593008,0.04968303,0.0002496622,1.0,0.0002496622,0.000185504,0.003812715,0.0003971436,0.3548322,0.05016217,1.037153e-13,7.715652e-14,3.050272,1000000000.0,-7.18548,9.246788,-6.363406888886587
6.396971669108595e-05,80.0,0.9281856,0.1470861,0.04997898,0.0002507753,1.0,0.0002507753,0.0001869183,0.003700252,0.0003873758,0.3442045,0.05211315,1.044394e-13,7.710475e-14,2.82512,1000000000.0,-7.07972,9.470326,-5.9598142761940025
6.396971669108595e-05,93.33333333333334,0.9275893,0.135042,0.05039223,0.0002523265,1.0,0.0002523265,0.0001881525,0.003591503,0.0003780038,0.333619,0.05404781,1.051167e-13,7.70559e-14,2.601057,1000000000.0,-6.97721,9.693245,-5.55388302957104
6.396971669108595e-05,106.66666666666669,0.9269475,0.1232074,0.05083716,0.0002539959,1.0,0.0002539959,0.0001898141,0.003495986,0.0003701285,0.3230467,0.05596635,1.0577700000000001e-13,7.700711e-14,2.400144,1000000000.0,-6.88748,9.90045,-5.165569462997567
6.396971669108595e-05,120.0,0.9261724,0.1116487,0.05137494,0.000256012,1.0,0.000256012,0.0001918224,0.003412671,0.0003634895,0.3125092,0.05786598,1.0644039999999999e-13,7.695868e-14,2.221806,1000000000.0,-6.80945,10.09196,-4.792476760890963
