Iteration No,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,
1,0.5594429333333334,0.0,0.0,0.030153333333333282,0.06296275000000007,0.46632685,
2,0.5472601,0.0,0.0,0.0015399999999999637,0.05251125000000001,0.49320885000000003,
3,0.56188625,0.0,0.0,0.0,0.043316750000000015,0.5185695,
4,0.553225,0.0,0.0,0.0,0.017600499999999908,0.5356245000000001,
5,0.5653218333333333,0.0,0.0,0.014153333333333388,0.0,0.5511685,
6,0.5730645000000001,0.0,0.0,0.0,0.016815500000000094,0.556249,
7,0.572264,0.0,0.0,0.0,0.0,0.572264,
8,0.54645825,0.0,0.0,0.0,0.012091749999999957,0.5343665000000001,
9,0.5631195,0.0,0.0,0.012619999999999958,0.0,0.5504995,
10,0.56825375,0.0,0.0,0.0,0.012620749999999958,0.555633,
11,0.571898,0.0,0.0,0.0,0.0,0.571898,
12,0.5419975,0.0,0.0,0.0,0.007986000000000049,0.5340115,
13,0.5646891666666667,0.0,0.0,0.014726666666666688,0.0,0.5499625,
14,0.56184375,0.0,0.0,0.0,0.006736749999999958,0.555107,
15,0.5715115,0.0,0.0,0.0,0.0,0.5715115,
16,0.5362087499999999,0.0,0.0,0.0,0.0025412499999999394,0.5336675,
17,0.556428,0.0,0.0,0.005099999999999956,0.0,0.551328,
18,0.5625582499999999,0.0,0.0,0.0,0.006366749999999977,0.5561915,
19,0.5730325,0.0,0.0,0.0,0.0,0.5730325,
20,0.53674225,0.0,0.0,0.0,0.0018377499999999714,0.5349045,
