Iteration No,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
1,0.0009326537,11.084449,12.48862,8.084449,12.15462,100000000.0,2000000000.0,9.970889319469606,-14.5477,-66.607,-86.7799,-8.486159999999999e-07,4.551910286278945,4.251851,0.003741907,0.01718223,0.05969911,0.5855123,0.6577298,0.210023,
2,0.0009864177,11.038335,12.48796,8.038335,12.18672,100000000.0,2000000000.0,11.440002148415985,-14.9769,-66.7446,-86.8392,-8.16493e-07,4.4790922128815795,4.210045,0.003977685,0.01804456,0.06024893,0.5993726,0.6539443,0.2189847,
3,0.001037139,11.011344,12.48055,8.011344,12.20761,100000000.0,2000000000.0,12.866179172758464,-15.3477,-66.8813,-86.9098,-7.874179999999999e-07,4.420148872171708,4.173267,0.004199564,0.01886893,0.0607348,0.6125054,0.6515536,0.2277921,
4,0.001071249,11.296457,12.68066,8.296457,12.40373,100000000.0,2000000000.0,13.020396442665884,-15.068,-66.6372,-86.4797,-7.93946e-07,4.1309851147568475,4.070402,0.004379931,0.0194204,0.0612008,0.6338528,0.629112,0.2419906,
5,0.001102337,11.539085,12.83338,8.539085,12.55702,100000000.0,2000000000.0,9.393233204846638,-14.7877,-66.4346,-86.0752,-7.986939999999999e-07,3.882402003390414,3.983769,0.004549783,0.0199184,0.061642,0.6544878,0.6076432,0.2557845,
6,0.001112498,11.006669,12.57852,8.006669,12.33235,100000000.0,2000000000.0,13.382193065122863,-15.4072,-66.868,-86.6929,-7.628729999999999e-07,4.167860046797432,4.067262,0.00455518,0.02008493,0.06154287,0.6429498,0.6352934,0.2486631,
7,0.001144528,11.251114,12.73703,8.251114,12.48778,100000000.0,2000000000.0,9.589949176460635,-15.1228,-66.6564,-86.2756,-7.683389999999999e-07,3.91178999071099,3.979003,0.004730515,0.02059237,0.0619974,0.6639888,0.6136247,0.2627459,
8,0.001068733,11.26648,12.63043,8.26648,12.35297,100000000.0,2000000000.0,13.56803707691725,-15.0535,-66.6842,-86.5212,-7.86268e-07,4.133003026455285,4.048367,0.004371318,0.01949076,0.06075257,0.6391818,0.6351033,0.2482559,
9,0.001100999,11.464462,12.76834,8.464462,12.49379,100000000.0,2000000000.0,10.08078312664398,-14.8107,-66.5078,-86.1522,-7.88635e-07,3.899318573741975,3.965946,0.004544512,0.02001052,0.06119363,0.6600666,0.615619,0.2623635,
10,0.001111266,10.930486,12.50456,7.930486,12.25949,100000000.0,2000000000.0,14.077529124487626,-15.418,-66.9454,-86.7605,-7.52941e-07,4.182244966797523,4.050483,0.004551692,0.02016367,0.06109456,0.6487067,0.6424428,0.2552609,
11,0.001143796,11.181559,12.673,8.181559,12.42729,100000000.0,2000000000.0,10.122175939866878,-15.1369,-66.725,-86.3337,-7.59271e-07,3.9216632729499623,3.96196,0.00472923,0.02068222,0.06155134,0.669975,0.6206104,0.2694881,
12,0.001068023,11.193533,12.56141,8.193533,12.28784,100000000.0,2000000000.0,13.853953866724822,-15.0661,-66.7565,-86.5818,-7.76644e-07,4.144669200761294,4.031944,0.004369974,0.01957203,0.06031672,0.6448044,0.641876,0.2547137,
13,0.001099925,11.43486,12.72623,8.43486,12.44987,100000000.0,2000000000.0,10.391248862040044,-14.7791,-66.5447,-86.1669,-7.819289999999999e-07,3.8895595111851913,3.945348,0.004543488,0.02008857,0.06076572,0.6658653,0.6200948,0.2687576,
14,0.001110214,10.901814,12.46867,7.901814,12.22249,100000000.0,2000000000.0,14.259782258610286,-15.3873,-66.9791,-86.7787,-7.46336e-07,4.170443468710534,4.026947,0.004550646,0.02026849,0.06062468,0.6541061,0.6467342,0.2615306,
15,0.001143023,11.154855,12.64045,8.154855,12.39358,100000000.0,2000000000.0,10.458780352378426,-15.1066,-66.7563,-86.3485,-7.52906e-07,3.909505567657902,3.93935,0.00472948,0.0207927,0.06109339,0.6755733,0.6248312,0.2758502,
16,0.001067335,11.164572,12.52553,8.164572,12.25084,100000000.0,2000000000.0,13.703675233809037,-15.0371,-66.7902,-86.6,-7.700029999999999e-07,4.133895309471364,4.010165,0.004370423,0.01966831,0.05989552,0.6501754,0.6459721,0.2608263,
17,0.001102656,11.246217,12.60377,8.246217,12.33615,100000000.0,2000000000.0,11.876165137360857,-14.9235,-66.7103,-86.3553,-7.63734e-07,3.9528980356878622,3.941409,0.004551599,0.02024663,0.06031015,0.6714985,0.6329741,0.2757708,
18,0.001112383,10.723082999999999,12.33758,7.723083,12.10171,100000000.0,2000000000.0,14.04025836935304,-15.4953,-67.1413,-86.9447,-7.29754e-07,4.231307539932237,4.025467,0.004559228,0.02038717,0.06025234,0.660588,0.6579364,0.268788,
19,0.001146065,10.990406,12.52459,7.990406,12.2845,100000000.0,2000000000.0,11.571330681665287,-15.2122,-66.9056,-86.5022,-7.36976e-07,3.9591807101043845,3.935077,0.004742122,0.0209299,0.06071679,0.6823597,0.635803,0.28333,
20,0.001069809,10.9948,12.40024,7.9948,12.13297,100000000.0,2000000000.0,13.032413080461623,-15.1466,-66.9459,-86.7568,-7.532099999999999e-07,4.188900458217683,4.007351,0.00438045,0.01978947,0.05952488,0.6565023,0.6566382,0.2679445,
