Iteration No,Rb,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,Rd,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,Io,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,W,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,C1,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,C2,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,
1,Rb,-0.0008021350690825373,-0.0005726139134547915,0.0,0.0006873256292571756,-0.0006435126922263078,-0.00027333409265860683,Rd,-0.0020992042382240424,-0.002026766997955132,0.0,0.000655645568208256,-0.0005921364918665112,-0.00013594631661063326,Io,-226.94185962383975,-146.10597066091407,0.0,-69.82645396064254,-389.6551501073451,378.64571510506113,W,-2050.915633728146,-668.6903088361504,0.0,-57.153017849216894,-1420.3545525143354,95.28224547162449,C1,-473134325.6061664,-3980774883.2167354,0.0,2772979115.5686197,734661442.0419797,0.0,C2,-282245361.5856326,444359549.7719878,0.0,-62895902.30317149,245294018.98357338,-909003028.0378914,
2,Rb,-0.0007982148353339439,-0.0005668105345367632,0.0,0.0006803864771940466,-0.0006434512112892968,-0.0002683395667019189,Rd,-0.0019702961064636017,-0.001946546759711945,0.0,0.0006522635913697899,-0.0005378107558622344,-0.00013820218225918436,Io,-191.47033664723168,-136.83063426674514,0.0,-61.19095947979203,-368.89543587634165,375.4466929756499,W,-1649.6779695911373,-459.76821245522177,0.0,145.68836940742727,-1509.6957279852627,174.0976014418948,C1,-477441878.86876905,-3946626128.0659437,0.0,2733366232.4892554,735818016.7078843,0.0,C2,-395274803.33728886,444507200.2469704,0.0,-125833602.3356329,240656764.4633355,-954605165.7123876,
3,Rb,-0.0006062081421327945,-0.0003745037091225213,0.0,0.0006734750921237073,-0.0006418958772776766,-0.00026328364785629314,Rd,-0.00020921307818943011,-0.00023074490104077832,0.0,0.0006492306198618195,-0.0004871463240546176,-0.00014055247295586366,Io,-115.76434728698216,-86.75188162612099,0.0,-52.25117633650192,-349.1125024655146,372.3512131411578,W,-1589.9822032894351,-448.508015408452,0.0,160.6691797988951,-1472.8342875686556,170.6909198887907,C1,2335705097.7642174,-483152567.60058665,0.0,2211643142.0025253,607214523.3622923,0.0,C2,-450617829.44175386,441806866.29794073,0.0,-125870902.07804349,233647861.98287588,-1000201655.6437942,
4,Rb,-0.0007947894136237628,-0.0005652124818274248,0.0,0.0006743054746982645,-0.0006417943178824298,-0.00026208808861216725,Rd,-0.0018236950571682297,-0.0018694160890710286,0.0,0.0006663312391825836,-0.0004772894969948564,-0.00014332071028490867,Io,-131.60718115896884,-119.8129043428491,0.0,-47.483926481823396,-335.693097177869,371.3827468435677,W,-1967.8994360936656,-647.6656293458947,0.0,15.950391068704386,-1436.432405683527,100.24820786701225,C1,-1196978379.8797486,-4035901742.852413,0.0,2245380364.685129,593542998.2875066,0.0,C2,-495603600.255277,436269666.5323643,0.0,-125907551.66839905,238437425.97223383,-1044403141.0913777,
5,Rb,-0.0002323539024562748,0.0,0.0,0.0006642104340958113,-0.0006494014154029869,-0.00024716292114912577,Rd,8.27248259066106e-05,0.0,0.0,0.0006595999407833991,-0.00043156061915072054,-0.00014531449572608395,Io,9.535444701702607,0.0,0.0,-39.99138013817311,-322.53762213230345,372.0644469721673,W,-1044.929508098725,0.0,0.0,197.67120201630775,-1400.401630684762,157.80092056966365,C1,3410619390.5863085,0.0,0.0,2681908371.739292,728711018.8469466,0.0,C2,-985512965.4498894,0.0,0.0,-125944148.93901162,233783826.46757495,-1093352642.9789772,
6,Rb,-0.00023979148792099332,0.0,0.0,0.0006643131258331529,-0.0006766891516149555,-0.00022741546213919073,Rd,0.00010135005966668603,0.0,0.0,0.000679636451124891,-0.00043065425124160737,-0.00014763214021658143,Io,20.050952350043747,0.0,0.0,-37.92142288424518,-320.6993665863106,378.67174182060535,W,-1014.1887280080812,0.0,0.0,212.40790161318068,-1368.8509215071206,142.25429188585886,C1,2828619156.2130394,0.0,0.0,2247537868.517592,581081287.6954836,0.0,C2,-790029771.7546765,230490949.75085077,0.0,-125951338.6612602,238520347.5899647,-1133089730.4337072,
7,Rb,-0.0008665931273493427,-0.000609013433013244,0.0,0.0006546471279309366,-0.0007371965340626865,-0.00017503028820436956,Rd,-0.001709083922997799,-0.0018252993545547001,0.0,0.0006961744320832032,-0.000430612083252605,-0.0001493469172737199,Io,-82.64875439549999,-110.43080571848756,0.0,-37.97720449269741,-330.1427436012659,395.9019994169475,W,-1830.2873459916111,-606.2858637283193,0.0,7.828599182995456,-1303.1681915015884,71.33811005517076,C1,-1441733657.1546783,-4297780015.633993,0.0,2288938653.1560264,567107705.3232229,0.0,C2,-635697374.7683007,420438937.48731345,0.0,-125974213.47885771,250373749.2890068,-1180535848.06596,
8,Rb,-0.00021770332610726662,0.0,0.0,0.0006721489133435077,-0.0006296640291982645,-0.00026018821025253626,Rd,0.0001545064734257189,0.0,0.0,0.0006931981155808922,-0.0003853783786006021,-0.00015331326355460273,Io,57.40219825769396,0.0,0.0,-23.621609464981123,-280.4728672401707,361.49667496284013,W,-1217.684434005322,0.0,0.0,0.0,-1328.5206839653026,110.83624995991603,C1,2815553093.023151,0.0,0.0,2242451784.561247,573101308.4618312,0.0,C2,-1117398521.2644336,0.0,0.0,-126010546.51977095,226818983.73621726,-1218206958.481929,
9,Rb,-0.0007913887393613807,-0.0005691394964021671,0.0,0.0006724492740192362,-0.000634584353224,-0.00026011416375447654,Rd,-0.001071983102909891,-0.0012380143001510435,0.0,0.0007083997748955134,-0.0003866206029520436,-0.00015574797470232693,Io,-19.952485889575684,-85.77424576377406,0.0,-21.942248916309826,-273.70462085727956,361.46862964777887,W,-1306.3551528112412,-384.8875315751478,0.0,247.09401164426933,-1336.6241692379253,168.06253635744596,C1,599511661.0613157,-2898642894.026978,0.0,2808956912.6031833,689197642.4850881,0.0,C2,-815174198.7591019,399789780.9559686,0.0,-189025901.16105184,229193905.1566408,-1255131983.710979,
10,Rb,-0.00021327144125965537,0.0,0.0,0.0006718700978117993,-0.0006383948799103088,-0.0002467466591611722,Rd,0.0001972029931143222,0.0,0.0,0.000714085968366185,-0.00035908122169122834,-0.00015780175356061888,Io,82.61862201539168,0.0,0.0,-15.658587446650948,-263.52913341857123,361.80634288061384,W,-877.8317514940641,0.0,0.0,268.5498005139006,-1306.0152262848403,159.63367427693962,C1,3481656976.943472,0.0,0.0,2794730926.0173454,686926050.9260894,0.0,C2,-1271022451.0319319,0.0,0.0,-189069907.1819483,224520514.7788588,-1306473058.629367,
