Iteration No,fo,f_lower,f_upper,Io,W,Rb,Rd,Rbias,C1,C2,Temp,
1,1000000000.0,50000000.0,2000000000.0,0.000868463226475465,8.232890132027178e-05,207.3686628282883,329.3881378982193,1000,3.2837086591134464e-11,1.0597044358355199e-11,27,
2,1000000000.0,50000000.0,2000000000.0,0.000887062669165277,8.296771184784108e-05,210.06554413053624,341.68230310416726,1000,3.376413501050373e-11,1.059460438889169e-11,27,
3,1000000000.0,50000000.0,2000000000.0,0.000900287664734195,8.345462860674819e-05,211.60716264252426,344.56610174236687,1000,3.37625734192595e-11,1.0593227090321146e-11,27,
4,1000000000.0,50000000.0,2000000000.0,0.0009135230187653688,8.393136317266428e-05,212.09359460764875,343.1858273664706,1000,3.376101190023886e-11,1.0591823487731682e-11,27,
5,1000000000.0,50000000.0,2000000000.0,0.0009268752995883972,8.441029651376829e-05,213.64373366723734,345.9930874343283,1000,3.375949265470333e-11,1.0590393591560839e-11,27,
6,1000000000.0,50000000.0,2000000000.0,0.000940492256333476,8.48879532791656e-05,212.73307725248083,341.9624121295049,1000,3.3757931278168054e-11,1.0588910936458022e-11,27,
7,1000000000.0,50000000.0,2000000000.0,0.0009545314544898941,8.53623708280545e-05,214.36606953674024,344.70965265795047,1000,3.375649656608872e-11,1.0587402016649577e-11,27,
8,1000000000.0,50000000.0,2000000000.0,0.0009648618711561112,8.581863270013054e-05,216.20238287990946,346.359375603963,1000,3.3755061914984685e-11,1.0585800672094568e-11,27,
9,1000000000.0,50000000.0,2000000000.0,0.0009789850367951582,8.636222222275858e-05,214.70374002924672,341.20107428637453,1000,3.374120827499042e-11,1.0585364007816847e-11,27,
10,1000000000.0,50000000.0,2000000000.0,0.0009923861182175883,8.684941310887272e-05,216.22518440702893,343.85178013223674,1000,3.373990080316977e-11,1.0583855593445731e-11,27,
11,1000000000.0,50000000.0,2000000000.0,0.0010058056595011857,8.733414139578661e-05,217.7530856163451,346.4530188489369,1000,3.373855120713764e-11,1.0582334164204175e-11,27,
12,1000000000.0,50000000.0,2000000000.0,0.0010193098577370642,8.782768846234953e-05,217.02406643179222,342.09824875743044,1000,3.3737201665089354e-11,1.0580786497832658e-11,27,
13,1000000000.0,50000000.0,2000000000.0,0.001032957142594841,8.832490296365696e-05,218.57633106694544,344.63961112288695,1000,3.3735936520026884e-11,1.0579212605841097e-11,27,
14,1000000000.0,50000000.0,2000000000.0,0.001046437233305704,8.88028510948191e-05,220.13341420538362,345.1452261523717,1000,3.3734671422407397e-11,1.0577599275918707e-11,27,
15,1000000000.0,50000000.0,2000000000.0,0.0010595503998855659,8.929381985780959e-05,220.14322848676696,341.8220528665681,1000,3.3733364203889784e-11,1.0575972970030042e-11,27,
16,1000000000.0,50000000.0,2000000000.0,0.0010727179624801433,8.979397686628807e-05,221.61323489498727,344.2630896016015,1000,3.3732141369437374e-11,1.0574333694219681e-11,27,
17,1000000000.0,50000000.0,2000000000.0,0.0010857179632879491,9.02957007120284e-05,221.53437751890385,340.6501919191864,1000,3.373087641413603e-11,1.057269467249707e-11,27,
18,1000000000.0,50000000.0,2000000000.0,0.0010987900075659358,9.079311715332584e-05,222.98210467598983,343.0347432626208,1000,3.372969583346156e-11,1.0571029473086154e-11,27,
19,1000000000.0,50000000.0,2000000000.0,0.0011071490525484933,9.128828011600076e-05,223.60385311119472,340.37050675661453,1000,3.3728515294107374e-11,1.0569377749730976e-11,27,
20,1000000000.0,50000000.0,2000000000.0,0.0010857589328532565,9.123122494092824e-05,224.300379113636,341.3170204074867,1000,3.3728515294107374e-11,1.0578414567706998e-11,27,
21,1000000000.0,50000000.0,2000000000.0,0.0010987893972461615,9.17497604156863e-05,225.41103982421367,339.5437362710448,1000,3.3727250474783853e-11,1.0576695575339752e-11,27,
22,1000000000.0,50000000.0,2000000000.0,0.0011009952169611329,9.193394805972076e-05,225.86355248666072,338.1541535303555,1000,3.372607002101722e-11,1.0574963641439283e-11,27,
23,1000000000.0,50000000.0,2000000000.0,0.001101136970095317,9.194578455553347e-05,225.89263241904342,338.19769087762256,1000,3.372488960856651e-11,1.0573218772438448e-11,27,
24,1000000000.0,50000000.0,2000000000.0,0.0010799566004755328,9.188785871126346e-05,226.60137055325805,339.1429534236253,1000,3.372488960856651e-11,1.0582258874488878e-11,27,
25,1000000000.0,50000000.0,2000000000.0,0.0010930281251785383,9.240323473881027e-05,227.67914332195193,337.41798757677424,1000,3.37236249252062e-11,1.0580473118303805e-11,27,
26,1000000000.0,50000000.0,2000000000.0,0.0010956227006906807,9.26225769172715e-05,228.21959668841237,336.67805804818397,1000,3.372240244380264e-11,1.0578661212282288e-11,27,
27,1000000000.0,50000000.0,2000000000.0,0.0010746360478589507,9.254315305756495e-05,228.93962951596424,336.7164954598111,1000,3.372240244380264e-11,1.0587705967618792e-11,27,
28,1000000000.0,50000000.0,2000000000.0,0.001087808399215582,9.303687077912702e-05,230.34989763378272,336.0786982979945,1000,3.372109570070795e-11,1.0585826649809547e-11,27,
