Iteration No,Rb,Rd1,Rd2,Rbias1,Rbias2,Rbias3,Rbias4,C1,C2,C3,C4,Cload,len1,len2,W1,W2,W3,Ibias1,Ibias2,frf,frf_fund2,flo,f_lower,f_upper,Alo,Temp,
1,348.13557792367743,254.82778007642364,314.1437522045285,1000,10542.6257806746,18803.380800199215,16968.641198301448,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.26146768098238e-11,6.000000000000001e-08,6.311502176211943e-08,0.00015922989989865854,6.90123095245511e-05,3.777477501800859e-05,0.0010089470730577613,0.0011339622639937685,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.48988326988228736,27,
2,345.6551680862446,254.19897649103208,313.43082339682263,1000,10542.6257806746,18664.491173708044,16879.23426132657,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2534903150074205e-11,6.000000000000001e-08,6.285168337053014e-08,0.00015831170916232802,6.867374469072719e-05,3.755916611186366e-05,0.0010052974425657077,0.0011296255621907009,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4723232000980868,27,
3,345.3801954976964,255.1817259259697,314.7026300262165,1000,10542.6257806746,18643.968832170263,16897.224761667898,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.253482730840887e-11,6.000000000000001e-08,6.298778241877265e-08,0.00015838274011052909,6.877021406543233e-05,3.75821844580719e-05,0.00100803404692133,0.0011324524590907094,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4732912075204207,27,
4,345.1068187173469,256.16409146147475,315.9744680313383,1000,10542.6257806746,18623.960107812305,16914.943950358018,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2534761337400352e-11,6.000000000000001e-08,6.312411812666985e-08,0.00015845420283959076,6.886726706377373e-05,3.760521598457061e-05,0.0010107651971839086,0.0011352708028447207,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.47424263536002015,27,
5,344.833323622863,257.1458347536959,317.2437572136437,1000,10542.6257806746,18604.412980429937,16932.273407904362,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2534686402179401e-11,6.000000000000001e-08,6.326053050269983e-08,0.0001585418477593836,6.896408187788074e-05,3.762808058390156e-05,0.0010134850076551694,0.001138070150160104,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.47517707720173596,27,
6,344.56099628258943,258.1246704946039,318.5124311404652,1000,10542.6257806746,18585.30443596179,16949.165112857238,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2534619090290422e-11,6.000000000000001e-08,6.339665924350305e-08,0.00015862918160136524,6.906110696821598e-05,3.765090395788218e-05,0.001016193469819452,0.001140856717813894,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4760925177309704,27,
7,344.28741251782765,259.10279473746675,319.7759451374709,1000,10542.6257806746,18566.724037726635,16965.642057100536,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2534547129500578e-11,6.000000000000001e-08,6.353273384096098e-08,0.00015871653284258626,6.915756198350796e-05,3.7673425857939824e-05,0.0010188902321054722,0.001143618894841188,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.47698482655339675,27,
8,344.01363700531977,260.07775001188105,321.035840716348,1000,10542.6257806746,18548.5107897747,16981.592166045266,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2534475638611857e-11,6.000000000000001e-08,6.366843913728363e-08,0.00015880283172457256,6.925394176770604e-05,3.769571643663214e-05,0.0010215708880269194,0.0011463589962351765,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4778556903587438,27,
9,343.73883761459484,261.0520778942094,322.29212544911417,1000,10542.6257806746,18530.86573443568,16997.10826297269,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2534404675016579e-11,6.000000000000001e-08,6.380429822802019e-08,0.00015888968177386862,6.935034769740433e-05,3.771790580261459e-05,0.0010242446931813544,0.0011490773005213397,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.47870449194949993,27,
10,343.4274994686787,261.99752337140234,323.51133738982475,1000,10542.6257806746,18511.731253063466,17010.406372528374,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2532988157186284e-11,6.000000000000001e-08,6.393337888679661e-08,0.00015895943406741124,6.94487884953987e-05,3.7736083178448584e-05,0.001026797553289527,0.0011516563881263564,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4791911484021988,27,
11,343.11273321479706,262.9387485504668,324.7234098745836,1000,10542.6257806746,18492.948281967485,17023.089864056838,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2531435426020781e-11,6.000000000000001e-08,6.406204710561318e-08,0.00015902735661900438,6.954648929349425e-05,3.775366138036156e-05,0.001029329204016249,0.001154201391107179,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4796165632570739,27,
12,342.8012373294707,263.8806992174729,325.9331642821793,1000,10542.6257806746,18474.8595310302,17035.473325517392,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2530022051991453e-11,6.000000000000001e-08,6.419168814554623e-08,0.0001590968028057277,6.964471129026704e-05,3.777144729944262e-05,0.0010318598738027584,0.001156736067706717,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4800353323712129,27,
13,342.4924350039842,264.8237600100296,327.1389615317723,1000,10542.6257806746,18457.461469790782,17047.539325968275,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2528703719751036e-11,6.000000000000001e-08,6.432155717812434e-08,0.00015916694254594388,6.974356461585129e-05,3.778943665047747e-05,0.0010343887408234274,0.0011592545332214895,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.48043662870156956,27,
14,342.18544811639293,265.7660941675204,328.3399939141839,1000,10542.6257806746,18440.591123922368,17059.168206359955,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2527393110312792e-11,6.000000000000001e-08,6.44517756649536e-08,0.00015923726991813855,6.984240046895445e-05,3.78072640465392e-05,0.0010369044123854547,0.0011617484966594132,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.480823125905266,27,
15,341.8806188268936,266.7084663100311,329.53548542786876,1000,10542.6257806746,18424.465069032893,17070.314860012764,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2526201538168337e-11,6.000000000000001e-08,6.458244941517914e-08,0.00015930909321790673,6.994151257654155e-05,3.782518983378538e-05,0.001039419069506388,0.001164221631278223,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.48119542814640887,27,
16,341.57715309424356,267.64972323277453,330.7274112398705,1000,10542.6257806746,18409.0033226706,17081.06665529862,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2525036307339493e-11,6.000000000000001e-08,6.471367356762875e-08,0.00015938108162873285,7.004078368824509e-05,3.784290597797457e-05,0.0010419252326873802,0.0011666697338105474,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.48155231006092625,27,
17,341.27805842256345,268.5919495412218,331.91544448681674,1000,10542.6257806746,18394.229184783722,17091.435845809396,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2524064008549746e-11,6.000000000000001e-08,6.484559580039641e-08,0.00015945525345769832,7.013111495751739e-05,3.786082770347676e-05,0.0010444330509689489,0.001169103870056534,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.48189273462211424,27,
18,340.9787388822307,269.5335640443729,333.0952184325909,1000,10542.6257806746,18380.163244289015,17101.31730918409,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2523093673527479e-11,6.000000000000001e-08,6.497763284356431e-08,0.00015952966525765294,7.022160157246756e-05,3.78788561333175e-05,0.0010469303386965194,0.0011715164372877738,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.48221452908245815,27,
19,340.68351230929477,270.47605364196176,334.2689753306258,1000,10542.6257806746,18366.84750447378,17110.762052916398,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2522267155848622e-11,6.000000000000001e-08,6.511015374080267e-08,0.00015960524066151201,7.031224006274242e-05,3.789674276758316e-05,0.001049419558877416,0.0011739070277399745,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4825227470408581,27,
20,340.38753039456765,271.41704264248676,335.4353990276201,1000,10542.6257806746,18354.258070798078,17119.637829882693,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.252141503492675e-11,6.000000000000001e-08,6.524305001967673e-08,0.00015968018507090371,7.040300637496513e-05,3.791458157115523e-05,0.0010519029838139597,0.0011762650239078493,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4828118940824682,27,
21,340.0959386638173,272.35939704481575,336.5930799686289,1000,10542.6257806746,18342.357338030917,17128.147770509346,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2520733306095362e-11,6.000000000000001e-08,6.537642425146958e-08,0.0001597570572722483,7.049377486590369e-05,3.793228126578211e-05,0.0010543843561840274,0.0011786004421569319,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4830827201785583,27,
22,339.8046396507479,273.29916251002044,337.74144963013396,1000,10542.6257806746,18331.161329975494,17136.14088795362,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2520069680864605e-11,6.000000000000001e-08,6.55105292312709e-08,0.00015983390737188123,7.058467605013284e-05,3.794982440193269e-05,0.0010568524138424014,0.0011808957952575575,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4833375754250235,27,
