Iteration No,Rb,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rd1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rd2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias4,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Cload,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,len2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,Rb,0.00035719117905545756,0.0004765470068927701,0.0,0.0,-1.4641904496221678e-05,-0.0001047139233410909,0.0,0.0,Rd1,-0.0030826960722340597,-0.0020503407748550793,0.0,0.0,-0.0009880690951962628,-4.4286202182761536e-05,0.0,0.0,Rd2,-0.002545946491760457,-0.0025254380543934976,0.0,0.0,-3.0527118257922808e-06,-1.745572554120233e-05,0.0,0.0,Rbias3,7.0298565637754116e-06,9.690876981615864e-06,0.0,0.0,8.285104697707065e-07,-3.4895308876117498e-06,0.0,0.0,Rbias4,-7.472019926249416e-06,-1.0453732790470418e-05,0.0,0.0,-8.840639036160759e-07,3.865776767837078e-06,0.0,0.0,Cload,89278858.1387495,2705778.2110982696,0.0,0.0,86573079.92765123,0.0,0.0,0.0,len2,-5476930.948240581,-6748533.50696625,0.0,0.0,84580.9676195871,1187021.5911059938,0.0,0.0,Ibias1,-404.6722237593888,-333.2674876270885,0.0,0.0,-207.17742801376147,135.77269188146664,0.0,0.0,Ibias2,-329.6602636588236,-403.0842499203971,0.0,0.0,-22.883000664961678,96.30698692653515,0.0,0.0,W1,-658.6713024721398,-383.95000690519146,0.0,0.0,-310.6012132138908,35.87991764690757,0.0,0.0,W2,-4062.1079964787314,-3526.397008143115,0.0,0.0,-563.5132775602473,27.80228922471125,0.0,0.0,W3,-3071.173774535078,-2524.7813775294558,0.0,0.0,-675.339307584706,128.9469105790836,0.0,0.0,Alo,-0.7719263282566422,-0.6321359672807052,0.0,0.0,-0.13979036097595976,0.0,0.0,0.0,
2,Rb,0.003988870507590824,0.0034794750403822267,0.0,0.0,0.0006136651894142488,-0.0001042697222056355,0.0,0.0,Rd1,0.0018922135852755854,0.0020634429742370404,0.0,0.0,-0.00012679153372995182,-4.443785523150318e-05,0.0,0.0,Rd2,0.0014273751587460745,0.000752394218594919,0.0,0.0,0.0006924442828453856,-1.7463342694247795e-05,0.0,0.0,Rbias3,7.506583913742682e-05,6.608564615849134e-05,0.0,0.0,1.2479138232402921e-05,-3.498945253467736e-06,0.0,0.0,Rbias4,6.597064331350916e-05,5.0137659155130236e-05,0.0,0.0,1.19645541979075e-05,3.868429960471426e-06,0.0,0.0,Cload,100262205930.16653,82832930989.14813,0.0,0.0,17429274941.018837,0.0,0.0,0.0,len2,14412596.857395062,9703814.095727673,0.0,0.0,3517624.1768957577,1191158.5847716318,0.0,0.0,Ibias1,852.9935135197184,705.890502969176,0.0,0.0,11.147415194805102,135.95559535574282,0.0,0.0,Ibias2,771.0361152618767,505.2709723057776,0.0,0.0,169.24517622060097,96.51996673550306,0.0,0.0,W1,7278.189257602709,6179.314914778098,0.0,0.0,1063.6045850493983,35.2697577752135,0.0,0.0,W2,14244.883429110274,11611.40620797059,0.0,0.0,2605.945900813081,27.531320326603478,0.0,0.0,W3,30351.356168339695,25105.09010054331,0.0,0.0,5114.802677276447,131.46339052008176,0.0,0.0,Alo,1.8159881704404905,1.4979853661777986,0.0,0.0,0.3180028042627036,0.0,0.0,0.0,
3,Rb,0.00035363642503137137,0.0004780971871611221,0.0,0.0,-1.7805333819144036e-05,-0.00010665542831057456,0.0,0.0,Rd1,-0.0030863017244094353,-0.0020487214877814774,0.0,0.0,-0.0009930403247987046,-4.453991182925308e-05,0.0,0.0,Rd2,-0.0026067154330881533,-0.0025861978555877523,0.0,0.0,-3.014512739412709e-06,-1.750306476097081e-05,0.0,0.0,Rbias3,8.271099293584366e-06,1.0883875834971951e-05,0.0,0.0,8.98275508738455e-07,-3.511052050125744e-06,0.0,0.0,Rbias4,-8.754737018449359e-06,-1.1704515770537455e-05,0.0,0.0,-9.244491297910974e-07,3.874227881879194e-06,0.0,0.0,Cload,96537465.09651516,5484640.375664752,0.0,0.0,91052824.72040756,0.0,0.0,0.0,len2,-5704255.198426609,-6939011.047067756,0.0,0.0,48502.81607789317,1186253.0325633418,0.0,0.0,Ibias1,-406.3183008552941,-333.82475872302354,0.0,0.0,-207.7430655499247,135.24952341765965,0.0,0.0,Ibias2,-346.7694024257856,-419.291826096434,0.0,0.0,-23.776742744317474,96.2991664149659,0.0,0.0,W1,-520.3377497783839,-269.7220377923696,0.0,0.0,-297.1062719005869,46.49055991464269,0.0,0.0,W2,-4062.71425541545,-3530.8919726376407,0.0,0.0,-560.188290904545,28.36600812681614,0.0,0.0,W3,-2841.946080725058,-2659.287642253458,0.0,0.0,-604.1267946339133,421.46835616246153,0.0,0.0,Alo,-0.8678209425788349,-0.7228121964113591,0.0,0.0,-0.1450087461674876,0.0,0.0,0.0,
4,Rb,0.00035222297076481225,0.0004772525012903,0.0,0.0,-1.890300538646123e-05,-0.00010612652513901049,0.0,0.0,Rd1,-0.0030618810028708596,-0.0020341126691221408,0.0,0.0,-0.0009830864508332414,-4.468188291552119e-05,0.0,0.0,Rd2,-0.0025859054144240145,-0.0025654907018423786,0.0,0.0,-2.899765218351369e-06,-1.7514947363302236e-05,0.0,0.0,Rbias3,7.991655842372152e-06,1.06428878333834e-05,0.0,0.0,8.69692152925499e-07,-3.520924143937045e-06,0.0,0.0,Rbias4,-9.173753891692173e-06,-1.1487190229342092e-05,0.0,0.0,-9.248469172511677e-07,3.238283254900429e-06,0.0,0.0,Cload,83974303.1916564,-6554427.874004482,0.0,0.0,90528731.06477517,0.0,0.0,0.0,len2,-5682049.895484916,-6921935.952234288,0.0,0.0,49242.45698926492,1190643.5997601068,0.0,0.0,Ibias1,-402.084227015421,-331.229736377921,0.0,0.0,-206.32808938853947,135.47359875103393,0.0,0.0,Ibias2,-342.99863336712485,-415.9230044890586,0.0,0.0,-23.60241825672646,96.52678937866023,0.0,0.0,W1,-524.1136213524023,-271.5596193833615,0.0,0.0,-298.2029154488268,45.64891347978592,0.0,0.0,W2,-4076.2270435501337,-3539.484564671427,0.0,0.0,-564.8069545566389,28.0644756778518,0.0,0.0,W3,-2839.861366051362,-2656.2858473466363,0.0,0.0,-604.9986006352298,421.4230819303564,0.0,0.0,Alo,-0.8494718226938229,-0.706217724909482,0.0,0.0,-0.14325409778436443,0.0,0.0,0.0,
5,Rb,0.0003536493628183981,0.000478516229458049,0.0,0.0,-1.9241599264527728e-05,-0.00010562526737512316,0.0,0.0,Rd1,-0.00303703627036424,-0.0020188802804386916,0.0,0.0,-0.0009733253505706095,-4.483063935493884e-05,0.0,0.0,Rd2,-0.0025601767838833436,-0.002540757447016591,0.0,0.0,-1.892604297193756e-06,-1.752673256957622e-05,0.0,0.0,Rbias3,7.740446087436454e-06,1.042119658263341e-05,0.0,0.0,8.499701259458861e-07,-3.530720621143141e-06,0.0,0.0,Rbias4,-8.79962433806617e-06,-1.1207624346987299e-05,0.0,0.0,-9.059926454152937e-07,3.3139926543367504e-06,0.0,0.0,Cload,95385826.92976454,5411706.222492021,0.0,0.0,89974120.70771538,0.0,0.0,0.0,len2,-5652002.366383293,-6898087.171883668,0.0,0.0,51200.78591471806,1194884.019585745,0.0,0.0,Ibias1,-396.7594098398908,-327.7661131788206,0.0,0.0,-204.67070263239103,135.67740597132084,0.0,0.0,Ibias2,-337.6475416531193,-411.3425280390604,0.0,0.0,-23.05549792561459,96.75048431156063,0.0,0.0,W1,-661.7364571857873,-385.57690183998784,0.0,0.0,-312.5738624237921,36.41430707802764,0.0,0.0,W2,-4054.92371212057,-3523.727432155647,0.0,0.0,-558.9598326877767,27.763552722853447,0.0,0.0,W3,-2812.358266234597,-2633.93855269426,0.0,0.0,-599.7442448636001,421.3245313231155,0.0,0.0,Alo,-0.8309618427189251,-0.6890143492388644,0.0,0.0,-0.1419474934800608,0.0,0.0,0.0,
6,Rb,0.0003528696938982017,0.00047823154676906364,0.0,0.0,-2.0192202736760433e-05,-0.00010516965013411763,0.0,0.0,Rd1,-0.0030055935865119458,-0.0019989765910373,0.0,0.0,-0.0009616308497294467,-4.498614574519926e-05,0.0,0.0,Rd2,-0.0025386604398514078,-0.0025189310755224545,0.0,0.0,-2.1908001382154264e-06,-1.7538564190737854e-05,0.0,0.0,Rbias3,7.50098823443696e-06,1.0200145579550512e-05,0.0,0.0,8.412929807998734e-07,-3.540450325914023e-06,0.0,0.0,Rbias4,-8.400337721858636e-06,-1.090412094318995e-05,0.0,0.0,-8.79341927903218e-07,3.383125149234532e-06,0.0,0.0,Cload,85683032.344585,-3728393.713631323,0.0,0.0,89411426.05777346,0.0,0.0,0.0,len2,-5604236.246868112,-6862535.310221036,0.0,0.0,59320.815822135664,1198978.2475307884,0.0,0.0,Ibias1,-391.5153128984008,-324.4360675508973,0.0,0.0,-202.93719979180233,135.85795444429885,0.0,0.0,Ibias2,-333.31733375249456,-407.42438814538605,0.0,0.0,-22.865878237388397,96.97293263027501,0.0,0.0,W1,-659.1025975257236,-383.0645313154674,0.0,0.0,-311.83933937703097,35.80127316677473,0.0,0.0,W2,-4052.640311166188,-3520.8840710052077,0.0,0.0,-559.1908111504648,27.43457098940393,0.0,0.0,W3,-3089.8819752548766,-2556.601030195376,0.0,0.0,-667.3297703444255,134.04882528477734,0.0,0.0,Alo,-0.8108661443043336,-0.6704248707189839,0.0,0.0,-0.14044127358536132,0.0,0.0,0.0,
7,Rb,0.00035613826267325157,0.00048087150360235606,0.0,0.0,-1.9991263777399377e-05,-0.00010474197715170511,0.0,0.0,Rd1,-0.002981193656239412,-0.001984025655730076,0.0,0.0,-0.000952034770982362,-4.513322952695248e-05,0.0,0.0,Rd2,-0.0025084559929659314,-0.0024905123475063937,0.0,0.0,-3.9331004562370103e-07,-1.7550335413879346e-05,0.0,0.0,Rbias3,7.20823292943463e-06,9.940671381797392e-06,0.0,0.0,8.176782663247092e-07,-3.550116718687173e-06,0.0,0.0,Rbias4,-8.023274123910416e-06,-1.0607375069877544e-05,0.0,0.0,-8.638564968252451e-07,3.447957442792373e-06,0.0,0.0,Cload,91601721.46544005,2763672.8483176604,0.0,0.0,88838048.61756524,0.0,0.0,0.0,len2,-5568369.526601841,-6835530.274680134,0.0,0.0,64195.15162505005,1202965.5964531556,0.0,0.0,Ibias1,-386.2764925064106,-321.00433545674997,0.0,0.0,-201.29546767431518,136.02331062465456,0.0,0.0,Ibias2,-327.25105091409216,-402.21342708499395,0.0,0.0,-22.229495751859613,97.19187192276625,0.0,0.0,W1,-659.0377911796032,-382.35266092443675,0.0,0.0,-311.92454801905484,35.23941776392328,0.0,0.0,W2,-4017.548915705271,-3493.814705661073,0.0,0.0,-550.8985588701291,27.164348826011377,0.0,0.0,W3,-3040.866563523475,-2524.2109051546545,0.0,0.0,-653.279204134005,136.62354576533156,0.0,0.0,Alo,-0.7873402799535114,-0.6489895173135682,0.0,0.0,-0.13835076263994317,0.0,0.0,0.0,
8,Rb,0.0003575876661591634,0.0004821239866604728,0.0,0.0,-2.0187457621670875e-05,-0.0001043488628796224,0.0,0.0,Rd1,-0.0029497811142278198,-0.0019642009006982475,0.0,0.0,-0.0009402931682397018,-4.5287045289849096e-05,0.0,0.0,Rd2,-0.0025023347584025406,-0.0024644157034275998,0.0,0.0,2.3265776493396895e-07,-3.815171273985711e-05,0.0,0.0,Rbias3,7.007287319158692e-06,9.739616911409145e-06,0.0,0.0,8.272644355231903e-07,-3.5595940277730457e-06,0.0,0.0,Rbias4,-7.575095350392408e-06,-1.0255110903835155e-05,0.0,0.0,-8.277797778324744e-07,3.507795331275876e-06,0.0,0.0,Cload,91004610.74021211,2747481.565377646,0.0,0.0,88257129.17527734,0.0,0.0,0.0,len2,-5517282.463790863,-6797835.109006695,0.0,0.0,73773.15746515026,1206779.48775077,0.0,0.0,Ibias1,-380.26403250753947,-317.05575665384356,0.0,0.0,-199.379961112946,136.17168525925555,0.0,0.0,Ibias2,-321.6109353430666,-397.249614977398,0.0,0.0,-21.76964450451169,97.40832413884303,0.0,0.0,W1,-650.4673743829089,-376.2121334361699,0.0,0.0,-308.9460189103704,34.690777963631376,0.0,0.0,W2,-4003.4265868922485,-3482.9266280055135,0.0,0.0,-547.3661459920884,26.866187105353788,0.0,0.0,W3,-3176.5579371797003,-2499.071701440329,0.0,0.0,-642.023572878681,-35.46266286054293,0.0,0.0,Alo,-0.765545677804461,-0.6286806962915762,0.0,0.0,-0.13686498151288481,0.0,0.0,0.0,
9,Rb,0.00036815620283072657,0.00048463396922031766,0.0,0.0,-2.0231581824847067e-05,-9.624618456474402e-05,0.0,0.0,Rd1,-0.0029262669686273765,-0.0019496881970190126,0.0,0.0,-0.0009312154139221781,-4.536335768616418e-05,0.0,0.0,Rd2,-0.002455291390847226,-0.002438283219558369,0.0,0.0,4.104446124733812e-07,-1.7418615901347553e-05,0.0,0.0,Rbias3,6.997567612553691e-06,9.453617216002706e-06,0.0,0.0,8.037269190595571e-07,-3.2597765225085724e-06,0.0,0.0,Rbias4,-6.859674242983188e-06,-9.939487625387281e-06,0.0,0.0,-8.215875788352397e-07,3.9014009612399865e-06,0.0,0.0,Cload,90334420.89870681,2638426.9246451664,0.0,0.0,87695993.97406164,0.0,0.0,0.0,len2,-5402466.393385472,-6778690.479218451,0.0,0.0,75673.90552398712,1300550.1803090796,0.0,0.0,Ibias1,-372.6587523111343,-314.3688256601635,0.0,0.0,-198.04723735091005,139.75731069994467,0.0,0.0,Ibias2,-316.0372023715046,-392.2392073615862,0.0,0.0,-21.46199064103273,97.66399563110949,0.0,0.0,W1,-661.7576147558249,-378.4872761878952,0.0,0.0,-310.2975644264627,27.027225858533008,0.0,0.0,W2,-3910.749676129226,-3473.2391117477464,0.0,0.0,-546.9339387998682,109.42337441838856,0.0,0.0,W3,-2980.0427383394995,-2484.5159187965296,0.0,0.0,-638.620001206034,143.09318166321137,0.0,0.0,Alo,-0.7434344063144848,-0.6075066646502181,0.0,0.0,-0.1359277416642551,0.0,0.0,0.0,
10,Rb,0.00043053056595592274,0.0005360678608837626,0.0,0.0,-9.074526187180231e-06,-9.646276874064343e-05,0.0,0.0,Rd1,-0.002820191169231272,-0.001867850838521348,0.0,0.0,-0.0009068245083658032,-4.551582234414197e-05,0.0,0.0,Rd2,-0.002364947958262043,-0.0023598759409891295,0.0,0.0,1.235316800634592e-05,-1.7425185279259556e-05,0.0,0.0,Rbias3,7.830864854891412e-06,1.014007100233325e-05,0.0,0.0,1.0042925784108214e-06,-3.3134987258526573e-06,0.0,0.0,Rbias4,-5.301899773298515e-06,-8.622018822381052e-06,0.0,0.0,-5.839568074298982e-07,3.904075856512762e-06,0.0,0.0,Cload,1803202984.4743013,1397781724.605807,0.0,0.0,405421259.86849433,0.0,0.0,0.0,len2,-5050542.259793846,-6482801.529210743,0.0,0.0,141311.75823776415,1290947.5111793063,0.0,0.0,Ibias1,-347.0795356278466,-294.07143650834047,0.0,0.0,-192.6153638209294,139.6072647014232,0.0,0.0,Ibias2,-292.7837370721436,-372.80559159701494,0.0,0.0,-17.85319700471136,97.87505152958757,0.0,0.0,W1,-525.5070732425186,-267.1724447805086,0.0,0.0,-285.41001782629553,27.075389364320507,0.0,0.0,W2,-4015.8150915208594,-3583.5027630369545,0.0,0.0,-510.12015755992144,77.80782907601656,0.0,0.0,W3,-2409.781803341394,-2020.7394872552272,0.0,0.0,-534.7025769909067,145.66026090503388,0.0,0.0,Alo,-0.6771595823355427,-0.5506661891016359,0.0,0.0,-0.12649339323389514,0.0,0.0,0.0,
