Iteration No,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,
1,0.0009523499,0.0006627697,21.636540714819485,11.492446565843048,19561151.9175846,7.695871947018048,-6.149461618053287,0.01896468,0.0024293,3.0,0.01214674,0.001965973,3.0,
2,0.0009511485,0.0006593747,21.473272884704564,11.481137295717986,19561151.9175846,7.72328658045814,-6.849787337902875,0.01893459,0.002418477,3.0,0.01208654,0.001960446,3.0,
3,0.0009529366,0.0006622109,21.553976187550333,11.505260771864027,19561151.9175846,7.712017529511764,-6.733753904971735,0.01896623,0.002425243,3.0,0.01213325,0.001962511,3.0,
4,0.000954722,0.0006650374,21.633809317194157,11.529182656357921,19561151.9175846,7.70087610032607,-6.6113086084036325,0.01899781,0.002432028,3.0,0.01217971,0.00196459,3.0,
5,0.000956505,0.0006678464,21.712566555336586,11.552853664002146,19561151.9175846,7.689865534600093,-6.4833861906896715,0.01902951,0.002438864,3.0,0.01222579,0.00196667,3.0,
6,0.0009582814,0.000670638,21.790226333352578,11.576258802618607,19561151.9175846,7.679020799303137,-6.350979503607093,0.01906108,0.002445701,3.0,0.01227151,0.001968768,3.0,
7,0.0009600517,0.0006734064,21.866624348966596,11.59943279275575,19561151.9175846,7.6683389740082495,-6.216230137366807,0.01909253,0.002452542,3.0,0.01231675,0.001970865,3.0,
8,0.0009613832,0.0006762937,21.941706385453887,11.62231287419445,19561151.9175846,7.657853902139057,-6.081291236806905,0.01911614,0.002458423,3.0,0.01236397,0.001972674,3.0,
9,0.0009631798,0.0006790189,22.015624800510608,11.644969633131424,19561151.9175846,7.647503472541236,-5.949379140124968,0.01914802,0.002465353,3.0,0.01240834,0.001974773,3.0,
10,0.000964911,0.000681619,22.0847249652917,11.666827317080779,19561151.9175846,7.637922211326046,-5.838814955577398,0.01917857,0.002471959,3.0,0.01245082,0.001976777,3.0,
11,0.0009666274,0.0006841864,22.152364875300258,11.688403111898765,19561151.9175846,7.628545481044393,-5.737652474279827,0.01920883,0.002478527,3.0,0.01249268,0.001978771,3.0,
12,0.0009683396,0.0006867423,22.21918053562024,11.7097985455844,19561151.9175846,7.6192661563457715,-5.646618756216469,0.01923902,0.00248512,3.0,0.01253428,0.001980782,3.0,
13,0.000970047,0.0006892791,22.285102005966166,11.731000559616698,19561151.9175846,7.610071689967932,-5.569788643587401,0.0192691,0.002491732,3.0,0.01257551,0.001982813,3.0,
14,0.0009717423,0.0006917929,22.349980973135224,11.751987360635802,19561151.9175846,7.601003213877834,-5.510581978592484,0.01929895,0.002498335,3.0,0.0126163,0.001984847,3.0,
15,0.000973434,0.0006942818,22.413820756303497,11.772793197404361,19561151.9175846,7.5920466058054705,-5.472294564315625,0.01932874,0.002504962,3.0,0.0126566,0.001986903,3.0,
16,0.0009751173,0.0006969334,22.478703619497136,11.793338319870806,19561151.9175846,7.583153343810569,-5.456477469261287,0.01935837,0.002511591,3.0,0.01270295,0.001987347,3.0,
17,0.0009767975,0.00069938,22.54039988109236,11.813784286310124,19561151.9175846,7.574429748877184,-5.466441073213261,0.01938794,0.002518254,3.0,0.01274211,0.001989427,3.0,
18,0.0009784687,0.0007017994,22.600937986810248,11.833990448054692,19561151.9175846,7.565832281902062,-5.503126806462511,0.01941735,0.002524915,3.0,0.01278076,0.001991538,3.0,
19,0.0009801301,0.0007041931,22.660538670383556,11.854037862475693,19561151.9175846,7.557323099898525,-5.566253065653669,0.01944657,0.002531584,3.0,0.0128189,0.001993679,3.0,
20,0.000981786,0.0007065528,22.71893382610585,11.873858262440471,19561151.9175846,7.5489489289962535,-5.653702541522669,0.01947567,0.002538261,3.0,0.01285643,0.00199584,3.0,
21,0.0009834362,0.0007088887,22.77640686018705,11.893522592963944,19561151.9175846,7.540650989652611,-5.762293315159788,0.01950467,0.002544964,3.0,0.01289348,0.001998029,3.0,
22,0.0009850755,0.00071119,22.832654517888898,11.912931967297018,19561151.9175846,7.53248990610996,-5.887322070679829,0.01953346,0.002551657,3.0,0.01292991,0.002000224,3.0,
23,0.0009867096,0.0007134607,22.8881410486871,11.932169384032562,19561151.9175846,7.524402432059663,-6.023722332105592,0.01956217,0.002558375,3.0,0.01296578,0.002002463,3.0,
24,0.0009883343,0.0007156948,22.94227332969248,11.951231268231464,19561151.9175846,7.516444921532701,-6.164046893310498,0.01959069,0.002565093,3.0,0.01300097,0.002004734,3.0,
25,0.0009899076,0.0007174393,22.997570653507637,11.971770375312742,19561151.9175846,7.508151716770279,-6.309937954090216,0.01962029,0.002570208,3.0,0.01302761,0.002008382,3.0,
26,0.0009915142,0.000719616,22.664730354171322,11.993439377273322,19561151.9175846,7.565330699129456,-7.297016762281288,0.01964823,0.002576884,3.0,0.01306174,0.002010735,3.0,
27,0.0009931203,0.0007228792,22.743561707981215,12.012236525004237,19561151.9175846,7.556258559468596,-7.1690605950066555,0.01967617,0.00258365,3.0,0.01311278,0.002013184,3.0,
28,0.0009947149,0.0007261244,22.821439978688794,12.03076786464962,19561151.9175846,7.547338065857501,-7.031976993198981,0.01970388,0.002590405,3.0,0.01316344,0.002015649,3.0,
29,0.0009962974,0.0007293528,22.89836791043009,12.049105077619501,19561151.9175846,7.5385585075226995,-6.8851655360666015,0.01973137,0.002597148,3.0,0.01321373,0.00201813,3.0,
30,0.0009978722,0.000732567,22.97448461138177,12.067221424554456,19561151.9175846,7.5299116207283,-6.7276917608879145,0.0197587,0.002603895,3.0,0.01326369,0.002020635,3.0,
