Iteration No,Rb,Rd1,Rd2,Rbias1,Rbias2,Rbias3,Rbias4,C1,C2,C3,C4,Cload,len1,len2,W1,W2,W3,Ibias1,Ibias2,frf,frf_fund2,flo,f_lower,f_upper,Alo,Temp,
1,346.73376906864434,259.72259924263676,320.33287305035077,1000,10542.6257806746,18710.213683651797,17050.098211909182,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2614321632047794e-11,6.000000000000001e-08,6.37758924486156e-08,0.00015966965777695119,6.949791512401011e-05,3.788879622185853e-05,0.001022626557121567,0.0011475899841626122,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.49449711929372403,27,
2,331.9972517154453,255.79296280708567,315.8551178288151,1000,10542.6257806746,17897.28924332734,16504.384914092087,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2139087459220438e-11,6.000000000000001e-08,6.218805156333749e-08,0.00015418200326063617,6.752085098696955e-05,3.659692634144094e-05,0.001000149815494512,0.0011209274947101468,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4640280206345111,27,
3,330.5538247810803,261.74121926691805,323.5424596207421,1000,10542.6257806746,17776.585847039605,16613.343920006504,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2138691633822227e-11,6.000000000000001e-08,6.304214152487115e-08,0.00015461800154914696,6.81363682098724e-05,3.673725051618825e-05,0.0010167453593699551,0.0011376776113187687,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4698342415689568,27,
4,329.1066176090706,267.63148507886444,331.1604207407805,1000,10542.6257806746,17671.894266712094,16707.644237821813,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2138311491430624e-11,6.000000000000001e-08,6.388992297646834e-08,0.0001551444383710375,6.870679606621013e-05,3.686854341947625e-05,0.0010329400263189813,0.0011538506187989388,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.47499157420414695,27,
5,327.65985274982336,273.47068130021984,338.5574605224436,1000,10542.6257806746,17587.891081711845,16782.980163067645,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2137908498582161e-11,6.000000000000001e-08,6.473739676804445e-08,0.00015566619886484885,6.927144601693779e-05,3.699015903281083e-05,0.0010487456558207324,0.0011690635923238377,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4791975575333385,27,
6,326.20983098083684,279.2401896712743,345.5489935694566,1000,10542.6257806746,17529.250068683472,16834.616804045585,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2137535431725107e-11,6.000000000000001e-08,6.558763270452678e-08,0.000156184343176695,6.982777546459051e-05,3.709927589788072e-05,0.001064107749994616,0.0011829108819085218,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.48213953715836005,27,
7,324.858855253677,280.3740956709951,328.8088688065304,1000,10542.6257806746,18291.926698698975,16143.261336038113,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2221157523368195e-11,6.000000000000001e-08,6.735479149064065e-08,0.0001565624806447083,6.96642116845584e-05,3.654581247610907e-05,0.0010751248623052407,0.0011368764969013376,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4464215992433712,27,
8,323.3891634836429,286.12425321491605,337.2403631710409,1000,10542.6257806746,18169.463836740895,16249.49889172615,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2220803694494877e-11,6.000000000000001e-08,6.810142574243695e-08,0.00015712078450673292,7.03161418274375e-05,3.66760024674354e-05,0.001089838074249394,0.0011552572357744152,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.45176746781745375,27,
9,321.90879886894123,291.7874050849789,345.6630630653967,1000,10542.6257806746,18060.152637434403,16344.483286502105,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2220420176128407e-11,6.000000000000001e-08,6.883627318999343e-08,0.0001576732884409764,7.091728911265986e-05,3.680147815569142e-05,0.001104001053077545,0.0011731365031750545,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4566798710849374,27,
10,320.4130697456774,297.35151911004715,353.93066916463124,1000,10542.6257806746,17967.725373043115,16425.195863570098,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.222005682276186e-11,6.000000000000001e-08,6.956541101673174e-08,0.00015822663146440935,7.15194592290625e-05,3.69193464330457e-05,0.001117582737915745,0.0011901373106876076,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4609177826578081,27,
11,318.90007591643285,302.8075104780381,361.81556273897627,1000,10542.6257806746,17896.74308806088,16485.603844781137,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2219703619205304e-11,6.000000000000001e-08,7.028912059424851e-08,0.00015857937268922022,7.214904258696293e-05,3.7027312754446185e-05,0.0011305594356224914,0.0012057097460569741,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4641553444949708,27,
12,319.06274011449557,304.47975542087545,361.79563666239994,1000,10542.6257806746,17891.83171964517,16489.900005282387,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.221937391887964e-11,6.000000000000001e-08,7.02697715552793e-08,0.00015880616998917784,7.222512046652415e-05,3.704381873141362e-05,0.0011359808181980154,0.001206440018275965,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4648546020960995,27,
13,319.22179546978464,306.1389495237546,90.44890916559996,1000,10542.6257806746,17886.968000545767,16494.154702320266,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2219047130627117e-11,6.000000000000001e-08,7.025034171581493e-08,0.00015903257113860224,7.230094884017046e-05,3.706022246624349e-05,0.0011413517072470256,0.0012071642326834963,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.11621365052402488,27,
