Iteration No,Rb,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,Rd1,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,Rd2,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,Rbias3,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,Rbias4,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,Cload,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,len2,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,Ibias1,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,Ibias2,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,W1,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,W2,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,W3,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,Alo,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,
1,Rb,-0.0018473684621125542,0.0,-0.004304527106839945,-0.0011094892159625577,0.0,0.0018263474154761165,0.08899163923784253,-0.0017186901144730655,4.383056402629419e-05,0.0,0.0,0.0,0.0,Rd1,-0.0006104845441519426,0.0,-0.0018497463893548114,0.0034819916619105665,0.0,-3.521542221777814e-05,0.09754157984957675,-0.0006107179962593534,0.0005572163371123367,0.0,0.0,0.0,0.0,Rd2,0.0,-0.00041516554800154914,-0.0008285454549712564,4.032289972532156e-05,0.0,0.0018688438565353303,0.06885954298192667,0.0,0.0,0.0,-0.0003929044369097846,0.00030706611229520275,0.0,Rbias3,0.0,-0.004905104067129171,-0.00434466606743468,5.4405506684018376e-05,0.0,0.001987549218702053,0.10605673926177092,0.0,0.0,0.0,-0.004645326943381379,0.003723239845950998,0.0,Rbias4,-0.00034502934621778806,0.005111060480364828,-0.003064473298122675,4.2309383224357315e-05,0.0,0.0017579946379718135,0.07393648611122629,-0.00030901912310732745,-0.000298291338512363,0.0,0.004825610254967443,-0.003657981973650948,0.0,Cload,0.0,0.0,-0.0036951572567452662,5.079571510081707e-05,0.0,0.00187919358071045,0.08781992904809344,0.0,0.0,0.0,0.0,0.0,0.0,len2,0.0,0.005705125712512263,-0.0021337686833825253,-6.681555468525266e-06,0.0,0.0019074814815745963,0.07203190249599993,0.0,0.0,0.0,0.004598437113461968,-0.003824414841764721,0.0,Ibias1,0.007266732024953984,0.0,-0.002531399707042832,0.0022518449581102776,0.0,0.00028513162973130296,0.09292662882096245,0.0063456109611329985,0.009563991405962759,0.0,0.0,0.0,0.0,Ibias2,0.0,0.00827758488974824,-0.0020406112223679673,3.9876300017614785e-05,0.0,0.0016732636465645308,0.05557166185037891,0.0,0.0,0.0,0.0065249623668692195,0.010304673323644153,0.0,W1,0.00027180032609796297,0.0,-0.003477254686115899,0.0004575134977715887,0.0,0.001484757903634922,0.0901524820645283,0.0013165992419358111,0.0011606982695855368,0.0,0.0,0.0,0.0,W2,0.0,0.00040111970503127123,-0.0027250107564257653,-3.6584899336247936e-05,0.0,0.0015598080503754995,0.09433376510828739,0.0,0.0,0.0,0.002373595528327044,0.00023219661539306569,0.0,W3,0.0,0.00040259821481762473,-0.003353210379205629,4.982173576169955e-05,0.0,0.0016813531606911624,0.09532589898505504,0.0,0.0,0.0,0.00038077775675818135,-0.0002959368627556099,0.0,Alo,0.0,0.0,-0.0026144115331024867,3.821383932447471e-05,0.0,0.0013599272457897155,0.057476078287917634,0.0,0.0,0.0,0.0,0.0,0.0,
2,Rb,-0.0016700082933384876,0.0,-0.0005909707003958385,-0.0011016447996281744,0.0,-0.00010382121326083939,-0.00043264627234572965,-0.0015491174420364181,4.505314393768889e-05,0.0,0.0,0.0,0.0,Rd1,-0.0006130224104948635,0.0,0.0019488991081310363,0.0035561902282058504,0.0,-0.0019601445911271217,0.007052576755362536,-0.0006055785152378181,0.0004421882645736601,0.0,0.0,0.0,0.0,Rd2,0.0,-0.0004237069535256546,0.003024597403040688,-4.613129180080209e-06,0.0,-7.465822776809159e-06,-0.011378693630065653,0.0,0.0,0.0,-0.00039521704002444725,0.00020231314788984062,0.0,Rbias3,0.0,-0.004970009301405442,-0.0007758465284149265,4.485366386319688e-06,0.0,0.0001313385843061752,0.010596121150613253,0.0,0.0,0.0,-0.004645884698346733,0.0024457297548210397,0.0,Rbias4,0.0,0.004962835588575614,0.0007605038039527548,-4.43489093290102e-06,0.0,-0.00012640789344444843,-0.01083187984813544,0.0,0.0,0.0,0.00462837508264955,-0.002283981933538588,0.0,Cload,0.0,0.0,3.10496208310008e-07,-7.761336227323879e-09,0.0,9.064883331081352e-06,-0.0009882807220165267,0.0,0.0,0.0,0.0,0.0,0.0,len2,0.0,0.005582827535701479,0.001708178091818247,-5.204447264727724e-05,0.0,-1.2983610737177946e-06,-0.009835116882323547,0.0,0.0,0.0,0.004766784425780532,-0.005587231883730597,0.0,Ibias1,0.0074658947218538925,0.0,0.0012750176061302953,0.0023658364566047706,0.0,-0.0016386379672945117,0.0029660900921394,0.006530727952975306,0.009435296385027445,0.0,0.0,0.0,0.0,Ibias2,0.0,0.00822534860428542,0.0017599392370780803,-5.2230903094474845e-06,0.0,-0.00020610162023098304,-0.022904275112960483,0.0,0.0,0.0,0.006567773468930069,0.009780351593549754,0.0,W1,0.0002771096507872399,0.0,0.00017011618277039978,0.0003118902008312459,0.0,-0.0003771696042364687,0.00030832434331895514,0.001238130396656467,0.0017362146765621568,0.0,0.0,0.0,0.0,W2,0.0,0.0004279806547859676,0.0009777783174954725,-8.508487275655644e-05,0.0,-0.0003246969779902107,0.005926554731833061,0.0,0.0,0.0,0.002336283008752317,0.0002824168308107449,0.0,W3,0.0,0.0012190732845134343,0.0003862637372412281,-1.6756076672501669e-07,0.0,-0.00018847105134488514,0.00527536125584522,0.0,0.0,0.0,0.0011381250203237,-0.000575616849706994,0.0,Alo,0.0,0.0,0.0012994102114025929,-8.050307551039898e-06,0.0,-0.0005343012557003773,-0.0216945523077919,0.0,0.0,0.0,0.0,0.0,0.0,
3,Rb,-0.0016642271494140123,0.0,-0.0005837593513331418,-0.0010985759769131626,0.0,-0.00010930536253997044,-0.0005162655039001124,-0.001546749522889261,0.00010128799786437921,0.0,0.0,0.0,0.0,Rd1,-0.0006328941164406809,0.0,0.0018538539925651207,0.003423997767303102,0.0,-0.0018932911722313775,0.007299285735229547,-0.0006275981989658982,0.0005015191149314703,0.0,0.0,0.0,0.0,Rd2,0.0,-0.0004232468519250719,0.002865238293409663,-8.300675021261111e-06,0.0,7.778868214926379e-07,-0.01815255962135952,0.0,0.0,0.0,-0.0003963851626604012,0.00024347651730355303,0.0,Rbias3,0.0,-0.0048818335523404584,-0.0006612255910412676,3.93851994948116e-06,0.0,0.00011850059190744852,0.014808524753425518,0.0,0.0,0.0,-0.004577556786040655,0.0028884703638949304,0.0,Rbias4,0.0,0.004872616374672885,0.000638656274802936,-7.1948102901583045e-06,0.0,-0.00011130374453452693,-0.014459107436165746,0.0,0.0,0.0,0.004557208471735829,-0.002711489534090339,0.0,Cload,0.0,0.0,2.8837645146155803e-07,6.399135346013452e-08,0.0,8.775347299133233e-06,-0.0014783175093370736,0.0,0.0,0.0,0.0,0.0,0.0,len2,0.0,0.00564358868731184,0.001644853793058102,-5.604804807236959e-05,0.0,1.8408297564975014e-05,-0.01455393221484443,0.0,0.0,0.0,0.004666275436410259,-0.005198428246549691,0.0,Ibias1,0.007452852346259359,0.0,0.0011912914313205035,0.0022351627764424036,0.0,-0.0015987123783571507,0.0030415711134473174,0.006502629212471537,0.009555107847113303,0.0,0.0,0.0,0.0,Ibias2,0.0,0.008259483175008362,0.0016411609577193429,-8.934148127795697e-06,0.0,-0.00018954978941351257,-0.030384579156402476,0.0,0.0,0.0,0.006542390015326325,0.009963100008490914,0.0,W1,0.00022096286879336798,0.0,0.00022944177592459447,0.0004278073189253139,0.0,-0.0003957113641874732,0.00046577109954562014,0.001293407130646196,0.0011199089966296826,0.0,0.0,0.0,0.0,W2,0.0,0.00014271758969019082,0.0008794523429826717,-8.034781241701706e-05,0.0,-0.000297991028238704,0.0037307997732168134,0.0,0.0,0.0,0.001842743343456011,0.0012127790389223352,0.0,W3,0.0,0.00118767794170309,0.0003539835497180929,-2.539199003647238e-07,0.0,-0.00017311738344006068,0.005888052029339616,0.0,0.0,0.0,0.0011126458261944948,-0.0006767214966236163,0.0,Alo,0.0,0.0,0.0010969819804875099,-1.1825617287534825e-05,0.0,-0.0005108861278850517,-0.02881980450791376,0.0,0.0,0.0,0.0,0.0,0.0,
4,Rb,-0.0016586551192002488,0.0,-0.0005768973073349529,-0.001096457562044886,0.0,-0.00011561314080886967,-0.000609575825878796,-0.0015443639267681266,0.0001592668081922905,0.0,0.0,0.0,0.0,Rd1,-0.0006528497749664132,0.0,0.0017698542489547164,0.003295779735542108,0.0,-0.0018331397838746827,0.007926670933727873,-0.0006503948751993324,0.000565699574414754,0.0,0.0,0.0,0.0,Rd2,0.0,-0.00042318570192311086,0.002666419160904048,-1.071240076503554e-05,0.0,4.379464154784365e-06,-0.009847373813637634,0.0,0.0,0.0,-0.00039739930427260716,0.00028604905181354,0.0,Rbias3,0.0,-0.0048065017108046395,-0.0005180929981922195,7.139503557292996e-06,0.0,0.00010770644872634317,0.006982651139817543,0.0,0.0,0.0,-0.0045235031027409354,0.0033368996151062454,0.0,Rbias4,0.0,0.004795330884939803,0.000491542217139701,-8.242137871291342e-06,0.0,-0.0001019718265558128,-0.0032575338153850485,0.0,0.0,0.0,0.004500407752392296,-0.0031434856654814626,0.0,Cload,0.0,0.0,-1.1324393087948137e-07,6.350394275317598e-08,0.0,8.4689301931095e-06,-0.0024124634119482864,0.0,0.0,0.0,0.0,0.0,0.0,len2,0.0,0.005683774230355543,0.0015976719634528433,-5.762006743613435e-05,0.0,3.392179432100004e-05,-0.017491554958257195,0.0,0.0,0.0,0.004552969584219882,-0.004824151090905488,0.0,Ibias1,0.007439162118989704,0.0,0.001115991632775811,0.0021063228904144022,0.0,-0.0015613725856662933,0.0030551196359048433,0.006474408905072005,0.009683018730986113,0.0,0.0,0.0,0.0,Ibias2,0.0,0.008287592186515137,0.0014917409395990094,-9.305758900675764e-06,0.0,-0.00017825252173305238,-0.025668975334091206,0.0,0.0,0.0,0.006512092406885789,0.010149651498601761,0.0,W1,0.00022158507532661563,0.0,0.00022091287689110078,0.00041517184938702977,0.0,-0.0003968053082590485,0.0006198120466220162,0.0013023444791840824,0.0011265606635176085,0.0,0.0,0.0,0.0,W2,0.0,0.0001307131701861418,0.0008465443501181964,-8.287277912348508e-05,0.0,-0.00029447996598292554,0.005061353046736885,0.0,0.0,0.0,0.0018842620318811401,0.0011513219843456027,0.0,W3,0.0,0.0011608954359922257,0.0003197112146346306,8.209155519608756e-07,0.0,-0.00016238756196930006,0.008661667110958055,0.0,0.0,0.0,0.0010910562061187097,-0.0007777276711228762,0.0,Alo,0.0,0.0,0.0008315672302974616,-1.5990837321891623e-05,0.0,-0.0004946211202517233,-0.004343922554512558,0.0,0.0,0.0,0.0,0.0,0.0,
5,Rb,-0.0016531889609909753,0.0,-0.0005723897177524359,-0.0010962034851190754,0.0,-0.00012081047505234913,-0.0005986132344082381,-0.001542572168507412,0.0002201028891774972,0.0,0.0,0.0,0.0,Rd1,-0.000673013723570347,0.0,0.0016878129233605951,0.003172762252829884,0.0,-0.0017728220716875206,0.00848289667469038,-0.0006734957354680416,0.0006365137605946859,0.0,0.0,0.0,0.0,Rd2,0.0,-0.0004228959648973142,0.0024235689733409036,-1.4866742300243411e-05,0.0,5.379779414503202e-06,0.024435831348186682,0.0,0.0,0.0,-0.00039899213493592916,0.0003322082479812629,0.0,Rbias3,0.0,-0.004740804211652376,-0.00034655075027722847,9.30626017793299e-06,0.0,0.0001000867488228377,-0.025141372546621896,0.0,0.0,0.0,-0.004480267847870856,0.0038214076818094216,0.0,Rbias4,0.0,0.004727469015174483,0.00031789895714269865,-1.024493695178733e-05,0.0,-9.663078067786097e-05,0.028226828733509998,0.0,0.0,0.0,0.004455282039029348,-0.0036087133766993865,0.0,Cload,0.0,0.0,-4.273992372640103e-09,5.497793606275086e-08,0.0,8.121162769190976e-06,-0.0025404163356132397,0.0,0.0,0.0,0.0,0.0,0.0,len2,0.0,0.005708173411462366,0.001561189945551807,-5.955175179149037e-05,0.0,4.820041424257994e-05,-0.006634595211583712,0.0,0.0,0.0,0.004431077036714265,-0.00440429136081321,0.0,Ibias1,0.007424982273480659,0.0,0.0010427499227411163,0.001982704696158989,0.0,-0.0015222046254117804,0.0028383861913273893,0.006444409651727777,0.00982134783870858,0.0,0.0,0.0,0.0,Ibias2,0.0,0.008312367047027158,0.0013127528422199435,-1.3038843392168642e-05,0.0,-0.00017140592551112937,0.003228276068425273,0.0,0.0,0.0,0.006479913361707826,0.010353148508734446,0.0,W1,0.00022227324093175753,0.0,0.00021398334086462787,0.0004034970214597271,0.0,-0.00039771884668962854,0.0005550026738461396,0.0013115713446044206,0.0011334307338189398,0.0,0.0,0.0,0.0,W2,0.0,0.00011987490450789963,0.0008114241257485223,-8.46100352437297e-05,0.0,-0.00029371618779910143,0.009056080784977116,0.0,0.0,0.0,0.001925468893839145,0.00108524737107308,0.0,W3,0.0,0.0011373220230059783,0.0002781701155696906,1.2528412149446047e-06,0.0,-0.00015271866410483952,0.012933519654868369,0.0,0.0,0.0,0.0010736089736532355,-0.000886226271291594,0.0,Alo,0.0,0.0,0.0005058070186231555,-2.0193433565655862e-05,0.0,-0.00048284327394071543,0.056551872713861,0.0,0.0,0.0,0.0,0.0,0.0,
6,Rb,-0.0016475408460163235,0.0,-0.0005726571399025372,-0.001099966430092887,0.0,-0.00012531615408336756,-8.469495043556255e-05,-0.0015402763442953625,0.0002819047232315947,0.0,0.0,0.0,0.0,Rd1,-0.0006929501917172595,0.0,0.001611693450520658,0.003050266543659604,0.0,-0.001715568379334027,0.004007760706097619,-0.0006968885705695531,0.0007125708031824793,0.0,0.0,0.0,0.0,Rd2,0.0,-0.0004220804687027157,0.0021789961792210355,-1.9875194292551857e-05,0.0,5.633732636965827e-06,0.016511376226139803,0.0,0.0,0.0,-0.0004005687769683869,0.00038335696780241276,0.0,Rbias3,0.0,-0.004687248803015898,-0.00017644560797974411,1.2894637673647019e-05,0.0,9.55564653811822e-05,-0.011139522134488902,0.0,0.0,0.0,-0.004453066307945349,0.004361000355146742,0.0,Rbias4,0.0,0.004671394709628078,0.00014813560546168996,-1.3718896526101134e-05,0.0,-9.188377754480315e-05,0.010476926842765364,0.0,0.0,0.0,0.004423906128778976,-0.004125243376261602,0.0,Cload,0.0,0.0,-4.327504525698941e-09,5.463324538380136e-08,0.0,7.749958150453335e-06,-0.001697783310991627,0.0,0.0,0.0,0.0,0.0,0.0,len2,0.0,0.00571957279615591,0.001537623773702189,-6.08408199444038e-05,0.0,6.069231738471887e-05,-0.003401416190223843,0.0,0.0,0.0,0.0043018938001622336,-0.003910140320740384,0.0,Ibias1,0.0074112701604129175,0.0,0.0009751079333204509,0.0018597403249623788,0.0,-0.0014842590067607442,0.0008982407841331317,0.006414935593761891,0.009966230000675556,0.0,0.0,0.0,0.0,Ibias2,0.0,0.008333968424208821,0.0011283954023439007,-1.7892024827332367e-05,0.0,-0.00016563616702110762,0.01209922242552932,0.0,0.0,0.0,0.0064436322226119475,0.010581357567269939,0.0,W1,0.000271490929478948,0.0,0.0001330096963846354,0.000247917723654473,0.0,-0.0003680426772790523,2.7526818280208895e-05,0.0012589775271239952,0.0017820126825888968,0.0,0.0,0.0,0.0,W2,0.0,0.0003672864968182816,0.0008803584118760419,-9.465537684993903e-05,0.0,-0.00029973261320390625,0.0027210110291338917,0.0,0.0,0.0,0.002462500393278751,0.00020704298786711694,0.0,W3,0.0,0.001117435441853611,0.00023874702586472097,-4.5836943727050216e-07,0.0,-0.00014405292153712914,0.004300723763768639,0.0,0.0,0.0,0.0010589749276174966,-0.0010065009483173435,0.0,Alo,0.0,0.0,0.00018414345616128282,-2.746923730579966e-05,0.0,-0.0004712988390356328,0.019004506572739235,0.0,0.0,0.0,0.0,0.0,0.0,
7,Rb,-0.0017145545746708223,0.0,-0.0005911740590335909,-0.0011036864617524874,0.0,-0.00012280109046269684,-0.0005089327036558644,-0.0016020430213935929,0.0002560253816535761,0.0,0.0,0.0,0.0,Rd1,-0.0007007743406938579,0.0,0.0016534361253089306,0.003003812027434511,0.0,-0.0017417203184068887,0.005569561568058346,-0.0007068579356920908,0.0007503126946497299,0.0,0.0,0.0,0.0,Rd2,0.0,-0.0003717735263625778,0.003034405234437655,-7.447659454065141e-06,0.0,-1.2326743086308687e-05,-0.012997673262511895,0.0,0.0,0.0,-0.00036614844241093986,0.0005757055288884756,0.0,Rbias3,0.0,-0.004976249850685839,-0.000742840601574937,4.247089510365011e-06,0.0,0.00011382941737745838,0.009316110992839537,0.0,0.0,0.0,-0.004917081958926596,0.007894166889125009,0.0,Rbias4,0.0,0.004946755719280811,0.0007307713868249034,-5.093829099644594e-06,0.0,-0.00011059554434387046,-0.009646727119876054,0.0,0.0,0.0,0.004867668120459637,-0.007454454792257512,0.0,Cload,0.0,0.0,1.3850779585760467e-07,0.0,0.0,7.995162440198388e-06,-0.0012949224786068,0.0,0.0,0.0,0.0,0.0,0.0,len2,0.0,0.005709473957419331,0.0013323614873178916,-6.115833979121177e-05,0.0,4.081552425438357e-05,-0.016829926094454665,0.0,0.0,0.0,0.003966068084168832,0.001253657971481699,0.0,Ibias1,0.0073127746277823116,0.0,0.0009705745930595404,0.0018001264352147958,0.0,-0.0014593942384858796,0.001946550580188357,0.00631678545245965,0.009961434004727487,0.0,0.0,0.0,0.0,Ibias2,0.0,0.00834639677570156,0.0018181518522518503,-7.940419774923248e-06,0.0,-0.0002206085844235067,-0.02547238208773162,0.0,0.0,0.0,0.006360614092502732,0.01190597313374192,0.0,W1,0.00025319584998055795,0.0,0.0002577015143189772,0.00047823681560904313,0.0,-0.00036955102458758097,0.0005128513117869562,0.001351613352748308,0.001177021664072245,0.0,0.0,0.0,0.0,W2,0.0,0.00036970893716430894,0.000971849518714688,-9.01938296908096e-05,0.0,-0.00030800025276967076,0.004485317051982061,0.0,0.0,0.0,0.0024974239998963757,-2.417661013699495e-05,0.0,W3,0.0,0.0011661979557617912,0.0003533272148783877,1.9237772102495976e-06,0.0,-0.00015447465838968965,0.00535274621556221,0.0,0.0,0.0,0.0011494792915514268,-0.0017920912264088465,0.0,Alo,0.0,0.0,0.001206076031967394,-9.432363849195915e-06,0.0,-0.0004781425998412295,-0.01982365835118726,0.0,0.0,0.0,0.0,0.0,0.0,
8,Rb,-0.0016827352743381306,0.0,-0.0005876343763436691,-0.0011104738861060135,0.0,-0.00012831771924722593,-0.000598128471768895,-0.0015767516012865673,0.0003474477982490998,0.0,0.0,0.0,0.0,Rd1,-0.0007218776323599924,0.0,0.0015699569134558435,0.002885714177117295,0.0,-0.0016785475256540863,0.0056168879691020305,-0.0007315446457542223,0.0008378281699574768,0.0,0.0,0.0,0.0,Rd2,0.0,-0.0003769820831507445,0.0029003436442820176,-8.576896690886857e-06,0.0,-3.2705182192503003e-06,-0.024763185281286095,0.0,0.0,0.0,-0.00037367403115900897,0.0006269583102626671,0.0,Rbias3,0.0,-0.004911973103247761,-0.0006559774736715747,4.665853930191998e-06,0.0,9.895702130679053e-05,0.016474246782392083,0.0,0.0,0.0,-0.004875179414994329,0.008357782880050972,0.0,Rbias4,0.0,0.004880510040667904,0.0006377946929876681,-5.724207321616984e-06,0.0,-9.512641222559671e-05,-0.01671555545771073,0.0,0.0,0.0,0.004822928385213652,-0.00789528899139965,0.0,Cload,0.0,0.0,-2.1778210055068934e-07,6.202463507615991e-08,0.0,7.886923393786537e-06,-0.001972353656572964,0.0,0.0,0.0,0.0,0.0,0.0,len2,0.0,0.0056788672952671196,0.0012761077431830891,-6.202065925687907e-05,0.0,5.15626392577648e-05,-0.024069138101849834,0.0,0.0,0.0,0.0038222419966859786,0.0013994427147992448,0.0,Ibias1,0.0073343162456042535,0.0,0.0008921708292247334,0.001675334450726097,0.0,-0.0014210306560649125,0.0018383478568248118,0.006317020705567559,0.010158476490822764,0.0,0.0,0.0,0.0,Ibias2,0.0,0.00835854329180926,0.0017102380805554666,-9.949410420800385e-06,0.0,-0.00020219744935706834,-0.03705372529914079,0.0,0.0,0.0,0.006316832827580289,0.012110561954993397,0.0,W1,0.00024194257172122178,0.0,0.00024817329415938513,0.0004680214999825291,0.0,-0.00036895794680510377,0.0006733445725260908,0.0013499276967509346,0.0011731114938695994,0.0,0.0,0.0,0.0,W2,0.0,8.13154950698561e-05,0.0008648973449811489,-8.945106007531528e-05,0.0,-0.00029536578101825367,0.004074506491161476,0.0,0.0,0.0,0.0020338317501007487,0.0004933932648329507,0.0,W3,0.0,0.0011460312794562063,0.00033382284530162904,2.6635770578074823e-06,0.0,-0.00014646873666922754,0.005678720727090217,0.0,0.0,0.0,0.0011344806920569647,-0.001889845717421363,0.0,Alo,0.0,0.0,0.0010652511412310968,-9.652051328766893e-06,0.0,-0.00045576098725498684,-0.03404293471248842,0.0,0.0,0.0,0.0,0.0,0.0,
9,Rb,-0.001659971968397924,0.0,-0.0005854730592795896,-0.0011175567899793148,0.0,-0.00013032577591504774,-0.0007640089484607282,-0.001560896318132592,0.00043424110938123636,0.0,0.0,0.0,0.0,Rd1,-0.0007428766061402481,0.0,0.0014897681395107602,0.002766724700711854,0.0,-0.0016173265089158783,0.005867865406916645,-0.0007580928648855748,0.0009328696936017965,0.0,0.0,0.0,0.0,Rd2,0.0,-0.00038279374371995545,0.0027320036655095036,-1.1109077860883902e-05,0.0,6.6294486321152115e-06,-0.028385055179518868,0.0,0.0,0.0,-0.00038071105349173263,0.000678515642323159,0.0,Rbias3,0.0,-0.004858676195473353,-0.000546022727822428,5.508410693024822e-06,0.0,8.943464559992089e-05,0.018144990479196373,0.0,0.0,0.0,-0.004844567540156754,0.00881823960422379,0.0,Rbias4,0.0,0.004825164215711758,0.0005274920742304511,-7.348995547901886e-06,0.0,-8.482688290062113e-05,-0.01539031328337626,0.0,0.0,0.0,0.0047895156362915275,-0.008332881646570759,0.0,Cload,0.0,0.0,-1.0315974787893896e-07,6.184867040210271e-08,0.0,7.754208592431304e-06,-0.003653870933855585,0.0,0.0,0.0,0.0,0.0,0.0,len2,0.0,0.005644174566286195,0.0012336791237222554,-6.569377661257858e-05,0.0,5.9006056945375306e-05,-0.02838022792927605,0.0,0.0,0.0,0.0036838252854170307,0.001553145464489909,0.0,Ibias1,0.007342635440401469,0.0,0.0008181460806925729,0.0015501317636532751,0.0,-0.0013804004041111848,0.0011374523655722376,0.006303696174661469,0.010355153075606374,0.0,0.0,0.0,0.0,Ibias2,0.0,0.008365936236377469,0.0015746951593948743,-1.2755417432963472e-05,0.0,-0.00018597429180875125,-0.03834804759982579,0.0,0.0,0.0,0.006271264767091693,0.012315280645304377,0.0,W1,0.00023588045069804944,0.0,0.0002442691528419108,0.0004606129533559452,0.0,-0.00036813981400625,0.000994939942384601,0.0013507565528336739,0.0011731996868972324,0.0,0.0,0.0,0.0,W2,0.0,7.922288102625745e-05,0.000844683778397857,-9.104824846789543e-05,0.0,-0.000292778308298093,0.0019643979144126984,0.0,0.0,0.0,0.0020818924208260686,0.00043411204131203605,0.0,W3,0.0,0.0011290312177411432,0.00030780212981216637,1.6831942454184354e-06,0.0,-0.0001359094218284286,0.00669173452256635,0.0,0.0,0.0,0.001122748687283533,-0.0019872575058021585,0.0,Alo,0.0,0.0,0.0008742446309983387,-1.638166485356814e-05,0.0,-0.0004352259698583297,-0.02984874976192887,0.0,0.0,0.0,0.0,0.0,0.0,
10,Rb,-0.0016422225910428694,0.0,-0.0005862865707480503,-0.0011250480078936731,0.0,-0.00013494104342505323,-0.0007701958802609456,-0.0015497118265743986,0.0005162594035597117,0.0,0.0,0.0,0.0,Rd1,-0.0007628764518672509,0.0,0.0014134298669207712,0.0026559313628408037,0.0,-0.0015587879644128023,0.0072762530862578246,-0.0007834845982903884,0.001033625868027918,0.0,0.0,0.0,0.0,Rd2,0.0,-0.00038843215318788525,0.002506929711868269,-1.4724252458058534e-05,0.0,1.2418907793924603e-05,0.02519956028295578,0.0,0.0,0.0,-0.0003879902561192862,0.0007353839995052667,0.0,Rbias3,0.0,-0.004814885959583051,-0.0004097118087448613,8.995367728910794e-06,0.0,8.172381416924121e-05,-0.02076331314630074,0.0,0.0,0.0,-0.004825533714831838,0.009325253524851394,0.0,Rbias4,0.0,0.004779237403342756,0.00038127789975082036,-1.063052227111712e-05,0.0,-7.642723484234664e-05,0.03004956805803468,0.0,0.0,0.0,0.00476771555901781,-0.00881291977155369,0.0,Cload,0.0,0.0,-1.0283479690036809e-07,5.291909239632903e-08,0.0,7.5713165616254975e-06,-0.005328140560846056,0.0,0.0,0.0,0.0,0.0,0.0,len2,0.0,0.005604090150811139,0.0011960615281145434,-6.777835999976456e-05,0.0,6.696026233821122e-05,-0.011742209190011961,0.0,0.0,0.0,0.0035444051044301737,0.0017717397286093365,0.0,Ibias1,0.007343413784769923,0.0,0.0007464819391859555,0.0014267239757129856,0.0,-0.001342880434295031,0.0006312245730461082,0.006284641088614592,0.010552873597999612,0.0,0.0,0.0,0.0,Ibias2,0.0,0.008370555224892284,0.0013973120428415402,-1.3916401148381162e-05,0.0,-0.00017357568039270396,0.0070584453088302305,0.0,0.0,0.0,0.006223059402068971,0.012540975742555248,0.0,W1,0.00027467434590139355,0.0,0.00010456278771288153,0.00020432740182032663,0.0,-0.0003511962549315971,0.0007578176198656489,0.0012834552607613164,0.0018270195189598942,0.0,0.0,0.0,0.0,W2,0.0,0.00034181481041208126,0.0008629872554516069,-0.00010221932946694088,0.0,-0.0003024816322639889,0.00843130421149948,0.0,0.0,0.0,0.002588123237877525,-0.0001217523177987845,0.0,W3,0.0,0.0011149771513320522,0.00027498190464496255,2.9343706308374875e-06,0.0,-0.00012868556582955944,0.012884555870166221,0.0,0.0,0.0,0.0011145210298326264,-0.002094626875411807,0.0,Alo,0.0,0.0,0.0006138760888574948,-2.1184818966695203e-05,0.0,-0.0004213784831428223,0.06300073749212404,0.0,0.0,0.0,0.0,0.0,0.0,
