Iteration No,Rb,Rd1,Rd2,Rbias1,Rbias2,Rbias3,Rbias4,C1,C2,C3,C4,Cload,len1,len2,W1,W2,W3,Ibias1,Ibias2,frf,frf_fund2,flo,f_lower,f_upper,Alo,Temp,
1,347.8414942282388,262.66316936568734,316.2359152430557,1000,10542.6257806746,18743.726203734077,17020.54851017209,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2613216088544419e-11,6.000000000000001e-08,6.330262038794286e-08,0.00016014294936192615,6.943494530527241e-05,3.790656425506344e-05,0.0010339434067863594,0.0011413580817822653,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4946776648868814,27,
2,332.09703079058676,259.92154474639744,305.84581171079384,1000,10542.6257806746,17848.94241854676,16348.783837843383,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2062636101101349e-11,6.000000000000001e-08,6.08860456878447e-08,0.0001540641366004545,6.69596381177717e-05,3.640691660996685e-05,0.0010158446147241298,0.0011018942445807625,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.46064811620362645,27,
3,331.86374075045086,268.8335581828923,309.2401198270253,1000,10542.6257806746,17757.654961337405,16429.407741662595,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2061101654911667e-11,6.000000000000001e-08,6.128441473480319e-08,0.0001549636532914476,6.745659238954227e-05,3.656016487038586e-05,0.0010434204021686278,0.0011122191004239925,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.46661681046923764,27,
4,331.6019874213836,277.57103728994696,312.61471224990294,1000,10542.6257806746,17675.480120549008,16504.420583733365,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2059642464305488e-11,6.000000000000001e-08,6.167578462319221e-08,0.00015594646098156375,6.799178829839674e-05,3.670713163741103e-05,0.0010701932337894506,0.001122265714286402,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4723621664903923,27,
5,328.3166107536314,281.1852124684693,315.9466038883588,1000,10542.6257806746,17600.69661043478,16572.20339943729,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2058240813278195e-11,6.000000000000001e-08,6.19921683048988e-08,0.0001565198484473348,6.843092581452115e-05,3.684862861501017e-05,0.0010987097888898356,0.0011318834377862933,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4778696458228396,27,
6,325.11446069363404,284.4558110028314,319.191780280169,1000,10542.6257806746,17532.991106603302,16633.850093785753,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2056884579321132e-11,6.000000000000001e-08,6.229506765816666e-08,0.00015709618744564604,6.882988624659735e-05,3.6984602111804755e-05,0.0011257986772533165,0.0011410869252388026,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4830913533842355,27,
7,321.97897356958566,287.38388710056864,322.34005552997564,1000,10542.6257806746,17472.397989623212,16688.6100268955,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2055587826835121e-11,6.000000000000001e-08,6.258848372527585e-08,0.00015764942822606487,6.922003047475914e-05,3.711567768459308e-05,0.0011513776307279214,0.0011498888557321448,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4880088251908112,27,
8,318.8962569977308,289.9963623654634,325.3665308791929,1000,10542.6257806746,17419.14063918268,16736.360892788518,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.2054322193404928e-11,6.000000000000001e-08,6.287645231152694e-08,0.00015818359228635272,6.960221406818585e-05,3.723998732378688e-05,0.001175457514528932,0.0011582136771360121,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.49257711922717295,27,
9,314.38628201812867,290.9645433419587,326.7814663779864,1000,10542.6257806746,17292.397015471626,16700.245438942475,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.1997062007461238e-11,6.000000000000001e-08,6.287181484946673e-08,0.00015767266603484414,6.968013918379433e-05,3.7186615243466964e-05,0.0011926162402091018,0.0011608053750876374,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.49195697515498665,27,
10,311.11597380338407,292.7841873669567,329.2568047277878,1000,10542.6257806746,17230.101393739977,16719.053236891486,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.1981703726602847e-11,6.000000000000001e-08,6.308645390999927e-08,0.00015799477168195307,6.999363955250168e-05,3.726156717622556e-05,0.0012129188165124246,0.0011671766851928515,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.49477830014135415,27,
11,307.1326803252291,293.6420929686294,330.8105025472988,1000,10542.6257806746,17130.87607008624,16691.006242327887,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.1936464436103053e-11,6.000000000000001e-08,6.314181405682445e-08,0.0001579035470405876,7.012862718428479e-05,3.72382555762586e-05,0.0012288690919734354,0.0011703186685467829,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.49443262296252793,27,
12,303.95597007672006,294.9975585168808,333.01509517129637,1000,10542.6257806746,17072.390483943345,16696.114340987726,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.1918190884936788e-11,6.000000000000001e-08,6.333500076660675e-08,0.0001581506675633159,7.038404967967865e-05,3.729513712722102e-05,0.001246551621220459,0.0011758225084146417,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.49636358668135566,27,
13,300.45681985892423,295.77870962606767,334.7090265116268,1000,10542.6257806746,16996.739257368317,16674.905448402213,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.1884149389879482e-11,6.000000000000001e-08,6.34436382529186e-08,0.00015785709561508333,7.054149484722674e-05,3.730039153538609e-05,0.001261535689984855,0.0011795054462269848,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.4963816923349998,27,
14,297.41103993094134,296.7605506159532,336.7171396067384,1000,10542.6257806746,16945.170033035305,16670.486515106186,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.1864521875753626e-11,6.000000000000001e-08,6.362818233008013e-08,0.00015807015623483446,7.077657555629643e-05,3.734640110050292e-05,0.0012769750488530376,0.0011842956387697614,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.49757496628519976,27,
15,294.29760156878905,297.43955051237873,338.4706830326815,1000,10542.6257806746,16889.718368972422,16653.810927661198,3.92222900057188e-11,1.09379321898551e-11,2.989372e-12,2.993296e-12,1.1838846430399047e-11,6.000000000000001e-08,6.377994917022558e-08,0.00015785415539790594,7.097130831599816e-05,3.737183449331659e-05,0.001290737294490693,0.0011882335791042252,1010000000.0,1011000000.0,1000000000.0,50000000.0,2000000000.0,0.49779721626561796,27,
