Iteration No,Rb,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,Rd1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,Rd2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,Rbias4,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,Cload,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,len2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,Ibias1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,Ibias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,W3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_s11,loss_region,
1,Rb,1.358826665031904e-05,0.0001588490022975887,0.0,0.0,-4.0546812306127e-05,-0.0001047139233410909,0.0,0.0,0.0,Rd1,-0.003463924473807151,-0.0006834469249516912,0.0,0.0,-0.0027361913466726817,-4.4286202182761536e-05,0.0,0.0,0.0,Rd2,-0.0008677220755632792,-0.0008418126847978325,0.0,0.0,-8.453665224244323e-06,-1.745572554120233e-05,0.0,0.0,0.0,Rbias3,2.0350981562094622e-06,3.2302923272052636e-06,0.0,0.0,2.294336716616907e-06,-3.4895308876117498e-06,0.0,0.0,0.0,Rbias4,-2.0669778732171157e-06,-3.484577596823473e-06,0.0,0.0,-2.4481770442307215e-06,3.865776767837078e-06,0.0,0.0,0.0,Cload,240642697.7847638,901926.0703660899,0.0,0.0,239740771.71439773,0.0,0.0,0.0,0.0,len2,-828265.3632555415,-2249511.1689887573,0.0,0.0,234224.21462742027,1187021.5911059938,0.0,0.0,0.0,Ibias1,-549.0001642049583,-111.05074690043918,0.0,0.0,-573.7221091859789,135.77269188146664,0.0,0.0,0.0,Ibias2,-101.42274217494973,-134.36141664013277,0.0,0.0,-63.36831246134107,96.30698692653515,0.0,0.0,0.0,W1,-952.2298571368285,-127.9833356350609,0.0,0.0,-860.1264391486142,35.87991764690757,0.0,0.0,0.0,W2,-2708.161701217235,-1175.4656693810382,0.0,0.0,-1560.4983210607472,27.80228922471125,0.0,0.0,0.0,W3,-2582.817269386982,-841.5937925098062,0.0,0.0,-1870.1703874560021,128.9469105790836,0.0,0.0,0.0,Alo,-0.5978237618988965,-0.21071198909356745,0.0,0.0,-0.38711177280532055,0.0,0.0,0.0,0.0,
2,Rb,0.0031527842516656398,0.0012757776948365044,0.0,0.0,0.001977379860702655,-0.00010037330387353936,0.0,0.0,0.0,Rd1,0.0009479018488911734,0.0008395674082200427,0.0,0.0,0.00015389088480028228,-4.555644412914102e-05,0.0,0.0,0.0,Rd2,0.0025797722540943386,0.0003838020934079001,0.0,0.0,0.0022135899177456986,-1.7619757059268717e-05,0.0,0.0,0.0,Rbias3,6.0144944718889935e-05,2.402380374607462e-05,0.0,0.0,3.964786769094413e-05,-3.526726718128519e-06,0.0,0.0,0.0,Rbias4,6.183223577234156e-05,1.9142648527713442e-05,0.0,0.0,3.8828254576016316e-05,3.861332668611068e-06,0.0,0.0,0.0,Cload,86518455517.73763,30697017519.5569,0.0,0.0,55821437998.180725,0.0,0.0,0.0,0.0,len2,16276954.646899035,3833509.3923538043,0.0,0.0,11242863.042715076,1200582.2118301983,0.0,0.0,0.0,Ibias1,560.3842842884177,274.68505956375753,0.0,0.0,148.56405942512583,137.13516529953165,0.0,0.0,0.0,Ibias2,854.300921060984,204.03633351728564,0.0,0.0,553.3116664873942,96.95292105630172,0.0,0.0,0.0,W1,5962.814218003073,2336.163900644719,0.0,0.0,3589.583434153938,37.06688320439825,0.0,0.0,0.0,W2,12914.426491096063,4296.38173879226,0.0,0.0,8539.121956643607,78.92279566023633,0.0,0.0,0.0,W3,26227.49395239702,9375.978812333922,0.0,0.0,16715.60200466669,135.9131353963337,0.0,0.0,0.0,Alo,1.6853193228991499,0.5915566950682334,0.0,0.0,1.0937626278309107,0.0,0.0,0.0,0.0,
3,Rb,-4.4065770576139124e-05,0.00016080294012748707,0.0,0.0,-0.0001079211411232631,-9.69475695803589e-05,0.0,0.0,0.0,Rd1,-0.003344220755365395,-0.000656129454227798,0.0,0.0,-0.002641723463443489,-4.636783769410222e-05,0.0,0.0,0.0,Rd2,-0.0009250365624484632,-0.0008932528513234575,0.0,0.0,-1.3911960750428149e-05,-1.7871750374573016e-05,0.0,0.0,0.0,Rbias3,4.644597709651042e-06,4.266375993139843e-06,0.0,0.0,2.8971384649502045e-06,-2.518916748438927e-06,0.0,0.0,0.0,Rbias4,-3.5986353150629287e-06,-4.563294677789761e-06,0.0,0.0,-2.9777745601439754e-06,3.942433922871232e-06,0.0,0.0,0.0,Cload,263637520.72412178,-1404609.5891785647,0.0,0.0,265042130.3138756,0.0,0.0,0.0,0.0,len2,-1236959.4809872275,-2568952.9518677355,0.0,0.0,-117566.91693788866,1449560.3878184194,0.0,0.0,0.0,Ibias1,-526.8461922559709,-107.43457912974839,0.0,0.0,-560.6221860040021,141.21057287777953,0.0,0.0,0.0,Ibias2,-118.17143350555003,-145.1372594119016,0.0,0.0,-67.45339854433557,94.4192244506947,0.0,0.0,0.0,W1,-912.9486579274989,-94.26476497554359,0.0,0.0,-853.1630398657823,34.47914691384503,0.0,0.0,0.0,W2,-2444.9724760483964,-1203.5630447110925,0.0,0.0,-1567.396856203646,325.98742486644596,0.0,0.0,0.0,W3,-2449.6150291232984,-984.7709544371172,0.0,0.0,-1905.6943716764804,440.85029699018503,0.0,0.0,0.0,Alo,-0.7032030460826013,-0.27606745635944047,0.0,0.0,-0.42713558972316984,0.0,0.0,0.0,0.0,
4,Rb,-3.9478751423199803e-05,0.00016460455897807647,0.0,0.0,-0.0001051872998706185,-9.889601053065778e-05,0.0,0.0,0.0,Rd1,-0.0030701603279344133,-0.000610319681298679,0.0,0.0,-0.002412130829131246,-4.770981750452954e-05,0.0,0.0,0.0,Rd2,-0.0009001978057883738,-0.0008723386596714998,0.0,0.0,-9.866655352426752e-06,-1.7992490764487608e-05,0.0,0.0,0.0,Rbias3,2.8603618937719857e-06,3.999655372777958e-06,0.0,0.0,2.5152431217602325e-06,-3.6545366007672205e-06,0.0,0.0,0.0,Rbias4,-3.000848674211385e-06,-4.262008520968662e-06,0.0,0.0,-2.6855435901284253e-06,3.946703436884942e-06,0.0,0.0,0.0,Cload,250771442.48555133,-1324363.329284929,0.0,0.0,252095805.81483623,0.0,0.0,0.0,0.0,len2,-1455755.2220743357,-2537470.909652926,0.0,0.0,-67646.67975118104,1149362.367329568,0.0,0.0,0.0,Ibias1,-475.3060140334079,-96.68316393030433,0.0,0.0,-518.0910833267938,139.46823322368218,0.0,0.0,0.0,Ibias2,-107.75181141375593,-140.95637358707054,0.0,0.0,-62.08241856601227,95.28698073931565,0.0,0.0,0.0,W1,-995.0110644066046,-134.53903167967707,0.0,0.0,-888.6334751511549,28.161442424137743,0.0,0.0,0.0,W2,-2854.9953845752107,-1289.42302508371,0.0,0.0,-1650.9606039307805,85.38824443927983,0.0,0.0,0.0,W3,-2309.248762982312,-959.3862092300864,0.0,0.0,-1789.4119938867536,439.5494401343001,0.0,0.0,0.0,Alo,-0.6596843676410075,-0.25789128861405425,0.0,0.0,-0.4017930790269592,0.0,0.0,0.0,0.0,
5,Rb,0.000646068986823094,0.0001697085193085066,0.0,0.0,-0.00010027861765375589,-0.00010087997439379431,0.0,0.000677519059562115,0.0,Rd1,-0.0012218062853634583,-0.0005641205086024773,0.0,0.0,-0.0021961988393489375,-4.90685200191683e-05,0.0,0.0015875815826071056,0.0,Rd2,-0.0008704373494537033,-0.0008470563352277204,0.0,0.0,-5.282057976362486e-06,-1.809895624963372e-05,0.0,0.0,0.0,Rbias3,2.2906848429367988e-06,3.720902336261335e-06,0.0,0.0,2.3009777113809783e-06,-3.693478171724853e-06,0.0,-3.771703298118996e-08,0.0,Rbias4,-2.2695572970152972e-06,-3.889618708644329e-06,0.0,0.0,-2.371758012290117e-06,3.951426205429936e-06,0.0,4.039321848851671e-08,0.0,Cload,240941185.93540013,956013.5295016418,0.0,0.0,239985172.40566832,0.0,0.0,0.0,0.0,len2,-912784.377034536,-2507586.3343003257,0.0,0.0,-4118.3851206815125,1166551.8394223158,0.0,432368.50296406524,0.0,Ibias1,-484.72026652372597,-85.67053587714842,0.0,0.0,-477.611866915166,137.7414800858283,0.0,-59.17934381725684,0.0,Ibias2,-94.80634753796036,-135.81740620272095,0.0,0.0,-56.87128648899828,96.10023600210862,0.0,1.7821091516449759,0.0,W1,-560.7729949793502,-129.5607890613269,0.0,0.0,-870.2731475325096,28.663683496666927,0.0,410.39725811777794,0.0,W2,-2290.44005077295,-1276.4160350852312,0.0,0.0,-1598.4475320335891,84.36312889464527,0.0,500.06038745130894,0.0,W3,-2186.9009289837895,-926.2882861901948,0.0,0.0,-1680.8942786820521,438.4434109146576,0.0,-18.161775026454634,0.0,Alo,-0.6170817082424906,-0.23604321697744152,0.0,0.0,-0.38103849126506095,0.0,0.0,0.0,0.0,
6,Rb,0.0006386242558190764,0.0001749485670025846,0.0,0.0,-0.00010642441334918731,-0.0001040459083735894,0.0,0.000674146010539281,0.0,Rd1,-0.0010850743232282169,-0.0005374214791648032,0.0,0.0,-0.002082868711961904,-5.0927286944745616e-05,0.0,0.0015861431548432332,0.0,Rd2,-0.0008309696167459076,-0.0008155281099960869,0.0,0.0,2.789421923312877e-06,-1.823092867312469e-05,0.0,0.0,0.0,Rbias3,1.736794001539838e-06,3.3628745845587996e-06,0.0,0.0,2.1389219128127157e-06,-3.7271252071416768e-06,0.0,-3.7877288690369685e-08,0.0,Rbias4,-1.6580251657925494e-06,-3.4642017937224165e-06,0.0,0.0,-2.1876596213225406e-06,3.953608245130604e-06,0.0,4.022800412211769e-08,0.0,Cload,233188278.8440357,935216.1490210528,0.0,0.0,232253062.6947845,0.0,0.0,0.0,0.0,len2,-787555.3851211718,-2491065.893077688,0.0,0.0,68949.19528179201,1182891.3555553835,0.0,451669.9571192956,0.0,Ibias1,-424.4792590327986,-77.05567310381839,0.0,0.0,-445.1139263798295,136.52376771081506,0.0,-38.833427259962285,0.0,Ibias2,-82.76485032055331,-129.37803934822216,0.0,0.0,-51.98176896399922,96.82799159456597,0.0,1.7669663971042369,0.0,W1,-558.7486724536006,-155.79299631668707,0.0,0.0,-819.9421945504356,29.389243892264815,0.0,387.59727452125827,0.0,W2,-2096.1132720816563,-1166.8664113518728,0.0,0.0,-1450.1711783395751,33.8151204657043,0.0,487.1091971440961,0.0,W3,-2066.2206050874534,-887.4626275669984,0.0,0.0,-1597.9685129982563,437.30257015401844,0.0,-18.092034675979363,0.0,Alo,-0.5716545495837037,-0.208121523301422,0.0,0.0,-0.36353302628228457,0.0,0.0,0.0,0.0,
7,Rb,0.0006345654460094759,0.00018075015721568551,0.0,0.0,-0.00011172912370138028,-0.00010703922528009196,0.0,0.0006725836377752603,0.0,Rd1,-0.0009574075982546661,-0.0005120178883890987,0.0,0.0,-0.001981656444791428,-5.2732267789210466e-05,0.0,0.0015889990027150526,0.0,Rd2,-0.0007908781109715014,-0.0007784087347243318,0.0,0.0,5.8894925020726875e-06,-1.835886874924658e-05,0.0,0.0,0.0,Rbias3,1.166527500938805e-06,2.930009430830099e-06,0.0,0.0,2.0357937476950625e-06,-3.761252121730865e-06,0.0,-3.802355585602096e-08,0.0,Rbias4,-9.885836202543297e-07,-2.96065947590713e-06,0.0,0.0,-2.0673577664189724e-06,3.9592757917546635e-06,0.0,8.015783031665006e-08,0.0,Cload,223011311.16016898,-2005576.5448680818,0.0,0.0,225016887.70538238,0.0,0.0,0.0,0.0,len2,-693097.0506463614,-2487577.307635105,0.0,0.0,126461.62823429515,1197141.327612344,0.0,470877.30114200426,0.0,Ibias1,-369.1405405952909,-68.79979706097073,0.0,0.0,-415.61298177318565,135.40609265230384,0.0,-20.133854413439646,0.0,Ibias2,-71.55013947165237,-122.05234195250348,0.0,0.0,-49.28219093233646,97.44744027869005,0.0,2.3369531344987324,0.0,W1,-530.3866852558581,-154.86448672229375,0.0,0.0,-812.961204007794,30.04528675551455,0.0,407.3937187186559,0.0,W2,-2025.4569093850182,-1143.1284564422942,0.0,0.0,-1419.314182284911,33.32854556498832,0.0,503.65718377723675,0.0,W3,-1959.0165737609152,-841.5609691934162,0.0,0.0,-1536.0442184597039,436.6141333948552,0.0,-18.02551950267602,0.0,Alo,-0.5267728202045829,-0.17445556245871102,0.0,0.0,-0.35231725774587913,0.0,0.0,0.0,0.0,
8,Rb,0.0006333860139070903,0.00018698466665104305,0.0,0.0,-0.00011651325756212008,-0.00011000718341114827,0.0,0.0006729217882292714,0.0,Rd1,-0.0008453624514638532,-0.0004879967858698801,0.0,0.0,-0.001891852066748227,-5.456116610502281e-05,0.0,0.0015890475672592588,0.0,Rd2,-0.0007466801016506907,-0.0007348687507375139,0.0,0.0,6.672234659860532e-06,-1.8483585573020085e-05,0.0,0.0,0.0,Rbias3,5.68217344250863e-07,2.412565679186473e-06,0.0,0.0,1.9868754447893816e-06,-3.793068360700398e-06,0.0,-3.8155419024971085e-08,0.0,Rbias4,-3.2094461593168386e-07,-2.3541980447312964e-06,0.0,0.0,-1.9720332043555955e-06,3.965339227973198e-06,0.0,3.99474051817815e-08,0.0,Cload,217706383.65652,36129.06625462205,0.0,0.0,217670254.58951715,0.0,0.0,0.0,0.0,len2,-627441.1408620211,-2494868.3883456057,0.0,0.0,177755.38286066832,1210350.4589200881,0.0,479321.40570272,0.0,Ibias1,-319.76423972558416,-61.005701234819846,0.0,0.0,-389.0488353749412,134.34341251029,0.0,-4.053115626119468,0.0,Ibias2,-59.38475737038004,-113.09667601987145,0.0,0.0,-46.621836296951216,98.01469023564051,0.0,2.3190647108013547,0.0,W1,-506.7419565409539,-153.75207922475045,0.0,0.0,-806.4432610110003,30.574167342253393,0.0,422.8792163525457,0.0,W2,-1961.2842127828435,-1115.2858309197877,0.0,0.0,-1398.9019234752782,32.82286910905199,0.0,520.0806725031155,0.0,W3,-1820.072389375953,-776.8428491726281,0.0,0.0,-1461.1481746186248,435.8804960394298,0.0,-17.961861624363472,0.0,Alo,-0.4795553122336555,-0.13465591062334636,0.0,0.0,-0.34489940161032334,0.0,0.0,0.0,0.0,
9,Rb,0.0009958765298700427,0.00028032502112564913,0.0,0.0,0.0001552229920383219,-0.00011282666136859862,0.0,0.0006731551780747035,0.0,Rd1,-0.00034409026174686666,-0.0003693970293447862,0.0,0.0,-0.0015092412167403018,-5.627656797787836e-05,0.0,0.0015908245523161004,0.0,Rd2,-0.00035272398936626414,-0.0006115233568551771,0.0,0.0,0.00027738148773240827,-1.8582120243471795e-05,0.0,0.0,0.0,Rbias3,6.6202351912036666e-06,3.536485190182159e-06,0.0,0.0,6.982755970384315e-06,-3.822461818249691e-06,0.0,-7.654415111287771e-08,0.0,Rbias4,7.1953270729321635e-06,-1.8322943367693657e-07,0.0,0.0,3.3667723979378106e-06,3.971950678277249e-06,0.0,3.9833430393604506e-08,0.0,Cload,9851609118.684404,2307294489.3120093,0.0,0.0,7544314629.372741,0.0,0.0,0.0,0.0,len2,1251786.2540287536,-2073546.9784253126,0.0,0.0,1604540.6407019098,1222460.8287243885,0.0,498331.7630277184,0.0,Ibias1,-177.06907323065468,-30.115938559411937,0.0,0.0,-290.5567935985836,133.3948680083379,0.0,10.208790919002208,0.0,Ibias2,50.24141515459344,-81.68450762977444,0.0,0.0,31.082124293344737,98.5414023794137,0.0,2.302396111617831,0.0,W1,546.762984089536,105.80314405826046,0.0,0.0,-193.78783016263,36.286949341798085,0.0,598.4607208520613,0.0,W2,-321.1600833086701,-827.3628284428911,0.0,0.0,-159.04429170993512,80.97443559017307,0.0,584.2726012541426,0.0,W3,1397.3640382319047,21.104011932604106,0.0,0.0,958.9308473654672,435.23108262843306,0.0,-17.901903694771995,0.0,Alo,-0.20470080907500457,-0.044841277435719466,0.0,0.0,-0.1598595316392766,0.0,0.0,0.0,0.0,
10,Rb,0.000712037871011845,0.00021685913556910213,0.0,0.0,-6.400596839195657e-05,-0.00011514497314456589,0.0,0.0006743296769792857,0.0,Rd1,-0.0005952816591170293,-0.00043241431882266683,0.0,0.0,-0.0016950356984943976,-5.794520461615646e-05,0.0,0.0015901135628161845,0.0,Rd2,-0.0005982059227908882,-0.0006557099155681372,0.0,0.0,7.620150358688938e-05,-1.869751080965729e-05,0.0,0.0,0.0,Rbias3,1.3530891726792615e-06,2.011565493457237e-06,0.0,0.0,3.2351809094158212e-06,-3.855104641673151e-06,0.0,-3.855258852018403e-08,0.0,Rbias4,2.2996684558445408e-06,-1.1898597231306975e-06,0.0,0.0,-5.359615608288736e-07,3.985570166818679e-06,0.0,3.991957298557812e-08,0.0,Cload,2667674312.5440907,524609729.37348026,0.0,0.0,2143064583.1703212,0.0,0.0,0.0,0.0,len2,-131472.0506811461,-2451710.240310626,0.0,0.0,574644.12765694,1226018.3706252403,0.0,519575.69134733855,0.0,Ibias1,-223.81805372290597,-44.44011215996663,0.0,0.0,-331.9780212846603,133.03525027646901,0.0,19.564829445259928,0.0,Ibias2,-19.520455128392058,-95.97075251530596,0.0,0.0,-24.53533653800464,98.68837830920165,0.0,2.2972556157150934,0.0,W1,-292.19960524721813,-116.01157235595633,0.0,0.0,-660.313374670291,31.71126692875541,0.0,452.41407485029134,0.0,W2,-1533.0965449328935,-1128.5213183533172,0.0,0.0,-1088.4429765321697,81.11350043506992,0.0,602.7542495175832,0.0,W3,-918.3157051712519,-545.7072764894357,0.0,0.0,-791.3971038909715,436.71627260693566,0.0,-17.927597397621653,0.0,Alo,-0.3629787277228261,-0.07048542863267264,0.0,0.0,-0.2924932990901535,0.0,0.0,0.0,0.0,
