Iteration No,Rb,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rd1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rd2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias4,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Cload,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,len2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,Rb,0.00035719117905545756,0.0004765470068927701,0.0,0.0,-1.4641904496221678e-05,-0.0001047139233410909,0.0,0.0,Rd1,-0.0030826960722340597,-0.0020503407748550793,0.0,0.0,-0.0009880690951962628,-4.4286202182761536e-05,0.0,0.0,Rd2,-0.002545946491760457,-0.0025254380543934976,0.0,0.0,-3.0527118257922808e-06,-1.745572554120233e-05,0.0,0.0,Rbias3,7.0298565637754116e-06,9.690876981615864e-06,0.0,0.0,8.285104697707065e-07,-3.4895308876117498e-06,0.0,0.0,Rbias4,-7.472019926249416e-06,-1.0453732790470418e-05,0.0,0.0,-8.840639036160759e-07,3.865776767837078e-06,0.0,0.0,Cload,89278858.1387495,2705778.2110982696,0.0,0.0,86573079.92765123,0.0,0.0,0.0,len2,-5476930.948240581,-6748533.50696625,0.0,0.0,84580.9676195871,1187021.5911059938,0.0,0.0,Ibias1,-404.6722237593888,-333.2674876270885,0.0,0.0,-207.17742801376147,135.77269188146664,0.0,0.0,Ibias2,-329.6602636588236,-403.0842499203971,0.0,0.0,-22.883000664961678,96.30698692653515,0.0,0.0,W1,-658.6713024721398,-383.95000690519146,0.0,0.0,-310.6012132138908,35.87991764690757,0.0,0.0,W2,-4062.1079964787314,-3526.397008143115,0.0,0.0,-563.5132775602473,27.80228922471125,0.0,0.0,W3,-3071.173774535078,-2524.7813775294558,0.0,0.0,-675.339307584706,128.9469105790836,0.0,0.0,Alo,-0.7719263282566422,-0.6321359672807052,0.0,0.0,-0.13979036097595976,0.0,0.0,0.0,
2,Rb,0.0040182115882013165,0.003473239939879754,0.0,0.0,0.000648065710455582,-0.00010309406213400362,0.0,0.0,Rd1,0.001942151773469596,0.002046373130445373,0.0,0.0,-5.9327695135909985e-05,-4.489366183986705e-05,0.0,0.0,Rd2,0.001470180908515247,0.00076307527892005,0.0,0.0,0.0007246103441884968,-1.7504714593299932e-05,0.0,0.0,Rbias3,7.497692458649434e-05,6.539563791619787e-05,0.0,0.0,1.3108693987414702e-05,-3.527407317117936e-06,0.0,0.0,Rbias4,6.65978965921179e-05,5.035731107123772e-05,0.0,0.0,1.2674259970386704e-05,3.5663255504934884e-06,0.0,0.0,Cload,100726563212.52315,82369205120.12115,0.0,0.0,18357358092.401997,0.0,0.0,0.0,len2,14485072.343525963,9585291.627996108,0.0,0.0,3696975.761036948,1202804.9544928193,0.0,0.0,Ibias1,864.01581488602,701.7574974876986,0.0,0.0,25.852329854097377,136.40598754422948,0.0,0.0,Ibias2,781.4075792748212,504.94540127893316,0.0,0.0,179.31112186833568,97.15105612755721,0.0,0.0,W1,7307.113950614856,6136.992854694508,0.0,0.0,1136.4646056545976,33.6564902657153,0.0,0.0,W2,14309.875386252013,11506.249754780234,0.0,0.0,2776.960378057573,26.665253414206745,0.0,0.0,W3,30525.580691439583,24946.31893717697,0.0,0.0,5440.425670050019,138.8360842127409,0.0,0.0,Alo,1.8728781237366807,1.5267897363641134,0.0,0.0,0.3460883873725792,0.0,0.0,0.0,
3,Rb,0.00033128008869944795,0.00047661500996413174,0.0,0.0,-3.1442282060588564e-05,-0.00011389263920407879,0.0,0.0,Rd1,-0.003078047129586496,-0.0020425187301266316,0.0,0.0,-0.0009901779354485,-4.535046401134236e-05,0.0,0.0,Rd2,-0.0026705063196857974,-0.0025715589013913026,0.0,0.0,-1.8666112526427352e-06,-9.708080704185205e-05,0.0,0.0,Rbias3,8.701257420654414e-06,1.1340466735790619e-05,0.0,0.0,9.413177287012037e-07,-3.580527043837409e-06,0.0,0.0,Rbias4,-1.059944850018987e-05,-1.2065077181569474e-05,0.0,0.0,-9.483115968936294e-07,2.413940278272898e-06,0.0,0.0,Cload,90387585.72902578,-3948185.6171525633,0.0,0.0,94335771.34617834,0.0,0.0,0.0,len2,-5986733.985949168,-7189351.98702511,0.0,0.0,21131.89198711955,1181486.1090888227,0.0,0.0,Ibias1,-414.29078683330954,-337.7768574261062,0.0,0.0,-209.5546761530251,133.0407467458328,0.0,0.0,Ibias2,-368.8946323266992,-419.36172307466853,0.0,0.0,-23.451763957065587,73.9188547050448,0.0,0.0,W1,-678.1974438537278,-401.6087131305721,0.0,0.0,-321.3146670219189,44.72593629872756,0.0,0.0,W2,-4395.387208546176,-3860.469168114815,0.0,0.0,-617.4127511630376,82.49471073175809,0.0,0.0,W3,-3613.3841130395535,-2739.4207837068684,0.0,0.0,-627.6744747148858,-246.28885461779888,0.0,0.0,Alo,-0.8851069662335611,-0.738586864747631,0.0,0.0,-0.14652010148593006,0.0,0.0,0.0,
4,Rb,0.00035179372397278,0.0004810417795998806,0.0,0.0,-3.298818077220115e-05,-9.625987485491597e-05,0.0,0.0,Rd1,-0.002972318611052274,-0.0019777917905464577,0.0,0.0,-0.0009487480489113976,-4.57787715944187e-05,0.0,0.0,Rd2,-0.002502438423836036,-0.0024838632774019736,0.0,0.0,-1.060087473599606e-06,-1.7515058960445688e-05,0.0,0.0,Rbias3,8.58157542154363e-06,1.0398942357700822e-05,0.0,0.0,8.493630550892999e-07,-2.666729991246493e-06,0.0,0.0,Rbias4,-7.96654299720415e-06,-1.098891253969617e-05,0.0,0.0,-9.005907050366256e-07,3.922960247528645e-06,0.0,0.0,Cload,97269822.9727276,5428078.76141987,0.0,0.0,91841744.21130772,0.0,0.0,0.0,len2,-5840071.162048736,-7074640.944687546,0.0,0.0,36200.58081607327,1198369.2018227375,0.0,0.0,Ibias1,-387.9199724087471,-325.51052037129693,0.0,0.0,-203.40163337673238,140.99218133928767,0.0,0.0,Ibias2,-328.75180503140643,-403.79246492357703,0.0,0.0,-22.1709711559787,97.21163104814929,0.0,0.0,W1,-549.6650714532008,-277.7385067908666,0.0,0.0,-305.79269561095253,33.86613094861834,0.0,0.0,W2,-4074.718367381461,-3540.8490937550987,0.0,0.0,-561.6401785192409,27.770904892878363,0.0,0.0,W3,-2826.2508790985958,-2650.676802408254,0.0,0.0,-606.1161538855295,430.5420771951875,0.0,0.0,Alo,-0.8091131010422555,-0.6684549618799421,0.0,0.0,-0.14065813916231337,0.0,0.0,0.0,
5,Rb,0.0003538625213190507,0.00048530698206078715,0.0,0.0,-3.435679377864232e-05,-9.708766696306103e-05,0.0,0.0,Rd1,-0.002870217864795731,-0.0019142967788465819,0.0,0.0,-0.0009095181384446302,-4.6402947504497964e-05,0.0,0.0,Rd2,-0.002394768586155556,-0.002377714302099079,0.0,0.0,4.81971479128748e-07,-1.7536255535605703e-05,0.0,0.0,Rbias3,6.400445424497031e-06,9.274562480475074e-06,0.0,0.0,7.926323435419695e-07,-3.666749399519397e-06,0.0,0.0,Rbias4,-6.558130132359836e-06,-9.653866705887478e-06,0.0,0.0,-8.351488406747272e-07,3.9308854142027e-06,0.0,0.0,Cload,94897553.79275116,5499812.265738648,0.0,0.0,89397741.52701253,0.0,0.0,0.0,len2,-5693954.806585444,-6964579.890230672,0.0,0.0,56608.98572900894,1214016.0979162196,0.0,0.0,Ibias1,-368.91955210002783,-312.3273613533183,0.0,0.0,-196.9742280000629,140.38203725335876,0.0,0.0,Ibias2,-307.6907093902599,-384.67622734512514,0.0,0.0,-21.129954449459472,98.11547240433437,0.0,0.0,W1,-536.3557424539391,-267.98437048630177,0.0,0.0,-302.31654002800764,33.9451680603703,0.0,0.0,W2,-4014.9981185926727,-3490.4079557373652,0.0,0.0,-551.1003999544637,26.510237099156203,0.0,0.0,W3,-2668.3858624546983,-2524.2918080174113,0.0,0.0,-574.1913209126088,430.09726647532193,0.0,0.0,Alo,-0.7172975569873463,-0.5817722408467579,0.0,0.0,-0.13552531614056498,0.0,0.0,0.0,
6,Rb,0.000358573968873286,0.00049171043153716,0.0,0.0,-3.522782747691822e-05,-9.790863518695578e-05,0.0,0.0,Rd1,-0.0027682543695163498,-0.001849616017843181,0.0,0.0,-0.0008716107281846121,-4.7027623488556617e-05,0.0,0.0,Rd2,-0.0022716869729961673,-0.0022550882964180673,0.0,0.0,9.55492033499586e-07,-1.7554168611599612e-05,0.0,0.0,Rbias3,4.956137335994509e-06,7.907014398968057e-06,0.0,0.0,7.521605485317128e-07,-3.70303761150526e-06,0.0,0.0,Rbias4,-4.834999294830621e-06,-8.00799804296403e-06,0.0,0.0,-7.67233952691381e-07,3.940232700824461e-06,0.0,0.0,Cload,80872242.46134278,-5930988.842846035,0.0,0.0,86803231.30464038,0.0,0.0,0.0,len2,-5546511.68502798,-6854081.894430849,0.0,0.0,80165.02396279965,1227405.1854400688,0.0,0.0,Ibias1,-350.67185349616295,-299.625660905879,0.0,0.0,-190.8239103402421,139.77771774995273,0.0,0.0,Ibias2,-280.9616598124269,-360.15154345695265,0.0,0.0,-19.778847550825226,98.9687311953558,0.0,0.0,W1,-741.6620099595268,-468.66212596370866,0.0,0.0,-300.64368128598204,27.643797290163853,0.0,0.0,W2,-3937.800440018391,-3422.315503252715,0.0,0.0,-540.7490183606311,25.264081595035837,0.0,0.0,W3,-2476.3356334118203,-2362.747511487565,0.0,0.0,-543.341857493861,429.7537355696062,0.0,0.0,Alo,-0.6056272234535107,-0.4747839949787461,0.0,0.0,-0.1308432284747646,0.0,0.0,0.0,
7,Rb,0.0003592844947781731,0.0004949220433818716,0.0,0.0,-3.69251032224299e-05,-9.87124453812853e-05,0.0,0.0,Rd1,-0.002671920584784577,-0.0017878487338989079,0.0,0.0,-0.000836425040276125,-4.764681060958497e-05,0.0,0.0,Rd2,-0.0021275376247307147,-0.002112147786595973,0.0,0.0,2.1696572231269496e-06,-1.7559495357885447e-05,0.0,0.0,Rbias3,3.2954403820283243e-06,6.310356131718315e-06,0.0,0.0,7.224544043993447e-07,-3.7373701540896452e-06,0.0,0.0,Rbias4,-2.9205355925030077e-06,-6.148459461950205e-06,0.0,0.0,-7.232941441535233e-07,3.951218013600392e-06,0.0,0.0,Cload,78066240.54035416,-5813690.180353907,0.0,0.0,83879930.72070807,0.0,0.0,0.0,len2,-5423459.253213462,-6760856.944869916,0.0,0.0,99038.52376691638,1238359.1678894511,0.0,0.0,Ibias1,-331.93464456422294,-286.39696139125994,0.0,0.0,-184.72439312225205,139.18670994928374,0.0,0.0,Ibias2,-250.74462676645135,-331.7746469198926,0.0,0.0,-18.72948077344841,99.75950092688966,0.0,0.0,W1,-734.9348281801418,-464.76032604001927,0.0,0.0,-298.0191770891017,27.844674948979122,0.0,0.0,W2,-4218.302823568249,-3744.71000641617,0.0,0.0,-550.468802771328,76.87598561916973,0.0,0.0,W3,-2260.388071742328,-2173.84062174254,0.0,0.0,-516.0696808414699,429.5222308415329,0.0,0.0,Alo,-0.47959539803812057,-0.35228170447796153,0.0,0.0,-0.12731369356017058,0.0,0.0,0.0,
8,Rb,0.00036374894317169624,0.0005011136793913446,0.0,0.0,-3.7856437129958205e-05,-9.95082990897236e-05,0.0,0.0,Rd1,-0.0025792235077986402,-0.0017276964163214228,0.0,0.0,-0.0008032589643242456,-4.8268127152992046e-05,0.0,0.0,Rd2,-0.0019824221413961606,-0.001966753933395365,0.0,0.0,1.8761365781953892e-06,-1.754434457900752e-05,0.0,0.0,Rbias3,1.521408818146372e-06,4.595053025740302e-06,0.0,0.0,6.957723427221214e-07,-3.769416550316362e-06,0.0,0.0,Rbias4,-1.0527288163235857e-06,-4.313299415727958e-06,0.0,0.0,-7.040423474742473e-07,3.964612946878292e-06,0.0,0.0,Cload,81313177.35203968,0.0,0.0,0.0,81313177.35203968,0.0,0.0,0.0,len2,-5333887.491160552,-6692735.650461776,0.0,0.0,112089.45112777407,1246758.7081733646,0.0,0.0,Ibias1,-313.74050804413264,-273.38273839539767,0.0,0.0,-178.96033563973134,138.60256599099634,0.0,0.0,Ibias2,-221.0035163116122,-303.31442756066167,0.0,0.0,-18.176883040583583,100.4877942896236,0.0,0.0,W1,-723.8155857460256,-456.65147241417793,0.0,0.0,-295.170846247925,28.00673291604209,0.0,0.0,W2,-4148.594806581018,-3682.0269744977168,0.0,0.0,-542.4154251108419,75.8475930273819,0.0,0.0,W3,-2082.214074741361,-2013.749294856173,0.0,0.0,-497.9820721671306,429.5172922817941,0.0,0.0,Alo,-0.3503712633671703,-0.22592769019441972,0.0,0.0,-0.12444357317275055,0.0,0.0,0.0,
9,Rb,0.0003257467934735207,0.0005060040672909487,-4.113478547822343e-05,0.0,-3.884199604819247e-05,-0.00010028049229101214,0.0,0.0,Rd1,-0.0005325494099782422,-0.001668894607586221,0.0019568402366517044,0.0,-0.0007716030318851252,-4.889200715862046e-05,0.0,0.0,Rd2,0.0046735548241049855,-0.00183060332440411,0.00651951839886431,0.0,2.1504996456344665e-06,-1.751075000081645e-05,0.0,0.0,Rbias3,-8.500000789967961e-05,2.8561554863657547e-06,-8.47229961394813e-05,0.0,6.637956271515462e-07,-3.796962873715613e-06,0.0,0.0,Rbias4,8.449437391136604e-05,-2.59076073883047e-06,8.377967568964894e-05,0.0,-6.722281318895375e-07,3.977687092437106e-06,0.0,0.0,Cload,-19137236955.370667,0.0,-19215688338.941116,0.0,78451383.57180619,0.0,0.0,0.0,len2,-12360170.522513175,-6621455.557017358,-7118653.022812144,0.0,126980.71439032059,1252957.3429260056,0.0,0.0,Ibias1,-184.08163543384978,-262.18382370928646,113.54294011618845,0.0,-173.47386083080374,138.03310899006502,0.0,0.0,Ibias2,1199.177217815547,-275.36618642785305,1390.90585939292,0.0,-17.571409795224127,101.20895464571366,0.0,0.0,W1,-566.478056722494,-458.41164693930364,156.79859924958203,0.0,-293.0590171377893,28.19400810501694,0.0,0.0,W2,1953.8456557378752,-3197.3688099256224,5649.718439607083,0.0,-519.6086436401622,21.104669696576725,0.0,0.0,W3,13730.486071600068,-1817.611387740026,15593.191480394999,0.0,-474.3397790141497,429.2457579590962,0.0,0.0,Alo,5.121826346512951,-0.1123516939164007,5.35554245336861,0.0,-0.12136441293924682,0.0,0.0,0.0,
10,Rb,0.00036737320300751894,0.0005099002911391783,0.0,0.0,-3.8566011183122465e-05,-0.00010396107694855367,0.0,0.0,Rd1,-0.002497276384154633,-0.00166847977728008,0.0,0.0,-0.0007794198912933661,-4.937671558118724e-05,0.0,0.0,Rd2,-0.002470356358726199,-0.0024543878665193534,0.0,0.0,4.940485131751114e-08,-1.601789705816326e-05,0.0,0.0,Rbias3,6.947395682135886e-06,9.932534636350617e-06,0.0,0.0,6.998991772998166e-07,-3.68503813151485e-06,0.0,0.0,Rbias4,-7.42124614760701e-06,-1.0757987462094932e-05,0.0,0.0,-7.402054624125313e-07,4.076946776900118e-06,0.0,0.0,Cload,90662555.08380403,8629277.673725996,0.0,0.0,82033277.41007802,0.0,0.0,0.0,len2,-4397827.809662835,-5684520.363071443,0.0,0.0,101894.73537745822,1184797.81803115,0.0,0.0,Ibias1,-288.8683519177887,-254.6555398724738,0.0,0.0,-170.8052648238302,136.59245277851014,0.0,0.0,Ibias2,-335.9797411717185,-414.6557673699332,0.0,0.0,-21.414982909876656,100.09100910809616,0.0,0.0,W1,-477.02338969865366,-230.81865528000966,0.0,0.0,-283.70523015863404,37.500495739990065,0.0,0.0,W2,-4023.415723409514,-3512.4488053503524,0.0,0.0,-528.4784875098557,17.51156945061481,0.0,0.0,W3,-2617.9932241357055,-2544.326948764099,0.0,0.0,-501.3560835527938,427.6898081813369,0.0,0.0,Alo,-0.7745524387464111,-0.6479996406925199,0.0,0.0,-0.1265527980539033,0.0,0.0,0.0,
