Iteration No,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,
1,0.0009577583,0.0006709027,21.861227879541968,11.563489598879128,11646496.140377104,7.6633213320982305,-5.80959195261439,0.01906091,0.00245005,3.0,0.01228028,0.001972438,3.0,
2,0.0009529684,0.0006566102,21.443653351008408,11.51106387788619,11646496.140377104,7.736603078162034,-6.934588388077572,0.0189365,0.002408887,3.0,0.01202421,0.001952771,3.0,
3,0.0009589521,0.0006683774,21.769009684322924,11.608215793785961,11646496.140377104,7.691284511040491,-6.468891309892733,0.01904459,0.002432061,3.0,0.01222243,0.001957744,3.0,
4,0.0009662369,0.0006795811,22.073023249728653,11.699979904064687,11646496.140377104,7.649020254610667,-5.930004750311859,0.01917287,0.002459628,3.0,0.01240544,0.00196487,3.0,
5,0.000973361,0.0006904284,22.356859138598182,11.7878136345145,11646496.140377104,7.609223144628807,-5.531607497267586,0.01929795,0.002487122,3.0,0.01258119,0.001972173,3.0,
6,0.0009803467,0.0007007509,22.61818410442068,11.871998361218857,11646496.140377104,7.571701098401719,-5.581992902955399,0.01942153,0.002514838,3.0,0.01274704,0.001979605,3.0,
7,0.0009871544,0.0007104358,22.856898018339997,11.952308493894215,11646496.140377104,7.536455964397627,-6.108968087647298,0.01954169,0.002542443,3.0,0.01290266,0.001987304,3.0,
8,0.0009937853,0.0007196469,23.076303279371974,12.028836469146098,11646496.140377104,7.503452679422802,-13.560316747303325,0.01965845,0.002569921,3.0,0.01305293,0.001993728,3.0,
9,0.0009992541,0.0006922018,22.7275151739613,12.062877784872763,11646496.140377104,7.519779532453761,-6.109241199925961,0.01975819,0.00258737,3.0,0.01259086,0.001990815,3.0,
10,0.001005574,0.0007034398,23.00932769868751,12.135257025608222,11646496.140377104,7.486216160474348,-5.37414979473121,0.01986759,0.002614349,3.0,0.01276718,0.002004762,3.0,
11,0.001011726,0.0007142516,23.2709483568308,12.203999754038195,11646496.140377104,7.45477624351519,-4.910922145673204,0.01997372,0.002641188,3.0,0.01293542,0.002019059,3.0,
12,0.001017716,0.0007244954,23.509829272505748,12.269418266342724,11646496.140377104,7.425282646378209,-5.1445011585066425,0.0200778,0.002668113,3.0,0.01309339,0.002033829,3.0,
13,0.001023514,0.0007340273,23.725500931885144,12.331327976222122,11646496.140377104,7.397758949363125,-6.042230444153219,0.02017829,0.002694825,3.0,0.01323984,0.002049284,3.0,
14,0.001029113,0.0007429399,23.9195594566185,12.38974135855268,11646496.140377104,7.372159961419148,-14.08808618402091,0.0202751,0.002721273,3.0,0.01337829,0.002064468,3.0,
15,0.001033806,0.0007104292,23.513820461140295,12.411481595942293,11646496.140377104,7.38968453583856,-5.431763189368397,0.02035894,0.002738554,3.0,0.01282198,0.002114793,3.0,
16,0.001039082,0.0007217651,23.779715651865043,12.468348789818995,11646496.140377104,7.3627587654255064,-4.66263793438641,0.02045195,0.002762923,3.0,0.01299841,0.002133305,3.0,
17,0.001044195,0.0007324109,24.021300963041583,12.520138362237525,11646496.140377104,7.3382763168194955,-4.3795644191699665,0.02053847,0.002788517,3.0,0.01315918,0.002153212,3.0,
18,0.001046242,0.000732772,24.041852403446175,12.53571666204458,11646496.140377104,7.330612118870806,-4.3937529999435725,0.02057345,0.002799769,3.0,0.01316697,0.00215316,3.0,
19,0.00104827,0.0007331299,24.06198972042821,12.550917266592705,11646496.140377104,7.323076335228002,-4.410054704204157,0.02060809,0.002811055,3.0,0.0131747,0.002153112,3.0,
20,0.001050278,0.0007334833,24.081551710411695,12.56575248297011,11646496.140377104,7.315683083411688,-4.42857407041933,0.02064232,0.002822363,3.0,0.01318237,0.002153064,3.0,
21,0.001052268,0.0007338348,24.10078572783099,12.580189614581027,11646496.140377104,7.30841113861716,-4.4496003137972195,0.02067618,0.002833704,3.0,0.01319,0.002153018,3.0,
22,0.001054239,0.0007341825,24.11960533025929,12.594255251626539,11646496.140377104,7.301266153072246,-4.473217209008823,0.02070966,0.002845074,3.0,0.01319757,0.00215297,3.0,
23,0.00105619,0.000734527,24.13785713025942,12.607950641894195,11646496.140377104,7.294252426357661,-4.49957726146539,0.02074277,0.002856476,3.0,0.01320508,0.00215292,3.0,
24,0.001058122,0.0007348699,24.155749796811428,12.621264869411897,11646496.140377104,7.2873697322053035,-4.528921850491031,0.02077549,0.002867904,3.0,0.01321256,0.002152875,3.0,
25,0.001060035,0.0007352118,24.173268749690443,12.634212642080842,11646496.140377104,7.280600831320526,-4.561543789449232,0.02080784,0.002879366,3.0,0.01322003,0.002152842,3.0,
26,0.001061929,0.0007355498,24.190319405521482,12.646805756435676,11646496.140377104,7.273955068360153,-4.597449888131983,0.0208398,0.002890858,3.0,0.01322743,0.002152803,3.0,
27,0.001063802,0.0007358842,24.20688878577938,12.659047610252301,11646496.140377104,7.267436269232985,-4.636881344151966,0.02087137,0.002902374,3.0,0.01323477,0.002152764,3.0,
28,0.001065622,0.0007362186,24.226553960629637,12.674291437964184,11646496.140377104,7.260819899482729,-4.681150572642281,0.02090433,0.002911994,3.0,0.01324212,0.002152731,3.0,
29,0.001067457,0.0007365482,24.24228839662138,12.685793796446562,11646496.140377104,7.25454115205428,-4.727980754132311,0.02093501,0.00292354,3.0,0.01324939,0.002152692,3.0,
30,0.001069273,0.0007368743,24.2576990657447,12.696948639669372,11646496.140377104,7.248379666466201,-4.778690187979208,0.02096528,0.002935114,3.0,0.0132566,0.002152656,3.0,
31,0.001071069,0.0007371992,24.272659486046333,12.707757430539752,11646496.140377104,7.242333457091259,-4.8334011616358055,0.02099516,0.002946716,3.0,0.0132638,0.002152625,3.0,
32,0.001072847,0.000737522,24.28722689035898,12.718230567963275,11646496.140377104,7.236372937165508,-4.892156685986819,0.02102498,0.002958414,3.0,0.01327095,0.002152595,3.0,
