Iteration No,Rb,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,Rd1,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,Rd2,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,Rbias3,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,Rbias4,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,Cload,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,len2,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,Ibias1,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,Ibias2,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,W1,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,W2,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,W3,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,Alo,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,
1,Rb,-0.0018691563414276384,0.0,-0.004414160482776625,-0.0011181814759366473,0.0,0.0017621835938027583,0.10175365299946636,-0.0017370629209203228,6.530478969742757e-06,0.0,0.0,0.0,0.0,Rd1,-0.0006041190141604424,0.0,-0.0019302948610133213,0.0035214686256081,0.0,-0.0001197333364165773,0.11027753767424928,-0.0006028043781749884,0.0005354992755249244,0.0,0.0,0.0,0.0,Rd2,0.0,-0.00041466519660749633,-0.0008875951222515172,3.405011526917692e-05,0.0,0.0018033118254091205,0.08310194470879213,0.0,0.0,0.0,-0.0003916848801492466,0.0002925313748771162,0.0,Rbias3,0.0,-0.004928434480886832,-0.004486494373889645,4.74907607098757e-05,0.0,0.0019241394793950272,0.11806130656985829,0.0,0.0,0.0,-0.004661945818824979,0.0035752708069911516,0.0,Rbias4,-0.0004248462268611793,0.005129506856955557,-0.0031359860359351337,3.524280651204623e-05,0.0,0.0016887018432193866,0.08693701105145138,-0.0003803595945839056,-0.00036733944205214554,0.0,0.00483783757373619,-0.00350632060424715,0.0,Cload,0.0,0.0,-0.0038023238364140064,4.308095924480246e-05,0.0,0.0018130642104687705,0.1007845064104383,0.0,0.0,0.0,0.0,0.0,0.0,len2,0.0,0.005693224963917935,-0.0022277858352943215,-1.3064158142894456e-05,0.0,0.0018383723911502474,0.08648707971561126,0.0,0.0,0.0,0.004634259153700103,-0.003940808278891393,0.0,Ibias1,0.007243267951841336,0.0,-0.0026120984066284993,0.002289663951080577,0.0,0.0002058832142279461,0.10569195318940783,0.006330232921722946,0.009495724577049343,0.0,0.0,0.0,0.0,Ibias2,0.0,0.00826945546649308,-0.0021104680354929396,3.362067630462816e-05,0.0,0.0016034682450059513,0.07003383159619506,0.0,0.0,0.0,0.006535681596836587,0.010243161001765444,0.0,W1,0.0002802377175953676,0.0,-0.0035819105418937653,0.0004540726247972053,0.0,0.0014191680011833754,0.10286359916014151,0.001321552853457748,0.0011656904961122694,0.0,0.0,0.0,0.0,W2,0.0,0.00013772488916792056,-0.0029181357004223617,-3.813868441601136e-05,0.0,0.001506815741998901,0.10654925963484067,0.0,0.0,0.0,0.001842791858166175,0.0010981333760554503,0.0,W3,0.0,0.00039156199550235634,-0.0034546942602538995,4.214992919423311e-05,0.0,0.0016119620287089057,0.10806291246421826,0.0,0.0,0.0,0.0003696984107854865,-0.0002758008109760062,0.0,Alo,0.0,0.0,-0.0026585143143149706,3.0360433253186457e-05,0.0,0.0012893344201733827,0.07046841477592235,0.0,0.0,0.0,0.0,0.0,0.0,
2,Rb,-0.0020159115454405742,0.0,-0.0005998507900727831,-0.0011209509725655952,0.0,-8.226200761357242e-05,-0.0004705030548257359,-0.0018609563541308524,-0.00022126401113877232,0.0,0.0,0.0,0.0,Rd1,-0.0006070505590742101,0.0,0.0019440564913916908,0.0035602799065978736,0.0,-0.0019591414928479788,0.007056331357891749,-0.0006009558260501326,0.0004578878129192836,0.0,0.0,0.0,0.0,Rd2,-0.0014599644647188665,-0.00020864738318105428,0.0030205978993329114,-4.4102956833273855e-06,0.0,-4.557850170017274e-06,-0.01201103785583027,-0.0013059435481740087,-0.0012624087389736703,0.0,-0.00019460737961163194,0.00011009995539672814,0.0,Rbias3,0.0,-0.004961086501550024,-0.0007698207264974197,5.35245743071514e-06,0.0,0.00013283258799378714,0.010932886521564102,0.0,0.0,0.0,-0.0046514490349054876,0.0026936082111009277,0.0,Rbias4,-0.0014599644647188665,0.0051799378078499995,0.0007495476347309614,-4.2877874097650124e-06,0.0,-0.00012247005709526955,-0.01116140036731681,-0.0013059435481740087,-0.0012624087389736703,0.0,0.004844393103580133,-0.0026326691660209806,0.0,Cload,0.0,0.0,1.8108334949644903e-07,5.7329999959897296e-08,0.0,8.994294156580855e-06,-0.0010526894570535648,0.0,0.0,0.0,0.0,0.0,0.0,len2,0.0,0.005617640420450281,0.0016747265046208886,-5.315770836428446e-05,0.0,1.0232983032314632e-05,-0.010317873506858078,0.0,0.0,0.0,0.004753742657521684,-0.005152677912566366,0.0,Ibias1,0.0069949853531344865,0.0,0.0012627917355474644,0.002354621966853609,0.0,-0.0016285793424433918,0.0029633639729903945,0.006112005914503898,0.009080542175701829,0.0,0.0,0.0,0.0,Ibias2,-0.0014599644647188665,0.008447325368993543,0.0017589647952309807,-4.997349686996104e-06,0.0,-0.0002044813006168543,-0.02354218166766385,-0.0013059435481740087,-0.0012624087389736703,0.0,0.006763853924706841,0.00977021883262285,0.0,W1,0.0003655944940041851,0.0,0.00023342267224393421,0.00043593677635787723,0.0,-0.00038822203830812465,0.00036494979071943767,0.0014089192828664826,0.0012341799345506304,0.0,0.0,0.0,0.0,W2,0.0,0.00042673720268116943,0.0009783704337153836,-8.34807086579753e-05,0.0,-0.000325273401519395,0.005906572291773347,0.0,0.0,0.0,0.002342773454555371,0.0002698729139258773,0.0,W3,-0.0014599644647188665,0.0014255032894706667,0.00037786167233375194,3.366595912870518e-06,0.0,-0.00017997753067510683,0.005276329081023576,-0.0013059435481740087,-0.0012624087389736703,0.0,0.0013348070268233915,-0.0007420224900923636,0.0,Alo,0.0,0.0,0.0012877359762899848,-6.714610078621265e-06,0.0,-0.0005310460529341757,-0.022634415657082737,0.0,0.0,0.0,0.0,0.0,0.0,
3,Rb,-0.001688092658642755,0.0,-0.000594582346472204,-0.001118214501108765,0.0,-8.655429793324466e-05,-0.0005291534684252871,-0.0015694745856960515,9.456999639397824e-05,0.0,0.0,0.0,0.0,Rd1,-0.000618383337395072,0.0,0.0018830091852246264,0.0034720727551534715,0.0,-0.0019174490091664195,0.007187563806610863,-0.000613822613141144,0.0004983427636066699,0.0,0.0,0.0,0.0,Rd2,0.0,-0.00041922422870660085,0.0029205559067608626,-6.678839273538296e-06,0.0,-2.6459437015120856e-06,-0.01673704868455932,0.0,0.0,0.0,-0.0003935387643863937,0.00024824491864108015,0.0,Rbias3,0.0010544843689272285,-0.005126594645480252,-0.0006922492870078762,4.563746311415681e-06,0.0,0.00012002391035041575,0.013919558064449566,0.0009425248850197991,0.0009103390087666176,0.0,-0.004817372650119412,0.003129111875709981,0.0,Rbias4,0.0,0.0049081551829849275,0.0006754017191221117,-5.380247975227267e-06,0.0,-0.00011749948533477623,-0.013870737558392424,0.0,0.0,0.0,0.004598921818329169,-0.002814463995292551,0.0,Cload,0.0,0.0,-2.4523223205249193e-07,0.0,0.0,8.807904407251315e-06,-0.00135575252951344,0.0,0.0,0.0,0.0,0.0,0.0,len2,0.0,0.00564770741799478,0.0016379061764593777,-5.570728442023604e-05,0.0,1.7791035042992382e-05,-0.013426084494323027,0.0,0.0,0.0,0.004678284105533877,-0.004896452242989897,0.0,Ibias1,0.00744760869703501,0.0,0.001211895226081246,0.0022693042369826884,0.0,-0.001607516874895347,0.0030100421743584536,0.006507359832897493,0.009558148418152246,0.0,0.0,0.0,0.0,Ibias2,0.0,0.008257460530532569,0.001684959837936721,-7.2819074035643725e-06,0.0,-0.00019638898218878037,-0.02864233340411043,0.0,0.0,0.0,0.00654697961043754,0.01000641554769157,0.0,W1,0.0002757176296917816,0.0,0.00015937245911941457,0.0002959326997276648,0.0,-0.0003724820459245781,0.0003412370191683498,0.0012344713118004058,0.0017409102814444602,0.0,0.0,0.0,0.0,W2,0.0,0.0001419856506220172,0.0008893340274718822,-7.932078413115167e-05,0.0,-0.0002994447610579358,0.0037486226838581303,0.0,0.0,0.0,0.0018318779489840077,0.0011921885598934812,0.0,W3,0.0,0.001193786624143878,0.000361052994020126,2.237308233206801e-06,0.0,-0.00017525527203348987,0.005613195598268608,0.0,0.0,0.0,0.0011192536999598518,-0.0007008066427479377,0.0,Alo,0.0,0.0,0.0011575389597476128,-1.058343417310944e-05,0.0,-0.0005170462499059695,-0.028087439197150215,0.0,0.0,0.0,0.0,0.0,0.0,
4,Rb,-0.0016846800199826542,0.0,-0.0005898093874709601,-0.0011169581930992342,0.0,-9.037015815822968e-05,-0.0005949815056263022,-0.0015683619614590874,0.00013294693343873665,0.0,0.0,0.0,0.0,Rd1,-0.0006315221453454272,0.0,0.0018247108988907663,0.0033841980160959993,0.0,-0.0018763482014417918,0.007474130194760145,-0.0006290138096175082,0.0005403256102142276,0.0,0.0,0.0,0.0,Rd2,0.0,-0.0004193759950063976,0.002801082025701229,-8.28492781075869e-06,0.0,1.2288666813821753e-06,-0.01861970563097603,0.0,0.0,0.0,-0.00039418190729232093,0.00027635416083506004,0.0,Rbias3,0.0,-0.004866968784152445,-0.0006064153927623234,4.259833739087873e-06,0.0,0.00011216719210976951,0.014538076631315358,0.0,0.0,0.0,-0.004582666959011583,0.0032953834095895114,0.0,Rbias4,0.0,0.004856226872701413,0.0005875019814652121,-7.4940448079458116e-06,0.0,-0.00010999911559082702,-0.013192053563569908,0.0,0.0,0.0,0.004560902313823655,-0.0031009685119117213,0.0,Cload,0.0,0.0,-2.450449409418087e-07,-9.88938020911485e-07,0.0,8.620683406032398e-06,-0.0018722777056644614,0.0,0.0,0.0,0.0,0.0,0.0,len2,0.0,0.005677026627138438,0.0016043195072085541,-5.578462069178027e-05,0.0,2.8222701765509248e-05,-0.01686282766239705,0.0,0.0,0.0,0.004606043800139207,-0.004651198298106247,0.0,Ibias1,0.007438341466776977,0.0,0.00115908793061404,0.0021827519662984927,0.0,-0.001582096725576312,0.0030537179966940776,0.006488334818939299,0.009641701915899345,0.0,0.0,0.0,0.0,Ibias2,0.0,0.0082761277498741,0.0015983963851195573,-8.967987817410083e-06,0.0,-0.00019002247684721737,-0.03162822302847287,0.0,0.0,0.0,0.006527781360435389,0.010129423320626777,0.0,W1,0.00027477733462674236,0.0,0.00015193372643740224,0.0002845926025168685,0.0,-0.0003709572862849436,0.00041374582531923865,0.001238207946958269,0.0017478252808960171,0.0,0.0,0.0,0.0,W2,0.0,0.00013405316893017987,0.0008694389991975053,-8.144011236776026e-05,0.0,-0.00029710566065704647,0.003892158288388058,0.0,0.0,0.0,0.0018596680166120697,0.0011517301399073447,0.0,W3,0.0,0.0011757242807370655,0.00033992085993768515,-3.047632558151807e-07,0.0,-0.00016734477454835963,0.006568692294691309,0.0,0.0,0.0,0.0011059664147341853,-0.0007679897397793403,0.0,Alo,0.0,0.0,0.0010011342841611402,-1.3407225712773357e-05,0.0,-0.0005047508294444832,-0.025993494241684543,0.0,0.0,0.0,0.0,0.0,0.0,
5,Rb,-0.0016813905632133844,0.0,-0.0005882205110667224,-0.0011160435403898199,0.0,-9.28642032101947e-05,-0.0006599669360007173,-0.00156700582186195,0.00017208645173007197,0.0,0.0,0.0,0.0,Rd1,-0.0006447761930054664,0.0,0.0017665285972029996,0.0033019667140214187,0.0,-0.0018343972698298488,0.00795154912492897,-0.0006441098665920874,0.0005846114505038858,0.0,0.0,0.0,0.0,Rd2,0.0,-0.0004195945589723983,0.002663428072307232,-1.03806326578395e-05,0.0,2.486773472702033e-06,-0.0075114797257497335,0.0,0.0,0.0,-0.0003958290114051147,0.00030626116471547016,0.0,Rbias3,0.0,-0.004820340530603838,-0.0005085808060412109,8.387315490402853e-06,0.0,0.00010660798145254767,0.004948679533201576,0.0,0.0,0.0,-0.004550443956414298,0.0036066815639398766,0.0,Rbias4,0.0,0.004808174171282673,0.00048284764543394875,-7.958604350144599e-06,0.0,-0.00010194025294859557,-0.0008595329017893046,0.0,0.0,0.0,0.004526598835245319,-0.003399803161284353,0.0,Cload,0.0,0.0,2.608950742620701e-07,5.608342233269534e-08,0.0,8.414075383447537e-06,-0.0025521622068582954,0.0,0.0,0.0,0.0,0.0,0.0,len2,0.0,0.005699070316342696,0.0015725091831873819,-5.706668966654537e-05,0.0,4.052850291021006e-05,-0.017615807787847448,0.0,0.0,0.0,0.004528188509989909,-0.004389574342615999,0.0,Ibias1,0.007428795688341714,0.0,0.0011092836387590716,0.002100084808835847,0.0,-0.0015567831677572974,0.003029651158472609,0.006468044533227504,0.009728915589987185,0.0,0.0,0.0,0.0,Ibias2,0.0,0.008293401603989569,0.0014912409244614993,-8.998705464399333e-06,0.0,-0.00018046594086319325,-0.023807964387619784,0.0,0.0,0.0,0.006506538729643187,0.010259241963053011,0.0,W1,0.00022252792129541632,0.0,0.00026280268804064347,0.000498156622638462,0.0,-0.0003714956724668829,0.000801603713910843,0.0012954743897666458,0.001128613714968574,0.0,0.0,0.0,0.0,W2,0.0,0.00012644323437441775,0.0008463304473349316,-8.221244629334881e-05,0.0,-0.00029467778311695775,0.005319962107766213,0.0,0.0,0.0,0.0018869439218388343,0.0011099431946386537,0.0,W3,0.0,0.0011589905629605898,0.0003148512292314697,2.3297843868314776e-06,0.0,-0.0001595485918690425,0.009036178015039085,0.0,0.0,0.0,0.0010921065495394261,-0.0008371476538821135,0.0,Alo,0.0,0.0,0.0008121469020720914,-1.4406070505624622e-05,0.0,-0.0004931982271867792,0.0005612574788868199,0.0,0.0,0.0,0.0,0.0,0.0,
6,Rb,-0.001677977801118715,0.0,-0.0005834357497479327,-0.0011155783481021006,0.0,-9.752220097377338e-05,-0.0006614353661539187,-0.0015663029637726664,0.00021273736121366803,0.0,0.0,0.0,0.0,Rd1,-0.000658032510335483,0.0,0.0017123251126067872,0.0032194029448128153,0.0,-0.0017947667594445519,0.008428759691265008,-0.000659062391068073,0.0006318498448010398,0.0,0.0,0.0,0.0,Rd2,0.0,-0.00041969264684497894,0.0025024738288158244,-1.3002160945566685e-05,0.0,5.759196613338217e-06,0.01742462557541207,0.0,0.0,0.0,-0.0003969549009024401,0.0003374410551598302,0.0,Rbias3,0.0,-0.004778445521796656,-0.0003999450333079928,1.1770159687953477e-05,0.0,0.00010258465871369305,-0.017298942222771358,0.0,0.0,0.0,-0.004524187576096039,0.003935633623879535,0.0,Rbias4,0.0,0.004764603227766144,0.0003675259201807244,-1.0184723156022173e-05,0.0,-9.686394338557112e-05,0.022072294905263544,0.0,0.0,0.0,0.004498299212993857,-0.003715387665721253,0.0,Cload,0.0,0.0,2.527755575083364e-07,6.388880723365367e-08,0.0,8.170841629538219e-06,-0.0027883762249385664,0.0,0.0,0.0,0.0,0.0,0.0,len2,0.0,0.005714441465576541,0.0015465174459925574,-5.805160302861503e-05,0.0,5.0755460446450754e-05,-0.01135950799583308,0.0,0.0,0.0,0.004447306982640666,-0.004105364454019935,0.0,Ibias1,0.007419211999183607,0.0,0.0010586937683541174,0.002015248408252052,0.0,-0.0015298601636794492,0.0029020993710515385,0.006447998690113523,0.009821308569379017,0.0,0.0,0.0,0.0,Ibias2,0.0,0.008308944019907798,0.0013698110743020659,-1.0678308134296128e-05,0.0,-0.00017324820831017654,-0.0033512793212683244,0.0,0.0,0.0,0.0064838582133577745,0.010397023648657126,0.0,W1,0.00022308434352865663,0.0,0.0002582247860195531,0.0004923769920737517,0.0,-0.0003709698602895037,0.0007748926572051577,0.0013011333298664342,0.0011332737933815171,0.0,0.0,0.0,0.0,W2,0.0,0.00038116255005881506,0.0009203724924456818,-8.896786608166403e-05,0.0,-0.00030311238843632235,0.007833986093203587,0.0,0.0,0.0,0.0024225231896974116,0.00022832837864106438,0.0,W3,0.0,0.0011437730583007298,0.00028695105644288945,1.1619846936987498e-06,0.0,-0.0001526208998283755,0.01240109804436485,0.0,0.0,0.0,0.0010810352834855332,-0.0009102826068836797,0.0,Alo,0.0,0.0,0.0005990858647300053,-1.9946159692078e-05,0.0,-0.000485064664053911,0.04613222155261839,0.0,0.0,0.0,0.0,0.0,0.0,
7,Rb,-0.0016747126893219195,0.0,-0.0005827805434500803,-0.0011188565457154707,0.0,-0.00010014284186729749,-0.0006224250672630911,-0.0015648595387604042,0.00025487297060338993,0.0,0.0,0.0,0.0,Rd1,-0.0006714248551189874,0.0,0.0016607037873510107,0.0031354943982594007,0.0,-0.001756271738069929,0.008249775633541786,-0.000674967211126557,0.0006820211898554907,0.0,0.0,0.0,0.0,Rd2,0.0,-0.0004194608436118084,0.0023384701739011748,-1.8256852280165373e-05,0.0,5.074083929168105e-06,0.02719347607150862,0.0,0.0,0.0,-0.00039836746841340973,0.0003698477937949965,0.0,Rbias3,0.0,-0.004741737395553594,-0.00028746264874659317,1.1194661710920404e-05,0.0,9.900780788291078e-05,-0.03127914325405238,0.0,0.0,0.0,-0.004504497522216353,0.004285202465249443,0.0,Rbias4,0.0,0.0047265354589394815,0.0002557285771305381,-1.2046101068047724e-05,0.0,-9.494668933784264e-05,0.0307361603067349,0.0,0.0,0.0,0.0044758212647625,-0.004050713932040542,0.0,Cload,0.0,0.0,0.0,6.367777691359592e-08,0.0,7.957701079452844e-06,-0.002143488251713756,0.0,0.0,0.0,0.0,0.0,0.0,len2,0.0,0.005723669893887732,0.0015280000549309065,-6.120017099924203e-05,0.0,5.82097627074644e-05,-0.0007860617401295355,0.0,0.0,0.0,0.004364216370887894,-0.0037930784620773044,0.0,Ibias1,0.007409377904814167,0.0,0.0010098790025786833,0.0019310612539814433,0.0,-0.0015037180980394956,0.0026256487972114973,0.006428307889440468,0.009918019794347319,0.0,0.0,0.0,0.0,Ibias2,0.0,0.008323060296229397,0.0012493678502179704,-1.4319305958054347e-05,0.0,-0.000170305258696671,0.007647113975826991,0.0,0.0,0.0,0.0064614583349480665,0.010543429691682687,0.0,W1,0.0002233693128450303,0.0,0.0002516713034375145,0.0004836974934187823,0.0,-0.00037002722994495494,0.0006400867209820347,0.0013069493989517273,0.0011378819505491002,0.0,0.0,0.0,0.0,W2,0.0,0.0003731512404076177,0.0009008605777516256,-9.12455838066052e-05,0.0,-0.0003018658860146909,0.008892278970676066,0.0,0.0,0.0,0.0024421320874920536,0.00021033520789967688,0.0,W3,0.0,0.001130432897666464,0.0002635706612859742,-9.743081858465127e-07,0.0,-0.00014825753018098725,0.012268054236120443,0.0,0.0,0.0,0.001071872001587223,-0.000988273560562517,0.0,Alo,0.0,0.0,0.0003819505774564728,-2.5979942033944673e-05,0.0,-0.0004785436627769267,0.05893441151683186,0.0,0.0,0.0,0.0,0.0,0.0,
8,Rb,-0.0016712865444880193,0.0,-0.0005810784644069048,-0.0011192007796002072,0.0,-0.00010288419540471545,-0.00010048388692875137,-0.0015642128448580396,0.0002980636369754949,0.0,0.0,0.0,0.0,Rd1,-0.0006849568010312556,0.0,0.0016110185457399086,0.003054420979181291,0.0,-0.0017180346058120687,0.004018217264434102,-0.0006907970872577755,0.0007346529329110906,0.0,0.0,0.0,0.0,Rd2,0.0,-0.0004188165057057799,0.002184673252969267,-1.8771223761482752e-05,0.0,5.9196764961498525e-06,0.01655061655949035,0.0,0.0,0.0,-0.000399144100213537,0.00040677564843342084,0.0,Rbias3,0.0,-0.004706335843314204,-0.00017664510789118434,1.5136953100723057e-05,0.0,9.469357404070377e-05,-0.011146216919223798,0.0,0.0,0.0,-0.004487881264972752,0.0046826848998459064,0.0,Rbias4,0.0,0.0046893830849546085,0.00015240022461336756,-1.374706767363827e-05,0.0,-9.120976497865364e-05,0.01048342981290997,0.0,0.0,0.0,0.004457236804303684,-0.004430393714689361,0.0,Cload,0.0,0.0,0.0,6.351836867785343e-08,0.0,7.711247329136266e-06,-0.0017418872304078858,0.0,0.0,0.0,0.0,0.0,0.0,len2,0.0,0.005727253184860574,0.0015102080078071788,-6.174602698656104e-05,0.0,6.680168540024531e-05,-0.0034537233149239434,0.0,0.0,0.0,0.004273370040289809,-0.0034152100988700473,0.0,Ibias1,0.007399686833765917,0.0,0.0009684613118292032,0.0018478584721146492,0.0,-0.0014780079867269058,0.0008921603866409461,0.006407422762221736,0.010019374136403346,0.0,0.0,0.0,0.0,Ibias2,0.0,0.008338116929288503,0.0011319646266109678,-1.6586629796351826e-05,0.0,-0.00016660775265111026,0.012162599302826269,0.0,0.0,0.0,0.006437635075036702,0.01071108997817145,0.0,W1,0.00022389141799539566,0.0,0.00025083179322641866,0.0004775869767414024,0.0,-0.00036986938216023173,0.00018250532280959615,0.0013124127283686878,0.0011420584523804103,0.0,0.0,0.0,0.0,W2,0.0,0.00010310612051554829,0.0007794205005167544,-8.898795518902482e-05,0.0,-0.00029216070962848035,0.00292962688270768,0.0,0.0,0.0,0.0019635438173650445,0.0009730514894708578,0.0,W3,0.0,0.001117353524346465,0.00023607980068088622,-5.234426968548606e-07,0.0,-0.00014210641885221325,0.00430823340418087,0.0,0.0,0.0,0.0010633627852136723,-0.0010768770865434434,0.0,Alo,0.0,0.0,0.00018877125862743057,-2.7244129222683574e-05,0.0,-0.00047034221463888507,0.01914106641321514,0.0,0.0,0.0,0.0,0.0,0.0,
9,Rb,-0.0017182816662949273,0.0,-0.0005928609035801991,-0.0011216268149623271,0.0,-0.00010164368141593235,-0.0006647103661739888,-0.0016074346891086044,0.00027672887913209087,0.0,0.0,0.0,0.0,Rd1,-0.0006898145326599114,0.0,0.0016397402362281258,0.0030223170588341316,0.0,-0.001736335734463113,0.005963152779109759,-0.000696926186052455,0.00075868546052564,0.0,0.0,0.0,0.0,Rd2,0.0,-0.00038543673246734666,0.002878005029397246,-9.683653150365321e-06,0.0,1.3131854486387408e-07,-0.024812810153321742,0.0,0.0,0.0,-0.00037646356166309055,0.000536463709586226,0.0,Rbias3,0.0,-0.004886291829925912,-0.0006417978441092515,3.7560292975019238e-06,0.0,0.00010251366503360251,0.01709529892048182,0.0,0.0,0.0,-0.004781246078504553,0.0069624751672053885,0.0,Rbias4,0.0,0.004860432319014452,0.0006249879476547405,-6.8364346141201185e-06,0.0,-9.747674221409493e-05,-0.01699203784938103,0.0,0.0,0.0,0.004737563597720857,-0.006579717351938741,0.0,Cload,0.0,0.0,-3.751326666101228e-07,-9.57722680297431e-07,0.0,8.08367072561758e-06,-0.0020644242456164777,0.0,0.0,0.0,0.0,0.0,0.0,len2,0.0,0.0057312766306010345,0.0013399904475355443,-6.176589389793622e-05,0.0,5.4446219968785123e-05,-0.023256716074259665,0.0,0.0,0.0,0.004059293805188846,-4.9226070729839363e-05,0.0,Ibias1,0.00733236921419695,0.0,0.0009616448612022623,0.0018083102276283856,0.0,-0.0014620793780079438,0.002095128489429612,0.00634167400961332,0.010011324240445046,0.0,0.0,0.0,0.0,Ibias2,0.0,0.00834973269355851,0.0016856444126396057,-9.630134394989679e-06,0.0,-0.00019733499046263307,-0.03697170163306124,0.0,0.0,0.0,0.006384790236727247,0.01157716814470451,0.0,W1,0.0002967213244359574,0.0,0.00012847736520266574,0.0002405600350182999,0.0,-0.00035795725496786914,0.00033190763433241656,0.0012769388289110028,0.0018056945856217974,0.0,0.0,0.0,0.0,W2,0.0,8.87024564224084e-05,0.0008670044559981252,-8.836061905226986e-05,0.0,-0.00029569688652242944,0.003849934624445288,0.0,0.0,0.0,0.0019815961737323167,0.0006640496480085871,0.0,W3,0.0,0.0011459086064208117,0.0003321962675091634,-8.77444335329518e-08,0.0,-0.0001483802954682523,0.005765342970947095,0.0,0.0,0.0,0.0011190657349855043,-0.0015817642523288371,0.0,Alo,0.0,0.0,0.0010505834127294926,-1.2757408878516883e-05,0.0,-0.0004650885396597244,-0.03476528498044766,0.0,0.0,0.0,0.0,0.0,0.0,
10,Rb,-0.0016995268374081988,0.0,-0.0005918298119424155,-0.0011254852571435379,0.0,-0.00010462592350347779,-0.0006967677969724635,-0.0015935500984265996,0.0003350738558623638,0.0,0.0,0.0,0.0,Rd1,-0.0007030810263590393,0.0,0.0015845058876979958,0.0029446556307037627,0.0,-0.0016946226196555875,0.006268471451846472,-0.0007132218854929485,0.0008162643931625004,0.0,0.0,0.0,0.0,Rd2,0.0,-0.0003886615457356687,0.002761290521864157,-9.467652088452137e-06,0.0,4.625703451844698e-06,-0.0265410344557844,0.0,0.0,0.0,-0.00038066354512107556,0.0005696436784017171,0.0,Rbias3,0.0,-0.004849455490007862,-0.0005665421875969853,5.327953251205525e-06,0.0,9.528394678381797e-05,0.017482118342391908,0.0,0.0,0.0,-0.004759077572337821,0.007278170675621343,0.0,Rbias4,0.0,0.004822161043489423,0.0005439801900721073,-7.376658306371538e-06,0.0,-9.051982086450224e-05,-0.015258603083427219,0.0,0.0,0.0,0.004714431847910024,-0.006879619625671435,0.0,Cload,0.0,0.0,-2.1458554410851572e-07,0.0,0.0,7.90159729641234e-06,-0.003103135812257252,0.0,0.0,0.0,0.0,0.0,0.0,len2,0.0,0.005715912008390817,0.0013129601175130162,-6.262873832376524e-05,0.0,5.905356403771529e-05,-0.027351208095099402,0.0,0.0,0.0,0.003967986665810381,9.976246556931925e-05,0.0,Ibias1,0.007343069729328758,0.0,0.0009121112428570328,0.0017249653898840053,0.0,-0.0014365293652160874,0.0019555441070150726,0.0063374571349620115,0.010137131653042444,0.0,0.0,0.0,0.0,Ibias2,0.0,0.008356934026195357,0.0015924699319439734,-9.602401776759112e-06,0.0,-0.0001880567527268533,-0.03872561515097366,0.0,0.0,0.0,0.006356141293535481,0.011713609894840346,0.0,W1,0.0002883925002038761,0.0,0.00012080206376614743,0.00023194008848235857,0.0,-0.00035651576275479326,0.0004831982408329231,0.0012734307482688606,0.001805420775879473,0.0,0.0,0.0,0.0,W2,0.0,8.614809682372978e-05,0.0008499219239621033,-8.883798541054005e-05,0.0,-0.00029333422503073,0.003277155080836449,0.0,0.0,0.0,0.0020121906325437635,0.0006235154098092187,0.0,W3,0.0,0.0011337146405421392,0.0003138173049828386,8.45116541641566e-07,0.0,-0.00014200868021783922,0.006860863960012993,0.0,0.0,0.0,0.0011098770441084758,-0.0016485747435358018,0.0,Alo,0.0,0.0,0.0009148106019602704,-1.4952013343441268e-05,0.0,-0.00045434770695993885,-0.03021161048397273,0.0,0.0,0.0,0.0,0.0,0.0,
