Iteration No,Io1,Io2,conv_gain_db,lna_gain_db,bb_BW,s11_db,nf_db,iip3_dbm,gm1,gds1,region1,gm2,gds2,region2,
1,0.000965985,0.0006693218,21.92227882584751,11.659947786088969,11646496.140377104,-15.1059,7.621920396977159,-14.000070707570593,0.01920961,0.002483559,3.0,0.01225999,0.001972897,3.0,
2,0.0009609997,0.0006402469,21.18991950795806,11.62436141835779,11646496.140377104,-15.3386,7.711799639240721,-10.464906562528,0.01905996,0.002432255,3.0,0.0117509,0.001943683,3.0,
3,0.0009767146,0.0006503477,21.577012006755403,11.808828267880077,11646496.140377104,-15.175,7.626935023032118,-11.378849203715248,0.01933825,0.002495369,3.0,0.01192419,0.00195052,3.0,
4,0.0009917299,0.0006602564,21.938205049377014,11.97738525675534,11646496.140377104,-15.0091,7.5497633310224295,-12.473750705687728,0.01960469,0.002557294,3.0,0.0120983,0.001955362,3.0,
5,0.001008218,0.0006696045,22.218815080560482,12.082689178493242,11646496.140377104,-14.9605,7.500601620257146,-13.677822822555342,0.01989434,0.002616878,3.0,0.01225815,0.001961739,3.0,
6,0.001015569,0.0006773064,22.3395826262152,12.070852416734061,11646496.140377104,-15.0661,7.50421003643088,-14.558363806521356,0.02002328,0.002630825,3.0,0.01238391,0.001966371,3.0,
7,0.001022699,0.0006861122,22.560842754788382,12.140710466893088,11646496.140377104,-14.9783,7.4682763583897085,-11.561974279218497,0.02015342,0.002663598,3.0,0.012534,0.001972518,3.0,
8,0.001029091,0.0006919764,22.64572435909695,12.122494415447685,11646496.140377104,-15.0927,7.4772200818179275,-12.105610615432852,0.02026394,0.002672325,3.0,0.01262679,0.001975668,3.0,
9,0.001031694,0.0006981474,22.782545669594022,12.1538381866145,11646496.140377104,-15.0558,7.463284560723311,-12.646868187085296,0.02030942,0.002683293,3.0,0.01272729,0.001978045,3.0,
10,0.001034452,0.0007040768,22.902169601412716,12.175044159698514,11646496.140377104,-15.0365,7.453295036845235,-13.078262328470785,0.02035806,0.002693567,3.0,0.01282326,0.001980561,3.0,
11,0.001037567,0.0007099535,22.999010677097203,12.177479806123891,11646496.140377104,-15.051,7.450218359284077,-13.415651541161253,0.02041391,0.002702554,3.0,0.01292138,0.001981485,3.0,
12,0.001040349,0.0007154057,23.104233534686998,12.196634202871211,11646496.140377104,-15.0437,7.442597964295308,-13.730938360916966,0.02046538,0.002710722,3.0,0.01300752,0.001984355,3.0,
13,0.001043299,0.0007206208,23.194295725064666,12.205586394700925,11646496.140377104,-15.0465,7.4379907576765545,-13.987025436786809,0.02051688,0.002719898,3.0,0.01308924,0.001987511,3.0,
14,0.001046172,0.0007256342,23.282989105132806,12.21695845502816,11646496.140377104,-15.0443,7.432788280377425,-14.200428254793358,0.0205669,0.002729178,3.0,0.01316705,0.001990963,3.0,
15,0.001049081,0.0007304297,23.365490535636113,12.226191796397831,11646496.140377104,-15.0458,7.428571651566848,-14.37244142208116,0.02061761,0.002738299,3.0,0.01324074,0.001994821,3.0,
16,0.001051955,0.0007350352,23.446348864742887,12.236737858100295,11646496.140377104,-15.0445,7.424056341157824,-14.523718168542729,0.02066764,0.00274753,3.0,0.01331084,0.001999124,3.0,
17,0.001054825,0.0007394738,23.523263770495237,12.245858517198624,11646496.140377104,-15.0455,7.42025798377377,-14.66221900603255,0.0207177,0.002756542,3.0,0.01337775,0.002003791,3.0,
18,0.001057681,0.0007437718,23.599567981269573,12.25575577905753,11646496.140377104,-15.044,7.4161563451403945,-14.79905760779154,0.02076814,0.002765792,3.0,0.01344254,0.002009167,3.0,
19,0.001060559,0.0007479209,23.672472971964126,12.264386334248567,11646496.140377104,-15.0447,7.412642048775716,-14.931519336847202,0.02081897,0.002774938,3.0,0.01350454,0.002014944,3.0,
20,0.001063406,0.0007519188,23.744218419799026,12.273328831784443,11646496.140377104,-15.0444,7.409160444119065,-15.059903066049536,0.02086922,0.002784043,3.0,0.01356356,0.002021276,3.0,
21,0.001066254,0.0007559464,23.815061149814145,12.281874834971196,11646496.140377104,-15.0439,7.405830155056772,-15.180747812148745,0.02091937,0.002793118,3.0,0.01362585,0.002026729,3.0,
22,0.0010691,0.0007596702,23.882076533692903,12.29001228347755,11646496.140377104,-15.0447,7.402912073747334,-15.29651634075691,0.02096961,0.002802133,3.0,0.0136788,0.0020343,3.0,
23,0.001071919,0.0007632641,23.948357149828098,12.298777390030589,11646496.140377104,-15.044,7.399856719212902,-15.406518434038823,0.02101928,0.002811179,3.0,0.01372925,0.002042498,3.0,
24,0.001074732,0.0007667508,24.012528711287917,12.306794073687467,11646496.140377104,-15.0443,7.397165018396809,-16.3157985800987,0.02106891,0.002820105,3.0,0.01377748,0.002051255,3.0,
25,0.001069892,0.0007599364,23.965323999577052,12.277313221407713,11646496.140377104,-15.0759,7.41005555285676,-15.370973484283383,0.02098836,0.00280015,3.0,0.01367948,0.002048095,3.0,
