Iteration No,alpha,fixed_alpha,Rd,W2,W1,Ibias,Alo,Rbias2,Rbias3,
1,0.1,0.06,1.7408180512507287,1.3070696939434898,1.7715954500424786,0.7947138971277395,1.7286400596578873,1.1808352731936664,1.202507074863624,
2,0.1,0.06,1.8686229933789453,1.2284024972924639,1.4709843699920297,0.75244954573387,1.562480136064133,1.4215901941251339,1.2896120572763097,
3,0.1,0.06,1.5055997702240658,1.4058280834682428,1.785331024261128,0.6862622147551993,1.4445781918018357,1.2882236673895715,1.4776766771767111,
4,0.1,0.06,1.4340461189603741,1.3752730063635488,1.7170818097038856,0.67391026850232,1.3167049045346804,1.4432891118695423,1.5134419785734674,
5,0.1,0.06,1.3892898289993791,1.2845909981146393,1.591257353967382,0.6797108143231269,1.6492687260107157,1.5432028333793066,1.379529309395764,
6,0.1,0.06,1.8331371229479239,1.2021148762563192,1.3367864048160631,0.687146350100573,2.2542018730466773,1.2129736678646197,1.321136104696208,
7,0.1,0.06,1.7928708353527112,1.2361182205994337,1.4872772079690257,0.5634161515257361,1.4502962706429035,1.3813219718601575,1.3113437657289,
8,0.1,0.06,1.2936950354142718,1.1937740464187285,1.5659259043478202,0.7128379336848905,2.04599443442472,1.4805975714317157,1.481091842214233,
9,0.1,0.06,1.1161430682808382,1.332392471388181,3.4019653466586526,0.8141754153209304,2.0555587134405955,1.6734683786501654,1.4827790748073244,
10,0.1,0.06,1.6171379825155918,1.3591008471508714,1.7547055965657374,0.6767047197527453,1.3575559169094988,1.3758361425754373,1.4440611690344491,
11,0.1,0.06,1.6172883303744672,1.382299017431098,1.661757422284519,0.7425889492728623,1.5690260575254127,1.1742801678682262,1.5520518854124554,
12,0.1,0.06,1.630854214627776,1.4069133601963948,1.7231345022673283,0.7621608409720949,1.5592798981348974,1.129455430372696,1.550682873462625,
13,0.1,0.06,1.6125396531404703,1.3979360348421423,1.7246561787029253,0.7618349158854274,1.5455199832874358,1.1553178855112793,1.545168541143945,
14,0.1,0.06,1.6295257683640807,1.4025608424736669,1.6220562099763904,0.761390055482008,1.5545347495106354,1.183615563545146,1.562939761502614,
15,0.1,0.06,1.6349771222676808,1.3845183512777246,1.6842510074040506,0.7615845107113939,1.5696049939608894,1.1465709167377947,1.5576670019359222,
16,0.1,0.06,1.6605069297154855,1.383586503685304,1.5795602651501535,0.7639478828961936,1.5717027403387822,1.1744672489469643,1.5905721016039052,
17,0.1,0.06,1.6230728629288365,1.3843226058222922,1.665410673400966,0.7559593005215529,1.5432742195293159,1.1604087069633169,1.5794609714408316,
18,0.1,0.06,1.6215416914795617,1.4341643933017352,1.6076326313017166,0.7556588009491079,1.5405038364001067,1.1703108472965,1.5721601742790547,
19,0.1,0.06,1.6114462906770464,1.3622810255746989,1.6046559356418832,0.7531250037372519,1.569637628940758,1.1943906612779458,1.5948216773034916,
20,0.06,0.06,1.625187204743616,1.357451127397579,1.6174790116846343,0.7559796330296806,1.5585914733729143,1.1994436576142553,1.5877310056103395,
21,0.06,0.06,1.6834955532441287,1.2897820703091873,1.5216846407509872,0.7630272140588292,1.592120891686083,1.4588935274851185,1.492397097357141,
22,0.06,0.06,1.7978116150023344,1.2992816947050005,1.516468806339244,0.7822315368249869,1.623609647813314,1.44918062018159,1.4223828150776512,
23,0.06,0.06,1.8394126905667314,1.3336686240366284,1.4655640481102832,0.7391945430235559,1.7274455963821846,1.2834643641608483,1.411801708217581,
24,0.06,0.06,1.8423293449376268,1.311868592256968,1.4074737077761774,0.7313734922377175,1.748658883680381,1.3329126974665457,1.4081370346989732,
25,0.06,0.06,1.8295674392569568,1.2998316882621548,1.3765322962977282,0.7184317579945599,1.756634341618739,1.3435773243547269,1.4274328954301243,
26,0.06,0.06,1.8616386681812647,1.3095238542432728,1.2879136669992228,0.6827055978456396,1.8199304195460424,1.2511745210285694,1.4691517636169018,
27,0.06,0.06,1.8327264513139676,1.2778690853640022,1.252905215937432,0.691206120935239,1.883166281212335,1.2548367361078159,1.5362002579336518,
28,0.06,0.06,1.8052020688980353,1.2828816886741485,1.2789937333749732,0.6685069320072788,1.7773819898187508,1.3443535867493632,1.4594570516137702,
29,0.06,0.06,1.78680763630525,1.2733897260147138,1.2936516209285898,0.6530975244745539,1.7466134347476452,1.3667656698117405,1.438698262540239,
30,0.06,0.06,1.7977498171561423,1.2471611300662748,1.3367380377763887,0.6460336484551727,1.7351029185310693,1.3394886622826798,1.4407558040254593,
31,0.06,0.06,1.788945070176754,1.2925183533347735,1.2648503450851756,0.631999653112212,1.7547432227402084,1.3165522190953467,1.450146409480393,
32,0.06,0.06,1.613336078480613,2.4204641315536124,1.2623611978815164,0.7458224265132909,1.4468304512651347,1.3435296816070412,1.2295954645847011,
33,0.06,0.06,1.7944773702417947,1.2515111550173783,1.328123326706176,0.6397579773779748,1.7181632007329433,1.358719262253785,1.4237247505593154,
34,0.06,0.06,1.7880943138632366,1.2582890669520583,1.3667227673762719,0.6334232504449616,1.6467724697588846,1.3747282563629657,1.4052993078384997,
35,0.06,0.06,1.7953021006559355,1.270536365012554,1.3221839350673426,0.6195033210933055,1.6615939045382997,1.4355286334390238,1.3544809837518978,
36,0.06,0.06,1.7908866879898544,1.2816342022993543,1.2983122633393127,0.668014933630766,1.7751591074601334,1.2776867550124853,1.4721339419122783,
37,0.06,0.06,1.8124489017775927,1.2319560977552908,1.2604265999485451,0.6362937391554846,1.7656946588398201,1.375526275180552,1.4209811331638487,
38,0.06,0.06,1.8234873971128973,1.2396589660977295,1.2556340170561184,0.6239849097320415,1.7579395754708993,1.3195907013280264,1.4497532668590836,
39,0.06,0.06,1.7880723974474826,1.2555437852200888,1.2524529737197148,0.6239670458549527,1.7572834423646992,1.3364952597108493,1.4424681181847028,
40,0.06,0.06,1.8062213429167715,1.2641731574313129,1.2494505190940346,0.6095095553464202,1.754746490418309,1.2981993882644247,1.437570513715303,
41,0.06,0.06,1.827606625814204,1.243577243880391,1.2954423630707554,0.6078437645006363,1.7146544473486898,1.3188398068976575,1.3953679043416747,
42,0.06,0.06,1.6788466879780166,2.174282197974995,1.225096613197413,0.7016048815801101,1.4888829908849879,1.255694066836052,1.2874169333351377,
43,0.06,0.06,1.8231971732698713,1.2931341440446464,1.2262084601311174,0.5838499866146604,1.6300268259471256,1.521642111543599,1.2991948011561185,
44,0.06,0.06,1.8040109845796053,1.2447838730904703,1.2411887315933443,0.5930948940672164,1.6861129105191341,1.3473477241756673,1.4245791611354852,
45,0.06,0.06,1.7776133213563554,1.3061744984186552,1.2440184173133988,0.5651080908033487,1.7103844874218432,1.2595086635326385,1.383962755100453,
