Iteration No,Rd,Ibias,W1,W2,Rbias1,Rbias2,Rbias3,C1,C2,Cload,Alo,flo,frf,mismatch,Temp,
1,318.74785036373845,0.002128744558965078,2.7198969265841165e-05,3.162361547157435e-05,11429.239338331674,17607.690485753334,31600.760391738168,2.7574740000000003e-12,2.786148e-12,4.9731105361105816e-11,0.2356777331893412,1000000000.0,1010000000.0,0,27,
2,328.33124244827627,0.002073583154457286,2.9257829327164716e-05,3.2546216892497496e-05,11429.239338331674,17642.227505548362,31324.30370905574,2.7574740000000003e-12,2.786148e-12,4.993129927316404e-11,0.2530439285263784,1000000000.0,1010000000.0,0,27,
3,342.4088120978429,0.0020518967259256712,3.271499956909598e-05,3.427179617878344e-05,11429.239338331674,18158.27682230927,31712.717889232074,2.7574740000000003e-12,2.786148e-12,4.84738954188826e-11,0.2729449413928335,1000000000.0,1010000000.0,0,27,
4,351.9688792927279,0.002030322044602479,3.6334586239754076e-05,3.592550684905994e-05,11429.239338331674,18983.59386468998,31990.062618883785,2.7574740000000003e-12,2.786148e-12,4.648097171238017e-11,0.28890399134178973,1000000000.0,1010000000.0,0,27,
5,354.5994946814935,0.001997976256609897,3.935738680059174e-05,3.740101648334389e-05,11429.239338331674,19744.899699344056,31772.762101259905,2.7574740000000003e-12,2.786148e-12,4.5218470283995844e-11,0.30218844203338024,1000000000.0,1010000000.0,0,27,
6,352.37749263233826,0.001959204701414504,4.1534208490439633e-05,3.802374381778747e-05,11429.239338331674,20176.309364932782,31219.780445696575,2.7574740000000003e-12,2.786148e-12,4.488301463453879e-11,0.3119839370326054,1000000000.0,1010000000.0,0,27,
7,349.0971711709095,0.0019280420959946745,4.370478707105094e-05,3.8451995829945044e-05,11429.239338331674,20510.768169886676,30543.65361428431,2.7574740000000003e-12,2.786148e-12,4.516603540792929e-11,0.3153622694326019,1000000000.0,1010000000.0,0,27,
8,347.94090181611455,0.001893998805030929,4.663133765848511e-05,3.885076385347234e-05,11429.239338331674,20786.290334026984,29825.599681828684,2.7574740000000003e-12,2.786148e-12,4.55904419271209e-11,0.31959768291038226,1000000000.0,1010000000.0,0,27,
9,348.65835768156415,0.001864931760804964,4.983461193464183e-05,3.879573599344435e-05,11429.239338331674,21444.593531216335,28967.458656792765,2.7574740000000003e-12,2.786148e-12,4.5741947055137573e-11,0.3104694888337224,1000000000.0,1010000000.0,0,27,
10,355.1703904995594,0.0018515232996817977,5.2039099615268136e-05,3.885069935306247e-05,11429.239338331674,21820.66210177976,28394.608661958773,2.7574740000000003e-12,2.786148e-12,4.5647821021762044e-11,0.30751956643707745,1000000000.0,1010000000.0,0,27,
11,363.3216793694856,0.001840338880263784,5.372446393352752e-05,3.8941445328013966e-05,11429.239338331674,22093.31663760111,27875.706182079728,2.7574740000000003e-12,2.786148e-12,4.481087031721265e-11,0.3052945575646587,1000000000.0,1010000000.0,0,27,
12,372.1513790771349,0.0018303478356123798,5.5942079925977946e-05,3.904850880352067e-05,11429.239338331674,22338.823143371905,27404.24830351863,2.7574740000000003e-12,2.786148e-12,4.3805517845259174e-11,0.3036498407936367,1000000000.0,1010000000.0,0,27,
13,380.9013555130493,0.0018207035971855863,5.815519258165852e-05,3.915759247622603e-05,11429.239338331674,22588.513070608435,26947.4082274644,2.7574740000000003e-12,2.786148e-12,4.2766183881024304e-11,0.3021676804833592,1000000000.0,1010000000.0,0,27,
14,389.8123087799563,0.001811501707505202,5.98323429906455e-05,3.9274137780296656e-05,11429.239338331674,22839.401372056254,26502.822816106072,2.7574740000000003e-12,2.786148e-12,4.1783769153964815e-11,0.3008938621253854,1000000000.0,1010000000.0,0,27,
15,398.83318840257147,0.001802624001264536,6.200717780673661e-05,3.939510217984386e-05,11429.239338331674,23077.040858097116,26077.934012067915,2.7574740000000003e-12,2.786148e-12,4.0828608924644325e-11,0.2997549620088278,1000000000.0,1010000000.0,0,27,
16,407.9790760386676,0.0017938936743494463,6.363985574824863e-05,3.951643587484204e-05,11429.239338331674,23320.240902943457,25656.166727820902,2.7574740000000003e-12,2.786148e-12,3.9905140223999773e-11,0.29874063712987736,1000000000.0,1010000000.0,0,27,
17,417.0000594097449,0.001785423444610114,6.580217545905275e-05,3.964423221690968e-05,11429.239338331674,23556.02990413484,25254.782314733144,2.7574740000000003e-12,2.786148e-12,3.90105651096702e-11,0.2978883942150621,1000000000.0,1010000000.0,0,27,
18,425.93159555464354,0.0017770509548403416,6.791903882798825e-05,4.004440948710535e-05,11429.239338331674,23789.913290425397,24865.329779436925,2.7574740000000003e-12,2.786148e-12,3.8166647582059324e-11,0.2971143452303863,1000000000.0,1010000000.0,0,27,
19,434.6953163101752,0.0017687995727035221,6.949872152090344e-05,4.017022545001507e-05,11429.239338331674,24025.679959448356,24480.129339753898,2.7574740000000003e-12,2.786148e-12,3.7366315331607526e-11,0.2963667272081759,1000000000.0,1010000000.0,0,27,
20,435.5092444639928,0.0017568370317038702,6.946031683808141e-05,4.0091415606605045e-05,11429.239338331674,24187.49454888646,24262.542393236567,2.7574740000000003e-12,2.786148e-12,3.661298779173662e-11,0.2963667272081759,1000000000.0,1010000000.0,0,27,
21,436.338996530331,0.0017450107986037708,6.942439687247976e-05,4.0016898528488204e-05,11429.239338331674,24385.293593816878,24060.21179936409,2.7574740000000003e-12,2.786148e-12,3.654456136465641e-11,0.2963667272081759,1000000000.0,1010000000.0,0,27,
22,437.211059816067,0.0017331436308536592,6.938879541058806e-05,3.994215307004399e-05,11429.239338331674,24583.10688590108,23869.264824932114,2.7574740000000003e-12,2.786148e-12,3.6475067403431606e-11,0.2963667272081759,1000000000.0,1010000000.0,0,27,
23,438.09196100344343,0.0017221596807465952,6.935454089663113e-05,3.991667315672934e-05,11429.239338331674,24759.29700477414,23681.711513559756,2.7574740000000003e-12,2.786148e-12,3.6402314058306575e-11,0.2963667272081759,1000000000.0,1010000000.0,0,27,
24,438.9622835087695,0.0017115083391410037,6.932178921489386e-05,3.98920153231349e-05,11429.239338331674,24943.337174094468,23496.387033771236,2.7574740000000003e-12,2.786148e-12,3.632911745911822e-11,0.2963667272081759,1000000000.0,1010000000.0,0,27,
25,439.8150911246668,0.0017012549344427761,6.928989862047257e-05,3.986795972315704e-05,11429.239338331674,25130.043802363074,23310.206498538708,2.7574740000000003e-12,2.786148e-12,3.625708838119705e-11,0.2963667272081759,1000000000.0,1010000000.0,0,27,
26,440.6716626413415,0.0016917065095543916,6.929522085873101e-05,3.984409020531338e-05,11429.239338331674,25305.10193186107,23120.2467647982,2.7574740000000003e-12,2.786148e-12,3.618678537949086e-11,0.2963667272081759,1000000000.0,1010000000.0,0,27,
27,441.50504051773424,0.0016822277380674686,6.930050300843887e-05,3.982112322754126e-05,11429.239338331674,25481.86882713106,22923.291809706297,2.7574740000000003e-12,2.786148e-12,3.6116446003797163e-11,0.2963667272081759,1000000000.0,1010000000.0,0,27,
28,442.3163605546995,0.001673243596174218,6.930599128200833e-05,3.9798392094506935e-05,11429.239338331674,25672.613919218962,22737.766009737126,2.7574740000000003e-12,2.786148e-12,3.604827317605731e-11,0.2963667272081759,1000000000.0,1010000000.0,0,27,
29,443.11055163654476,0.0016646410123152984,6.931161820603603e-05,3.97761156932207e-05,11429.239338331674,25868.133765593448,22556.26108797086,2.7574740000000003e-12,2.786148e-12,3.598215152889722e-11,0.2963667272081759,1000000000.0,1010000000.0,0,27,
30,443.9012905596482,0.0016563007887698926,6.928108769149453e-05,3.975457226737503e-05,11429.239338331674,26047.015252927155,22375.76424022759,2.7574740000000003e-12,2.786148e-12,3.5917660390637676e-11,0.2963667272081759,1000000000.0,1010000000.0,0,27,
31,441.53326769173515,0.001657256202961946,6.967825864124607e-05,3.9987460442715004e-05,11429.239338331674,25883.959189415167,22522.830607053642,2.7574740000000003e-12,2.786148e-12,3.585367884180757e-11,0.2987237655784021,1000000000.0,1010000000.0,0,27,
32,442.2323311958481,0.0016476968332329118,6.964922157323572e-05,3.994541564267784e-05,11429.239338331674,26077.23233241626,22369.597653511762,2.7574740000000003e-12,2.786148e-12,3.604596861385593e-11,0.2987237655784021,1000000000.0,1010000000.0,0,27,
33,443.00092533689883,0.0016396624865905516,6.96187400651253e-05,3.992398101561759e-05,11429.239338331674,26274.19255557418,22193.371649042645,2.7574740000000003e-12,2.786148e-12,3.598898856208041e-11,0.2987237655784021,1000000000.0,1010000000.0,0,27,
34,442.5981002420094,0.0016318660046320877,6.958744348596633e-05,3.990267094309565e-05,11429.239338331674,26357.511900865597,22020.515944931278,2.7574740000000003e-12,2.786148e-12,3.592654867952233e-11,0.2987237655784021,1000000000.0,1010000000.0,0,27,
35,445.2835543727274,0.0016393911047335298,7.063976996976479e-05,4.040854466429486e-05,11429.239338331674,25872.156593786778,22361.652410253868,2.7574740000000003e-12,2.786148e-12,3.595924677599623e-11,0.3044008115128726,1000000000.0,1010000000.0,0,27,
