Iteration No,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,0.8620756750263088,0.3664882781676973,0.0,0.0,0.21531659685861157,0.2802708,0.0,0.0,
2,0.7619869574797814,0.3239653002761405,0.0,0.0,0.16481485720364095,0.27320679999999997,0.0,0.0,
3,0.6563196326161607,0.28259443930731615,0.0,0.0,0.10402179330884447,0.2697034,0.0,0.0,
4,0.5733518013925267,0.2499088939575588,0.0,0.0,0.05849710743496791,0.2649458,0.0,0.0,
5,0.5074357714057866,0.22120539185660837,0.0,0.0,0.028044179549178237,0.2581862,0.0,0.0,
6,0.460669319324118,0.19824627951257692,0.0,0.0,0.011313439811541077,0.2511096,0.0,0.0,
7,0.4235115112452513,0.17615430152945333,0.0,0.0,0.002375009715798034,0.24498219999999998,0.0,0.0,
8,0.39111876131412016,0.15252196131412013,0.0,0.0,0.0,0.2385968,0.0,0.0,
9,0.3531570712047955,0.12300347120479552,0.0,0.0,0.0,0.23015359999999999,0.0,0.0,
10,0.3302510055479403,0.1050190055479403,0.0,0.0,0.0,0.225232,0.0,0.0,
11,0.31209380398529446,0.09118220398529445,0.0,0.0,0.0,0.2209116,0.0,0.0,
12,0.2927922517886291,0.07577125178862909,0.0,0.0,0.0,0.21702100000000002,0.0,0.0,
13,0.27408194609712444,0.06080574609712445,0.0,0.0,0.0,0.21327619999999997,0.0,0.0,
14,0.25848059211408614,0.049016592114086155,0.0,0.0,0.0,0.209464,0.0,0.0,
15,0.24150103820559313,0.03555923820559315,0.0,0.0,0.0,0.20594179999999998,0.0,0.0,
16,0.2272126132872154,0.024931613287215416,0.0,0.0,0.0,0.202281,0.0,0.0,
17,0.21198312116751208,0.013161361167512098,0.0,0.0,0.0,0.19882176,0.0,0.0,
18,0.19688706718265062,0.00144942718265062,0.0,0.0,0.0,0.19543764,0.0,0.0,
19,0.19207742,0.0,0.0,0.0,0.0,0.19207742,0.0,0.0,
20,0.18952086,0.0,0.0,0.0,0.0,0.18952086,0.0,0.0,
21,0.18690592,0.0,0.0,0.0,0.0,0.18690592,0.0,0.0,
22,0.18449984,0.0,0.0,0.0,0.0,0.18449984,0.0,0.0,
23,0.1821424,0.0,0.0,0.0,0.0,0.1821424,0.0,0.0,
24,0.17980063999999998,0.0,0.0,0.0,0.0,0.17980063999999998,0.0,0.0,
25,0.17748694,0.0,0.0,0.0,0.0,0.17748694,0.0,0.0,
26,0.17526418,0.0,0.0,0.0,0.0,0.17526418,0.0,0.0,
27,0.17301918,0.0,0.0,0.0,0.0,0.17301918,0.0,0.0,
28,0.17081466,0.0,0.0,0.0,0.0,0.17081466,0.0,0.0,
29,0.16864511999999998,0.0,0.0,0.0,0.0,0.16864511999999998,0.0,0.0,
30,0.16732065200520707,0.0,0.0,0.0,0.0007553920052070376,0.16656526000000002,0.0,0.0,
31,0.16805362,0.0,0.0,0.0,0.0,0.16805362,0.0,0.0,
32,0.16593674,0.0,0.0,0.0,0.0,0.16593674,0.0,0.0,
33,0.1638443,0.0,0.0,0.0,0.0,0.1638443,0.0,0.0,
34,0.16413641523289943,0.0011573966030612817,0.0,0.0,0.0007488386298381518,0.16223018,0.0,0.0,
35,0.1660392,0.0,0.0,0.0,0.0,0.1660392,0.0,0.0,
36,0.16392766,0.0,0.0,0.0,0.0,0.16392766,0.0,0.0,
37,0.16183986,0.0,0.0,0.0,0.0,0.16183986,0.0,0.0,
