Iteration No,Rd,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Ibias,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W1,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Alo,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias3,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,Rd,-0.0008006542244144606,0.0029375986475562448,-0.042550342353748175,-0.040803270071151025,0.00020737349039317538,-0.0004511337475798803,-0.0006654677633404734,-0.0001075733136510828,0.0,-0.0019133819876757945,0.0,-0.0011382678210055727,0.0005342943324728144,0.0,Ibias,0.008317669910672008,-0.0028948846112387392,-0.01580298788098814,-0.03738166515526795,0.0013246166370566726,0.008970381249248387,0.003839335067158181,0.0031134297104896498,0.0019247771138795433,-0.004031752083167716,0.0,0.005575337288874332,0.00953578384917272,0.0,W1,-0.00013272877517037785,0.005005485182685843,-0.0047192727342167656,0.0011649687473600668,-0.0016250296452117112,-7.482022028507953e-05,0.004580583370056198,-0.003909512863543663,-0.002067045953457386,6.417851973679502e-05,0.0,-8.972015468126774e-05,0.002002576257672277,0.0,W2,0.0009319558084537978,0.0006553487338163836,-0.0006700905852838546,-0.009634303449553133,-0.001612600017632258,0.0005255517086163264,0.0007743624882508732,0.00012534982912704992,2.0738897898232066e-07,0.0022294851445884938,0.0,0.0031655808111244826,-0.000617520949646632,0.0,Alo,0.0,0.002049064880944399,-0.006144625698371005,-0.019777997795900535,-0.002812328740795571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0029706983388922093,0.0013631296922482362,0.01310141640866862,0.0357842247667281,0.0005970306110723104,-0.0017035679188594835,-0.0024727381100970317,-0.00039880342719028053,-2.0738897898232066e-07,-0.0070965158726889865,0.0,-0.0017164643733953708,0.002002918754039215,0.0,Rbias3,0.0029557128320181394,-0.001471329704843808,-0.010526204710515422,-0.023461025341752217,-0.00020877573439643206,0.0016142663656159228,0.0024517233386231337,0.00039768604621753524,4.147779579646413e-07,0.0070744844405405604,0.0,0.001691995240300494,-0.0019395569261500321,0.0,
2,Rd,-0.000813303329199581,0.0015611331222554706,-0.014999041690403326,-0.03719648283506196,-0.0015387823595214615,-0.00045869884285323925,-0.0006720853679464718,-0.0001118249004758484,0.0,-0.0019066159573719985,0.0,-0.0011325277359342245,0.0004515814694495814,0.0,Ibias,0.008293351409994208,-0.0033056645670198836,-0.011947580154010772,-0.038901073570596786,-0.0006102031486311212,0.008953809666185699,0.004059969734317149,0.003057492278831837,0.0018668731153996757,-0.003978567534105197,0.0,0.005655308403062542,0.009273164918244786,0.0,W1,-0.00011493125354125765,0.004365493093730527,-0.016264211692621298,-0.023446827237344273,-0.0031483804725973364,-6.499781174031001e-05,0.004356386215073558,-0.003854651569360143,-0.002010592544639124,5.543043886094509e-05,0.0,-7.880047353587774e-05,0.0020866178243532122,0.0,W2,0.0009384832295535977,0.00029069926079889474,-0.0100049295555577,-0.02811453437496819,-0.0030690488338157083,0.0005290615533404105,0.0007744270581444885,0.00012914988505652745,2.1135210182875696e-07,0.002201448550279032,0.0,0.0030887953056907957,-0.0005166368842055074,0.0,Alo,0.0,0.0007230483359489688,-0.007398708110988261,-0.021239574991166466,-0.004254277856432877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0030284751331225855,0.0019653804957630613,-0.007793719660051834,-0.014929438440263768,-0.0008086824552747098,-0.0017371954826727101,-0.0025042512363687005,-0.0004160096297514725,-2.1135210182875696e-07,-0.0070927069311462875,0.0,-0.0018023317609891058,0.0016990536513389295,0.0,Rbias3,0.003013834209104676,-0.002063196739465532,-0.011473388000180502,-0.0289564091023815,-0.0019178431699056302,0.0016457858617172209,0.002484282126086071,0.00041485463077930095,4.227042036575139e-07,0.007071681592268057,0.0,0.001779424646588962,-0.0016423031831475738,0.0,
3,Rd,-0.0008602042095131539,-0.00039557840735028935,-0.014459479244911217,-0.029799911670332635,-0.0020205503388019655,-0.00048466639562109667,-0.0007097793215228898,-0.00012048258573334448,0.0,-0.0019743545379396,0.0,-0.001188639894229256,0.00038607844922417385,0.0,Ibias,0.008229039752557853,-0.004202606703919752,-0.011429085321461306,-0.03191440480466609,-0.0013176822410265441,0.008919031059786333,0.004292817212957118,0.0029815889938119003,0.0018002138645427201,-0.004004940692465968,0.0,0.005677127002515414,0.00907660850618445,0.0,W1,-9.640219589378207e-05,0.003664143455232179,-0.01744024597254325,-0.018532068137359786,-0.0034553773053217223,-5.471029541262636e-05,0.004081380841229121,-0.00379503760301927,-0.0019504117800116458,4.7099986542881415e-05,0.0,-6.766104013296992e-05,0.0021350685871103156,0.0,W2,0.0009439999644053327,-0.00017108195626880222,-0.009534952415891819,-0.02167054178494703,-0.0032891870751044043,0.0005314416100195079,0.0007774629192713916,0.00013227961135349825,2.1611210859476898e-07,0.002166599380971611,0.0,0.0029999442253589165,-0.00041962072584117693,0.0,Alo,0.0,-0.0006680236161209137,-0.00589094719955652,-0.004640567014205079,-0.0044563097147886435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003101926041718459,0.0028061578335078635,-0.012537992952087462,-0.018857589083024633,-0.0010289589675832765,-0.0017772493292246545,-0.002561195256398214,-0.00043430531357695423,-2.1611210859476898e-07,-0.007115942864832644,0.0,-0.0018789653712624717,0.0014084333497849692,0.0,Rbias3,0.003087836490010775,-0.0028756334083764965,-0.01082654362507301,-0.020126720965204018,-0.0023920295879153197,0.001686413533405979,0.0025420282198673374,0.00043299453295240846,4.3222421718953795e-07,0.007093834707883985,0.0,0.0018542782349978552,-0.0013574353986021126,0.0,
4,Rd,-0.000891503092330624,-0.0011347997664911678,-0.015775315375350166,0.00424636133603184,-0.0013124040669215053,-0.000500757918194851,-0.0007387707713940515,-0.00012544976462848946,0.0,-0.0020152697127886502,0.0,-0.0011958160184366937,0.0003365247377813321,0.0,Ibias,0.008176011848461076,-0.0042836094262073705,-0.012094924134459367,0.008629617918874219,-0.0008212150428448905,0.008893274140907736,0.004509289519735131,0.0029088238823685606,0.0017432005143798526,-0.004030050638356139,0.0,0.005751829231974579,0.008986394254119153,0.0,W1,-8.30358511061487e-05,0.0031731524316422808,-0.015455048854994557,0.0030451765209005503,-0.0026906132646057016,-4.662155818986308e-05,0.003819886292027009,-0.0037270830162114865,-0.0018976026857154403,4.105812657643412e-05,0.0,-5.864538327962106e-05,0.0021168927977618947,0.0,W2,0.0003857392719568539,0.0004604586014188106,-0.0070835267546451065,0.0015145739018136517,-0.002694241640413515,0.0002163664132361899,0.00031885625274790524,5.4331317592350346e-05,2.2057453048588284e-07,0.0008719964025260291,0.0,0.003027567911811987,-0.00014441815380157716,0.0,Alo,0.0,-0.0013384758902342214,-0.005536538139440188,-0.01256391788300921,-0.003582453359855258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003218016666050196,0.003063170217236852,-0.011008617701068322,0.011712863131726464,-0.0002844151683974837,-0.001837313225031387,-0.0026693321268293512,-0.0004525719356852801,-2.2057453036343938e-07,-0.007268754765675363,0.0,-0.002015018716124387,0.0012307673575739913,0.0,Rbias3,0.003203674109950062,-0.003096401196632748,-0.009693470115473021,-0.0007979921043354202,-0.0017290427467776587,0.0017472488512553187,0.002649585109354899,0.0004513242436320393,4.411490609717657e-07,0.007247248127944961,0.0,0.001990277695053113,-0.001180711416677827,0.0,
5,Rd,-0.0008885060471860647,-0.0011107708367503193,0.5024383865242873,-0.09665081936329355,-0.0005089580704727855,-0.0004966988149599392,-0.0007415419484488567,-0.00012393247474042082,-2.243662662690797e-07,-0.001986119145169514,0.0,-0.0011273561281046562,0.00029592043881064583,0.0,Ibias,0.008156903815928297,-0.0038873082191055266,-0.043398970161467175,-0.09263543049696651,-0.00019780901118721022,0.008885798895873535,0.004703887905009143,0.0028486881800310945,0.001700023199471994,-0.00400171038026988,0.0,0.00590568279894808,0.008955717307440509,0.0,W1,-6.816785715105432e-05,0.002848071333433261,-0.016543649128711247,0.0009291821836649702,-0.0018670450188799745,-3.810766845379414e-05,0.003605052349535311,-0.0036383619902265025,-0.0018514704291991391,3.346830551466948e-05,0.0,-4.805124480449439e-05,0.002051917035893836,0.0,W2,0.0009698426949232612,-0.0003822996944964944,-0.016687450294458797,0.01045088050653422,-0.0016368876576820254,0.0005421681920919935,0.0008086420319510829,0.00013542290286202015,0.0,0.0021694455350782737,0.0,0.0028322512562628443,-0.00031914968827363293,0.0,Alo,0.0,-0.0017060831512948167,0.49816963078088355,-0.0982930309297188,-0.002691205269822963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0033642386773576347,0.002971081719940639,0.007509126670474057,-0.008495744015595824,0.0004985901695196326,-0.0019127451313664648,-0.002810747942264028,-0.00046911431545531884,-4.487325325381594e-07,-0.007518380094050842,0.0,-0.002217749760205781,0.001137559912105896,0.0,Rbias3,0.0033510698867716604,-0.0030134335128232936,-0.031905507978210526,0.021276433625405176,-0.0010013912918590542,0.001822022897945166,0.0027918222776864617,0.00046794182278997573,4.487325325381594e-07,0.007497399962235761,0.0,0.0021955722626038547,-0.0010870615437081868,0.0,
6,Rd,-0.000864164492317348,-0.000658810336387947,-0.009702953782979725,0.005641647807186628,-8.873884236617484e-06,-0.0004812546864115905,-0.0007257800989490334,-0.00011962853178922004,-2.271883577845763e-07,-0.0019203138463636804,0.0,-0.0010425190111927637,0.0002652027295585698,0.0,Ibias,0.008160580081366858,-0.003286653934231002,-0.004810362371829019,0.005904432081204345,0.00018589936364536236,0.008889683341069467,0.004863758577792201,0.0028033433051801284,0.0016691528645953583,-0.003948018687050887,0.0,0.006047736298053359,0.008948562509873212,0.0,W1,-5.973487274081777e-05,0.002679808900768094,-0.004319833352182713,-9.978322798666544e-05,-0.0013499852296428394,-3.3044676624684305e-05,0.003442009252836378,-0.0035802081080039787,-0.001821596252664269,2.8501875270676192e-05,0.0,-4.316460352380224e-05,0.002002212954409169,0.0,W2,0.0009939882824072975,-0.00030513377758109014,0.0019733637969313322,-0.00040133957344242024,-0.0011428513360502036,0.0005535537775497575,0.0008341311563753454,0.000137644876938211,0.0,0.0022094042955379443,0.0,0.0027841169272806864,-0.00030173575863024594,0.0,Alo,0.0,-0.0018084686339536417,-0.0010829002513103674,-0.00038129622113274335,-0.002172017185193366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0034917024279438715,0.0027351177906273223,0.002146051989341089,-0.0005102820674705945,0.0009817159213576397,-0.0019780232940575827,-0.0029363709848479165,-0.00048307826792788453,-4.543767155691526e-07,-0.007756581770098772,0.0,-0.00239938893935193,0.0010905785715518055,0.0,Rbias3,0.0034789589884258003,-0.0027681378781002973,-0.0019531282291227066,-0.0004531090192503736,-0.0005615002042148133,0.001885542554779234,0.0029174525462499273,0.00048199728721884844,4.543767155691526e-07,0.007737241211879375,0.0,0.002376868276643704,-0.001038146909457987,0.0,
7,Rd,-0.0008433265763797479,-0.00016104107633928413,0.02471975819530506,-0.007041387890528096,0.0001230587926249265,-0.0004675257518393112,-0.0007131117986180868,-0.00011551416632102063,-2.2974884546122098e-07,-0.001866778659542948,0.0,-0.000977483579990719,0.0002441975110168896,0.0,Ibias,0.008160592892054985,-0.0027149109819909045,0.02243064910667717,-0.006764528358802314,0.00023975267349729968,0.008891366259673971,0.005003247410240611,0.0027601870666607415,0.0016427042450005416,-0.003913694191961544,0.0,0.006156431670467954,0.008963744470367862,0.0,W1,0.00035757699947176367,0.003263337070164017,-0.004123306568156452,-0.006496218345329536,-0.001583930370995141,0.00019833053685755256,0.003934726194304722,-0.0010866433584204313,-0.0010772923363366739,-0.0001718308499190325,0.0,0.00027057050362321353,0.00011904628662072265,0.0,W2,0.001012318445993226,-0.00020784088613950828,0.008641814726776862,-0.0006348117709718781,-0.0010374837585395446,0.000561483711651855,0.000855275565545327,0.00013871520504000058,0.0,0.0022415879454687902,0.0,0.0027457189839506517,-0.0002896453811227135,0.0,Alo,0.0,-0.0017265906757193558,0.028622386780158195,-0.018266767392156064,-0.002073938419213191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0036125073576773812,0.002466845179534773,-0.011638991891220953,0.005826538402208933,0.0011223620137037478,-0.0020387745255746313,-0.0030588139529150638,-0.0004947099790369039,-4.5949769079490574e-07,-0.007995585348798412,0.0,-0.0025599399409699016,0.001067007457859925,0.0,Rbias3,0.00360026157002431,-0.002514328732613,0.020376814220296195,-0.006881105118355354,-0.0004829898130704044,0.0019445901610393738,0.003039897000058042,0.000493727924487783,4.5949769092244195e-07,0.00797689679714563,0.0,0.002538027541028554,-0.0010120630178809262,0.0,
8,Rd,-0.0008281753988317896,0.0002179924168663846,4.321516989816661e-05,-0.0068620737751875546,-6.920811503764553e-05,-0.0004574802653755709,-0.0007055415889322351,-0.0001124891521576709,0.0,-0.0018271082884902575,0.0,-0.0009286878261433008,0.00022157719395456756,0.0,Ibias,0.008148474749032743,-0.0022242045945969607,0.002206796548904998,-4.089943559969867e-05,-4.5808644202493364e-05,0.00888613742188571,0.0051617742827233,0.0027035144555480656,0.001611593228561619,-0.003891083573777145,0.0,0.00624198425108316,0.008971663986864694,0.0,W1,-4.1911710467131075e-05,0.00238263717812058,-0.004860042629864318,0.007049116310402396,-0.0012994955269295726,-2.2920316939348786e-05,0.003120620739377968,-0.0034738260769231776,-0.0017719843501097525,1.9076536654730574e-05,0.0,-3.005148497957892e-05,0.0019077421998701532,0.5,W2,0.001030189843283685,-0.0001254360700656754,0.0019370686322568583,0.006786352001869486,-0.0012432090940166839,0.0005693036298374978,0.0008782106001619765,0.0001399193928404725,2.3278827511308406e-07,0.002273817188489365,0.0,0.0027094806618694687,-0.0002719511182330843,0.0,Alo,0.0,-0.0016395433504432144,0.006659282801361826,-0.012818795575769362,-0.0022938468035957893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0037334951684180927,0.00223307347020422,-0.0030248833819139583,0.014000955094720689,0.0009492582849932955,-0.0020994084243044333,-0.003184085177280223,-0.0005065786650859503,-4.655765502261681e-07,-0.008229935855145507,0.0,-0.0027123888700931144,0.001019731602285581,0.0,Rbias3,0.003721759889487274,-0.0022896261620690243,0.002778526804535166,-0.00670828988919877,-0.0007253765520108327,0.0020026337527830063,0.0031663608748030004,0.0005056978775412059,4.655765502261681e-07,0.008212978933674554,0.0,0.0026930008152678563,-0.0009625503909425955,0.0,
9,Rd,-0.0008194527480778005,0.001316956858280535,-0.006215563039663183,-0.02288342319436296,-0.0001723329053827436,-0.0004481725851997675,-0.0007073533062718812,-0.00010766994348241738,-2.3596804238287033e-07,-0.001814842761712404,0.0,-0.000882642428203058,0.00023446173557321065,0.0,Ibias,0.00812674665962211,-0.0012114874286305063,-0.004501223572009733,-0.02294408258955353,-0.00022720579867190497,0.008880949907143755,0.00530111765278514,0.002644384164805378,0.0015840534684706245,-0.003949821345347296,0.0,0.006317966455602867,0.0091273816019131,0.0,W1,0.00032934527202703267,0.0028745803982970016,-0.006821560454196647,-0.0004264910847185064,-0.0017672689847519365,0.00018022006343841542,0.0035459828610829632,-0.0013152038889556045,-0.0010972513970487789,-0.00016034532501830028,0.0,0.0002580184976350195,0.00021987149732482708,0.0,W2,0.0010671134407630699,0.00011886109261015254,-0.0022885513608554954,-0.012244410197184747,-0.0014745631877551854,0.0005839320261275437,0.0009216329723413408,0.00014041092389213916,0.0,0.0023668967353913713,0.0,0.0026887719116481944,-0.0003009660773568313,0.0,Alo,0.0,-0.0007980609543461681,0.0003501930093478802,0.001824513318353928,-0.002507343373638524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.00392520473283919,0.0014533982471760997,0.002025555628608456,0.01014299640559814,0.0007757487115448581,-0.002187605281922037,-0.003395065461861986,-0.0005158322051930646,-7.07904127148611e-07,-0.008695821034643432,0.0,-0.002923877569724684,0.0011482178193633291,0.0,Rbias3,0.003913907929313302,-0.0015615182106114632,-0.0027697394082654165,-0.010814330228877891,-0.0009343477561557881,0.002088222713957248,0.0033766328024152706,0.0005150557392543599,4.7193608476574067e-07,0.00868195033178724,0.0,0.002904949571828793,-0.001081374169713645,0.0,
10,Rd,-0.0008302550259287031,0.0015855803889328907,-0.018939552412592573,-0.04467653633098437,-0.0007347446833300868,-0.0004510681554570146,-0.0007236718798808977,-0.00010715993857205144,0.0,-0.0018539930281598809,0.0,-0.0008810734206919369,0.00026055669121418534,0.0,Ibias,0.008100980322511888,-0.0009089122742434472,-0.01661319270082421,-0.04437928665602717,-0.0008390431957923435,0.008872455109185625,0.005369980864056045,0.00260821512252612,0.0015671112045123543,-0.004042519617266045,0.0,0.006341216774649439,0.009274464665974792,0.0,W1,-4.9726504226765624e-05,0.0021776224296484884,-0.014955775319696501,-0.02258387093515303,-0.0019147359714184501,-2.6788959473297137e-05,0.002821799704283621,-0.003362931013425615,-0.0017328084905475923,2.4100187924140363e-05,0.0,-3.676625493860465e-05,0.0016861740160009119,0.0,W2,0.0010868793066704317,0.00018880466375455036,-0.011362134517040288,-0.024246389399112764,-0.002103432092745542,0.0005910465022548229,0.0009481200728414257,0.00014051609592183385,2.377292482641618e-07,0.0024306760963433483,0.0,0.002673909450082095,-0.0003373701573254759,0.0,Alo,0.0,-0.0005152464691804362,-0.011887400657950893,-0.03255909565810863,-0.0030990180008261463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.004035838601974761,0.0011889381525024636,-0.003170160138356075,0.006551451871799084,0.0001534761848175726,-0.0022350680511973196,-0.0035246464940961275,-0.0005208288190895571,-4.754584965283236e-07,-0.009014044097605683,0.0,-0.0030394450260423566,0.0012973692910590374,0.0,Rbias3,0.004024294949207943,-0.001315618010030678,-0.014290032945958002,-0.03371629827067481,-0.0015489733921827196,0.0021341871047121457,0.0035055568281998017,0.0005203035252731213,7.131877447924854e-07,0.009000846375647353,0.0,0.003019593274064381,-0.0012225861368274438,0.0,
