Iteration No,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,0.001401354,7.602140661987632,7.277862852914808,82.73249752981374,18.22974895275921,0.004971918,0.01570324,0.09844449,0.4821857,0.2087926,9999000.0,0.01103431,0.002919739,2.0,
2,0.001366034,8.112416396686314,6.702770313662299,85.30310349527068,17.472227106506082,0.004846318,0.01602474,0.09523821,0.4731442,0.2092713,9999000.0,0.01091364,0.002889844,2.0,
3,0.001348562,8.608409724502568,6.294084490303277,88.62231290622074,16.56080106596477,0.004788994,0.01669515,0.09155196,0.4627316,0.2080731,9999000.0,0.01093706,0.002921675,2.0,
4,0.001324856,9.001691250523075,6.35196485463014,86.39192975855326,15.87775142858332,0.004719184,0.0172215,0.08815229,0.4533325,0.2046152,9999000.0,0.01091357,0.002956963,2.0,
5,0.00129106,9.351151502996263,5.984638985138076,83.34751821541442,15.419201056173556,0.004618542,0.017452,0.08522237,0.4455168,0.200291,9999000.0,0.01082159,0.002971191,2.0,
6,0.001256099,9.64054708394923,5.925386560926725,79.82312016321143,15.194958309089692,0.004510556,0.01746398,0.08319253,0.4399814,0.1965914,9999000.0,0.01066081,0.002957941,2.0,
7,0.001218291,9.980697634410935,5.395908358208914,81.06880569210514,15.00428717264429,0.004395827,0.01750975,0.08091357,0.4335686,0.1919142,9999000.0,0.01045404,0.002946734,2.0,
8,0.001184072,10.233626192006167,5.171001689547666,86.39198512333311,15.076748220792036,0.004297133,0.01732525,0.07966952,0.4302518,0.1865669,9999000.0,0.01023994,0.002930091,2.0,
9,0.001165668,10.411590670714197,4.957865175283189,90.56623699254331,14.868492342540842,0.004241861,0.01740505,0.07814704,0.4259715,0.1841048,9999000.0,0.01015363,0.002933258,3.0,
10,0.001129693,10.638030817331611,4.90636662910093,87.07717066202474,14.94194095729592,0.004147319,0.01714465,0.0769863,0.4230358,0.1763169,9999000.0,0.009913497,0.002931041,3.0,
11,0.001106299,10.80911469181869,4.827879757830573,88.82880451193901,14.946375492576031,0.004088664,0.01701347,0.07586222,0.4202132,0.1707889,9999000.0,0.009754956,0.002944026,3.0,
12,0.001086606,10.999647532764987,4.651670346297308,85.97855549127996,14.908003607866966,0.004039346,0.01696273,0.07473788,0.4171338,0.1659889,9999000.0,0.009620049,0.002957933,3.0,
13,0.001067832,11.187086680560292,4.473415279070224,82.55397389554395,14.864683463236908,0.003992067,0.01691311,0.07378694,0.4143761,0.1612937,9999000.0,0.009490804,0.002968208,3.0,
14,0.001048594,11.331973738596538,4.337875248100531,81.44068346506964,14.85633824381987,0.003944223,0.01678286,0.07287426,0.4119955,0.1566714,9999000.0,0.009357007,0.00298216,3.0,
15,0.001030907,11.506247168684409,4.171991061553257,78.85805502313298,14.80790961095455,0.003899776,0.01670877,0.07204208,0.4095423,0.152217,9999000.0,0.009247237,0.002993137,3.0,
16,0.00101236,11.63750618278469,4.052144487032976,77.84832554384485,14.806309531141451,0.003853817,0.01655963,0.07122413,0.4073731,0.1477223,9999000.0,0.009115881,0.003008662,3.0,
17,0.0009949275,11.783510687925283,3.912666585408388,76.40774741534239,14.787599793415197,0.003810381,0.01645255,0.07037394,0.4049354,0.1434096,9999000.0,0.008991712,0.003024816,3.0,
18,0.0009777907,11.921010947450757,3.78195195822056,75.43999795026554,14.77393721197566,0.003767793,0.01633251,0.06958341,0.4026496,0.1391465,9999000.0,0.008868762,0.003042139,3.0,
19,0.0009614514,12.05739304853135,3.653795026642811,74.38214386592739,14.757272593986102,0.003726975,0.01621668,0.06892112,0.4006301,0.134979,9999000.0,0.008750925,0.003058318,3.0,
20,0.0009582684,12.063001405210203,3.6300488840932843,74.72469390936129,14.754144904838963,0.003717665,0.01617111,0.06887899,0.4005285,0.1344509,9999000.0,0.008726796,0.003056916,3.0,
21,0.0009549447,12.06856212099136,3.6687799578631655,75.6971518436678,14.76196773740364,0.003708131,0.01612314,0.0688362,0.4004293,0.1338627,9999000.0,0.00870166,0.003056063,3.0,
22,0.000951612,12.073586862352323,3.708865986070279,77.07222869900588,14.769833881000778,0.003698567,0.01607497,0.06879326,0.4003295,0.1332724,9999000.0,0.008676419,0.003055269,3.0,
23,0.0009483236,12.078138944764177,3.7493288280871298,78.7009072342407,14.7774892559762,0.003689098,0.01602742,0.06875065,0.4002298,0.1326947,9999000.0,0.008651466,0.003054463,3.0,
24,0.0009450212,12.082290292266606,3.7909272554682474,80.69217933784617,14.784991769768098,0.003679567,0.01597963,0.06870772,0.4001289,0.1321171,9999000.0,0.008626373,0.003053663,3.0,
25,0.0009417609,12.085863477403038,3.8325825262244564,83.21596874992713,14.792494301188706,0.003670132,0.01593242,0.06866512,0.4000281,0.1315509,9999000.0,0.008601553,0.00305286,3.0,
26,0.0009385572,12.08896625060966,3.8375560521992327,87.1107799655421,14.799724615907381,0.003660816,0.01588604,0.06862296,0.3999274,0.1310016,9999000.0,0.008577113,0.003052006,3.0,
27,0.0009353493,12.091758500006588,3.8856175342440338,88.98636226758296,14.806781059086433,0.00365146,0.01583957,0.06858056,0.3998255,0.1304551,9999000.0,0.008552605,0.003051139,3.0,
28,0.0009321385,12.094107385359216,3.9330541119657028,88.74386880910319,14.813834726049835,0.003642065,0.01579303,0.06853791,0.3997224,0.1299124,9999000.0,0.008528034,0.003050249,3.0,
29,0.0009288052,12.096146175658566,3.9820859606615073,84.83850461310192,14.821204802487046,0.0036324,0.01574449,0.0684942,0.3996185,0.1293312,9999000.0,0.008502543,0.003049676,3.0,
30,0.0009256169,12.097627235403385,4.028312434564896,81.5010951093588,14.8281767222111,0.003623102,0.0156981,0.06845198,0.3995169,0.1287849,9999000.0,0.00847808,0.003049021,3.0,
31,0.0009225815,12.09884264233142,4.070962943706675,79.75161366195553,14.834838033822987,0.003614275,0.01565383,0.06841189,0.3994208,0.1282598,9999000.0,0.008454743,0.003048531,3.0,
32,0.0009195802,12.099766176541094,4.112230183696312,77.58973371991456,14.841406455775893,0.003605552,0.01560998,0.06837226,0.3993259,0.1277387,9999000.0,0.008431639,0.003048129,3.0,
