Iteration No,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,0.7219402750183113,0.3664882781676973,0.0,0.0,0.21531659685061394,0.1401354,0.0,0.0,
2,0.6253838407098793,0.3239653002761405,0.0,0.0,0.16481514043373882,0.13660339999999999,0.0,0.0,
3,0.5215421273557707,0.2826325229581193,0.0,0.0,0.1040534043976514,0.1348562,0.0,0.0,
4,0.440861424361965,0.24985906245641037,0.0,0.0,0.05851676190555466,0.13248559999999998,0.0,0.0,
5,0.3777901118285485,0.2207373747503114,0.0,0.0,0.027946737078237048,0.129106,0.0,0.0,
6,0.33522819694354367,0.1966210763375642,0.0,0.0,0.012997220605979484,0.1256099,0.0,0.0,
7,0.29039010864204134,0.16827519713242203,0.0,0.0,0.0002858115096193122,0.12182910000000001,0.0,0.0,
8,0.2707215653856218,0.14719781733281945,0.0,0.0,0.005116548052802372,0.1184072,0.0,0.0,
9,0.2489342441071502,0.1323674441071502,0.0,0.0,0.0,0.1165668,0.0,0.0,
10,0.2264667318890324,0.11349743188903241,0.0,0.0,0.0,0.1129693,0.0,0.0,
11,0.20987034234844246,0.09924044234844245,0.0,0.0,0.0,0.1106299,0.0,0.0,
12,0.19202330560291772,0.08336270560291772,0.0,0.0,0.0,0.1086606,0.0,0.0,
13,0.1745259766199757,0.0677427766199757,0.0,0.0,0.0,0.1067832,0.0,0.0,
14,0.16052825511695512,0.05566885511695514,0.0,0.0,0.0,0.10485939999999999,0.0,0.0,
15,0.14423676927629925,0.04114606927629927,0.0,0.0,0.0,0.1030907,0.0,0.0,
16,0.13144381810127578,0.03020781810127578,0.0,0.0,0.0,0.10123599999999999,0.0,0.0,
17,0.11753352600622645,0.018040776006226444,0.0,0.0,0.0,0.09949275,0.0,0.0,
18,0.10436149104577028,0.006582421045770262,0.0,0.0,0.0,0.09777907000000001,0.0,0.0,
19,0.09614514,0.0,0.0,0.0,0.0,0.09614514,0.0,0.0,
20,0.09561475,0.0,0.0,0.0,0.0,0.09561475,0.0,0.0,
21,0.09506099,0.0,0.0,0.0,0.0,0.09506099,0.0,0.0,
22,0.09450518,0.0,0.0,0.0,0.0,0.09450518,0.0,0.0,
23,0.09396586,0.0,0.0,0.0,0.0,0.09396586,0.0,0.0,
24,0.09343958999999999,0.0,0.0,0.0,0.0,0.09343958999999999,0.0,0.0,
25,0.09290513,0.0,0.0,0.0,0.0,0.09290513,0.0,0.0,
26,0.09237050999999999,0.0,0.0,0.0,0.0,0.09237050999999999,0.0,0.0,
27,0.09186704999999999,0.0,0.0,0.0,0.0,0.09186704999999999,0.0,0.0,
28,0.09137226999999999,0.0,0.0,0.0,0.0,0.09137226999999999,0.0,0.0,
29,0.09088025,0.0,0.0,0.0,0.0,0.09088025,0.0,0.0,
30,0.09038908,0.0,0.0,0.0,0.0,0.09038908,0.0,0.0,
31,0.08989932,0.0,0.0,0.0,0.0,0.08989932,0.0,0.0,
32,0.08941303,0.0,0.0,0.0,0.0,0.08941303,0.0,0.0,
33,0.08892508,0.0,0.0,0.0,0.0,0.08892508,0.0,0.0,
34,0.0884558,0.0,0.0,0.0,0.0,0.0884558,0.0,0.0,
35,0.08794737,0.0,0.0,0.0,0.0,0.08794737,0.0,0.0,
36,0.08741438,0.0,0.0,0.0,0.0,0.08741438,0.0,0.0,
37,0.08695635,0.0,0.0,0.0,0.0,0.08695635,0.0,0.0,
38,0.08649479,0.0,0.0,0.0,0.0,0.08649479,0.0,0.0,
39,0.08603459,0.0,0.0,0.0,0.0,0.08603459,0.0,0.0,
40,0.08557698,0.0,0.0,0.0,0.0,0.08557698,0.0,0.0,
41,0.08512615,0.0,0.0,0.0,0.0,0.08512615,0.0,0.0,
42,0.08467815,0.0,0.0,0.0,0.0,0.08467815,0.0,0.0,
43,0.08444178000000001,0.0,0.0,0.0,0.0,0.08444178000000001,0.0,0.0,
44,0.08475706340038236,0.00046076340038236907,0.0,0.0,0.0,0.08429629999999999,0.0,0.0,
45,0.08514851,0.0,0.0,0.0,0.0,0.08514851,0.0,0.0,
46,0.08477476,0.0,0.0,0.0,0.0,0.08477476,0.0,0.0,
47,0.0843367,0.0,0.0,0.0,0.0,0.0843367,0.0,0.0,
48,0.08390188,0.0,0.0,0.0,0.0,0.08390188,0.0,0.0,
49,0.08367822999999999,0.0,0.0,0.0,0.0,0.08367822999999999,0.0,0.0,
50,0.08353905,0.0,0.0,0.0,0.0,0.08353905,0.0,0.0,
51,0.0834302,0.0,0.0,0.0,0.0,0.0834302,0.0,0.0,
52,0.08332757,0.0,0.0,0.0,0.0,0.08332757,0.0,0.0,
53,0.08321584,0.0,0.0,0.0,0.0,0.08321584,0.0,0.0,
54,0.08310131,0.0,0.0,0.0,0.0,0.08310131,0.0,0.0,
55,0.08299212,0.0,0.0,0.0,0.0,0.08299212,0.0,0.0,
56,0.08288147,0.0,0.0,0.0,0.0,0.08288147,0.0,0.0,
