Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,Rbias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,
1,Rd,-0.00018564459456247589,-0.00021143050438091662,0.0,0.0,2.7815350343844115e-05,-2.0294405254151494e-06,0.0,Ibias,1039.0836121289321,90.64459048771944,0.0,0.0,834.6767168673,113.76230477386582,0.0,W1,-26518.971838225825,-15266.823556920432,0.0,0.0,-11473.966795591708,221.81851428707026,0.0,W2,-420833.27751458494,-124509.84422279877,0.0,0.0,-301296.87037271174,4973.437080917308,0.0,Alo,-3.4234505556297004,-0.9806028380186048,0.0,0.0,-2.442847717611053,0.0,0.0,Rbias2,-1.1431127019173997e-06,-5.029023969162597e-07,0.0,0.0,-4.2930508315888086e-07,-2.1090522184199416e-07,0.0,Rbias3,2.947037730441362e-07,1.2706652902209443e-07,0.0,0.0,1.2122829692093977e-07,4.64089471010506e-08,0.0,
2,Rd,-0.0003453834767869533,-0.00018389544283687256,0.0,0.0,-0.00015949392097968284,-1.9941129703921503e-06,0.0,Ibias,-47.00149515375412,68.50386973861733,0.0,0.0,-230.7779560911265,115.27259119878401,0.0,W1,-52990.438751822934,-14419.346524391705,0.0,0.0,-38801.1892598804,230.0970324487999,0.0,W2,-528917.425143812,-94240.92595514066,0.0,0.0,-439132.3242517201,4455.825063058354,0.0,Alo,-3.684582763178908,-0.6492998875243289,0.0,0.0,-3.035282875654579,0.0,0.0,Rbias2,-6.948358747075892e-06,-6.635079081986966e-07,0.0,0.0,-6.075336790431819e-06,-2.0951404844481622e-07,0.0,Rbias3,-1.1643473376378672e-06,1.6573723810536083e-07,0.0,0.0,-1.3765850186665471e-06,4.650044292332272e-08,0.0,
3,Rd,-0.00042098292114264515,-0.00011852348749682447,0.0,0.0,-0.0003003585529600705,-2.100880685734316e-06,0.0,Ibias,-809.9611138555721,180.00425611213566,0.0,0.0,-1105.4154430003446,115.45007303267774,0.0,W1,-68812.94648105367,-12541.622918560595,0.0,0.0,-56501.97559235556,230.65202986374425,0.0,W2,-564870.6096799647,-58656.82481597206,0.0,0.0,-510228.83967006044,4015.054806075392,0.0,Alo,-3.644555428723821,-0.32177171230569857,0.0,0.0,-3.3227837164181047,0.0,0.0,Rbias2,-1.1051928844963561e-05,-1.2554777041472252e-06,0.0,0.0,-9.589892901466098e-06,-2.0655823934987006e-07,0.0,Rbias3,-2.1394947537221976e-06,2.956158023116388e-07,0.0,0.0,-2.4812082561008634e-06,4.609770006713511e-08,0.0,
4,Rd,-0.0003598381673440512,-4.5484585016561195e-05,0.0,0.0,-0.00031202639612348,-2.327186204011918e-06,0.0,Ibias,-894.7169995552993,339.8578234608423,0.0,0.0,-1348.9935965175841,114.41877350145433,0.0,W1,-66589.67230046037,-10296.574210422752,0.0,0.0,-56512.23371861631,219.13562858000873,0.0,W2,-485473.5385311221,-25617.191242946832,0.0,0.0,-463487.0073970965,3630.6601089189617,0.0,Alo,-3.0149230817706103,-0.09419007524876713,0.0,0.0,-2.9207330065218593,0.0,0.0,Rbias2,-1.1640019856431012e-05,-1.8072074187966358e-06,0.0,0.0,-9.631051261226886e-06,-2.0176117640742796e-07,0.0,Rbias3,-2.138876690610932e-06,4.1828653885921795e-07,0.0,0.0,-2.602396096846326e-06,4.523286737622093e-08,0.0,
5,Rd,-0.00020635428782791887,1.149290541818464e-05,0.0,0.0,-0.00021530717906111414,-2.540014184991218e-06,0.0,Ibias,-364.1184457876361,492.70567257871005,0.0,0.0,-970.1622099372419,113.3380915709071,0.0,W1,-49029.436895420054,-8061.622785898348,0.0,0.0,-41180.293366462065,212.47925693931552,0.0,W2,-332248.63290676975,-3193.207729456194,0.0,0.0,-332371.2481842188,3315.8230069151737,0.0,Alo,-2.064769265292007,-0.000558971084255605,0.0,0.0,-2.064210294207708,0.0,0.0,Rbias2,-8.843084647095231e-06,-2.113278525019368e-06,0.0,0.0,-6.532188657667241e-06,-1.976174644083308e-07,0.0,Rbias3,-1.2931454105577406e-06,5.100872911115947e-07,0.0,0.0,-1.8478174281891046e-06,4.4584726519782487e-08,0.0,
6,Rd,-6.208602552856676e-05,5.168168921525318e-05,0.0,0.0,-0.00011098818835585934,-2.7795263879630743e-06,0.0,Ibias,270.28811119075954,620.9690559173781,0.0,0.0,-462.4474424293475,111.76649770275354,0.0,W1,-30377.210586158028,-6541.252621146035,0.0,0.0,-24040.584800301393,204.62683529067775,0.0,W2,-194343.3973076029,10558.215380264339,0.0,0.0,-207968.47779474492,3066.8651068796644,0.0,Alo,-1.2633870808680492,0.049475705778097734,0.0,0.0,-1.3128627866461335,0.0,0.0,Rbias2,-5.333384595467047e-06,-2.3918258498015165e-06,0.0,0.0,-2.75010494139113e-06,-1.914538042745542e-07,0.0,Rbias3,-3.3136070076248013e-07,5.98657608025168e-07,0.0,0.0,-9.737780395972986e-07,4.375973080963421e-08,0.0,
7,Rd,1.858545603037284e-05,6.0401564418912466e-05,0.0,0.0,-3.900924544188013e-05,-2.8068629466598436e-06,0.0,Ibias,652.4912864476709,632.062630683258,0.0,0.0,-91.45541213867615,111.88406790306203,0.0,W1,-18215.934712745173,-5854.574773249449,0.0,0.0,-12563.308928361415,201.94898886518575,0.0,W2,-110840.63392165437,14829.296944648755,0.0,0.0,-128566.46092200329,2896.530055694422,0.0,Alo,-0.7678752440465835,0.07766387139272189,0.0,0.0,-0.8455391154393054,0.0,0.0,Rbias2,-2.7551256029642284e-06,-2.403824277219582e-06,0.0,0.0,-1.619744115882225e-07,-1.893269141565469e-07,0.0,Rbias3,2.834260505326764e-07,6.083056504561058e-07,0.0,0.0,-3.6890609006068514e-07,4.4026490137233364e-08,0.0,
8,Rd,4.461980265944895e-05,5.043101683118349e-05,0.0,0.0,-3.1136042258881345e-06,-2.6976099458474575e-06,0.0,Ibias,777.4133520719741,572.2520095322566,0.0,0.0,92.0457080741754,113.11563446551477,0.0,W1,-12353.02286557182,-5531.562369066694,0.0,0.0,-7023.81187559669,202.3513790910159,0.0,W2,-73511.08064803462,13930.367050543851,0.0,0.0,-90220.45074787461,2779.003049297683,0.0,Alo,-0.5174344942612265,0.10007187660635494,0.0,0.0,-0.617506370867606,0.0,0.0,Rbias2,-1.3107741300686507e-06,-2.2139394433843024e-06,0.0,0.0,1.093119475537622e-06,-1.899541622219838e-07,0.0,Rbias3,5.467039867870428e-07,5.749599951658224e-07,0.0,0.0,-7.324420498758962e-08,4.4988196608761866e-08,0.0,
9,Rd,4.220067643344374e-05,3.581518587832745e-05,0.0,0.0,8.922986242953489e-06,-2.5374956878396718e-06,0.0,Ibias,753.231507836802,496.8765204780227,0.0,0.0,141.6600535065244,114.6949338522269,0.0,W1,-10519.94731183379,-5462.406275815541,0.0,0.0,-5260.618875483991,203.07783946552703,0.0,W2,-62143.264447684465,11622.240633185258,0.0,0.0,-76454.80640758901,2689.3013267199008,0.0,Alo,-0.4126475635892279,0.11499984562706256,0.0,0.0,-0.5276474092162784,0.0,0.0,Rbias2,-7.24023489028221e-07,-2.028424606543595e-06,0.0,0.0,1.4746251615443882e-06,-1.7022404402917473e-07,0.0,Rbias3,5.924396835237213e-07,5.304036958739115e-07,0.0,0.0,1.5777875556820733e-08,4.625811209295985e-08,0.0,
10,Rd,3.108855185063864e-05,2.4163712156517435e-05,0.0,0.0,9.447752987996917e-06,-2.5229132938757066e-06,0.0,Ibias,672.6763341590159,435.2018405951779,0.0,0.0,122.46751407372489,115.00697949010838,0.0,W1,-10414.899871176352,-5348.5731250739045,0.0,0.0,-5268.639418755086,202.31267265301042,0.0,W2,-61510.34945318157,9657.449221569019,0.0,0.0,-73764.27628059435,2596.4776058404545,0.0,Alo,-0.37333301093323223,0.12597079026322494,0.0,0.0,-0.499303801196469,0.0,0.0,Rbias2,-6.376603185333089e-07,-1.8738479358542144e-06,0.0,0.0,1.4268962954271266e-06,-1.9070867810608774e-07,0.0,Rbias3,5.472906953746653e-07,4.97523964551699e-07,0.0,0.0,3.1236887436558713e-09,4.6643042079326736e-08,0.0,
