Iteration No,Rd,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,Ibias,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,W1,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,W2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,Alo,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,Rbias2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,Rbias3,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,
1,Rd,-0.070203939543384,0.6257324573021675,-4.929978354854359,0.4814343788414367,-0.13353626420943143,-0.04223527790248442,-0.05673038337288566,-0.010222605138052928,-2.4651605029734902e-05,-0.11589970845149664,0.0,-0.11739783966451652,-0.019260972842831025,Ibias,0.7397968861227844,-0.04249203583095396,-4.888607162801229,0.596005773144856,-0.03522282038743404,0.8317018210873822,0.5075045733574054,0.23400547535387564,0.15439300229679595,-0.32300853268405094,0.0,0.3115661535481087,0.7038844713509674,W1,0.04833494375428793,0.29275327984120425,-5.099842760966888,0.3507661940977344,-0.19383785671970638,0.02908377120193401,0.3162112404488389,-0.27250190762342164,-0.1571786336650739,-0.02109210802438454,0.0,0.02044821042283882,0.24380389863918275,W2,0.1516994218105327,0.31009968756423567,-6.056100460713909,0.4790780436272514,-0.3555449890500489,0.09132169821282085,0.12260894294138727,0.022096236677934412,0.0,0.25050441135024637,0.0,0.5477071098786369,0.04179610896009915,Alo,0.0,0.3960105803223608,-6.8913778554389316,0.507393999392833,-0.4555100937170929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.19668707029096197,0.06020253192372158,0.8904698109342625,0.3187122280555544,-0.13563644022523072,-0.12052637192783203,-0.15902628332398913,-0.028645308071902093,-2.4651605029734902e-05,-0.32486121784834776,0.0,-0.04726406531949128,-0.05392263960618198,Rbias3,0.1953481521814403,-0.06729430401340426,-5.401583885851804,0.4801741103989281,-0.13753037240796115,0.1081405811434516,0.1578571873245422,0.028452688325007774,2.4651605029734902e-05,0.3225453613929619,0.0,0.04645689911856698,0.053841796068535876,
2,Rd,-0.07699070779007443,0.38867955456239167,9.543075402710457,0.6781272490086451,-0.27968778055436105,-0.046496471566064464,-0.0624206713505949,-0.011173232552527357,0.0,-0.12540318891477997,0.0,-0.1340821674170886,-0.022529462636547922,Ibias,0.7350475187353686,-0.10255440717807159,9.315426289745618,0.7304306873838716,-0.17883120254116353,0.8286568416636166,0.5101876189483564,0.23022703090199734,0.1532906982459555,-0.3219506095124682,0.0,0.3068435434644668,0.6999033855583827,W1,0.050240072627756774,0.24445395451390944,9.054205495817177,0.47267253158877026,-0.31271821342020073,0.03037645236581984,0.31084694799752377,-0.26853326903043473,-0.15597173393998207,-0.02200737653348128,0.0,0.0210663547004251,0.24269833824352882,W2,0.14596063205537932,0.19081528416160462,8.257357865726243,0.6921155649086266,-0.4713091004811365,0.08818755342835631,0.11833086096837026,0.02116374434920597,2.4824404574957928e-05,0.23777151115082953,0.0,0.5324434813014574,0.04279405865886364,Alo,0.0,0.19811235163641225,7.554258747055557,0.6380728747862031,-0.5809141830220876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.1969058285094682,0.10709653101965547,7.735254877680521,0.8099886940663243,-0.23228778412521753,-0.12101329029691008,-0.15973524040953951,-0.028566184844789764,-2.4824404574957928e-05,-0.32085553941209327,0.0,-0.04403213482467068,-0.05753555890252202,Rbias3,0.19558372133506863,-0.11223580962310183,8.774736488283542,0.5991193077989221,-0.26749349820091806,0.1090197830306639,0.15856449588739496,0.02835746941727682,2.4824404574957928e-05,0.31855942468549703,0.0,0.04308242211276044,0.057396488145501905,
3,Rd,-0.08861354477295953,0.15087829797890395,4.279741536250004,1.4855313793271911,-0.3306455134598382,-0.05362745705075584,-0.07218228264045168,-0.012779387424496894,0.0,-0.14325635790572722,0.0,-0.16675624078843515,-0.026967579104889006,Ibias,0.7265454501867767,-0.1879993442752756,4.037094018511226,1.5764439616860575,-0.2383843335191194,0.8239716287435884,0.5091472990812096,0.2262471747220479,0.1523213078004285,-0.3306866629990426,0.0,0.2880934560333991,0.6972278785351184,W1,0.04952940642624421,0.2027386016568093,3.7779357868890053,1.2527391799692904,-0.3554634289983473,0.029974380583438084,0.30547739697894744,-0.2569092693016208,-0.15057307177058776,-0.022563670865606542,0.0,0.019783241616016817,0.23109317787332587,W2,0.1402405665102503,0.08620116548919339,3.0584049346495803,1.464206251716292,-0.4982277938994168,0.08487127985423344,0.11413531720668273,0.020202397941688682,2.4974800413224156e-05,0.226625414108675,0.0,0.516260176004911,0.042741792042597995,Alo,0.0,0.06108064887075191,2.299561866818771,1.3076770162841345,-0.6050609378896861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.19559192563654307,0.15262120742910062,2.6247255294698624,1.2425311642766994,-0.25983002688134654,-0.12029908058704147,-0.15930072418405916,-0.028187757740502462,-2.4974800427087954e-05,-0.31620919029968686,0.0,-0.03363151074725719,-0.05943600767894203,Rbias3,0.19426486288873548,-0.15649756644808302,3.567409913877584,1.4009626381488767,-0.3110397244894659,0.10904249600320916,0.15806519633362137,0.027976876759874706,2.4974800413224156e-05,0.31387867030415056,0.0,0.03247748831963744,0.059244340450069245,
4,Rd,-0.09993724290489457,-0.03980519302105759,5.964934541699998,2.6345493816425978,-0.25640646333713185,-0.06042378236760427,-0.0817363374781482,-0.014275533709645247,-2.5120288502211728e-05,-0.16079337979736447,0.0,-0.2230612607982346,-0.03121537649880749,Ibias,0.7201054352468613,-0.27556650966219437,5.351533987319744,2.526330564755288,-0.18657084688085984,0.8209525855247147,0.5096904817031717,0.22261309880359534,0.15137485850997717,-0.3380492768555371,0.0,0.24148496649336368,0.696577310574711,W1,0.049947827186339944,0.16681734863132358,4.533028164143198,1.6699115834793945,-0.2930007509101022,0.030306323017055024,0.2993830965769179,-0.2538914323644342,-0.14979228033437966,-0.022955277301179133,0.0,0.015893411350743913,0.22806976738175752,W2,0.13541226088153932,0.01147922319792122,4.383366789257873,2.0919413196681855,-0.410836794826625,0.08200460399255935,0.1107242246070174,0.01933233968042582,2.5120288502211728e-05,0.21784451720120296,0.0,0.4991005594322537,0.04242042294158041,Alo,0.0,0.0003931527666084836,3.74132943329627,1.8291611161883476,-0.49921369322189396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.1957572211208173,0.18427562302664632,3.031682314333164,1.2610132327347114,-0.19585308806812332,-0.12039429193562744,-0.16014619610544084,-0.02795447795082618,-2.5120288502211728e-05,-0.31502304042825147,0.0,-0.009725818886282524,-0.06110165358426868,Rbias3,0.19417685689677208,-0.19555752979780713,4.684064112508192,2.06675197215309,-0.24358450288708258,0.10972979023416285,0.1587733635638081,0.027727205772365458,2.5120288502211728e-05,0.3123975527616604,0.0,0.00893510190364608,0.060861677301307544,
5,Rd,-0.11186603274549217,-0.18580530744615587,4.861793309396365,2.2132595341893873,-0.14256822225394794,-0.06778222323706547,-0.09189991095748248,-0.015829435890849525,-2.5270214403333737e-05,-0.17898292154215356,0.0,-0.25463527807050224,-0.03598664651896409,Ibias,0.7096181440069356,-0.3521899900899616,4.311518572998885,2.170410720500107,-0.09371173699563401,0.8146897058385547,0.5067881084089448,0.21835436725238977,0.15048412676753187,-0.3511338906119045,0.0,0.22807869677234704,0.6940462212848573,W1,0.050014070297430345,0.14281851549590144,3.647541815372002,0.8881519091808738,-0.18753968286023168,0.030329504502264373,0.2929985396409078,-0.2508312606531162,-0.14899318411776322,-0.0244099968544658,0.0,0.015549070789080301,0.22517358821860683,W2,0.13148662215782472,-0.04043629828584626,3.456909146477621,1.4099437552837204,-0.2845790623488214,0.07967079333247606,0.10798883094302968,0.01862793090330633,0.0,0.21033162012636655,0.0,0.48579299876145854,0.04240832379250181,Alo,0.0,-0.03754046976079315,2.565026249885074,0.6140713125784387,-0.3559193499516701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.1944855084128844,0.2170434987081721,2.4182899335025176,0.47722238108406195,-0.08916430921644049,-0.11959305846496043,-0.1598080244325095,-0.027525709917182697,-5.0540428806667475e-05,-0.31124525143720294,0.0,-0.0011546339694784762,-0.06252116132065302,Rbias3,0.19296993052508885,-0.2358237195510109,3.7937784379891495,1.4565028111313967,-0.13705456694608553,0.10937980879009869,0.15846942628970154,0.02732479232655243,2.5270214403333737e-05,0.30864768617424987,0.0,-0.00046185358778471394,0.06226862345033669,
6,Rd,-0.11440061866542532,-0.21887367833367619,2.086964370766919,1.831281190091462,-0.05182268833432881,-0.06944088454324271,-0.09433955040159603,-0.01607521985291864,-2.5424881552564182e-05,-0.18148962135084526,0.0,-0.26178942464653415,-0.03814528813246037,Ibias,0.7076026796807264,-0.3554017148528218,1.5510274932492645,1.8601075786805148,-0.0188527997705977,0.8132335090030549,0.5106740759969359,0.21521081078103355,0.14960000305098298,-0.34877261872119886,0.0,0.2279295077434674,0.692808186104488,W1,0.05121375366061872,0.13200137833844666,0.9386175608456204,0.3823958539048027,-0.10384705557972165,0.031081048125601897,0.28768968413860996,-0.24759317430801153,-0.1482016345656343,-0.024932625085779682,0.0,0.016058842021148084,0.22332495513216524,W2,0.12944901545762355,-0.058922268384635795,0.7031794773270402,0.9912080414436643,-0.18728095903333852,0.07856114406127876,0.1066935391446461,0.018191524720832658,0.0,0.20535674963809644,0.0,0.4780535471482259,0.04324329369932569,Alo,0.0,-0.06178713230724539,-0.16274293644250443,0.09810279083076653,-0.24661514629673148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.19743332576129385,0.2228686619770006,-0.23041365318329507,-0.03794956111974339,-0.005505537675113323,-0.1215744280365514,-0.16284803343132992,-0.027758382342937284,-5.0849763105128364e-05,-0.3132915753299122,0.0,-0.00083324180298867,-0.06578940282610425,Rbias3,0.19591618494028787,-0.24066685653119962,1.0718455243498586,1.0424041659162775,-0.05350782511264569,0.11142145154715323,0.16146969584428852,0.027526458521796575,2.5424881552564182e-05,0.31073438301342804,0.0,-0.0009089910577983557,0.06548424052101841,
7,Rd,-0.11066476781951559,-0.18023595890871938,1.6681740391131947,0.7619825833374292,-0.0041695031250368764,-0.06729671042738837,-0.09155520287574105,-0.015462964371693692,-2.557453839949822e-05,-0.17386499300264785,0.0,-0.2500258958072872,-0.0382899031748006,Ibias,0.7110729425886082,-0.31339519791519227,1.0470646932013912,0.7943839151863017,0.018887989521483527,0.8148964841974978,0.5186593289482038,0.21294125770515404,0.14881823894239274,-0.3368832977606698,0.0,0.2389169697852163,0.6926334490764157,W1,0.05305277258763639,0.1263465023739735,0.4097226142339874,-0.16461939456187336,-0.06011259279300471,0.03228074085120233,0.2835167123419502,-0.24442309245243493,-0.14743721386887662,-0.02487318737531202,0.0,0.01748905245363704,0.22231273183550726,W2,0.12865297352500982,-0.056183250061762245,0.26792311310390987,0.1938305022486497,-0.13634099849749093,0.07825023006803662,0.10636673192436466,0.01797917049463348,2.55745383853015e-05,0.2020593161922733,0.0,0.4741559843333987,0.0445962628765236,Alo,0.0,-0.08149989053825074,-0.49818482658167124,-0.4427758283855221,-0.1884358812649914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.20284396019052678,0.2059645597891499,-0.7997974565477153,-0.49733592511203334,0.038104087982091035,-0.12520288905698215,-0.16783841465988303,-0.02835120619899474,-2.557453839949822e-05,-0.3187583757102089,0.0,-0.007430970785036975,-0.07012888825926976,Rbias3,0.20131040348292062,-0.22413968467918638,0.5921129139263912,0.2830338197058227,-0.01069871397169302,0.11489221119041138,0.16640586608176558,0.02811714051314271,2.55745383853015e-05,0.31610853330517175,0.0,0.006154945498707466,0.06980363188495466,
8,Rd,-0.1045697132822884,-0.12557865818836406,1.3930077832035697,0.34192203043718183,0.011927769008790253,-0.06364251965962774,-0.08673897746872102,-0.01454336489214078,0.0,-0.16271909829806985,0.0,-0.23881974223294244,-0.037422921384112864,Ibias,0.7163950011642223,-0.26406133281063465,0.7559279179745181,0.42168118872008437,0.028701467673656215,0.8177320767778835,0.5276428032781053,0.21117378819552524,0.1481276165312641,-0.3224177255291022,0.0,0.24859948159915582,0.693136793288483,W1,0.05484866392016841,0.125526535179648,0.2377585680697071,-0.2227796105864291,-0.04608809418867896,0.03348662366953667,0.2799900207694675,-0.24149950646958615,-0.1467648733137293,-0.02472571664189154,0.0,0.019260860736507117,0.22159702545306773,W2,0.12840051208897565,-0.04721338919824058,0.08921791092790261,0.02417166051278498,-0.11840784440809828,0.07828491095812033,0.10648631962321033,0.017847334198266774,2.5712136180440463e-05,0.1997023079911039,0.0,0.47062196156188746,0.04600699803151243,Alo,0.0,-0.0949193057883798,-0.5867790721552258,-0.41381988048933976,-0.1660356985780024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.1853926870129341,0.18796569285664635,-0.9065769468104543,-0.4171007430671686,0.05209568194400132,-0.11461546364626077,-0.1537821052005607,-0.025797510341121575,-5.1424272346607825e-05,-0.2881740128503489,0.0,-0.11982047086085663,-0.06637135007800501,Rbias3,0.20762635997367224,-0.2025578842345795,0.3336108502276868,0.09318783444514557,0.0022971613712605907,0.11893259913846921,0.17213915207949995,0.02885073197670259,2.5712136180440463e-05,0.3229094301213875,0.0,0.01134748384476702,0.07442577093226455,
9,Rd,-0.10439968901496537,-0.08335716689833975,1.408095468734903,0.1356280544931001,0.01259365885788856,-0.06377802334687212,-0.08679682909160394,-0.01444252306718288,-2.5837403155696598e-05,-0.1610001211603767,0.0,-0.20758524066704145,-0.03845341260198972,Ibias,0.7138946108131099,-0.22520759960653472,0.7010574006181566,0.2890044475184413,0.024488225920323726,0.8153286785607138,0.5296420239673213,0.20853992926729367,0.1475057346116408,-0.32063849763948143,0.0,0.28877214857055206,0.6910174193590025,W1,0.05611696171357583,0.12367770335210541,0.2964564286798137,-0.23649837612005908,-0.04707562056592019,0.034281988079597266,0.2765839255381642,-0.23889597312145305,-0.14618802705072895,-0.025209734868318328,0.0,0.022866404336122356,0.22084879819245856,W2,0.12743404128129987,-0.03951352003234419,0.17979330911333494,-0.05939944808787934,-0.11662011770385243,0.07783675973307977,0.10591804099296993,0.01763711407482885,0.0,0.19644039940319571,0.0,0.46931991440367515,0.04701501694329234,Alo,0.0,-0.10516703526917666,-0.44274706568188055,-0.370540278918664,-0.1610715182192858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.21101340079858205,0.17284480770967725,-0.8154980860015061,-0.37365145181415355,0.05085790969037176,-0.1308723998653176,-0.17551096127359164,-0.029197075953698425,-2.5837403155696598e-05,-0.32552681187985955,0.0,-0.03366649758934181,-0.07768179801072139,Rbias3,0.20960834788768964,-0.18638807543903285,0.3500939814733723,-0.0394714675867065,0.00045218481581794456,0.1201820378769079,0.17421548621250815,0.02898905607413644,2.5837403155696598e-05,0.3230826547596511,0.0,0.03187889594743385,0.07736811854131251,
10,Rd,-0.10165393229788239,-0.05405087902690206,1.4002424955106385,0.13416967217552536,0.009143058790177022,-0.0622380589946681,-0.08474322464377446,-0.013986601882529577,0.0,-0.15564862340645189,0.0,-0.19609022377746854,-0.03838603738126188,Ibias,0.7157969608014485,-0.1974377283183724,0.6834913415570302,0.27882653638636823,0.016645937099576638,0.8159588712356,0.5348667325549048,0.20670252921143184,0.1469683336832486,-0.3130351724873761,0.0,0.3021912952572387,0.6909300659614684,W1,0.05752208960184673,0.12235445716413029,0.36027219988423165,-0.16789065067263928,-0.052362986578237285,0.03520323743306264,0.27368363484367664,-0.23645584594335461,-0.1456707146325603,-0.02516516376646467,0.0,0.024427748437261483,0.22013824927665904,W2,0.12688442968311567,-0.034468344260070186,0.23382861050627268,-0.006612753294813067,-0.11941016722281371,0.07765265023595341,0.10573370991200769,0.0174720331537813,2.5952381000512144e-05,0.194091539325961,0.0,0.4661319291461787,0.047968591550623045,Alo,0.0,-0.11249016761658548,-0.2883449568943231,-0.2591767060318942,-0.16125516304094412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.21480367142487578,0.1633604707802144,-0.7165252810925431,-0.22778328916141558,0.04496076514537188,-0.13348772517654278,-0.1790701944224238,-0.029558850609490556,-2.595238101491861e-05,-0.3288155376116669,0.0,-0.041356400849698674,-0.08101444825884772,Rbias3,0.21342589682361918,-0.17518806785466107,0.3668749276109862,0.045571425788594945,-0.005368904895822278,0.12257893752888219,0.1777680551377782,0.02936438448703757,2.5952381000512144e-05,0.32638244166740177,0.0,0.039574437437866566,0.08069813093676614,
