Iteration No,alpha,Rd,W2,W1,Ibias,Alo,Rbias2,Rbias3,
1,0.01,1.710296538581305,1.276630788460134,1.4995931527980682,0.7862282817447179,1.920319534091291,1.2699264369124137,1.2818402750227862,
2,0.01,1.5256689529313645,1.3848343974320811,1.5547580733277124,0.8663920766038821,1.7620318600284293,1.4029078552046952,1.3804268341729753,
3,0.01,1.6115821228309928,1.3708506118727086,1.5485927294547952,0.9513682818380967,1.6794521881088498,1.421571375693804,1.3789145653951511,
4,0.01,1.4195802518502645,1.3007687864619513,1.4835069170685073,0.8819149492887397,2.155238085552623,1.5588429890227609,1.1592442557682368,
5,0.01,1.6427275941918074,1.314933708329407,1.634465586064606,0.7738247853827505,2.114268003331207,1.1079936192197066,1.27675766154923,
6,0.01,1.649962022144728,1.3703937816976142,1.751076708809655,0.8127209302744514,2.0232404342278922,1.1450973559478286,1.2577959488372235,
7,0.01,1.5123589084820728,1.5087378897373542,1.8725108303693279,0.8546641277162742,2.109360275437802,1.1077988872861868,1.2291857740060308,
8,0.01,1.4767725552496567,1.301173487471863,1.757113880142846,0.7707831503540176,2.20243357502227,1.0817621823088015,1.3716586559843218,
9,0.01,1.4892364447631672,1.305510359974702,1.6814812195832183,0.7510426623160535,1.9334864117800403,1.2083928643734725,1.4104048261697641,
10,0.01,1.5189976190239163,1.3255853681920562,1.8638637829854343,0.6895884624284896,1.967058558212179,1.0938623446240452,1.2297490044490462,
11,0.01,1.4605065078277168,1.3494216222974993,1.5549048134676782,0.8846111921170612,2.484806767195268,1.4404942933597729,1.167372696419724,
12,0.01,1.520825143176776,1.3406022985445576,1.7623027255159558,0.7231556093696208,1.9492696873199418,1.2162576539744399,1.2305688883548165,
13,0.01,1.5197638917351572,1.5831382031199754,1.6804295978382957,0.7256791838748967,1.943895698050345,1.092094968020824,1.2330742189066257,
14,0.01,1.5333111635091363,1.4789358335852485,1.636825894223432,0.8829617224625851,2.3982985164641692,1.133235171131648,1.2812664919725525,
15,0.01,1.4484998729300778,1.320044305660746,1.6053543522864293,0.5533355886772728,1.9444166655120438,1.1392796230617128,1.1966281034714081,
16,0.01,1.7979259664638996,1.302331505865851,1.7185624411120812,0.7118252274534952,1.9261879366612884,1.0901813319834253,1.239284188246624,
17,0.01,1.5755536091965494,1.3490856039050418,1.8042193836403801,0.8019123930285122,1.9382377394602581,1.2582096857587417,1.286074619871404,
18,0.01,1.725194609736838,1.2980547001674025,1.6996045898678078,0.7348137711688549,1.872629443502466,1.0928295231954628,1.4067468531859653,
19,0.01,1.5620739083346329,1.3317427873293792,1.7803301763176442,0.6681407132232963,1.9053718812242146,1.1172207384007384,1.2754230747655326,
20,0.01,1.7728377594655136,1.2767827676299421,1.6685036078826396,0.7145122651753292,1.9822489641392367,1.0774006494702268,1.3270776880183301,
21,0.01,1.6903291755145162,1.294954888661246,1.6887392543094573,0.7438351613461386,2.0216713204536325,1.0933176731668102,1.3793393887883467,
22,0.01,1.6484224914744017,1.3995899859836103,1.6751308394033044,0.7616260374952265,1.962526109771655,1.132495764028331,1.3450584986409182,
23,0.01,1.697228502203202,1.4351790174738008,1.6902562121538611,0.7375204895686348,1.8144004482933889,1.0828432850305683,1.3841703334098656,
24,0.01,1.769435434590323,1.3071295460882573,1.7148000059943727,0.7029628458189074,1.8283612482890124,1.1702621949691934,1.2637260818791598,
25,0.01,1.5596908535487894,1.3159473997840059,1.744400543697336,0.6881524645427137,1.825691197565443,1.0976893707143025,1.4724309015082517,
26,0.01,1.7363639097306662,1.3552564133569562,1.6615130300625085,0.7222709487220017,1.892269366965482,1.0588530817981625,1.4063907085800829,
27,0.01,1.7771480139435787,1.3059363020955619,1.7382800061126387,0.6964414552025511,1.803811767393937,1.1600457477250612,1.2705832637696068,
28,0.01,1.7144198967343822,1.4389261462828886,1.6966815107575948,0.72161796153495,1.7716227753234288,1.077054994028447,1.3992086638376071,
29,0.01,1.6644274392171288,1.3914283277867392,1.6766980269641083,0.687960191391995,1.9014312209403696,1.0642064495558636,1.3540799660428766,
30,0.01,1.7480798696103719,1.3600322251921702,1.6655947977959815,0.7130421777881826,1.8623825794550328,1.0546195287167925,1.4163432968342902,
31,0.01,1.7216716278496151,1.2946974956238329,1.713766460332342,0.6485041334799219,1.7649195520381795,1.067038062811054,1.399267680757031,
32,0.01,1.7306034787472269,1.3411442494563555,1.718238499483738,0.715707125279208,1.7649485787368047,1.248796541400895,1.2638065086887584,
