Iteration No,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,0.002273527,5.328111980827675,3.886305639455088,72.62395759297402,17.627853158968122,0.008086376,0.02814663,0.08728187,0.45348,0.2535916,9999000.0,0.02106079,0.004628513,2.0,
2,0.002193322,4.52124472208196,4.91729944603064,66.1608791924057,18.61435732172265,0.007817664,0.02693433,0.08781724,0.4548369,0.2567754,9999000.0,0.02033152,0.004419574,2.0,
3,0.00216812,4.518863877896056,5.1431397640339895,65.29479602603774,18.607043250765418,0.007733571,0.02671161,0.08759523,0.454151,0.2570937,9999000.0,0.0201223,0.004373649,2.0,
4,0.002155202,4.688427140161221,5.207979169630761,65.26310531311512,18.39758950295578,0.007690623,0.02667362,0.08728754,0.453249,0.2568819,9999000.0,0.02002953,0.004359761,2.0,
5,0.002145627,4.883245238261059,5.238124977905457,65.24998090739851,18.165759021716767,0.007659196,0.02668331,0.08696238,0.4523028,0.256556,9999000.0,0.01996509,0.004354101,2.0,
6,0.002136159,5.074879501593187,5.257317392283184,65.56097614994465,17.940252816041074,0.007628242,0.02670267,0.08661484,0.4512936,0.256171,9999000.0,0.01992306,0.004349854,2.0,
7,0.002127195,5.266206443084562,5.277602131489232,65.57674867788421,17.71286660389601,0.007598024,0.02673088,0.08625872,0.4502464,0.255941,9999000.0,0.01984512,0.004345602,2.0,
8,0.00211893,5.45270418822811,5.301530867119453,65.73587287710319,17.494676559413474,0.007570857,0.02675594,0.08593217,0.4492934,0.2556197,9999000.0,0.01979045,0.004342479,2.0,
9,0.002110851,5.61574388623211,5.318837688349845,65.87555904809287,17.30783413374287,0.007544605,0.02677614,0.08562301,0.4483949,0.2552534,9999000.0,0.01973643,0.004339469,2.0,
10,0.002103736,5.778839523746075,4.641358955987698,64.98607837864631,17.124638331172093,0.007521359,0.0268115,0.08530528,0.4474674,0.254923,9999000.0,0.01968931,0.004338406,2.0,
11,0.002094948,5.958020211672439,5.9004675813603455,64.38168581187972,16.91698680907444,0.007492461,0.02681715,0.08500785,0.4466006,0.254579,9999000.0,0.01962922,0.004333267,2.0,
12,0.002087815,6.10725935909862,5.882943983305921,64.38259232053551,16.753165245343826,0.007469251,0.0268437,0.08471002,0.445732,0.254234,9999000.0,0.01958122,0.004331532,2.0,
13,0.002081068,6.251172314872425,5.863027941891204,64.5039084343652,16.59560707345879,0.007447078,0.0268687,0.08442763,0.4449048,0.2539453,9999000.0,0.01953741,0.004329579,2.0,
14,0.002073279,6.410471975972969,6.307137025589711,64.2607642934097,16.41914462695886,0.007421213,0.02688209,0.08413948,0.4440579,0.2536765,9999000.0,0.01948418,0.004325462,2.0,
15,0.002067942,6.543414874011281,6.323818434822741,64.37444964469213,16.279240699987575,0.007404243,0.02691223,0.08388911,0.4433299,0.2533263,9999000.0,0.01944986,0.004325784,2.0,
16,0.002061522,6.6783972129382905,6.336010265967275,64.48509591513186,16.144642572198112,0.007383482,0.02693851,0.08361213,0.4425208,0.2529791,9999000.0,0.01940445,0.004324713,2.0,
17,0.002054736,6.809488399876185,6.347928161058036,64.48447906316665,16.010486740614315,0.007361367,0.02696424,0.08332369,0.4416759,0.2526341,9999000.0,0.01935788,0.004323224,2.0,
18,0.002048384,6.934012996515925,6.357904908635362,64.59077920547949,15.888686741714128,0.007340978,0.02698603,0.0830589,0.4409028,0.252273,9999000.0,0.01931862,0.004321927,2.0,
19,0.002042545,7.05569386358659,6.366775153194141,64.58557717594033,15.768314916683298,0.007322459,0.02701414,0.08279463,0.4401324,0.2518835,9999000.0,0.01930298,0.004321894,2.0,
20,0.002036703,7.176611476570516,6.378506267479452,64.68853046981044,15.652597505144442,0.007303407,0.02703482,0.08254792,0.4394062,0.251604,9999000.0,0.01923145,0.004320341,2.0,
21,0.002030795,7.296693987784946,6.388573559992551,64.79526957004106,15.537737203235768,0.007284335,0.02705684,0.08229516,0.4386647,0.2512714,9999000.0,0.01918968,0.004319258,2.0,
22,0.002024931,7.410547082235021,6.397210113226237,64.89722196188501,15.4296469300507,0.007265305,0.02707712,0.08204754,0.4379366,0.2509561,9999000.0,0.01914899,0.004317925,2.0,
23,0.002019249,7.517515137371014,6.400540296682848,64.99359284694674,15.331692782902431,0.007247174,0.02709801,0.08180407,0.4372231,0.2506023,9999000.0,0.0191188,0.004317117,2.0,
24,0.002013792,7.623975604425105,6.401510501689927,65.09020294520289,15.236993108041862,0.007229686,0.02712089,0.0815625,0.4365134,0.250262,9999000.0,0.01906993,0.004316591,2.0,
25,0.002008553,7.725215228620369,6.402595176061368,65.0737342579458,15.144754412517953,0.007213046,0.02714552,0.08132338,0.4358113,0.2499101,9999000.0,0.01903307,0.004316517,2.0,
26,0.002003081,7.826494091869501,6.405122759732421,65.27748153461917,15.055569260278016,0.007195618,0.02716282,0.08109426,0.435138,0.2495673,9999000.0,0.01899367,0.004315499,2.0,
27,0.001997751,7.9253490081086735,6.401486513307617,65.37004313101997,14.971217028268446,0.007178821,0.02718367,0.08086061,0.4344528,0.2491862,9999000.0,0.01896014,0.004315225,2.0,
28,0.001991819,7.980071439576104,6.387225826416412,65.42751407395943,14.937205747836524,0.007161367,0.02716009,0.08071855,0.4340565,0.2486736,9999000.0,0.01891301,0.004311443,2.0,
29,0.001986141,8.034863119691618,6.3746023916077945,65.4845784028168,14.902230972063343,0.00714472,0.02713772,0.08058158,0.4336746,0.2481711,9999000.0,0.01886564,0.004307926,2.0,
30,0.001980276,8.089657653444249,6.3613143668498395,65.65423371031176,14.868755194555291,0.007127548,0.02711287,0.08044391,0.4332914,0.247652,9999000.0,0.01881522,0.004304131,2.0,
31,0.001974742,8.142677665969213,6.345778028190466,65.82668864184575,14.836846764475432,0.007111573,0.02709117,0.08030922,0.432918,0.2471214,9999000.0,0.0187671,0.004301015,2.0,
32,0.001968895,8.195443552722375,6.330777714279421,65.88170165530087,14.805225472170608,0.007094428,0.02706646,0.0801707,0.4325323,0.2465929,9999000.0,0.01871667,0.004297307,2.0,
33,0.001963046,8.247826907535917,6.315319144864077,65.93657415114919,14.774278012746588,0.00707743,0.02704093,0.08003367,0.432152,0.2460494,9999000.0,0.0186667,0.004293634,2.0,
34,0.00195719,8.300966337670058,6.301207749333528,65.9925856246962,14.741667942527801,0.007060322,0.02701474,0.07989738,0.4317727,0.2455181,9999000.0,0.01861743,0.004289793,2.0,
35,0.001951507,8.353784799549619,6.2849614514270655,66.16559790894848,14.710737331936311,0.0070438,0.02698947,0.07976427,0.4314027,0.2449886,9999000.0,0.01856999,0.00428618,2.0,
36,0.001945892,8.406088171106864,6.265442605407188,66.22168006033573,14.681854929577282,0.007027685,0.0269645,0.0796324,0.4310382,0.2444313,9999000.0,0.01852294,0.004282868,2.0,
37,0.00194012,8.456764088641691,6.248116186131739,66.39795991403346,14.651985884318714,0.007010951,0.02693727,0.07950004,0.4306707,0.243889,9999000.0,0.01847474,0.004279081,2.0,
38,0.001934445,8.508126449422637,6.230268635404755,66.57404703516036,14.62260950765362,0.006994552,0.0269106,0.07936915,0.430308,0.2433408,9999000.0,0.01842706,0.004275475,2.0,
39,0.001928771,8.558863167867381,6.211685738715516,66.75282203908813,14.593541226709608,0.006978172,0.02688344,0.07923899,0.4299473,0.24279,9999000.0,0.01837916,0.00427184,2.0,
40,0.001923106,8.607692210529226,6.19170711187482,66.93196200338508,14.566543706008034,0.006961817,0.02685598,0.07910934,0.4295878,0.2422393,9999000.0,0.0183311,0.004268181,2.0,
41,0.001917443,8.664665910836078,6.162965663656749,67.1215202443525,14.5324806101116,0.006945387,0.02685642,0.07890753,0.4290073,0.2416581,9999000.0,0.01828305,0.004267236,3.0,
42,0.001911919,8.711692599273093,6.143534980607214,67.17464207041726,14.50591837592505,0.006929582,0.02682979,0.07877962,0.4286532,0.2410962,9999000.0,0.01823625,0.004263863,3.0,
43,0.001906109,8.759103129169095,6.125330058926522,67.35498615613517,14.479145247487846,0.006912806,0.02679918,0.07865107,0.4282969,0.2405327,9999000.0,0.01818796,0.00425986,3.0,
44,0.001900266,8.806890598604793,6.103094173346463,67.53819646820986,14.453739446861205,0.00689596,0.02676941,0.07851863,0.4279294,0.2399528,9999000.0,0.01814169,0.004256023,3.0,
45,0.001894546,8.853600069269866,6.0812170204891345,67.72552091670204,14.427878072977684,0.006879618,0.02673832,0.07839346,0.4275843,0.2393689,9999000.0,0.01810211,0.004252214,3.0,
46,0.001888674,8.899747034914295,6.061465740615716,67.9136229694775,14.401015884997468,0.006862776,0.02670659,0.07826383,0.4272255,0.2387786,9999000.0,0.01807233,0.004248241,3.0,
47,0.001883053,8.944283551823668,6.043388832493605,68.23981814200874,14.375576572344219,0.006846205,0.02667698,0.07813674,0.4268664,0.2382944,9999000.0,0.01799355,0.004243859,3.0,
48,0.001877327,8.98908899466679,6.020985175597048,68.43110705452324,14.351952712003982,0.006829771,0.02664552,0.07801053,0.4265172,0.2377092,9999000.0,0.01794588,0.004239999,3.0,
49,0.001871504,9.03415835563225,5.997210320021907,68.62761361376278,14.327695415542717,0.006812948,0.02661183,0.07788587,0.4261715,0.2371352,9999000.0,0.0178991,0.00423575,3.0,
50,0.001865597,9.078506961308888,5.972448562554078,68.97605364219396,14.30420944249917,0.006796148,0.02657642,0.07776219,0.4258323,0.236511,9999000.0,0.01786151,0.004231656,3.0,
51,0.001859938,9.12104596921335,5.94946771766304,69.33459477944473,14.280651475001939,0.006779994,0.02654304,0.07764165,0.4254996,0.2359273,9999000.0,0.0178119,0.004227661,3.0,
52,0.001854129,9.163559487041475,5.927723578168425,69.38300323070067,14.25724769371076,0.006763146,0.02650959,0.07751499,0.4251461,0.2353607,9999000.0,0.01775016,0.004223366,3.0,
53,0.001848313,9.206049090475165,5.902787427142613,69.75119862617362,14.234316794485887,0.006746483,0.02647477,0.07739121,0.4248036,0.2347619,9999000.0,0.01771395,0.004219192,3.0,
54,0.00184242,9.247914925439717,5.878291462768573,69.96407023012898,14.211996401631982,0.006729483,0.02643732,0.07727068,0.4244694,0.2341829,9999000.0,0.01765588,0.00421454,3.0,
55,0.00183663,9.290534150577315,5.19817454822244,70.5274820070864,14.188234476421101,0.006712955,0.02639969,0.07715402,0.4241484,0.2335848,9999000.0,0.01761291,0.004210123,3.0,
56,0.001829819,9.328361027504036,5.178266699969839,70.18232071126033,14.167174369784446,0.006692868,0.02635103,0.07702726,0.4237988,0.23294,9999000.0,0.01755051,0.004204055,3.0,
57,0.001823958,9.369054042156987,5.144819412886349,70.39654237357618,14.146659200089784,0.006676154,0.02631341,0.07690667,0.4234663,0.2323211,9999000.0,0.01749967,0.004199718,3.0,
58,0.001818038,9.40926312069848,5.10925319678617,70.9767789195248,14.125718175108977,0.0066592,0.02627475,0.07678587,0.4231323,0.2317089,9999000.0,0.01745581,0.004195167,3.0,
59,0.001812043,9.447821147969655,5.075792199462839,71.3972797072864,14.105872455150033,0.006642041,0.02623397,0.07666724,0.4228055,0.2310856,9999000.0,0.01741206,0.004190433,3.0,
60,0.001806165,9.486384593195123,5.042605071376926,71.63656441687147,14.08616072535108,0.006625106,0.02619527,0.07654682,0.4224705,0.2304925,9999000.0,0.01734859,0.004185753,3.0,
61,0.001800266,9.524953388625029,5.00726206086172,72.08360577560427,14.066479830897142,0.006608186,0.02615599,0.07642653,0.4221368,0.2298825,9999000.0,0.01729727,0.004181129,3.0,
62,0.001794229,9.562716075822417,4.970244713851926,72.55074769808539,14.047627567343586,0.006590991,0.02611433,0.0763068,0.4218074,0.2292323,9999000.0,0.01726796,0.004176469,3.0,
63,0.001788225,9.599105335245092,4.939310144511936,72.8130135170615,14.029290967872623,0.006573675,0.02607104,0.07619175,0.4214886,0.2286329,9999000.0,0.01719848,0.004171279,3.0,
64,0.001782283,9.635631084218879,4.905170420802037,73.5476831685202,14.011186491878448,0.006556676,0.02602962,0.07607365,0.4211616,0.2280095,9999000.0,0.0171459,0.004166507,3.0,
65,0.001776255,9.671489816567739,4.872666092788236,74.08487484078768,13.993260131485368,0.006539479,0.02598596,0.07595755,0.4208419,0.2273676,9999000.0,0.01709469,0.004161589,3.0,
66,0.001770159,9.706403446782,4.841302853904182,74.65108546598432,13.975843884694104,0.006522299,0.0259408,0.07584239,0.420528,0.2266834,9999000.0,0.01706077,0.004156808,3.0,
67,0.001764339,9.740724405049665,4.810023972474099,74.96641142545622,13.959027527581602,0.006505672,0.02589818,0.07573028,0.4202184,0.2260664,9999000.0,0.01700027,0.004151983,3.0,
68,0.001758387,9.775592904716714,4.774876771904829,75.58477848745173,13.942515739803945,0.006488601,0.02585497,0.07561391,0.4198951,0.2254456,9999000.0,0.01694636,0.004146991,3.0,
69,0.001752339,9.810152642549621,4.7406988486582975,76.57231498755948,13.925984768543831,0.006471375,0.02580941,0.07549955,0.4195803,0.2247912,9999000.0,0.01689357,0.00414196,3.0,
70,0.001746379,9.843397189635205,4.708568484551151,76.9509148469999,13.910015146074567,0.00645433,0.02576483,0.07538536,0.4192646,0.2241512,9999000.0,0.01684268,0.004136982,3.0,
71,0.001740615,9.87662879741698,4.676179144860313,78.09614573566759,13.894370586606183,0.006437046,0.0257222,0.07527284,0.4189501,0.2235577,9999000.0,0.01677444,0.004131988,3.0,
72,0.001734257,9.910069916171212,4.6425808378937745,78.53263174156993,13.87925702043204,0.006419736,0.02567253,0.07515549,0.4186303,0.2228304,9999000.0,0.01674022,0.00412685,3.0,
73,0.001728117,9.942773616161507,4.6110723357925565,79.43137887737873,13.864010487719693,0.006402195,0.02562519,0.07503962,0.4183098,0.2221668,9999000.0,0.01668833,0.004121611,3.0,
74,0.001721893,9.974970694978058,4.579861544901732,79.93520989031884,13.84985187171575,0.006384702,0.02557574,0.07492568,0.4179999,0.2214374,9999000.0,0.01664915,0.004116636,3.0,
75,0.001715856,10.006278937165431,4.561714222528053,80.45475841243817,13.8359086829804,0.00636762,0.02552774,0.07481446,0.4176941,0.2207659,9999000.0,0.0165942,0.004111503,3.0,
76,0.001709881,10.0373096903118,4.533594338553982,81.55279047137853,13.821917722529125,0.006350662,0.02548013,0.07470392,0.4173893,0.2201033,9999000.0,0.01654504,0.004106389,3.0,
77,0.001703828,10.067685094620265,4.507741575179992,82.78918555230715,13.808412585346474,0.006333546,0.02543108,0.07459357,0.4170862,0.2194212,9999000.0,0.01649958,0.00410122,3.0,
78,0.001697786,10.097409538585712,4.4838726247349285,84.20258199240209,13.795108401419645,0.006316524,0.02538159,0.07448427,0.4167869,0.2187276,9999000.0,0.01645916,0.004096117,3.0,
79,0.001692062,10.126597723215472,4.461910301127972,85.84597334074061,13.782485317405833,0.0063002,0.0253351,0.07437886,0.4164945,0.2181056,9999000.0,0.01638338,0.004091014,3.0,
