Iteration No,Rd,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Ibias,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W1,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Alo,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias3,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,Rd,-0.00043984522726148964,0.0029366945748223847,0.09434420575906922,-0.047745572874241186,0.01760013069787237,-0.0002473295824975899,-0.00034391328553357985,-6.278508927457844e-05,0.0,-0.0008821270105160951,0.0,-0.0006025415001051352,3.759306714712791e-05,0.0,Ibias,0.004091000458758654,-0.0012754615838664184,0.09797066171987616,-0.04770834926595556,0.018127104470642825,0.004267177286834068,0.0022439631316430995,0.0014502439051775717,0.0008957396136544571,-0.0015351454858914151,0.0,0.0032477414190065857,0.0038759748541270476,0.0,W1,0.00010556285454268884,0.00325871701028547,0.09456633115736537,-0.05337734828297212,0.01646502913884796,5.93590997995417e-05,0.002119259037405237,-0.001561836381369869,-0.0008939754785216552,-4.9686188343674415e-05,0.0,0.00013579737512222297,0.0011809408334815042,0.0,W2,0.00034791757476378604,0.0006669727606334261,0.09874622776224597,-0.05068615126311381,0.016405503395562397,0.00019576136454713223,0.00027250153926069613,4.972395756421638e-05,0.0,0.0006979726457817934,0.0,0.0010331996093213569,-2.9383086965411844e-05,0.0,Alo,0.0,0.0063009532953659545,0.09992847055219917,-0.050404882917185236,0.014995712727954195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0014704025947348924,0.0006429727181235569,0.10185063085355388,-0.053703710994619576,0.01724642051778119,-0.0009054736015241987,-0.0011507594337226233,-0.00021012382067423277,-2.205168916002372e-07,-0.0029492301795484084,0.0,-0.0010635878331249117,0.00012703864070386125,0.0,Rbias3,0.0014664439876895248,-0.0006329371883229302,0.09669919733590417,-0.04776353824719567,0.017455538019658275,0.0006821349885289218,0.0011468513282052802,0.0002095509640204104,2.205168916002372e-07,0.0029417378178142515,0.0,0.0010697604410850577,-0.000122285494282848,0.0,
2,Rd,-0.0003852603493696711,0.004464661081853068,0.026760475698920688,-0.005154794413377118,0.0030334848849676225,-0.0002164329395585502,-0.0003003601723153608,-5.534220843207212e-05,-2.1985903079296243e-07,-0.0007722702408407683,0.0,-0.0005139802631578286,3.212979350495106e-05,0.0,Ibias,0.00414531017333526,-0.000732075258584983,0.027566322372694473,-0.004627016010785395,0.003588487454065908,0.00427685303435912,0.0022692229582098873,0.0014620136091727787,0.0008996631539789284,-0.0014152446067653432,0.0,0.0032432400528834265,0.0038503710991150387,0.0,W1,0.0001217331518126274,0.003909772948077256,0.02582838090578651,-0.006935890434390024,0.0019572222983221853,6.805101882087401e-05,0.0021507867468766135,-0.0015639298160588931,-0.0008979042817325847,-2.8818960071684233e-05,0.0,2.8035287081429184e-05,0.001199210602650787,0.0,W2,0.0003483300673589588,0.0009227029925969045,0.030017952788520794,-0.005900748170562081,0.0018557367145414733,0.00019519897503908557,0.0002714008479141659,4.9990184159659426e-05,0.0,0.0006967178320043017,0.0,0.0010633735205237962,-2.8509535081797173e-05,0.0,Alo,0.0,0.0075797196481363375,0.03221535048469815,-0.005823061191296282,0.0004514159141941202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0014808587156833178,0.00020944422315671382,0.03138233266493321,-0.007292522787331634,0.0027070821833983455,-0.0009175375150428664,-0.0011542889687622072,-0.00021248675089314664,-2.1985903079296243e-07,-0.0029652373241360647,0.0,-0.0011228870246788234,0.0001248989155968466,0.0,Rbias3,0.001478123139237948,-0.00022639832735529396,0.027647248004804125,-0.005662756028350508,0.0029221199189120514,0.0006732190076217323,0.001151318781644149,0.0002122590051793967,2.1985903079296243e-07,0.002959785088447096,0.0,0.001118460400402934,-0.00011992106026515721,0.0,
3,Rd,-0.00038189768094018165,0.004648959256723959,0.0008031550505791567,0.0004228054213018717,0.0005614513179859876,-0.00021400204381646101,-0.0002972490239263533,-5.479750438464799e-05,-2.2019108182713582e-07,-0.0007623679615641068,0.0,-0.00044825889684571216,2.9494822286780285e-05,0.0,Ibias,0.0041307676696862115,-0.000542450659275828,0.001501700540940919,0.0011767151048991324,0.0011036990466217235,0.004264136192710975,0.0022668045842238445,0.0014572711322295396,0.0008977190405833199,-0.001436441266355268,0.0,0.0034881698414197795,0.0038457589989502714,0.0,W1,0.00011761341623167552,0.003904157802655559,-0.00022764511904543533,-0.001055616197585522,-0.0005076593415806645,6.607555552278686e-05,0.0021391447389356413,-0.0015620713593650086,-0.0008959575119289472,-3.967425106083985e-05,0.0,9.1937800350912e-05,0.0012010566005638162,0.0,W2,0.0003514565614449715,0.0009238577119862219,0.0037645934602773216,-6.395427604045202e-05,-0.0006058904097516384,0.0001973215219721857,0.0002744125120125607,5.0573530088336e-05,0.0,0.0007024676217271397,0.0,0.0010257276752658655,-2.675111788806076e-05,0.0,Alo,0.0,0.0074881617513883406,0.005879411239074638,2.026813827163248e-05,-0.002001937983140738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0014870025644337132,0.00010460275019241273,0.004891547151674414,-0.0014188867362610877,0.00024375415091719492,-0.0009222130371596733,-0.0011590465718839117,-0.00021371026710015887,-2.2019108182713582e-07,-0.0029689564543976255,0.0,-0.0011589132455037587,0.00011615015288144033,0.0,Rbias3,0.0014837739608509848,-0.000123406646580431,0.001588806139503749,0.00016959444257450267,0.0004480879477547878,0.0006727810477204514,0.0011560516195018005,0.0002133677826977766,0.0,0.002963899932203864,0.0,0.0011554345179230225,-0.00011134867018373074,0.0,
4,Rd,-0.00038047477684241863,0.004550220909378549,-0.003587245018585941,0.0014863442334476509,0.00010056112955686902,-0.00021337673163801456,-0.00029692257743786063,-5.47615387029569e-05,0.0,-0.0007591036970685779,0.0,-0.0004468402403851026,2.7295074202419283e-05,0.0,Ibias,0.004136503214083861,-0.0004086549745947332,-0.002955058479366658,0.0020049047566090407,0.0006228350165588787,0.004265714234074493,0.0022827797651762656,0.001454846820061688,0.0008948723549307466,-0.0014201078394390514,0.0,0.003420449706009117,0.0038428712032608898,0.0,W1,0.00011831837572523904,0.0037447229949538474,-0.004572795847651494,-0.00020759184122772127,-0.0009716891061121751,6.631452354385863e-05,0.002127195333816821,-0.0015587562669310351,-0.0008931073207001857,-4.0485530510407715e-05,0.0,9.585846497641261e-05,0.0011989189315652874,0.0,W2,0.0003526351590244549,0.0008652985382030013,-0.0006706138864742151,0.0007689859161818105,-0.0010569357309359445,0.00019751325737852097,0.0002748033450277779,5.06372387170606e-05,0.0,0.0007022682407753329,0.0,0.0010229895559207569,-2.4772000116611767e-05,0.0,Alo,0.0,0.007061223200246007,0.0014786902421733941,0.0008474152255307447,-0.0024417367244805688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0014931315022908033,4.7265901083739704e-05,0.0004267279103572351,-0.000573689244909432,-0.00021042756884796963,-0.0009264529024500772,-0.0011651961750973174,-0.0002146927270490519,-2.2062927883542061e-07,-0.0029756864925088084,0.0,-0.001167276516223792,0.00010803344495263659,0.0,Rbias3,0.0014908115341391388,-6.883240245752861e-05,-0.0028179060316799024,0.0012379997726203865,-2.1586002858675505e-05,0.0006752378838490143,0.001161822054899244,0.00021434903538357377,2.2062927883542061e-07,0.0029706258011950883,0.0,0.0011637816763547927,-0.00010321666715215113,0.0,
5,Rd,-0.0003821726702732275,0.004411939342663295,-0.004655922495909344,0.00514888528353772,-7.831599820558338e-06,-0.00021399112909505484,-0.00029831381489020027,-5.496629692068888e-05,0.0,-0.00075928842046179,0.0,-0.0004467798542356952,2.5033870367240698e-05,0.0,Ibias,0.004133989738197645,-0.00030452991790865745,-0.004073035753166538,0.004036143034114145,0.0004935396280822562,0.004263371769047302,0.0022928189943451902,0.001451087240252604,0.0008923225768224383,-0.0014199628930915047,0.0,0.003422473928241665,0.003841435924430759,0.0,W1,9.554316756810475e-05,0.0035766074202848914,-0.0055611682635777,0.0029763764861495913,-0.0010844275731444369,5.3922108795795645e-05,0.0020971910906106,-0.0015587199890344772,-0.0008901116685548502,-8.61410374344193e-05,0.0,0.0003576242330988355,0.0011977214125258589,0.0,W2,0.00022324476714724606,0.0008066728111911098,-0.0017256507121922579,0.0027971761158856914,-0.0011557210590533197,0.00012586177452568123,0.00017426623608547348,3.208283857903423e-05,2.2109082677108248e-07,0.0004443474329191404,0.0,0.002492851271894972,-1.4469117735164923e-05,0.0,Alo,0.0,0.006629470934495234,0.00047287344312580277,0.003098825207771023,-0.0025273479043075807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.001631690876373373,9.821414322474068e-06,-0.0006100251564409062,0.0026082693121994736,-0.0003126321156011909,-0.0010034995840294209,-0.0012742047369685137,-0.0002346991883158253,-2.2109082677108248e-07,-0.00324373626030966,0.0,0.0003220621594993182,0.00010909255435273118,0.0,Rbias3,0.001496532249081469,-3.221283179339124e-05,-0.0038780158937144486,0.002806484272903689,-0.000139690072508232,0.0006778779391466437,0.0011673963987226706,0.00021526549756342738,2.2109082677108248e-07,0.002976348243658209,0.0,0.001171044057402192,-9.531244222404061e-05,0.0,
6,Rd,-0.0003248821833954628,0.004278845736160154,-0.004918166152328334,0.0005766177124556288,-2.8964416498319624e-05,-0.00018234869842891188,-0.0002539071935503591,-4.675873095178102e-05,-2.21585238529586e-07,-0.0006448817391507099,0.0,-0.001109267351501255,1.9540885739957063e-05,0.0,Ibias,0.0042094244857242375,-0.0002141519827420072,-0.004386734749430259,0.0006378245679220745,0.0004510097201692595,0.004304399362264502,0.0023645575517354527,0.001458295137415303,0.000888999976955114,-0.0012659512591198833,0.0,0.0025387666352458638,0.003835531031616107,0.0,W1,0.00020363652705628125,0.003421923575117552,-0.005737666694921708,-0.0015480346448865545,-0.0011091844465101477,0.00011365659348508892,0.0021679479992074927,-0.0015394590580551288,-0.0008872272950470004,0.00012530692389081855,0.0,-0.0008517767852929268,0.001188545638543191,0.0,W2,0.00032815909302635573,0.0007557807598668969,-0.001972358746341499,-0.001727473036153073,-0.001166902985538161,0.00018392180006869833,0.0002565286542506505,4.7220545578543604e-05,0.0,0.0006515179313818714,0.0,0.0013055223444591304,-1.9310992966665445e-05,0.0,Alo,0.0,0.006242050395835877,0.000275760953692287,-0.0014357432956488868,-0.002524189268733056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0015523189051001053,-1.9522468168217298e-05,-0.0008220013953618624,0.0003615834138345862,-0.0003274268456288134,-0.0009598541839653983,-0.001213361809886497,-0.0002231719183456087,-2.21585238529586e-07,-0.0030795835594192213,0.0,-0.0006570275851199728,9.471582264599727e-05,0.0,Rbias3,0.0015401475264715675,1.0604813202025862e-07,-0.004132850498436675,0.0005646416474116751,-0.00017049168530862646,0.0007013411478030524,0.0012028759670849418,0.0002216710208088706,2.21585238529586e-07,0.0030561617044865767,0.0,0.0007564099089195622,-8.91983960842068e-05,0.0,
7,Rd,-0.00038407386252796693,0.004157836987025679,-0.004770953887428873,0.0005433048221858055,-6.9404804140681414e-06,-0.0002149243013709902,-0.00030002753369875865,-5.5182826733257206e-05,0.0,-0.0007595500525511094,0.0,-0.00045804711687305453,2.0480476582989392e-05,0.0,Ibias,0.004129381650483365,-0.0001281724741959033,-0.004290097816526531,0.0028875442865974577,0.00045055769895762206,0.0042591336905489965,0.0023160479565207666,0.0014428686166454451,0.0008859593324900218,-0.0014175141927240907,0.0,0.0034114180211558508,0.003837903241023915,0.0,W1,0.00011987617496270283,0.0032762182081593366,-0.005503214471235617,-0.0015445889663139433,-0.0010904189341101244,6.712271506375517e-05,0.002088595661646746,-0.001547669615315353,-0.0008841825276115753,-4.2587940189263815e-05,0.0,0.00010682727038172699,0.0011908591721010097,0.0,W2,0.00035398729312547197,0.0007073475038642908,-0.00180363652132876,0.0005143919617632317,-0.0011340202127551578,0.0001982094291884412,0.00027683338520846136,5.0893405327680364e-05,0.0,0.000700552080362462,0.0,0.0010158668730649266,-1.863953486763535e-05,0.0,Alo,0.0,0.0058754086599214815,0.0004799147823594248,0.0030748814921878146,-0.0024748120780468024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.001512790317765952,-5.095171100364895e-05,-0.0006195892378375264,0.0003246744869115199,-0.00029840994215858034,-0.0009382702660586247,-0.0011832756721813038,-0.0002176011886102795,-2.2210060980582093e-07,-0.0029928772646820516,0.0,-0.0011806428986068799,8.215202404645167e-05,0.0,Rbias3,0.0015094995992374586,2.8749458062416948e-05,-0.003977273921602309,0.0028105140916598,-0.00015839651722165604,0.0006838620146501046,0.0011799087796585837,0.00021725339768551168,2.2210060980582093e-07,0.0029877979690632103,0.0,0.0011796350941691467,-7.754966975796676e-05,0.0,
8,Rd,-0.00038510002690049755,0.004047804044726211,-0.004773401912417615,0.0005377643376835543,-1.8957629879210307e-07,-0.00021543135737475978,-0.0003012415187056495,-5.539252645437006e-05,0.0,-0.0007597223531675286,0.0,-0.00046335479991626194,1.8192373526746186e-05,0.0,Ibias,0.004127083008876967,-5.148033224009113e-05,-0.004338805766624598,0.0028815487723954846,0.0004353435026361266,0.004257113824762429,0.0023265861711455403,0.0014390419792726945,0.0008831645423680271,-0.001416948693703886,0.0,0.003406693632534813,0.0038365182652581485,0.0,W1,0.0001212876310211292,0.0031480441299175763,-0.005413787694418267,0.0006858912409467299,-0.0010869909341090244,6.789191765213237e-05,0.002076548235644109,-0.001543892118632654,-0.0008813839686939702,-4.185905859380216e-05,0.0,0.00010156413825861493,0.0011880310762585702,0.0,W2,0.0003548961032217663,0.0006638120511190069,-0.001786376974609114,0.0005059126950593703,-0.0011162855172212297,0.0001985244206831434,0.00027769534540751374,5.108680486007755e-05,0.0,0.0007006502237503119,0.0,0.0010115990288244617,-1.6580391062201783e-05,0.0,Alo,0.0,0.005542161877090425,0.0005268058541024499,0.0007795759554616455,-0.002438315809507898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0015186910374576526,-7.553402623535331e-05,-0.0005623208618262307,-0.001918023121073703,-0.0002844256261255796,-0.0009417692078981491,-0.0011892686259573904,-0.00021854446361584983,-2.225717092725501e-07,-0.002998203972542024,0.0,-0.0011869361232312054,7.392091015297376e-05,0.0,Rbias3,0.0015158594196126502,5.5967354133783856e-05,-0.0039673730584407554,0.0028011890686856743,-0.00016157587881243944,0.0006865801322095584,0.0011859048869148551,0.00021819535105418534,2.225717092725501e-07,0.002993509498681132,0.0,0.0011839043579098957,-6.931524596881798e-05,0.0,
9,Rd,-0.00038657394576871494,0.0039529702112853045,-0.004840268020367998,0.0005438838133564008,-7.16824732543588e-08,-0.0002163135114430169,-0.0003028815953307188,-5.5592532894984046e-05,0.0,-0.0007619878912486252,0.0,-0.00046208964843175187,1.6361448831625547e-05,0.0,Ibias,0.004123929164114336,7.631111720478472e-06,-0.0044383507018276895,0.0028869459268959737,0.0004154179529853872,0.004254563360175893,0.0023356615255223424,0.0014351282441484568,0.0008806969035553958,-0.0014193738457549932,0.0,0.0034139912841381296,0.003835953200725596,0.0,W1,0.00012222558579451714,0.003038794467514476,-0.005399973438039597,-0.0015398197200917462,-0.0010890519998985955,6.839324258856289e-05,0.0020652715439940625,-0.0015403569671282944,-0.0008786897442410818,-4.191912820761694e-05,0.0,9.930874023327612e-05,0.00118493760411692,0.0,W2,0.0003553069354492016,0.0006263439146969542,-0.0018332072965676002,0.0005090331643811825,-0.0011058931008457145,0.0001989501107082619,0.0002786062516852989,5.1154473546284744e-05,2.2301770159044085e-07,0.0007004803853738245,0.0,0.0010067676879760774,-1.4978791184009227e-05,0.0,Alo,0.0,0.005268377421691433,0.0004968491478948095,0.0007754093320923063,-0.0024103812602186176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0015240298817869207,-9.801292157053863e-05,-0.0005720878457920764,0.00031773937487299613,-0.00027753400403515005,-0.0009451787071689635,-0.001194720374183848,-0.00021921677362196548,-2.2301770159044085e-07,-0.003003681831466335,0.0,-0.0011967716552587528,6.636756709157973e-05,0.0,Rbias3,0.0015216611688839397,7.431396696896927e-05,-0.004020879714837788,0.0005359805896585406,-0.00017030449684627444,0.0006891016825930585,0.0011913591727560945,0.00021898319155093864,2.2301770159044085e-07,0.002998588853272754,0.0,0.0011922115600440796,-6.198915120736144e-05,0.0,
10,Rd,-0.00038883205877547654,0.0038612775845805448,0.2648888594482971,0.0026278875880683056,-3.082072081524656e-06,-0.00021724797340485374,-0.0003047199895566573,-5.5799594116478466e-05,-2.2347996748562143e-07,-0.000763760037344579,0.0,-0.0004606560615887459,1.429096308631749e-05,0.0,Ibias,0.0041202888575371955,5.9786870146537594e-05,0.2657934708107613,0.002720283781573641,0.00039226931746150207,0.004252024135531939,0.0023448893198815086,0.0014310954726365899,0.0008778293122582135,-0.0014208211891435245,0.0,0.003419114230005987,0.003834818594663547,0.0,W1,0.00012263896230322734,0.0029368120858806095,0.26474675015262034,-0.0013253996149955982,-0.0010938773452915766,6.873757787658129e-05,0.002052850455961163,-0.0015367161329287048,-0.0008762649524859382,-4.197345865233866e-05,0.0,0.00010107007304963228,0.0011820009468913718,0.0,W2,0.00035603326653153026,0.0005944973448642637,0.2683408509590884,0.0005345582309564349,-0.0010987456666068111,0.0001992990894332117,0.0002793577382840332,5.134500467026513e-05,0.0,0.0007006037117089208,0.0,0.0010035902730972867,-1.3138466063424072e-05,0.0,Alo,0.0,0.005013756589094426,0.2703446656041596,-0.010734247161564217,-0.0023847736235614774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.001529659615084851,-0.00011367624876233014,-0.0006122596955488512,0.01619826693054891,-0.0002738559784323038,-0.0009483658471827116,-0.0011998582697722259,-0.00022003327343865804,-2.2347996748562143e-07,-0.0030075748363231603,0.0,-0.00120573041919708,5.8316349368763156e-05,0.0,Rbias3,0.0015268075461939297,9.24264780009048e-05,0.2660740803517118,0.0005626012739729023,-0.000182115825825938,0.0006916303290402915,0.0011968744755049877,0.00021979882136249874,2.2347996748562143e-07,0.003003259807863462,0.0,0.0012006515210537282,-5.416736008578706e-05,0.0,
