Iteration No,alpha,fixed_alpha,Rd,W2,W1,Cload,L,Ibias,Alo,Rbias2,Rbias3,
1,0.12,0.12,1.549094040715678,1.248825249936717,1.452835254352962,1.1057176832558477,1.288720769602698,0.7447502702829853,1.5143857111302907,1.314121691268992,1.2995868540436757,
2,0.12,0.12,1.215187197853631,1.1959748736183922,1.7084106827989904,2.3417314436525554,1.3103588893321647,0.6753070437840775,1.6895143925399108,1.247012301446602,1.2341246458878956,
3,0.12,0.12,1.4023159696517762,1.1630700135645862,1.763048599940605,1.5228706328910468,1.2311190884943306,0.5553731148617812,1.70966340494662,1.3105520273813227,1.337897739267156,
4,0.12,0.12,1.4631979666924253,1.1469301527700864,1.5225949821411762,1.436707311145408,1.1565783266374314,0.4547574949136179,1.8992648037981597,1.2132374416413214,1.377936403899733,
5,0.12,0.12,1.387150571167629,1.2280593743696453,1.585157305398114,1.4601662113437648,1.2010902971890642,0.5091096278271711,1.7689634395409484,1.3236470459778475,1.384302110986138,
6,0.12,0.12,1.4335353950717007,1.1827631447781897,1.5873750898621375,2.072348998294453,1.2119951404133522,0.7167379457304696,1.7794496471251702,1.3121636945264115,1.3914179989150177,
7,0.12,0.12,1.560533079461454,1.188303384803712,1.6041453107550834,1.4474635707789911,1.2615747847201026,0.5083600821654984,1.5754873889119079,1.3708682154479632,1.340928675779566,
8,0.12,0.12,1.8993834771636742,1.1847255950937652,1.5564004780265581,1.4517512710644087,1.2996531082153715,0.5436536500680086,1.5191875844540472,1.308955293815652,1.289467558990397,
9,0.12,0.12,1.2329596257203388,1.2067429777980125,1.2829590919517249,2.38341203233649,2.1178295351092316,1.0550903839186583,1.0571270732657057,2.354267357860731,1.155141144427011,
10,0.12,0.12,1.472265891502594,1.4831260924153586,1.57739447415352,1.7012289710209,1.6360693440052045,0.9484218017634436,1.1903151381655381,1.7762769223971067,1.2588805909843002,
11,0.12,0.12,1.6440906357416631,1.1847638359438273,1.4174857457942256,1.2928169828309803,1.779295444424513,0.8408785995283221,1.7371569823617117,1.8656022146198836,1.2630259027228683,
12,0.12,0.12,1.5443094848352468,1.1291433837155886,1.7350824522735726,2.128925108124701,1.287113634074369,0.8033029312730295,1.6695948597060883,1.4088459618207274,1.28118306481543,
13,0.12,0.12,1.5159204534685462,1.4646914937209483,2.946339110250046,1.5424866719770152,1.5405089946525155,0.8295555543949172,1.3948552002258137,1.4081525980922625,1.4777291231158816,
14,0.12,0.12,1.4530247113415937,1.2071157394091272,1.3844145451994245,1.314032331330343,1.41315933946539,0.6747948323151086,2.23569357198747,1.433490819885701,1.3976002346411305,
15,0.12,0.12,1.4387586198207807,1.441495122264284,1.4912013601633347,1.574952371095725,1.524217426737811,0.9216707637861212,1.3458868796861716,1.8310297650078724,1.3694056889020203,
16,0.12,0.12,1.5199715889887144,1.1544808767823571,1.3169203014545248,1.2254873389765097,1.4407889155851954,0.7074287167468962,2.348255437466365,1.316560929235895,1.6472400627504364,
17,0.12,0.12,1.4843882351232311,1.3795597325286235,1.4504717594915486,1.4726943203713274,1.49350904981321,0.8277323514322296,1.4469040800231332,1.7289054225698213,1.3822150717278885,
18,0.12,0.12,1.7674725231663586,1.1540447526909143,1.3576456314803271,1.2503406402609691,1.7770190860462833,0.8445503447189526,1.5895087121598186,1.6947174128212517,1.493985337677115,
19,0.12,0.12,1.7664573436058106,1.1626406457365275,1.265162878677321,1.2069719900305953,1.7291910371262018,0.8359470199466389,1.9007172696851766,1.6622519634049941,1.419453938411122,
