Iteration No,Rd,Ibias,L,W1,W2,Rbias1,Rbias2,Rbias3,C1,C2,Cload,Alo,flo,frf,mismatch,Temp,
1,297.7990229320239,0.002270905558333045,6.419109263518597e-08,3.056748841963367e-05,3.4914540649047915e-05,10542.625780674603,16644.915992331706,28522.871148982314,2.9893719999999998e-12,2.9932960000000003e-12,5.290984117373749e-11,0.30001713618810655,1000000000.0,1010000000.0,0,27,
2,302.4369136084943,0.0021902168658021995,6.70585344749306e-08,3.5339632278049573e-05,3.6329830307766414e-05,10542.625780674603,16804.529618614157,28231.35289390397,2.9893719999999998e-12,2.9932960000000003e-12,1.7353267036525022e-11,0.3249031907088528,1000000000.0,1010000000.0,0,27,
3,304.9694888349529,0.002133782772408773,6.917093614250933e-08,4.03381156980657e-05,3.7153344918980884e-05,10542.625780674603,17098.453830669027,27718.57505670132,2.9893719999999998e-12,2.9932960000000003e-12,1.7309659057203746e-11,0.33748438620016125,1000000000.0,1010000000.0,0,27,
4,307.3885326166439,0.002095001385247925,7.104528169030251e-08,4.485786000481567e-05,3.784778492364078e-05,10542.625780674603,17379.64734205672,27191.70287787823,2.9893719999999998e-12,2.9932960000000003e-12,1.7274650072810878e-11,0.3473448887777944,1000000000.0,1010000000.0,0,27,
5,309.4412229268836,0.0020569621299887796,7.29026697775868e-08,4.9751592974014046e-05,3.864393499380242e-05,10542.625780674603,17692.862438606746,26672.143682706865,2.9893719999999998e-12,2.9932960000000003e-12,1.7243354969602965e-11,0.35397759133792567,1000000000.0,1010000000.0,0,27,
6,308.1762045598259,0.0020527090246212805,7.244595889575899e-08,5.214317429250498e-05,3.9256947505167226e-05,10542.625780674603,17546.870286591868,26901.24150462211,2.9893719999999998e-12,2.9932960000000003e-12,1.7203521497616618e-11,0.3691349127006063,1000000000.0,1010000000.0,0,27,
7,306.4543126712277,0.002050567974103774,7.190888253681615e-08,5.44694573746831e-05,3.981905296753426e-05,10542.625780674603,17416.09878223378,27093.3080984079,2.9893719999999998e-12,2.9932960000000003e-12,1.7179534458128355e-11,0.3818488879120767,1000000000.0,1010000000.0,0,27,
8,303.9847742774046,0.002048867605429298,7.133769789560691e-08,5.66988302405525e-05,4.0358793728494804e-05,10542.625780674603,17307.634575015396,27255.619224604416,2.9893719999999998e-12,2.9932960000000003e-12,1.7158291939196378e-11,0.3936238134853176,1000000000.0,1010000000.0,0,27,
9,292.9470879063942,0.0019928397342461567,6.669021554203397e-08,5.671263529828491e-05,3.966013806516156e-05,10542.625780674603,16117.246863112692,26607.01493099643,2.9893719999999998e-12,2.9932960000000003e-12,1.6109832861102375e-11,0.3864081872912386,1000000000.0,1010000000.0,0,27,
10,269.2534246819195,0.001894149393787678,6.10016923671721e-08,5.4134853986901926e-05,3.7332502386770105e-05,10542.625780674603,14447.141541983532,25016.666369203504,2.9893719999999998e-12,2.9932960000000003e-12,1.4638651836396546e-11,0.3639202051964296,1000000000.0,1010000000.0,0,27,
