Iteration No,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,1.6468970010981014,0.19301405570576657,0.0,0.0,0.3223695948603752,0.766744,0.3647693505319595,0.0,
2,1.0629460494868863,0.12118691035559018,0.0,0.0,0.18421513913129617,0.757544,0.0,0.0,
3,0.9342028809801901,0.05921362511225059,0.0,0.0,0.12882925586793942,0.74616,0.0,0.0,
4,0.8400677025749544,0.01151777534659555,0.0,0.0,0.09105592722835895,0.737494,0.0,0.0,
5,0.7879675524110251,0.0,0.0,0.0,0.059953552411025096,0.728014,0.0,0.0,
6,0.7672950137706597,0.0,0.0,0.0,0.03745151377065961,0.7298435000000001,0.0,0.0,
7,0.7499821595624168,0.0,0.0,0.0,0.018880659562416857,0.7311015,0.0,0.0,
8,0.7343857927492299,0.0,0.0,0.0,0.002724292749229831,0.7316615000000001,0.0,0.0,
9,0.7047645120926744,0.0,0.0,0.0,0.002575512092674461,0.702189,0.0,0.0,
10,0.7333597827689439,0.043278062836737345,0.0,0.0,0.03564521993220654,0.6544365,0.0,0.0,
11,0.6924906914963929,0.0,0.0,0.0,0.007453691496392856,0.685037,0.0,0.0,
12,0.6898110000000001,0.0,0.0,0.0,0.0,0.6898110000000001,0.0,0.0,
13,0.6300908133572132,0.0,0.0,0.0,0.006043313357213246,0.6240475,0.0,0.0,
14,0.6340049999999999,0.0,0.0,0.0,0.0,0.6340049999999999,0.0,0.0,
15,0.5742001789448321,0.0,0.0,0.0,0.002971178944832144,0.571229,0.0,0.0,
16,0.5845410000000001,0.0,0.0,0.0,0.0,0.5845410000000001,0.0,0.0,
17,0.5329008020546622,0.0,0.0,0.0,0.00048780205466215226,0.532413,0.0,0.0,
18,0.542995,0.0,0.0,0.0,0.0,0.542995,0.0,0.0,
19,0.5071360186613814,0.0,0.0,0.0,0.005967018661381379,0.501169,0.0,0.0,
20,0.519666,0.0,0.0,0.0,0.0,0.519666,0.0,0.0,
21,0.48220655,0.0,0.0,0.0,0.0,0.48220655,0.0,0.0,
22,0.45512344203579014,0.0,0.0,0.0,0.005306392035790132,0.44981705,0.0,0.0,
23,0.46498459999999997,0.0,0.0,0.0,0.0,0.46498459999999997,0.0,0.0,
24,0.43017145,0.0,0.0,0.0,0.0,0.43017145,0.0,0.0,
25,0.40866890696293834,0.0,0.0,0.0,0.0019874569629383296,0.40668145,0.0,0.0,
26,0.42182255,0.0,0.0,0.0,0.0,0.42182255,0.0,0.0,
27,0.39213254999999997,0.0,0.0,0.0,0.0,0.39213254999999997,0.0,0.0,
28,0.3705853785464607,0.0,0.0,0.0,0.0027517285464607197,0.36783364999999996,0.0,0.0,
29,0.38230725,0.0,0.0,0.0,0.0,0.38230725,0.0,0.0,
30,0.35744275000000003,0.0,0.0,0.0,0.0,0.35744275000000003,0.0,0.0,
31,0.33737,0.0,0.0,0.0,0.0,0.33737,0.0,0.0,
32,0.48170775057414267,0.12411060157462561,0.0,0.0,0.04538259899951707,0.31221455,0.0,0.0,
33,0.35703445,0.0,0.0,0.0,0.0,0.35703445,0.0,0.0,
34,0.33003595,0.0,0.0,0.0,0.0,0.33003595,0.0,0.0,
35,0.5826464159407563,0.19871213324824472,0.0,0.0,0.09296773269251156,0.29096655,0.0,0.0,
36,0.35155786588513344,0.0,0.0,0.0,0.014541565885133433,0.3370163,0.0,0.0,
37,0.3457367,0.0,0.0,0.0,0.0,0.3457367,0.0,0.0,
38,0.5083133081429343,0.13747184114419309,0.0,0.0,0.06847476699874126,0.3023667,0.0,0.0,
39,0.33778315000000003,0.0,0.0,0.0,0.0,0.33778315000000003,0.0,0.0,
40,1.6246072760406765,0.9190799659042347,0.0,0.0,0.4507645101364418,0.2547628,0.0,0.0,
41,1.2598595313892347,0.6612109194400437,0.0,0.0,0.308045961949191,0.29060265,0.0,0.0,
42,0.9502165418842352,0.42650941945606413,0.0,0.0,0.2056650224281711,0.31804210000000005,0.0,0.0,
43,0.6879637003098531,0.21467218444786385,0.0,0.0,0.12951641586198925,0.3437751,0.0,0.0,
44,3.2421596775779706,1.628915828001162,0.0,0.0,1.3820525495768088,0.2311913,0.0,0.0,
45,2.5421947222024883,1.355707598558874,0.0,0.0,0.9387622736436143,0.24772485000000002,0.0,0.0,
46,2.1264669495021384,1.1339143504059133,0.0,0.0,0.7267752490962254,0.26577734999999997,0.0,0.0,
47,1.7655741417721562,0.9157316159543243,0.0,0.0,0.567296375817832,0.28254615,0.0,0.0,
48,7.689636212106244,3.4455877449894974,0.0,0.0,4.115172117116747,0.12887635,0.0,0.0,
49,5.495977771856613,2.788057719571313,0.0,0.0,2.5882858522853,0.1196342,0.0,0.0,
50,4.600584864819124,2.469243543472272,0.0,0.0,2.005406371346853,0.12593495,0.0,0.0,
51,4.07824132320329,2.2227607607514805,0.0,0.0,1.7185376624518098,0.1369429,0.0,0.0,
52,3.596621632104661,1.9804629919725976,0.0,0.0,1.4678033401320634,0.1483553,0.0,0.0,
53,3.6580051764924515,1.9796008915372334,0.0,0.0,1.5305774349552181,0.14782685,0.0,0.0,
54,6.868161543523207,3.303710863806464,0.0,0.0,3.4694837797167426,0.09496689999999999,0.0,0.0,
55,5.41751375474073,2.842975244512413,0.0,0.0,2.4802107602283177,0.09432775,0.0,0.0,
56,4.8740662965800485,2.597940977383253,0.0,0.0,2.174593869196795,0.10153145000000001,0.0,0.0,
57,13.243309600562219,6.051860716900756,0.0,0.08647001175057199,7.081469211910891,0.023509660000000005,0.0,0.0,
58,11.360392500309025,5.375432155815393,0.0,0.0,5.960801699493633,0.024158645000000003,0.0,0.0,
59,9.92796647632732,4.832886593070003,0.0,0.0,5.069308513257318,0.025771370000000002,0.0,0.0,
60,8.943039109710607,4.44882647953477,0.0,0.0,4.4659916501758365,0.028220980000000003,0.0,0.0,
61,8.322621740662091,4.192030134824043,0.0,0.0,4.099326730838047,0.031264875000000004,0.0,0.0,
62,9.04401335524171,4.47900894588766,0.0,0.0,4.53631968435405,0.028684725000000005,0.0,0.0,
63,8.355859549867164,4.1999950477168815,0.0,0.0,4.124302877150283,0.031561625,0.0,0.0,
64,16.781198411248415,7.531506931593032,0.0,0.15707303522589272,9.08586045942949,0.006757985,0.0,0.0,
65,15.092481559839085,6.935296591805535,0.0,0.03380146816902929,8.11610637986452,0.007277120000000001,0.0,0.0,
66,13.594349180518744,6.3787020942442645,0.0,0.0,7.207723931274479,0.007923155000000001,0.0,0.0,
67,12.589266672950673,5.9950706203537045,0.0,0.0,6.58548179759697,0.008714255,0.0,0.0,
68,11.919275614120997,5.7356270702026695,0.0,0.0,6.173887963918328,0.009760580000000001,0.0,0.0,
69,19.320804890355237,8.506134137963546,0.0,0.2420650616600824,10.57044637273161,0.002159318,0.0,0.0,
70,17.708965259144904,7.951762055625029,0.0,0.10866353007376653,9.64617092594611,0.0023687474999999998,0.0,0.0,
71,16.208521140315902,7.423077051175958,0.0,0.0,8.782860384639942,0.0025837045,0.0,0.0,
72,15.27303398856191,7.072107529965075,0.0,0.0,8.198082972096834,0.0028434865,0.0,0.0,
73,14.718180706701073,6.865120221691727,0.0,0.0,7.849913439509344,0.0031470455,0.0,0.0,
74,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
75,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
76,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
77,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
78,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
79,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
80,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
81,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
82,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
83,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
84,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
85,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
86,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
87,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
88,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
89,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
90,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
91,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
92,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
93,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
94,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
95,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
96,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
97,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
98,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
99,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
100,14.968461039942204,6.958979535833631,0.0,0.0,8.006330323108573,0.003151181,0.0,0.0,
