Iteration No,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,0.001533488,8.069859442942334,-2.455896072540753,79.55992702227542,8.049263723915104,0.005381961,0.01698236,0.1008102,0.4851395,0.1955131,6352306.494680405,0.01207181,0.002984359,2.0,
2,0.001515088,8.788130896444098,-4.790273747917681,66.01490643293619,7.2083175518922,0.005264603,0.01783289,0.09731534,0.4728772,0.1921778,18943366.46550846,0.01207048,0.002832852,2.0,
3,0.00149232,9.407863748877494,-5.161823829429331,68.00579934696515,6.871183680468147,0.005162846,0.01855204,0.09412132,0.4621876,0.1863966,18708773.094482124,0.012,0.002754942,2.0,
4,0.001474988,9.884822246534045,-5.2380955439061125,73.42509153385836,6.641257429039021,0.005089643,0.01908742,0.09168015,0.4541316,0.1802762,18474233.734357238,0.01194504,0.002711076,2.0,
5,0.001456028,10.343477531019358,-5.558185253276747,75.28385375137415,6.4519372735259095,0.005013889,0.01956898,0.08934198,0.4464414,0.1739421,18239748.372698724,0.01188932,0.002675139,2.0,
6,0.001459687,10.378490674771069,-5.492688696512957,74.04340903549041,6.314967364322005,0.005016868,0.02004099,0.08781078,0.4424735,0.1781906,18708773.094482124,0.01196442,0.002654685,2.0,
7,0.001462203,10.401255156136244,-5.8065871759887955,67.00548233152747,6.201926574756431,0.005019697,0.02047245,0.08625606,0.4386952,0.1820736,19178013.85987413,0.01203075,0.002652817,2.0,
8,0.001463323,10.414430940773403,-4.152416303923829,61.254236996408196,6.103582769964562,0.005020182,0.02085534,0.0848209,0.4352247,0.1854888,19647470.768389344,0.01209142,0.002661273,2.0,
9,0.001404378,10.131283651015426,-5.446479667923029,72.01270244583833,6.102677142108109,0.004848185,0.0206708,0.08124048,0.4286251,0.2015137,21527461.825580955,0.01174918,0.002739148,2.0,
10,0.001308873,9.567219371632627,-5.4155326674639355,75.1717958149676,6.303972453727341,0.00456233,0.01974363,0.07769411,0.4210809,0.2222909,24353949.65135026,0.01102628,0.002915892,3.0,
11,0.001370074,10.400827041517616,-5.988505041785828,85.41607746154745,6.132370620138543,0.004674994,0.02038922,0.08126506,0.4261581,0.2034627,22704216.04262209,0.0114284,0.002476193,2.0,
12,0.001379622,10.424975460463024,-5.9610414261980225,82.37496034556114,6.027867789463215,0.004696317,0.02078864,0.08032071,0.4234222,0.2064306,23175297.20122224,0.01152231,0.002485618,2.0,
13,0.001248095,10.400814105671966,-6.024807555677242,74.43606642531344,6.123785648405357,0.004322444,0.01950521,0.07656566,0.4157472,0.2039413,22233351.77496779,0.01071739,0.00255236,3.0,
14,0.00126801,10.397765908674687,-5.985775498629806,70.3439276656189,5.99429203278973,0.004367401,0.01990258,0.07643407,0.4146995,0.2069061,22939729.504310966,0.01087982,0.002531429,3.0,
15,0.001142458,10.317806068411219,-6.819210417891881,74.18552489857501,6.105085566237193,0.004010687,0.01850797,0.07301156,0.4069608,0.203622,21998000.944037616,0.01002715,0.002594145,3.0,
16,0.001169082,10.322575543651919,-5.818762598502104,64.88067732386327,5.953431688221409,0.004071294,0.01895319,0.07319707,0.406777,0.2062493,22939729.504310966,0.0102449,0.002554265,3.0,
17,0.001064826,10.226207725311433,-6.9456959684127995,69.72577143910272,6.089969251106728,0.003781408,0.01766963,0.070417,0.4000376,0.2026284,21998000.944037616,0.009479996,0.00262474,3.0,
18,0.00108599,10.273054856676637,-6.593554638971639,94.02315155580524,6.038551345159654,0.003831747,0.0179845,0.07087825,0.4008813,0.2053391,22233351.77496779,0.009647153,0.002598571,3.0,
19,0.001002338,10.198998564365189,-7.390314264421335,65.05959387420927,6.123321242591828,0.003592725,0.0168763,0.06897568,0.3960159,0.198643,21527461.825580955,0.00901586,0.002587951,3.0,
20,0.001039332,10.40019663107229,-6.489704675215918,75.9813429813903,5.964979135548871,0.00367694,0.0174828,0.06983899,0.3976528,0.1986252,21762704.298400402,0.009341382,0.002489123,3.0,
21,0.0009644131,10.260679875377864,-7.091141840745969,68.62113047902895,6.0468625175322135,0.003473071,0.01646351,0.06792727,0.3927668,0.194171,21292273.513106942,0.008751584,0.002533983,3.0,
22,0.0008996341,10.247803171664314,-6.785638501219694,73.26924092208844,6.119300008321854,0.003288215,0.01553249,0.06708655,0.3908009,0.1816196,20587033.413077354,0.008256179,0.002449714,3.0,
23,0.0009299692,10.447237405364813,-7.161083816155944,72.47093256189703,5.959678872060403,0.003359368,0.01605815,0.06765153,0.3917733,0.1825929,21057139.34850889,0.00853304,0.002398114,3.0,
24,0.0008603429,10.295532647585004,-6.99878809286497,72.1361069417637,6.041846048199599,0.003158797,0.0150565,0.06604402,0.3873842,0.1776656,20587033.413077354,0.007965621,0.002383003,3.0,
25,0.0008133629,10.237994534768182,-6.940464816452092,83.85483929454352,6.099097650533405,0.003019241,0.01435913,0.06537178,0.3856069,0.1690945,20117143.919588268,0.00759045,0.002315904,3.0,
26,0.0008436451,10.483818240463986,-7.221235742476736,73.07235070656594,5.958413308296859,0.003090933,0.01487726,0.06611986,0.3871906,0.1695051,20352061.617319345,0.00787516,0.002266433,3.0,
27,0.0007842651,10.295107330036872,-6.534309972723634,85.37152943259852,6.034880984859971,0.002926239,0.01398483,0.06460629,0.3830735,0.164914,19882280.307429016,0.007373569,0.002270524,3.0,
28,0.0007356673,10.184038155174322,-6.140801490012052,66.08469260155246,6.103749771662306,0.002790685,0.0132277,0.0639505,0.3815465,0.152757,19647470.768389344,0.006975275,0.002222301,3.0,
29,0.0007646145,10.471661148882204,-6.9235919530413526,83.3342980051421,5.932055044460305,0.00286054,0.01372985,0.06458193,0.3828988,0.1534924,19882280.307429016,0.00725182,0.002192249,3.0,
30,0.0007148855,10.286489568017558,-6.3403169861192055,77.19718783587433,6.002290124958302,0.002722406,0.01295068,0.06327998,0.3792681,0.1499384,19647470.768389344,0.006816491,0.002190271,3.0,
31,0.00067474,10.179561846079835,-6.21191754536671,66.44622302060787,6.06265727053949,0.00260354,0.01230965,0.062709,0.3777235,0.1410133,19178013.85987413,0.006483114,0.002144293,3.0,
32,0.0006244291,8.758893984253744,-2.572623638936406,55.37176306862651,6.36324388011006,0.002421178,0.01141551,0.0625551,0.3771792,0.1399599,23882325.82820058,0.006012484,0.00199404,3.0,
33,0.0007140689,10.679877836961783,-7.195246255685326,81.70649544144194,5.925620888646284,0.002654476,0.01294123,0.06512018,0.3829439,0.139666,21527461.825580955,0.006841217,0.001957123,3.0,
34,0.0006600719,10.391817395886186,-6.35453665049301,66.22292136076959,6.0856247618916335,0.002507035,0.01210227,0.06343136,0.3787036,0.1362052,21057139.34850889,0.006376686,0.001963831,3.0,
35,0.0005819331,8.012878667517553,-1.5006957336397093,54.70334289267015,6.652894588899318,0.002242141,0.01067091,0.06233568,0.3756296,0.1484266,28608351.913977206,0.005557437,0.001800923,3.0,
36,0.0006740326,10.183816991370156,-6.193819259643369,64.25922427748364,6.175514511542807,0.002475282,0.01223584,0.06550231,0.3826805,0.1469168,25061792.743871097,0.006398857,0.001717918,3.0,
37,0.0006914734,10.399511696892237,-6.951812711776483,72.45550591647503,6.0218900214238245,0.002523259,0.01256906,0.06546961,0.3821913,0.1514102,25533959.85669577,0.006548999,0.001722553,3.0,
38,0.0006047334,8.62528158855807,-3.02789694912952,56.18530034987175,6.503805906721338,0.002275512,0.01107154,0.0624414,0.3745015,0.1683461,31216958.198674917,0.005688638,0.001758204,3.0,
39,0.0006755663,10.375878161597512,-7.276404727881285,76.22067038634427,6.05831740819511,0.002462348,0.01231864,0.06449788,0.379426,0.1680912,28371533.35400325,0.006326783,0.001690942,3.0,
40,0.0005095256,0.8092003409576543,0.3230485952815343,53.45268621934102,8.830803573200521,0.001936456,0.008952643,0.06564356,0.384782,0.1930526,87802484.28734958,0.00459988,0.001364795,3.0,
41,0.0005812053,3.3878908055995636,-0.8044951505401485,53.72813095970244,7.962075770384725,0.002122691,0.01018102,0.06761863,0.3884235,0.1996514,74855409.01640952,0.005190726,0.001300586,3.0,
