Iteration No,Rd,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Ibias,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,L,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W1,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Cload,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Alo,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias3,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,Rd,-0.0006736277036402589,0.0006351114902897385,-0.006924508130310051,0.01052013933915948,-0.0004200624237474814,-0.00038406075406353956,-0.0006006232349330957,-7.737312295781825e-05,-2.061262791483183e-07,-0.0018382399951715868,0.0,-0.0010909714450442682,0.0008477532361221133,0.0,Ibias,0.008443496134303001,-0.0041252794580940635,-0.010059174859871298,0.021694536610552546,0.0007982401955982176,0.009031094799832287,0.0037615502203464228,0.003197097119140698,0.0019241888157941706,-0.004147036694727875,0.0,0.005499589539596755,0.010929650219695525,0.0,L,0.005142524754024899,0.0027985370222281345,-0.013089614175657406,0.004346516092846954,-0.0004404746079808949,0.0029305303401492198,-0.0005605816859375832,0.006167034684982301,0.0021459806921514677,-0.005147481166223596,0.0,0.002717902286401081,-0.007114760657146089,0.0,W1,-0.00010433730162865126,0.004492081066693394,0.018410464156249088,-0.0063997120016685205,-0.003017412844963933,-5.964368749609581e-05,0.0047290247056357365,-0.0038825436314976073,-0.0020375582693225418,5.31933665825653e-05,0.0,-7.372548110017625e-05,0.0013553999368039382,0.0,W2,0.0008796938743570856,1.463134931560033e-05,-0.005916539330324712,0.002127921866270178,-0.002126980593358867,0.0005011184584948538,0.0007825767443395739,0.00010018827459918737,0.0,0.0023998391923610385,0.0,0.0032613170684428136,-0.001098058242992844,0.0,Cload,0.0,-1.2175843906403266e-08,-0.007839509989491804,-0.0076449447538599405,0.0005635713114939975,0.0,0.0,0.0,0.0,0.0,-0.03647407540520795,0.0,0.0,0.0,Alo,0.0,-0.0007691581616149243,-0.024195141851122145,-0.013515897668638697,-0.0035633395077407973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0029084022829001387,0.002277001506317593,2.534808971500532e-05,-0.00880082217844272,0.0009049570935393052,-0.0016873031967344603,-0.002595634529005299,-0.00033230764347264214,-4.122525582966366e-07,-0.007921208348698815,0.0,-0.0016111916937063056,0.0036939255632449392,0.0,Rbias3,0.0028901432551151104,-0.002309414195943324,-0.008927616508098165,-0.0005730703295573433,-0.0008874468035074807,0.0015957008978696571,0.0025685475988025904,0.00033131568035777006,2.061262791483183e-07,0.007899214937515702,0.0,0.0015855120317499272,-0.003577652688567205,0.0,
2,Rd,-0.0005999651505390397,0.0003893081185039228,0.008748099296734264,0.00529867936793212,-0.0001313054598478829,-0.0003453251840641707,-0.0005428172326527833,-6.514902994731944e-05,0.0,-0.0017249651104342559,0.0,-0.0010347558672066412,0.0008362597128266247,0.0,Ibias,0.008510396755832043,-0.0035763548893265307,0.0038794247225028915,0.0021636357826531464,0.0006107743975808608,0.009058612776689982,0.0040812229537667746,0.0031633245077292405,0.001841915829310465,-0.004063424599511499,0.012386784302193992,0.0055523889687900535,0.011079646942374802,0.0,L,0.004900705437572036,0.0025545553562968107,0.0021130817198353547,-0.0017895283325259526,9.517857516893437e-05,0.0028211054090878447,-0.0003555228569233877,0.006029676307969484,0.00189436073466854,-0.004663910191499833,0.0,0.00242326734313795,-0.007253467530248671,0.0,W1,-5.280221346876127e-05,0.003839121780957196,0.008280478910377838,0.0008779916785083519,-0.002796434747290432,-3.096149890126052e-05,0.004505158726375713,-0.003767956829827592,-0.0019370779559682143,4.21484687616526e-05,0.0,-8.201827930615226e-05,0.0012475060469097396,0.0,W2,0.0008448354155006098,-9.871584256737094e-05,0.0012708690324916185,0.0003723884662196703,-0.0014447399729086263,0.00048626648581106863,0.0007637573046207827,9.196905647140199e-05,2.114713925790365e-07,0.0024321227529921713,0.0,0.0032509063434096584,-0.0011698457949797312,0.0,Cload,0.0,4.509175256868671e-09,-0.0023501239118897013,0.0007430038188813197,0.00011612410011640264,0.0,0.0,0.0,0.0,0.0,-0.012383932468047748,0.0,0.0,0.0,Alo,0.0,-0.0012168916130218912,-0.004664531696271976,0.007356119709573384,-0.002496905216829637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.00287640057871218,0.00209305767897784,-0.0027693132494535947,-0.0028857831421865297,0.0006141034153272223,-0.001687116768348912,-0.0026075414585073646,-0.0003120782396691188,-4.22942785158073e-07,-0.008259018471436404,0.0,-0.0016080553548822598,0.004051747143867769,0.0,Rbias3,0.0028612199423400223,-0.0021026711274711365,0.0022556032373585075,0.004016687651111226,-0.0006050541347069286,0.0015942322716452953,0.0025834287095360736,0.000311769963502195,4.22942785158073e-07,0.008247050387713879,0.0,0.0015550334369469608,-0.003926078736199313,0.0,
3,Rd,-0.000551490296987279,0.0004890634484407213,-0.0420602409039508,0.05622260852173777,7.396329927010345e-06,-0.00031862271313143407,-0.0005066828230210632,-5.7479006881728406e-05,-2.1636236022531883e-07,-0.0016491717123594822,0.0,-0.0009716666666666785,0.0008417600080147577,0.0,Ibias,0.008546424359386594,-0.0030094213460686546,-0.044167457821880904,0.046599862923922104,0.0004423142158096065,0.009074064963394295,0.004338606428188087,0.0031227781335833697,0.0017741713537966898,-0.004060696386092905,0.01253921728814633,0.005649999999999984,0.011302960280107655,0.0,L,0.00477243486651644,0.0023585198772246457,-0.0022455759925445744,0.0006416696392698316,0.0002360492246409191,0.0027599118780610604,-0.00017356581809861474,0.005876458171219877,0.001708180833929769,-0.004539782378004703,0.0,0.002310833333333343,-0.006976553408383885,0.0,W1,-3.3504878310373605e-05,0.00338325167933752,0.006255780119678763,0.0016728470202726406,-0.002612895771728526,-1.9756545130189973e-05,0.0042873991216060055,-0.0036969307272783085,-0.0018641780956476601,3.487188071023089e-05,0.0,-7.166666666667473e-05,0.0011299693423674018,0.0,W2,0.0008295807869625663,-8.759017825313914e-05,-0.003233807862949905,0.0028107517378571528,-0.001276067665218722,0.00047996783169596815,0.0007621803316510078,8.659037081090994e-05,0.0,0.002486096849406066,0.0,0.003256666666666697,-0.0012595546476113747,0.0,Cload,0.0,2.5189858348620487e-08,-0.0009453062464893053,0.0008943338433317066,0.00010394435708613171,0.0,0.0,0.0,0.0,0.0,-0.012536330359047432,0.0,0.0,0.0,Alo,0.0,-0.0013058288168090665,-0.05151870852272597,0.053090583026049694,-0.0022239662227105327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0029149244129946573,0.001877864408007884,0.0058218952661263776,-0.009283614771999026,0.0005643703644367949,-0.001717269893388208,-0.0026832628648924472,-0.00030322566661829194,-4.327247203305324e-07,-0.008705630896700931,0.0,-0.0016275000000000202,0.004502091151102361,0.0,Rbias3,0.00289549158357446,-0.0018862636971866467,-0.00793871917794016,0.046647665007243995,-0.0005536989388984395,0.0016208114671638057,0.0026552336023425113,0.0003026944373496463,4.3272472045063767e-07,0.008686853730164687,0.0,0.0015983333333333821,-0.004352541723201369,0.0,
4,Rd,-0.0005159364008384797,0.0005423076997626193,-0.0103646758335137,0.04953290285002324,0.00012363182828636172,-0.00029903865555982247,-0.00048199285183649093,-5.093796203429299e-05,-2.202004881467741e-07,-0.0015992127635261412,0.0,-0.0009259073222023732,0.0008734539348952179,0.0,Ibias,0.008568883272270726,-0.0026450165914381563,-0.01081223452538923,0.030426777956614578,0.0003276563779632159,0.009083151804556903,0.004518159080692825,0.003090527229721952,0.001727252628973546,-0.004083733737453931,0.012695485155019136,0.005696925250982839,0.011603879787951256,0.0,L,0.004666478642538151,0.0022033600211409845,-0.002350652903718469,0.004126033778961382,0.0003337079494567675,0.0027060837076393726,-4.296023244640025e-05,0.005776386709663997,0.0015761950941092595,-0.00448755853518104,0.0,0.00224026039259801,-0.006464591918485629,0.0,W1,-1.6949290434951588e-05,0.003078597829652853,0.006352267351917803,0.0036937606838716745,-0.002467384654247918,-1.0413304037210217e-05,0.004125230125391528,-0.00361866772687436,-0.0018085066090975056,1.5531722989486405e-05,0.0,-3.013803218752984e-05,0.0009793159616328885,0.0,W2,0.000578309789639031,0.00011543370080953317,-0.005004299376729802,0.010784643207068914,-0.001203717105914609,0.0003349940261036546,0.0005401463372210328,5.715522934903112e-05,0.0,0.0017922498921099559,0.0,0.003286719843550067,-0.0009723076741486792,0.0,Cload,0.0,3.9228135095721624e-08,-0.0014776305757699972,0.002321887994250318,9.479805461255699e-05,0.0,0.0,0.0,0.0,0.0,-0.012692562248058611,0.0,0.0,0.0,Alo,0.0,-0.0013422194026747976,-0.01734715861741479,0.0382212870352326,-0.0020405175039610473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.00295934610993452,0.0017273726152437672,0.006924611687376853,-0.01990295997969783,0.0005250535057451538,-0.0017492386008211857,-0.0027719828033332824,-0.0002917752643293661,-6.606014644403223e-07,-0.00915373188474125,0.0,-0.00167684662420559,0.0050680984229139765,0.0,Rbias3,0.002937651018177794,-0.0017331628835593946,-0.008751496224507507,0.027176657227732423,-0.0005159826283834656,0.0016494280640116509,0.002740548486909171,0.0002912298900035013,4.404009761713124e-07,0.009130989004649596,0.0,0.0016609404405510684,-0.0048899403779163785,0.0,
5,Rd,-0.00048213358534313506,0.0006290552347658155,-0.009761779641013801,0.06860461902885805,0.00022420338289377216,-0.0002804210464172229,-0.00045888952822266215,-4.4995644824609336e-05,-2.239935633274055e-07,-0.0015470665238604935,0.0,-0.0008747346357908346,0.0009061211398734804,0.0,Ibias,0.008591867738807128,-0.0023053754311469885,-0.010160995984005373,0.04010242263320711,0.00022680434362712984,0.009092542734791376,0.004691097849760157,0.003055450528407722,0.0016848795833003753,-0.0040973404368464155,0.0,0.005716895499490344,0.011922371136602694,0.0,L,0.004579582260780726,0.002031599644203478,-0.00229065763859762,0.005475797220655413,0.00040637685713292753,0.002661008251279673,9.913649050685765e-05,0.005675271580056769,0.0014590940714728164,-0.0044106630884644706,0.0,0.0021094562178493167,-0.005910720900857874,0.0,W1,0.0003488943893935937,0.0029789081469363816,0.005006616470486782,0.004941753222076404,-0.002380841697073639,0.00020263711462307696,0.004153512344537097,-0.002041929225208545,-0.0014490143611233317,-0.00016787195279336771,0.0,0.00023550547886680808,-0.00029119982176619504,0.0,W2,0.0008234731749663502,-5.174369359818209e-05,-0.0032014923833931473,0.010039041755766701,-0.0010544406287808054,0.00047787256558731066,0.0007823606544644135,7.6783612809985e-05,0.0,0.002641108736757799,0.0,0.0032533399723448666,-0.0015352473273351984,0.0,Cload,0.0,4.7646148411995253e-08,-0.0015504010927872255,0.003478368251372444,8.763859720311429e-05,0.0,0.0,0.0,0.0,0.0,-0.012852774656430907,0.0,0.0,0.0,Alo,0.0,-0.0013492674794774368,-0.015767013151536582,0.051074663747271334,-0.00189187703166798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003012304708426008,0.0015900454163020263,0.006175189525880193,-0.023807398792355786,0.0004943964132415378,-0.0017850415116887823,-0.0028708701219991757,-0.0002800475207735557,-6.719806899822165e-07,-0.009633665455344062,0.0,-0.0017570390905451985,0.005726805223952883,0.0,Rbias3,0.0029903271090940785,-0.0015985206104590652,-0.008366609992340304,0.03598172766959917,-0.00048533022693231557,0.0016829251704615657,0.002837143274713341,0.0002797117323793642,4.47987126654811e-07,0.009614693625062698,0.0,0.0017292830876786333,-0.0055193393689075285,0.0,
6,Rd,-0.0004857205688616779,0.0005555124229790309,0.019375768159759575,-0.03685754059774171,0.0002875972600405098,-0.00028264646388933466,-0.0004540693847959341,-4.7488474649828464e-05,0.0,-0.001534312135432548,0.0,-0.0008767662786829743,0.0008068753919957042,0.0,Ibias,0.008597733623715114,-0.0022129229643568834,0.009550288040353015,-0.026679703650606786,0.00016480827995154132,0.00909451873160705,0.004839082300824459,0.003014664030999338,0.0016624724418524564,-0.004013118537116976,0.01253921728814633,0.005746204162006965,0.011442412188263364,0.0,L,0.004606467002857349,0.0024195331101885013,0.0023658721012176963,-0.005420778522531292,0.00047201936467983793,0.002680556873332148,0.00030687106774664847,0.005593504578822772,0.001449578336329653,-0.004312236447938345,0.0,0.002123797058277795,-0.0070094945351331026,0.0,W1,2.0552351291330368e-06,0.0026683633907868282,0.006123073633837677,-0.005890645713481294,-0.0022339442745499326,7.973101944274121e-07,0.0038466163597705703,-0.0035188162546786277,-0.0017406692152185355,0.0,0.0,-1.6716230289375686e-06,0.0010279939051148915,0.0,W2,0.0008125029544003671,-9.781314770394225e-05,0.003155729591521189,-0.007498850104852342,-0.0009678875186730097,0.00047280494523684594,0.0007579465884668501,7.948910145189204e-05,2.2600223516860457e-07,0.002569159091444825,0.0,0.0032086804040646565,-0.001340648702199985,0.0,Cload,0.0,6.739679683008396e-08,-0.0005409464762198334,-0.0021754784839704915,7.737534499905208e-05,0.0,0.0,0.0,0.0,0.0,-0.012536330359047432,0.0,0.0,0.0,Alo,0.0,-0.0014293094091187288,0.006476745566907011,-0.029162060613435514,-0.0017560312965827975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0029725550751634575,0.001584846301073186,-0.00416736154050915,0.032685622620163154,0.0004366854202743277,-0.0017648461151459397,-0.002781798703557072,-0.00029005550343590684,-4.5200447033720915e-07,-0.009370303484022144,0.0,-0.0017435028191921784,0.004996826365463379,0.0,Rbias3,0.002952002723871533,-0.0015804186466046636,0.0053457973650588055,-0.02402553088083274,-0.00042768574777389263,0.0016639863755634064,0.002750862108109279,0.0002895999784991428,6.780067053803574e-07,0.009351222791774548,0.0,0.001717592662243501,-0.004820157570483811,0.0,
7,Rd,-0.0004910398898101217,0.0005783716640567197,0.021790216351612674,-0.0526786889513858,0.0003470026766057917,-0.00028627225906264185,-0.0004518267232304313,-4.996750373241586e-05,0.0,-0.0015219120179971305,0.0,-0.0008769195602933978,0.0007162197769390018,0.0,Ibias,0.008592514172108842,-0.002063195079656578,0.010025331019858322,-0.009569547674432823,0.00012475043033323993,0.009090588535523221,0.004969605494212929,0.0029723129018413372,0.0016421424259941981,-0.003935221800414826,0.012238046747729325,0.005777694657440314,0.011022245409313881,0.0,L,0.004629316175660973,0.0028230285419052386,0.005583717741307217,1.8970783378254846e-05,0.00049987563266485,0.002696776319367503,0.0005216766923352615,0.005541291823438355,0.0014556803903940348,-0.0042724480649583355,0.0,0.002222637823909631,-0.007949285608468219,0.0,W1,1.025849351964872e-05,0.002536317593400011,0.00546647983534417,-0.003304490117487038,-0.002150818394281312,5.976456347827735e-06,0.003728913735288211,-0.0034806829804189822,-0.0017219244705663913,-4.393827551030182e-06,0.0,4.987220248084589e-06,0.0011926944074920904,0.0,W2,0.0005847341306233879,9.770341267094476e-05,0.004356558990372627,-0.0033819628708375515,-0.0009357761118112143,0.0003402595814049276,0.0005368189933300078,5.9474082168904574e-05,2.279486987842027e-07,0.0018102569510351058,0.0,0.0032084450262867856,-0.0008470241256746795,0.0,Cload,0.0,8.07258610226024e-08,0.0015325588250251932,-0.0005997688791821951,6.966230551571543e-05,0.0,0.0,0.0,0.0,0.0,-0.012235229157729285,0.0,0.0,0.0,Alo,0.0,-0.0014304957105882351,0.008751835071685247,-0.011561481798552483,-0.0016601627822847595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.002953762234108413,0.0015359211261150147,-0.007291482496235703,0.010640060130700837,0.0003891402813204239,-0.0017556836597905961,-0.0027212180271535885,-0.00029968908851150787,-4.558973975684054e-07,-0.009133119793314324,0.0,-0.0017446958834653073,0.004358385821562557,0.0,Rbias3,0.0029352969457728676,-0.0015217590684466571,0.007323486433054384,-0.008675305392620125,-0.00037998921492799094,0.0016560760539929488,0.0026938641930985465,0.0002992253529781109,6.838460963526081e-07,0.009112249112446817,0.0,0.00171975978222474,-0.004207979668405409,0.0,
8,Rd,-0.0004961310660736934,0.002442591256320943,0.014612517398905314,2.5872569802602602e-05,0.002447454236566995,-0.0002892325417683815,-0.0004502443978377471,-5.210979841059191e-05,-2.2976637126265022e-07,-0.0015035948262105236,0.0,-0.0008683843584955359,0.0006354101965487364,0.0,Ibias,0.008583204118297875,-9.673003159866869e-05,0.021872657962408056,0.00520630355387598,0.002153960714325485,0.009084929590202096,0.00508550807610912,0.00293123510832825,0.0016237589456664673,-0.003857914871410083,0.0,0.005812385972863316,0.010667451253591868,0.0,L,0.004659258413897545,0.004968596767518337,0.049407395851447475,0.014415128715134335,0.0025564945769578967,0.002716036988300535,0.000731227589672543,0.0054915710632637525,0.0014654499158709654,-0.004230983218393791,-0.011948381607833746,0.0023156916226547623,-0.008752578183448366,0.0,W1,1.9817907597922338e-05,0.004260968815506983,0.05177976364334247,0.011750729007665491,-1.577206421853855e-05,1.1354170028169373e-05,0.00361921694875266,-0.003445259364142616,-0.0017057855402049377,-8.625857733826805e-06,0.0,1.240549083557673e-05,0.0013275601563612633,0.0,W2,0.0008098007070208705,0.0017067563644431072,0.030722584835296995,0.009816507811705353,0.0011921954049614633,0.0004722936339758487,0.0007350635376839168,8.523842590678666e-05,2.2976637126265022e-07,0.0024572912218957608,0.0,0.0031369351159748196,-0.0010310854993079766,0.0,Cload,0.0,0.0018290937881442718,0.43688532915096395,0.014086161813541404,0.0021306667148006746,0.0,0.0,0.0,0.0,0.0,-0.011948381607833746,0.0,0.0,0.0,Alo,0.0,0.00039918868194529914,0.009603107944621091,0.002698890655462838,0.00045057608242202293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.002950818103727008,0.0033399331364533263,0.4244279910526764,0.06577889810398492,0.0024279075977750152,-0.0017549164552200939,-0.0026842046209748015,-0.000309711403675377,-6.892991137879507e-07,-0.008930997451059082,0.0,-0.0017624067313847405,0.003826364300092467,0.0,Rbias3,0.0029330503245011004,0.00034015685272883046,0.027674490030810704,0.006666199241462446,0.0017120873966807184,0.0016561152563792677,0.0026587914653992003,0.0003091219263176112,4.5953274252530043e-07,0.008910511038941337,0.0,0.0017375957497134434,-0.003695599812570953,0.0,
9,Rd,-0.0005511336691403909,0.004908178021632106,0.01276871254138258,0.039816876577124564,0.004566236870448613,-0.0003192947463844003,-0.00047651759970580474,-6.806951411419021e-05,0.0,-0.0014351381568597544,-0.010925036791589592,-0.0008068648195022301,0.000326378859411752,0.0,Ibias,0.008469941853261763,0.002520653792902316,0.007640533348603872,0.05516233945306076,0.0043401266793013414,0.009017601432288625,0.005319097470828464,0.0027963891892316918,0.0015918339826576293,-0.003533754776970466,0.0,0.006001269875855256,0.00934451150503738,0.0,L,0.004823487693484213,0.008368036172001703,0.013510755063126094,0.0922194780359818,0.004333485670001372,0.002794447819132393,0.0014116531532403283,0.005390908571687429,0.0016954210101088913,-0.004651792905395401,-0.010925036791589592,0.003043616660907485,-0.011549576729698365,0.0,W1,5.2692366300298744e-05,0.006555544212049479,0.018413089437586797,0.09433178150517248,0.002395121716519039,3.052688789725679e-05,0.0033370745205797423,-0.003394613128824488,-0.001697987355383529,-2.2330987917896514e-05,-0.010925036791589592,3.830054522960726e-05,0.0018429088169022334,0.0,W2,0.0005240754269862501,0.004388444581360125,0.012041468174643863,0.08953774626777092,0.003289155224243407,0.00030361877692386445,0.00045232888906098065,6.474604778299005e-05,0.0,0.001364175239698454,-0.010925036791589592,0.0030751082203184,-0.0003088551622620098,0.0,Cload,0.0,0.004255200316008327,0.013283324359823405,0.09962190477160263,0.004461839782003108,0.0,0.0,0.0,0.0,0.0,-0.021847558290089844,0.0,0.0,0.0,Alo,0.0,0.0024494987741746034,0.006036188818598466,0.05026867132480661,0.00250841203301112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.0030718225435032833,0.0060414836978427275,0.01989087547795303,0.16913236494538259,0.004848908506825118,-0.0018153185161043266,-0.0026559204288174668,-0.0003787520703964256,-4.6660823177585995e-07,-0.007986553767808258,-0.010925036791589592,-0.001972903640934889,0.0018440040479741418,0.0,Rbias3,0.0030575813634220674,0.0024677144529931167,0.008925027301167461,0.0601960563688283,0.003946510753760334,0.0017123934008293749,0.0026375370087272326,0.00037801352232273065,4.6660823177585995e-07,0.007966207756594236,0.0,0.0019533278067065743,-0.0017779251066388896,0.0,
10,Rd,-0.0006287852220955276,0.001837351344872939,0.020131291787483914,-0.0021227116281490746,-0.0002432140550900644,-0.0003605613798212255,-0.0005211807555147191,-9.086917914373657e-05,0.0,-0.0012996483436794244,-0.009683811611692817,-0.000734608589660224,1.7833307955296382e-05,0.0,Ibias,0.008226160979713135,-0.0007744879263892459,0.010074697733236439,0.0037781591070257994,-0.0002197544486107903,0.008871563433596406,0.005472651179139723,0.0026201471385668765,0.0015659698646982854,-0.00310943902786845,0.0,0.006147132124342927,0.008136789702773763,0.0,L,0.004529087237646507,0.005540827351052717,0.0036442978399565573,-0.0016360634787746834,-0.0011960111978018167,0.0025984529834535974,0.0019469570691912897,0.00510231727990717,0.0021354566307805567,-0.0054091283088962255,-0.009683811611692817,0.003658532161345424,-0.014701504719653447,0.0,W1,0.00015509526134319533,0.002364323072650684,0.006430200698701744,-0.001934843445205685,-0.0019305825849101831,8.877043089829032e-05,0.0030794742405525093,-0.0033571399427833534,-0.0017205719850982586,-5.8931787131258524e-05,0.0,0.00011608629565012606,0.002339592824425623,0.0,W2,0.0009832886765944492,5.8618068779837545e-05,0.0036350714380779256,-0.0015032981167109607,-0.001384004200193689,0.000564404591513617,0.0008149463903041059,0.00014196700367645744,2.3748405592102509e-07,0.0020329217255406194,0.0,0.002872228893153539,-2.6064065472896666e-05,0.0,Cload,0.0,1.577763831092283e-08,-0.002812170180465134,-0.0031570455204047465,7.187174893530946e-05,0.0,0.0,0.0,0.0,0.0,-0.009683811611692817,0.0,0.0,0.0,Alo,0.0,-0.0016221741991540675,0.011256641224679592,-0.010986599094712507,-0.002485331064651638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.003354794544619575,0.001618835483963819,0.007641342866038458,0.015532635557393303,0.0006658604863410949,-0.0019652239097128024,-0.0027841891283417186,-0.00048459271880455526,-4.7496811184205017e-07,-0.006935056720720479,-0.009683811611692817,-0.0023525613352824892,0.00010562805481138502,0.0,Rbias3,0.003345626351831004,-0.0016396494033108348,0.008716127201410651,-0.0016867875752804408,-0.0006523125559342342,0.001849931942669685,0.0027705138315496087,0.0004833056199497917,4.7496811184205017e-07,0.006915712698990338,0.0,0.0023353297757720405,-7.922104110846439e-05,0.0,
