Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,Rd,-0.002116035005847374,-0.002270991950702957,0.0,0.0,0.00020819589203107465,-5.323894717549135e-05,0.0,0.0,Ibias,200.94699645851668,-17.744381396853836,0.0,0.0,125.06721238174546,93.62416547361518,0.0,0.0,W1,-27487.022673998887,-19024.18460381097,0.0,0.0,-8196.352086262985,-266.4859839255561,0.0,0.0,W2,-17973.72463728148,-7961.556355884713,0.0,0.0,-11211.892746313799,1199.7244649164415,0.0,0.0,Alo,-4.007594829245862,-2.1708998790770995,0.0,0.0,-1.836694950168815,0.0,0.0,0.0,Rbias2,6.7916289079010265e-06,8.906812018976555e-06,0.0,0.0,2.0406693028998014e-06,-4.155852413974969e-06,0.0,0.0,Rbias3,-5.100845697881362e-06,-6.881899311286824e-06,0.0,0.0,-1.5173902485550654e-06,3.2984438619610095e-06,0.0,0.0,
2,Rd,0.0003680008466357396,-0.001990287845216851,0.0,0.0,0.0024108149884648176,-5.252629661225016e-05,0.0,0.0,Ibias,592.3543319827115,-18.541401139583076,0.0,0.0,515.83238561316,95.06334750913888,0.0,0.0,W1,3742.9625542403146,-16836.55593237788,0.0,0.0,20826.332882862574,-246.8143962440904,0.0,0.0,W2,17187.463953965183,-6589.321157692805,0.0,0.0,22659.033916094635,1117.7511955630164,0.0,0.0,Alo,0.20503191944628402,-1.7380841143243047,0.0,0.0,1.9431160337705646,0.0,0.0,0.0,Rbias2,4.007135724335238e-05,6.8460272653763675e-06,0.0,0.0,3.730781345063054e-05,-4.082483472654764e-06,0.0,0.0,Rbias3,2.389875820693809e-05,-5.078303232711358e-06,0.0,0.0,2.5850053713854634e-05,3.1270077257941496e-06,0.0,0.0,
3,Rd,-0.0016966077820765846,-0.0021362735044371107,0.0,0.0,0.0004870173809102353,-4.73516585497169e-05,0.0,0.0,Ibias,211.09014245436035,-47.962738400361694,0.0,0.0,160.81748846418446,98.23539239053304,0.0,0.0,W1,-20115.059271907023,-16655.15478061264,0.0,0.0,-3233.091222303754,-226.81326899102012,0.0,0.0,W2,-11532.587583424098,-6785.672829203044,0.0,0.0,-5821.739323527611,1074.8245693060878,0.0,0.0,Alo,-2.7926551170658187,-1.738072921389393,0.0,0.0,-1.054582195676474,0.0,0.0,0.0,Rbias2,1.022192418870887e-05,7.678879678682158e-06,0.0,0.0,6.689492553713855e-06,-4.146448043687143e-06,0.0,0.0,Rbias3,8.185515572066956e-08,-5.4999242301094075e-06,0.0,0.0,2.504792796834931e-06,3.0769865889948457e-06,0.0,0.0,
4,Rd,-0.0026123036327192085,-0.0018759773126098892,0.0,0.0,-0.0006894901344709505,-4.6836185638391164e-05,0.0,0.0,Ibias,-26.426849414667945,-37.54676640688744,0.0,0.0,-87.96620513922011,99.08612213143196,0.0,0.0,W1,-38246.9547117277,-19430.912578031453,0.0,0.0,-19278.472522307024,462.43038861068385,0.0,0.0,W2,-27132.175227051936,-5798.39941813236,0.0,0.0,-22357.09523644234,1023.3194275219646,0.0,0.0,Alo,-4.021078343080765,-1.4286317354630789,0.0,0.0,-2.5924466076177084,0.0,0.0,0.0,Rbias2,-1.2392583920916052e-05,5.747453406538492e-06,0.0,0.0,-1.3996712014121473e-05,-4.1433253133340355e-06,0.0,0.0,Rbias3,-1.3710233687030666e-05,-3.919820214929468e-06,0.0,0.0,-1.276778072613673e-05,2.9773672540350342e-06,0.0,0.0,
5,Rd,-0.002187661538855215,-0.0008992256888612667,0.0,0.0,-0.0012393456975585263,-4.909015243544896e-05,0.0,0.0,Ibias,-51.7450900348873,86.20276408195907,0.0,0.0,-235.51242302128486,97.5645689044279,0.0,0.0,W1,-32978.79419364094,-12330.003590809609,0.0,0.0,-20551.033486283523,-97.7571165480541,0.0,0.0,W2,-30561.276333726244,-3167.576269972984,0.0,0.0,-28350.97475655415,957.2746928004614,0.0,0.0,Alo,-3.6429537285567823,-0.5460314498539091,0.0,0.0,-3.096922278702966,0.0,0.0,0.0,Rbias2,-3.00861152897474e-05,-3.8130776057516942e-06,0.0,0.0,-2.2168307261627175e-05,-4.104730422368937e-06,0.0,0.0,Rbias3,-1.4385900831707262e-05,3.1287077318052615e-06,0.0,0.0,-2.0393654838842652e-05,2.879046275329746e-06,0.0,0.0,
6,Rd,-0.0005506816314572772,0.00047338691570950574,0.0,0.0,-0.0009713425634505588,-5.272598371623029e-05,0.0,0.0,Ibias,196.30534416998822,304.43240318324206,0.0,0.0,-203.65492163450085,95.52786262125598,0.0,0.0,W1,-24313.29778173002,-9436.537201013161,0.0,0.0,-14765.80917523218,-110.95140548460337,0.0,0.0,W2,-19021.97843442051,1238.6945608977294,0.0,0.0,-21168.364526114627,907.6915307967895,0.0,0.0,Alo,-1.7704768675055969,0.6301955957762777,0.0,0.0,-2.400672463281846,0.0,0.0,0.0,Rbias2,-3.623472116210039e-05,-1.846264867265887e-05,0.0,0.0,-1.3687871656620705e-05,-4.08420083282056e-06,0.0,0.0,Rbias3,-5.562687503922711e-07,1.3222904038782543e-05,0.0,0.0,-1.658185655659194e-05,2.802683767417311e-06,0.0,0.0,
7,Rd,0.0002474075184535306,0.0005061693210527474,0.0,0.0,-0.00021404164533590244,-4.4720157263314376e-05,0.0,0.0,Ibias,357.4521827705142,298.1182884932376,0.0,0.0,-33.197699602159325,92.53159387944036,0.0,0.0,W1,-13032.71676108782,-7980.161701087597,0.0,0.0,-5011.108522392697,-41.44653760739098,0.0,0.0,W2,-5715.16676642515,1478.3542408046037,0.0,0.0,-8091.251559129093,897.7305518995327,0.0,0.0,Alo,-0.330249663579059,0.7990236428008682,0.0,0.0,-1.129273306379909,0.0,0.0,0.0,Rbias2,-1.945191804957708e-05,-1.771756131312987e-05,0.0,0.0,2.031388120889438e-06,-3.7657448573360415e-06,0.0,0.0,Rbias3,1.0844304233808937e-05,1.350277421135285e-05,0.0,0.0,-5.521774320952392e-06,2.8633043434086175e-06,0.0,0.0,
8,Rd,0.0001561325436814111,0.00017140940849565549,0.0,0.0,3.1829094561892926e-05,-4.710595937613426e-05,0.0,0.0,Ibias,344.6733013367637,231.05225607049394,0.0,0.0,22.06875704885642,91.55228821741485,0.0,0.0,W1,-9649.245438202333,-7443.775611088928,0.0,0.0,-2113.726135028054,-91.74369208535198,0.0,0.0,W2,-3077.381454157394,456.1067799892774,0.0,0.0,-4357.2548365265775,823.766602379669,0.0,0.0,Alo,-0.10032223233556034,0.6639102045778088,0.0,0.0,-0.7642324369133646,0.0,0.0,0.0,Rbias2,-1.128385766667007e-05,-1.3936089448981564e-05,0.0,0.0,6.3625215778413005e-06,-3.7102897955299803e-06,0.0,0.0,Rbias3,1.2089402168096777e-05,1.1417451349112986e-05,0.0,0.0,-2.1706190518923664e-06,2.8425698708762512e-06,0.0,0.0,
9,Rd,-0.00017943396522146967,-0.00016913903646171454,0.0,0.0,3.1836801151665196e-05,-4.213172991142035e-05,0.0,0.0,Ibias,270.89334198710094,163.33210643616832,0.0,0.0,17.363012137396886,90.19822341353535,0.0,0.0,W1,-9431.568449581038,-7193.8253863441105,0.0,0.0,-2178.8798568918355,-58.86320634499888,0.0,0.0,W2,-4434.278055610946,-553.4580982046124,0.0,0.0,-4683.005652714802,802.1856953085868,0.0,0.0,Alo,-0.3495612748130705,0.4246651043803757,0.0,0.0,-0.7742263791934394,0.0,0.0,0.0,Rbias2,-7.889532956652174e-06,-1.0010666474239379e-05,0.0,0.0,5.560683025908376e-06,-3.4395495083211698e-06,0.0,0.0,Rbias3,9.310151723043928e-06,8.797862659272316e-06,0.0,0.0,-2.5366440973446363e-06,3.0489331611162714e-06,0.0,0.0,
10,Rd,-0.0003735545184343131,-0.0002651387760650115,0.0,0.0,-5.731580540013056e-05,-5.109993696917261e-05,0.0,0.0,Ibias,217.95546718534558,139.38622588539914,0.0,0.0,-10.976625634734079,89.54586693468292,0.0,0.0,W1,-9832.698504615833,-6720.941500329289,0.0,0.0,-2958.4139705333787,-153.3430337533907,0.0,0.0,W2,-9985.168810972453,-3485.995653490548,0.0,0.0,-6651.484050531014,152.31089304917967,0.0,0.0,Alo,-0.5124946521907425,0.3757489159203793,0.0,0.0,-0.8882435681111439,0.0,0.0,0.0,Rbias2,-8.817100965825939e-06,-8.811896436566187e-06,0.0,0.0,3.5490114719382013e-06,-3.5542160011983215e-06,0.0,0.0,Rbias3,6.854219547335908e-06,8.059179406669042e-06,0.0,0.0,-4.138728399876474e-06,2.9337685405434136e-06,0.0,0.0,
11,Rd,-0.00034183731381825095,-0.00015873739115063203,0.0,0.0,-0.00014368608910689885,-3.9413833560712517e-05,0.0,0.0,Ibias,203.45163547475633,153.80690761268843,0.0,0.0,-38.671687548459296,88.3164154105296,0.0,0.0,W1,-9716.742065852295,-6155.799733013623,0.0,0.0,-3518.2838725190654,-42.658460319564185,0.0,0.0,W2,-6641.236371154577,-429.35241255132826,0.0,0.0,-6973.144961899877,761.2610032963322,0.0,0.0,Alo,-0.48849001586126767,0.4999192580370864,0.0,0.0,-0.9884092738983629,0.0,0.0,0.0,Rbias2,-1.1167850418460461e-05,-9.873285988448831e-06,0.0,0.0,2.0772836258651525e-06,-3.371848055876811e-06,0.0,0.0,Rbias3,6.608772419106635e-06,9.105454798830984e-06,0.0,0.0,-5.6394052132928455e-06,3.1427228335683245e-06,0.0,0.0,
12,Rd,-0.00025673659799495453,-0.00010286761766784072,0.0,0.0,-0.00011556569947271705,-3.830328085436088e-05,0.0,0.0,Ibias,209.9297753340433,158.8380467479248,0.0,0.0,-36.2746816917647,87.36641027788666,0.0,0.0,W1,-8677.399226603135,-5619.504794838928,0.0,0.0,-3021.28406760362,-36.6103641604695,0.0,0.0,W2,-5877.574331425486,-268.7292249724959,0.0,0.0,-6349.8618903479255,741.016783895325,0.0,0.0,Alo,-0.35659381791227635,0.5738652408667824,0.0,0.0,-0.9304590587790328,0.0,0.0,0.0,Rbias2,-1.0952584569566191e-05,-1.0265908476956925e-05,0.0,0.0,2.6109687282620035e-06,-3.2976448208707176e-06,0.0,0.0,Rbias3,7.5495663543224115e-06,9.702974739794767e-06,0.0,0.0,-5.338580455582186e-06,3.1851720701098052e-06,0.0,0.0,
13,Rd,-0.0002452551903842995,-0.00012691715142751738,0.0,0.0,-7.810679963234542e-05,-4.0231239324453784e-05,0.0,0.0,Ibias,204.35561169042253,148.8729349999094,0.0,0.0,-30.878159824821395,86.36083651533248,0.0,0.0,W1,-7751.6332817123775,-5184.946838465733,0.0,0.0,-2519.6554066575472,-47.031036589057976,0.0,0.0,W2,-9371.811498778427,-3288.0719285699493,0.0,0.0,-6240.091857410294,156.35228720168672,0.0,0.0,Alo,-0.29710500093367964,0.5702083904175181,0.0,0.0,-0.8673133913511881,0.0,0.0,0.0,Rbias2,-1.0046666440380615e-05,-9.751280549103485e-06,0.0,0.0,3.1345008215973506e-06,-3.429886712874616e-06,0.0,0.0,Rbias3,7.531356229878163e-06,9.480880808701384e-06,0.0,0.0,-4.927395154190222e-06,2.977870575366777e-06,0.0,0.0,
14,Rd,-0.0002406555034513006,-0.00013131661642527896,0.0,0.0,-6.99655220348887e-05,-3.937336499112007e-05,0.0,0.0,Ibias,194.91642461221068,142.92316525584474,0.0,0.0,-33.38018514106973,85.37344449744144,0.0,0.0,W1,-7182.583190652488,-4824.647671565028,0.0,0.0,-2317.501896254093,-40.43362283342362,0.0,0.0,W2,-4938.106543709082,-288.9837500160041,0.0,0.0,-5360.048579455352,710.9257857623644,0.0,0.0,Alo,-0.26063457043241267,0.5840913209568067,0.0,0.0,-0.8447258913892193,0.0,0.0,0.0,Rbias2,-9.728070705381131e-06,-9.49819646450143e-06,0.0,0.0,3.1613586261226846e-06,-3.391232867002365e-06,0.0,0.0,Rbias3,7.81680563211953e-06,9.55496398506076e-06,0.0,0.0,-4.926313070903815e-06,3.1881547179627027e-06,0.0,0.0,
