Iteration No,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,0.001126769,7.784191881806299,6.6334962081572115,66.25065230654187,18.84039173566215,0.004239217,0.0136893,0.09249405,0.4694913,0.1527273,9999000.0,0.008917598,0.003059453,2.0,
2,0.00108823,7.607759591702959,6.884415390202662,64.51936279344463,18.940979174618576,0.004058455,0.01347417,0.09137524,0.4656256,0.1612999,9999000.0,0.008621528,0.002821393,2.0,
3,0.001086254,8.321247327578385,6.845610089497697,64.66036697597258,18.391465643288825,0.004030765,0.01381756,0.08929157,0.459741,0.1666319,9999000.0,0.008659937,0.002765582,2.0,
4,0.001103403,9.36960009277902,6.141991071674099,83.00650140453283,17.496494823270268,0.004083636,0.01463113,0.08647945,0.4514896,0.1690667,9999000.0,0.008837434,0.00280763,2.0,
5,0.001111863,9.74311788224314,4.938280167649452,80.53951206350692,16.514766423654034,0.004125098,0.01531055,0.08381972,0.4440277,0.1668595,9999000.0,0.008991598,0.002886807,2.0,
6,0.001077388,10.134128378734793,4.746079492101984,85.59631180236525,16.00686415646055,0.004037279,0.01541151,0.08112586,0.436768,0.1586109,9999000.0,0.008904733,0.002928622,2.0,
7,0.001033891,10.50907015445704,4.299176962929593,77.35964390600006,15.897978683291786,0.003904694,0.01519861,0.0791193,0.431324,0.1528057,9999000.0,0.008670651,0.002907886,3.0,
8,0.001001044,10.73086347509258,4.320008038532549,74.07991167386962,15.872684494015365,0.003805959,0.01497358,0.07789976,0.4279766,0.1480049,9999000.0,0.008501435,0.002892072,3.0,
9,0.0009785058,10.898837669378786,4.281153387220115,74.83183205764016,15.756868206564116,0.003734934,0.01489004,0.07666083,0.4244252,0.1452787,9999000.0,0.008367022,0.00287701,3.0,
10,0.0009638729,11.06329704879284,4.139573686476595,74.23240257056523,15.584064421973116,0.00369162,0.01490363,0.07547467,0.4209903,0.143038,9999000.0,0.008326219,0.002877696,3.0,
