Iteration No,alpha,Rd,W2,W1,Ibias,Alo,Rbias2,Rbias3,
1,0.045,1.5828086647070871,1.3887549304397484,1.687476916447712,0.8151473527210552,1.7872974859658832,1.234069333862947,1.2212919206427577,
2,0.045,1.7147364543791042,1.3994543402652038,1.5559156829050362,0.9441413392776914,1.4913286162522401,1.4524879762540466,1.4296814014131487,
3,0.045,1.4717986625409485,1.4365048297158105,1.711441919108062,1.041456899992603,1.61793836476164,1.4423648351636802,1.3796703303350404,
4,0.045,1.6170496740132296,1.5068168879969517,1.8537078219569147,0.8372105928175622,1.4709569865806786,1.5132208849721456,1.2849152610230854,
5,0.045,1.7858889783829581,1.420064573399659,1.649984504514261,0.8147710289771583,1.5937285060065143,1.2729046720685748,1.3837642786277902,
6,0.045,1.580480212179111,1.3905628297204171,1.780227223489761,0.7588816182909692,1.4756626323146453,1.2802944526872369,1.4461959438715513,
7,0.045,1.4146496336986492,1.3906493168550158,1.6762624240833268,0.7108626333654964,1.3786810046402076,1.4572518835769734,1.525256229701885,
8,0.045,1.1892651591472891,1.3964852391914837,1.6491735420949254,0.6960697867549629,1.7255457592873766,1.5789160535052598,1.4255414537431086,
9,0.045,1.5283592022310186,1.2120464984925172,1.4424773744965047,0.6445371525537671,2.0425015913997453,1.3567327827704883,1.3687135016589593,
10,0.045,1.1812889382498946,1.2947708124530621,1.7534183198570314,0.6729635086197019,1.9683826864232572,1.4452175742600704,1.3913733980938205,
11,0.045,1.2891093586077824,1.334690485392815,2.009189143715234,0.7295214998285653,1.9292336357346977,1.371816110465303,1.2662117484273878,
12,0.045,1.4003814663129812,1.4584796266429612,1.7427759073186848,0.678608293224988,1.599142596408915,1.3694397521586024,1.3462187786456248,
13,0.045,1.3895264839938373,1.3296443489036605,1.768732433736039,0.6087243866185019,1.6642227077244938,1.253839007885858,1.3657772254231213,
14,0.045,1.3783253239647557,1.469204483523405,1.820488589910897,0.7551207677313949,1.581500819179548,1.3847999888889053,1.4130623171337136,
15,0.045,1.3195101164799117,1.3812298474801594,1.686392129141477,0.6687770273599828,1.6050199127883968,1.384968387473516,1.468914093079601,
16,0.045,1.4226132316437956,1.4541169841789872,1.7518211771144847,0.6426758035254572,1.3903262506143015,1.3183098118561962,1.450675813650148,
17,0.045,1.5063356599533193,1.4452071891018492,1.6996519244546968,0.6546075360254847,1.421154840590875,1.2478196673122188,1.4764928213029782,
18,0.045,1.4152372189928266,1.5285370907814224,1.655783969669952,0.6560748189939819,1.5198211590653834,1.2254579596831467,1.4531381361680213,
19,0.045,1.460819478685637,1.4250425372613558,1.7697136564715894,0.6716357366342394,1.407054614703196,1.3062778516150426,1.4571630927714896,
20,0.045,1.5287218921290038,1.349999258868352,1.6498347673989249,0.6487015678149858,1.4670286373752577,1.2633829517198476,1.5004037643820025,
21,0.045,1.5625523001936994,1.3519360957230382,1.4274661538487057,0.7154039371409261,1.6176314700423837,1.3831013925076867,1.567382284451282,
22,0.045,1.5003116557101763,1.3664129798654288,1.5020905258852852,0.6899185000410964,1.60336534579246,1.212235513761696,1.6372272593305504,
23,0.045,1.5827816364973148,1.3272412885351241,1.536800224666874,0.7372172237271479,1.619483759019334,1.3324242612801638,1.5496424417156336,
24,0.045,1.5199891398453473,1.4126497055259581,1.5361374189887782,0.7331911010194344,1.6342978576313214,1.2003180414196555,1.6049442687202582,
25,0.045,1.5771362736192438,1.4065226015985657,1.3926305958307021,0.7406134487394497,1.638147479197211,1.3574099077498916,1.5558359909732196,
26,0.045,1.6201186480832763,1.3589237875987181,1.532536882105141,0.7541739724464426,1.6081697469836231,1.2603478294873165,1.5704140915075622,
27,0.045,1.6175170118499038,1.3663401332316545,1.4484556557236772,0.7498735556215365,1.6103806935039064,1.2818683446333485,1.5989200222366737,
