Iteration No,Rd,Ibias,W1,W2,Rbias1,Rbias2,Rbias3,C1,C2,Cload,Alo,flo,frf,mismatch,Temp,
1,129.8778229535179,0.005366227575597757,0.00013577454147900494,3.859853935825619e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,1.2965458065624813e-10,0.2905672711619107,1000000000.0,1010000000.0,0,27,
2,137.148393055798,0.00532280182003987,0.00013898151654836505,3.975770451554153e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,1.2254204718911515e-10,0.29717346777845344,1000000000.0,1010000000.0,0,27,
3,144.39833770545198,0.005280810936871832,0.00014210463754368255,4.086311766349677e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,1.1604579502958091e-10,0.30328604521578567,1000000000.0,1010000000.0,0,27,
4,151.33825403771874,0.005231429313864604,0.00014513129772626013,4.1908127184094906e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,1.1021937345050628e-10,0.3087013999573459,1000000000.0,1010000000.0,0,27,
5,157.59945237376192,0.005166851247760815,0.00014804897449421868,4.287592013004343e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,1.051650450865043e-10,0.31314847053572836,1000000000.0,1010000000.0,0,27,
6,162.88205756402638,0.0050827085668609055,0.00015083582039739004,4.3753342373271084e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,1.0098698992585609e-10,0.3164011247006316,1000000000.0,1010000000.0,0,27,
7,167.21510436838415,0.004983241805730651,0.00015348745803202106,4.454450386835123e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,9.771177100297497e-11,0.3185097560531665,1000000000.0,1010000000.0,0,27,
8,170.87532570314474,0.004877224766246712,0.00015600669103471107,4.52679976385524e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,9.51797648263091e-11,0.3197276973187242,1000000000.0,1010000000.0,0,27,
9,174.1193247050418,0.00477118862790833,0.00015839484977471732,4.5940270322173626e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,9.314097423778388e-11,0.3202793814857644,1000000000.0,1010000000.0,0,27,
10,177.12882784983054,0.00466851192246554,0.00016066670394558068,4.6575266417568e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,9.14056744485449e-11,0.3203441866792524,1000000000.0,1010000000.0,0,27,
