Iteration No,Rd,Ibias,W1,W2,Rbias1,Rbias2,Rbias3,C1,C2,Cload,Alo,flo,frf,mismatch,Temp,
1,128.2336429548933,0.0053783453814742034,0.00013501309774896215,3.831793934351146e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,1.2965458065624813e-10,0.2889393120061818,1000000000.0,1010000000.0,0,27,
2,133.80823868000928,0.005343708866993222,0.00013750152334097111,3.922055841995171e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,1.2411325095698852e-10,0.2941082109456284,1000000000.0,1010000000.0,0,27,
3,139.41199802181208,0.0053114467661268365,0.0001399349410596595,4.009145908199797e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,1.189425588901895e-10,0.2990054410823577,1000000000.0,1010000000.0,0,27,
4,144.93977780393914,0.0052778295056557225,0.00014231424480303374,4.092914875221027e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,1.1416158246795539e-10,0.3035689085623261,1000000000.0,1010000000.0,0,27,
5,150.25057180720037,0.005239149040187286,0.00014463734179206506,4.173002767535732e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,1.0980763562862993e-10,0.3076937106075427,1000000000.0,1010000000.0,0,27,
6,155.17902045078296,0.005191987644518935,0.00014689486234236403,4.248581581447819e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,1.0592634768546567e-10,0.31126254708312934,1000000000.0,1010000000.0,0,27,
7,159.57773390658429,0.005133910198783596,0.00014907836496100225,4.318967427702676e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,1.0256215217080416e-10,0.31416108001309745,1000000000.0,1010000000.0,0,27,
8,163.4030911930816,0.005065444810112781,0.00015118256908266001,4.384045801516647e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,9.973505651174591e-11,0.31635631255443114,1000000000.0,1010000000.0,0,27,
9,166.71794143873905,0.004989570157379368,0.00015320773370763107,4.4444621402392795e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,9.740020334366471e-11,0.31792748687835626,1000000000.0,1010000000.0,0,27,
10,169.64026261837452,0.004909862059313035,0.00015515520496334307,4.500874781410708e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,9.546359661019282e-11,0.3189822941088046,1000000000.0,1010000000.0,0,27,
11,172.2752568324334,0.004829028713449933,0.00015702400950515238,4.5539975726314854e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,9.381908553745455e-11,0.3196048634159407,1000000000.0,1010000000.0,0,27,
12,174.7250957808171,0.004749266978521114,0.00015882480629752696,4.604634167685526e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,9.238409857470142e-11,0.31990233895366454,1000000000.0,1010000000.0,0,27,
13,177.045850537785,0.004671537696184259,0.0001605588426062199,4.6531933223955834e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,9.108877141011635e-11,0.3199257994403781,1000000000.0,1010000000.0,0,27,
14,179.28475522267928,0.004596464431930666,0.00016222692744009316,4.7000740554307985e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,8.989476037334668e-11,0.319733226928009,1000000000.0,1010000000.0,0,27,
15,181.4657345527678,0.0045242491306043825,0.0001638382131499786,4.74554470062086e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,8.877215627966702e-11,0.31936360705548217,1000000000.0,1010000000.0,0,27,
16,183.61289410618457,0.00445496027892464,0.0001653930866373406,4.789869569087914e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,8.770523178061212e-11,0.318854637241186,1000000000.0,1010000000.0,0,27,
17,185.73140182872442,0.0043884301376811005,0.0001668960917129292,4.833185182349096e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,8.667961140019664e-11,0.3182177296106045,1000000000.0,1010000000.0,0,27,
18,187.83599739757574,0.00432473506377934,0.00016835172259759625,4.875626373841693e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,8.569091791955728e-11,0.3174804440135304,1000000000.0,1010000000.0,0,27,
19,189.92712065136828,0.004263612641866164,0.00016976010266797108,4.917326258517e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,8.473079989828906e-11,0.3166531009463985,1000000000.0,1010000000.0,0,27,
20,192.00511909890523,0.004204822775176758,0.00017112129169968165,4.958291879892963e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,8.37979023459432e-11,0.31575377635303303,1000000000.0,1010000000.0,0,27,
21,194.0799671476058,0.004148251230990209,0.00017243962886859086,4.9985287799653755e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,8.289098948966658e-11,0.31479196412044064,1000000000.0,1010000000.0,0,27,
22,196.14230701512452,0.004093689088852436,0.00017371079557376546,5.038166002803636e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,8.20048279227353e-11,0.3137689614332455,1000000000.0,1010000000.0,0,27,
23,198.20695550445896,0.004041146605379602,0.00017494340141027922,5.0773333501860314e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,8.114258749879134e-11,0.31270949994266245,1000000000.0,1010000000.0,0,27,
24,200.2693648140071,0.003990434023678613,0.0001761374281416021,5.115909104478542e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,8.029735519968415e-11,0.3116142834241974,1000000000.0,1010000000.0,0,27,
25,202.32978045337902,0.003941472909972582,0.0001772928490565137,5.154021029944424e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,7.947043884605352e-11,0.31048400478685606,1000000000.0,1010000000.0,0,27,
26,204.39335928524278,0.0038940932836711525,0.00017841395499217674,5.1916718628386984e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,7.866115543409485e-11,0.3093345170698288,1000000000.0,1010000000.0,0,27,
27,206.45540577322998,0.003848231823524857,0.00017949638691703223,5.228863322303825e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,7.78669833738509e-11,0.30816615196607106,1000000000.0,1010000000.0,0,27,
28,208.5160861499302,0.003803828674263974,0.00018054441581132812,5.265722994969285e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,7.708925929830611e-11,0.3069792296551445,1000000000.0,1010000000.0,0,27,
29,210.57554054954647,0.003760644822052223,0.0001815580015631738,5.302000133028112e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,7.632741724178415e-11,0.30578144068413793,1000000000.0,1010000000.0,0,27,
30,212.633889438552,0.003718815610841622,0.00018253708462892404,5.337947346611624e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,7.558092581718798e-11,0.30457291412334064,1000000000.0,1010000000.0,0,27,
31,214.6963112043432,0.0036782026704843406,0.0001834859879657786,5.373566741773945e-05,7442.019848931285,23504.599506382572,44469.147210318515,4.234849e-12,2.0495489999999997e-12,7.484928367351749e-11,0.3033755815461961,1000000000.0,1010000000.0,0,27,
