Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,
1,Rd,-0.004070560245156602,-0.0036371697668644933,0.0,0.0,0.0,-0.0004333904782921083,Ibias,344.50689140675956,13.756451433728921,0.0,0.0,0.0,330.75043997303067,W1,-1870.4999450151643,-1446.268804266553,0.0,0.0,0.0,-424.2311407485275,W2,-1979.6775449290121,-6693.099615709342,0.0,0.0,0.0,4713.422070779885,Alo,-0.6751137670221845,-0.6751137670221258,0.0,0.0,0.0,0.0,
2,Rd,-0.0038193703821246434,-0.0033900758636858062,0.0,0.0,0.0,-0.00042929451843892394,Ibias,343.125964166314,11.973932514561833,0.0,0.0,0.0,331.15203165175114,W1,-1769.9019117198743,-1365.1263683749114,0.0,0.0,0.0,-404.77554334496284,W2,-1666.5938731729614,-6147.523770284206,0.0,0.0,0.0,4480.929897110809,Alo,-0.6191341685599803,-0.6191341685600763,0.0,0.0,0.0,0.0,
3,Rd,-0.0035565097647097537,-0.003129779687673552,0.0,0.0,0.0,-0.0004267300770361187,Ibias,342.63168753846975,11.29814297801035,0.0,0.0,0.0,331.33354456045834,W1,-1673.973261007553,-1287.0684565561476,0.0,0.0,0.0,-386.9048044513247,W2,-1380.7065303883548,-5661.624670365204,0.0,0.0,0.0,4280.918139976991,Alo,-0.5661561309538621,-0.5661561309538621,0.0,0.0,0.0,0.0,
4,Rd,-0.003269494400887793,-0.0028441364629665394,0.0,0.0,0.0,-0.000425357937921174,Ibias,343.2948078808094,11.91616897119558,0.0,0.0,0.0,331.3786389096128,W1,-1585.5888418766588,-1215.0595115509095,0.0,0.0,0.0,-370.52933032574924,W2,-1109.8291600857242,-5211.700325803445,0.0,0.0,0.0,4101.871165717859,Alo,-0.5104306882687627,-0.5104306882687812,0.0,0.0,0.0,0.0,
5,Rd,-0.002951666153250341,-0.002528041935452137,0.0,0.0,0.0,-0.0004236242177980125,Ibias,345.24392702218927,13.88612205218732,0.0,0.0,0.0,331.35780497000405,W1,-1501.1648159079884,-1147.0189602364255,0.0,0.0,0.0,-354.1458556714458,W2,-842.2961322993414,-4780.809512479974,0.0,0.0,0.0,3938.5133801809034,Alo,-0.44759840743876145,-0.44759840743877977,0.0,0.0,0.0,0.0,
6,Rd,-0.0026047508213841216,-0.0021831218103392936,0.0,0.0,0.0,-0.00042162901104501264,Ibias,348.52363771511716,17.181660862715255,0.0,0.0,0.0,331.3419768523977,W1,-1417.2097178318681,-1079.1227522242812,0.0,0.0,0.0,-338.0869656075294,W2,-556.2838440274088,-4340.129884781799,0.0,0.0,0.0,3783.8460407545235,Alo,-0.3769549152933439,-0.37695491529341607,0.0,0.0,0.0,0.0,
7,Rd,-0.002243928175553906,-0.001826668163137761,0.0,0.0,0.0,-0.0004172600124161095,Ibias,352.95918997275254,21.544687895406106,0.0,0.0,0.0,331.41450207735016,W1,-1333.2250250128272,-1011.9067757059751,0.0,0.0,0.0,-321.3182493067388,W2,-264.06571192337,-3899.3966344701043,0.0,0.0,0.0,3635.3309225464077,Alo,-0.29917445236350876,-0.29917445236344636,0.0,0.0,0.0,0.0,
8,Rd,-0.0019126570886067765,-0.0015021988223028592,0.0,0.0,0.0,-0.00041045826630379563,Ibias,357.61419196429705,25.97613557534892,0.0,0.0,0.0,331.6380563889541,W1,-1250.667849411009,-946.8008193973654,0.0,0.0,0.0,-303.8670300135878,W2,0.45381996696879595,-3488.8061136316965,0.0,0.0,0.0,3489.2599335988584,Alo,-0.22242098994400558,-0.2224209899439261,0.0,0.0,0.0,0.0,
9,Rd,-0.0016426456340422149,-0.0012414904323785425,0.0,0.0,0.0,-0.00040115520166358735,Ibias,361.58497331911457,29.570695591241698,0.0,0.0,0.0,332.01427772787343,W1,-1171.4637688343373,-886.0472670389571,0.0,0.0,0.0,-285.41650179525175,W2,205.071948385588,-3143.4332143390334,0.0,0.0,0.0,3348.505162724748,Alo,-0.15698977381401755,-0.15698977381400878,0.0,0.0,0.0,0.0,
10,Rd,-0.0014415685702905317,-0.0010513886086221265,0.0,0.0,0.0,-0.000390179961668455,Ibias,364.5202634784332,32.0166714513127,0.0,0.0,0.0,332.5035920271222,W1,-1096.9623581199528,-829.6782007930116,0.0,0.0,0.0,-267.2841573269594,W2,354.86999859645033,-2855.8672176797404,0.0,0.0,0.0,3210.7372162765655,Alo,-0.10435588462177205,-0.1043558846217895,0.0,0.0,0.0,0.0,
