Iteration No,alpha,Rd,W2,W1,Ibias,Alo,Rbias2,Rbias3,
1,0.08,1,1,1,1,1,1,1,
2,0.08,1,1,1,1,1,1,1,
3,0.08,1,1,1,1,1,1,1,
4,0.08,1,1,1,1,1,1,1,
5,0.08,1,1,1,1,1,1,1,
6,0.08,1,1,1,1,1,1,1,
7,0.08,1,1,1,1,1,1,1,
8,0.08,1,1,1,1,1,1,1,
9,0.08,1,1,1,1,1,1,1,
10,0.08,1,1,1,1,1,1,1,
11,0.08,1,1,1,1,1,1,1,
12,0.08,1,1,1,1,1,1,1,
13,0.08,1,1,1,1,1,1,1,
14,0.08,1,1,1,1,1,1,1,
15,0.08,1,1,1,1,1,1,1,
16,0.08,1,1,1,1,1,1,1,
17,0.08,1,1,1,1,1,1,1,
18,0.08,1,1,1,1,1,1,1,
19,0.08,1,1,1,1,1,1,1,
20,0.08,1,1,1,1,1,1,1,
21,0.08,1,1,1,1,1,1,1,
22,0.08,1,1,1,1,1,1,1,
23,0.08,1,1,1,1,1,1,1,
24,0.08,1,1,1,1,1,1,1,
25,0.08,1,1,1,1,1,1,1,
26,0.08,1,1,1,1,1,1,1,
27,0.08,1,1,1,1,1,1,1,
28,0.08,1,1,1,1,1,1,1,
29,0.08,1,1,1,1,1,1,1,
30,0.08,1,1,1,1,1,1,1,
31,0.08,1,1,1,1,1,1,1,
32,0.08,1,1,1,1,1,1,1,
33,0.08,1,1,1,1,1,1,1,
34,0.08,1,1,1,1,1,1,1,
35,0.08,1,1,1,1,1,1,1,
36,0.08,1,1,1,1,1,1,1,
37,0.08,1,1,1,1,1,1,1,
38,0.08,1,1,1,1,1,1,1,
39,0.08,1,1,1,1,1,1,1,
40,0.08,1,1,1,1,1,1,1,
41,0.08,1,1,1,1,1,1,1,
42,0.08,1,1,1,1,1,1,1,
43,0.08,1,1,1,1,1,1,1,
44,0.08,1,1,1,1,1,1,1,
45,0.08,1,1,1,1,1,1,1,
46,0.08,1,1,1,1,1,1,1,
47,0.08,1,1,1,1,1,1,1,
48,0.08,1,1,1,1,1,1,1,
49,0.08,1,1,1,1,1,1,1,
50,0.08,1,1,1,1,1,1,1,
51,0.08,1,1,1,1,1,1,1,
52,0.08,1,1,1,1,1,1,1,
53,0.08,1,1,1,1,1,1,1,
54,0.08,1,1,1,1,1,1,1,
55,0.08,1,1,1,1,1,1,1,
56,0.08,1,1,1,1,1,1,1,
57,0.08,1,1,1,1,1,1,1,
58,0.08,1,1,1,1,1,1,1,
59,0.08,1,1,1,1,1,1,1,
60,0.08,1,1,1,1,1,1,1,
61,0.08,1,1,1,1,1,1,1,
62,0.08,1,1,1,1,1,1,1,
63,0.08,1,1,1,1,1,1,1,
64,0.08,1,1,1,1,1,1,1,
65,0.08,1,1,1,1,1,1,1,
66,0.08,1,1,1,1,1,1,1,
67,0.08,1,1,1,1,1,1,1,
68,0.08,1,1,1,1,1,1,1,
69,0.08,1,1,1,1,1,1,1,
70,0.08,1,1,1,1,1,1,1,
71,0.08,1,1,1,1,1,1,1,
72,0.08,1,1,1,1,1,1,1,
73,0.08,1,1,1,1,1,1,1,
74,0.08,1,1,1,1,1,1,1,
75,0.08,1,1,1,1,1,1,1,
76,0.08,1,1,1,1,1,1,1,
77,0.08,1,1,1,1,1,1,1,
78,0.08,1,1,1,1,1,1,1,
79,0.08,1,1,1,1,1,1,1,
80,0.08,1,1,1,1,1,1,1,
81,0.08,1,1,1,1,1,1,1,
82,0.08,1,1,1,1,1,1,1,
83,0.08,1,1,1,1,1,1,1,
84,0.08,1,1,1,1,1,1,1,
85,0.08,1,1,1,1,1,1,1,
86,0.08,1,1,1,1,1,1,1,
87,0.08,1,1,1,1,1,1,1,
88,0.08,1,1,1,1,1,1,1,
89,0.08,1,1,1,1,1,1,1,
90,0.08,1,1,1,1,1,1,1,
91,0.08,1,1,1,1,1,1,1,
92,0.08,1,1,1,1,1,1,1,
93,0.08,1,1,1,1,1,1,1,
94,0.08,1,1,1,1,1,1,1,
95,0.08,1,1,1,1,1,1,1,
96,0.08,1,1,1,1,1,1,1,
97,0.08,1,1,1,1,1,1,1,
98,0.08,1,1,1,1,1,1,1,
99,0.08,1,1,1,1,1,1,1,
100,0.08,1,1,1,1,1,1,1,
101,0.08,1,1,1,1,1,1,1,
102,0.08,1,1,1,1,1,1,1,
103,0.08,1,1,1,1,1,1,1,
104,0.08,1,1,1,1,1,1,1,
105,0.08,1,1,1,1,1,1,1,
106,0.08,1,1,1,1,1,1,1,
107,0.08,1,1,1,1,1,1,1,
108,0.08,1,1,1,1,1,1,1,
109,0.08,1,1,1,1,1,1,1,
110,0.08,1,1,1,1,1,1,1,
111,0.08,1,1,1,1,1,1,1,
112,0.08,1,1,1,1,1,1,1,
113,0.08,1,1,1,1,1,1,1,
114,0.08,1,1,1,1,1,1,1,
115,0.08,1,1,1,1,1,1,1,
116,0.08,1,1,1,1,1,1,1,
117,0.08,1,1,1,1,1,1,1,
118,0.08,1,1,1,1,1,1,1,
119,0.08,1,1,1,1,1,1,1,
120,0.08,1,1,1,1,1,1,1,
121,0.08,1,1,1,1,1,1,1,
122,0.08,1,1,1,1,1,1,1,
123,0.08,1,1,1,1,1,1,1,
124,0.08,1,1,1,1,1,1,1,
125,0.08,1,1,1,1,1,1,1,
126,0.08,1,1,1,1,1,1,1,
127,0.08,1,1,1,1,1,1,1,
128,0.08,1,1,1,1,1,1,1,
129,0.08,1,1,1,1,1,1,1,
130,0.08,1,1,1,1,1,1,1,
131,0.08,1,1,1,1,1,1,1,
132,0.08,1,1,1,1,1,1,1,
133,0.08,1,1,1,1,1,1,1,
134,0.08,1,1,1,1,1,1,1,
135,0.08,1,1,1,1,1,1,1,
136,0.08,1,1,1,1,1,1,1,
137,0.08,1,1,1,1,1,1,1,
138,0.08,1,1,1,1,1,1,1,
139,0.08,1,1,1,1,1,1,1,
140,0.08,1,1,1,1,1,1,1,
141,0.08,1,1,1,1,1,1,1,
142,0.08,1,1,1,1,1,1,1,
143,0.08,1,1,1,1,1,1,1,
144,0.08,1,1,1,1,1,1,1,
145,0.08,1,1,1,1,1,1,1,
146,0.08,1,1,1,1,1,1,1,
147,0.08,1,1,1,1,1,1,1,
148,0.08,1,1,1,1,1,1,1,
149,0.08,1,1,1,1,1,1,1,
150,0.08,1,1,1,1,1,1,1,
