Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,Rbias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,
1,Rd,-0.00018378223871955726,-0.00021143050438091662,0.0,0.0,2.9677706186773616e-05,-2.0294405254151494e-06,0.0,Ibias,1018.149959450825,90.64459048771944,0.0,0.0,813.7430641892867,113.76230477386582,0.0,W1,-26434.737548996214,-15266.823556920432,0.0,0.0,-11389.732506361495,221.81851428707026,0.0,W2,-416015.0366698853,-124509.84422279877,0.0,0.0,-296478.6295280004,4973.437080917308,0.0,Alo,-3.3812155616696993,-0.9806028380186048,0.0,0.0,-2.4006127236510304,0.0,0.0,Rbias2,-1.1160791722883108e-06,-5.029023969162597e-07,0.0,0.0,-4.022715535296595e-07,-2.1090522184199416e-07,0.0,Rbias3,2.8830937894834617e-07,1.2706652902209443e-07,0.0,0.0,1.148339028252672e-07,4.64089471010506e-08,0.0,
2,Rd,-0.000317551242394034,-0.00019010115877180167,0.0,0.0,-0.00012544708343116846,-2.003000191074056e-06,0.0,Ibias,122.15301020932642,69.03156675641463,0.0,0.0,-61.835305384500906,114.95674883735755,0.0,W1,-48550.61646529081,-14628.435940296164,0.0,0.0,-34150.62494304898,228.4444180524757,0.0,W2,-507969.1111128982,-100161.75215073765,0.0,0.0,-412365.3422367298,4557.98327456742,0.0,Alo,-3.6129223260728933,-0.7111193273338562,0.0,0.0,-2.901802998739037,0.0,0.0,Rbias2,-5.951128295522985e-06,-6.229570218323962e-07,0.0,0.0,-5.118332352540983e-06,-2.0983892114978704e-07,0.0,Rbias3,-9.210418248622869e-07,1.5381266014078861e-07,0.0,0.0,-1.121338413414898e-06,4.6483928411752375e-08,0.0,
3,Rd,-0.000377631709874151,-0.00014180357760114746,0.0,0.0,-0.00023375793601279745,-2.0701962602065342e-06,0.0,Ibias,-457.37414573546016,141.6730527737559,0.0,0.0,-714.3272697055763,115.28007119636983,0.0,W1,-60368.946901564224,-13248.726969485888,0.0,0.0,-47350.49444805369,230.27451597535452,0.0,W2,-532605.5815673429,-71589.96464143183,0.0,0.0,-465209.5846137376,4193.967687824371,0.0,Alo,-3.5459616789951354,-0.43704057819471975,0.0,0.0,-3.1089211008004156,0.0,0.0,Rbias2,-8.924372316479938e-06,-1.0466295080635783e-06,0.0,0.0,-7.670010961961115e-06,-2.0773184645509746e-07,0.0,Rbias3,-1.6521933358777738e-06,2.5100149476753174e-07,0.0,0.0,-1.949439332950587e-06,4.624450230532479e-08,0.0,
4,Rd,-0.00034993405231254247,-8.471843753225123e-05,0.0,0.0,-0.00026301179266810125,-2.203822112193261e-06,0.0,Ibias,-604.8300521214719,254.91327504069886,0.0,0.0,-974.668455412758,114.9251282505778,0.0,W1,-60486.234979336514,-11709.365420730326,0.0,0.0,-48998.75852919862,221.8889705931821,0.0,W2,-481216.033542507,-43654.21167293624,0.0,0.0,-441432.2966037713,3870.474734200979,0.0,Alo,-3.101963074093212,-0.21132682704516323,0.0,0.0,-2.8906362470480147,0.0,0.0,Rbias2,-9.564076899217234e-06,-1.5413825325996095e-06,0.0,0.0,-7.81790648423936e-06,-2.0478788237831283e-07,0.0,Rbias3,-1.7523339225598328e-06,3.573823431262605e-07,0.0,0.0,-2.1554728691144266e-06,4.575660342835085e-08,0.0,
5,Rd,-0.0002573410923501785,-3.812083887888985e-05,0.0,0.0,-0.00021685650842458024,-2.3637450467072806e-06,0.0,Ibias,-364.81219379979154,358.4111840056242,0.0,0.0,-837.4149428120297,114.19156500657904,0.0,W1,-50365.96733187115,-9982.44664921301,0.0,0.0,-40601.34204711832,217.82136446011717,0.0,W2,-377495.5773126343,-22503.16388937347,0.0,0.0,-358586.8873424839,3594.4739192188417,0.0,Alo,-2.40994514373115,-0.07842277049823335,0.0,0.0,-2.331522373232948,0.0,0.0,Rbias2,-8.130158688362276e-06,-1.84901867005258e-06,0.0,0.0,-6.079873859873627e-06,-2.0126615843617442e-07,0.0,Rbias3,-1.311804059848499e-06,4.30371960976627e-07,0.0,0.0,-1.7873511417182203e-06,4.5175120893080554e-08,0.0,
6,Rd,-0.00015309535480480374,-7.217991677912064e-06,0.0,0.0,-0.0001433784137322598,-2.4989493946330184e-06,0.0,Ibias,20.13314636129027,428.80150505854505,0.0,0.0,-522.1871468337634,113.51878813650866,0.0,W1,-37294.13798720035,-8631.651702011834,0.0,0.0,-28876.144127385942,213.65784219729736,0.0,W2,-268814.8835925783,-8876.362227241254,0.0,0.0,-263307.29252070555,3368.7711553656404,0.0,Alo,-1.735307716998195,-0.012581579177054587,0.0,0.0,-1.7227261378211367,0.0,0.0,Rbias2,-5.816472443454667e-06,-1.98339548905201e-06,0.0,0.0,-3.6350357091099277e-06,-1.9804124529272933e-07,0.0,Rbias3,-6.811203554219601e-07,4.744042288027891e-07,0.0,0.0,-1.2002750885174904e-06,4.475050429276134e-08,0.0,
7,Rd,-7.5342785008439e-05,1.089419980440927e-05,0.0,0.0,-8.374429404693864e-05,-2.492690765906333e-06,0.0,Ibias,339.3365257625434,470.91977001856736,0.0,0.0,-245.57495288515216,113.99170862912125,0.0,W1,-26745.238600393055,-7713.372351176789,0.0,0.0,-19244.531404799356,212.6651555827276,0.0,W2,-187523.62248326317,-1107.4865993960732,0.0,0.0,-189615.4615321866,3199.325648319502,0.0,Alo,-1.239029453649171,0.025447586906885627,0.0,0.0,-1.2644770405560601,0.0,0.0,Rbias2,-3.807232648076486e-06,-2.059978650005896e-06,0.0,0.0,-1.5492083987267086e-06,-1.980455993439685e-07,0.0,Rbias3,-1.6250752410409218e-07,5.020847404948065e-07,0.0,0.0,-7.097051808400207e-07,4.5112916241148594e-08,0.0,
8,Rd,-3.003621918101557e-05,1.8842169370549324e-05,0.0,0.0,-4.637132262972393e-05,-2.5070659218420507e-06,0.0,Ibias,522.77426474204,482.9375908217577,0.0,0.0,-74.30026671247468,114.13694063274201,0.0,W1,-20135.60574564389,-7110.369777325629,0.0,0.0,-13236.147267550854,210.91129923270995,0.0,W2,-137310.639101314,3016.7190495642435,0.0,0.0,-143387.16798029497,3059.8098294195747,0.0,Alo,-0.9207650713337717,0.05467671462908916,0.0,0.0,-0.9754417859628474,0.0,0.0,Rbias2,-2.4940737220421964e-06,-2.0674013767563392e-06,0.0,0.0,-2.2980356302316822e-07,-1.9686878226268164e-07,0.0,Rbias3,1.5460441794805367e-07,5.126558178107122e-07,0.0,0.0,-4.033429906443342e-07,4.5291590781664134e-08,0.0,
9,Rd,-9.616589310655893e-06,1.9361632463270507e-05,0.0,0.0,-2.591748363450952e-05,-3.0607381394200307e-06,0.0,Ibias,589.3558646843395,468.8688860302951,0.0,0.0,9.673474137857875,110.81350451617313,0.0,W1,-16552.686679778468,-6719.927955311646,0.0,0.0,-10041.531018721094,208.7722942540654,0.0,W2,-109177.8946928437,5021.667958786037,0.0,0.0,-117137.94722555963,2938.3845739280528,0.0,Alo,-0.7307219501522356,0.07474531774463318,0.0,0.0,-0.8054672678968653,0.0,0.0,Rbias2,-1.7581449902089885e-06,-2.020948352766354e-06,0.0,0.0,4.5699204804789075e-07,-1.9418868549058035e-07,0.0,Rbias3,3.0636042268482867e-07,5.088670325817403e-07,0.0,0.0,-2.428172919339041e-07,4.0310682036968396e-08,0.0,
10,Rd,1.467932552404454e-05,1.7197143019872483e-05,0.0,0.0,0.0,-2.517817495827585e-06,0.0,Ibias,559.4820590521758,444.9917712516235,0.0,0.0,0.0,114.4902878005665,0.0,W1,-6228.427567042809,-6437.003226253376,0.0,0.0,0.0,208.57565921073777,0.0,W2,8561.123699567628,5717.350470332695,0.0,0.0,0.0,2843.7732292355763,0.0,Alo,0.09084945484120695,0.09084945484120695,0.0,0.0,0.0,0.0,0.0,Rbias2,-2.148765603820848e-06,-1.9545829124337293e-06,0.0,0.0,0.0,-1.9418269138706224e-07,0.0,Rbias3,5.437707408128083e-07,4.980780361676156e-07,0.0,0.0,0.0,4.569270464519603e-08,0.0,
