Iteration No,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,
1,0.0002247826,6.838984177181892,-2.9700854337711178,51.595785614851195,20.639527577578658,0.0007476019,0.00342379,0.07287264,0.4063511,0.2796424,9999000.0,0.001110432,0.0004961824,
2,0.000226361,7.3869846615137424,-2.7721329442985194,53.35829942138733,19.51236934648817,0.0007505789,0.003477778,0.07221291,0.4040421,0.2819313,9999000.0,0.001142561,0.0005012471,
3,0.0002302993,7.8232177547477,-2.9163117626374344,55.35229200752991,18.305532055942145,0.0007620679,0.003567295,0.0716009,0.4019775,0.2828757,9999000.0,0.001181854,0.0005123024,
4,0.0002346821,8.076959958017362,-3.1611774492050415,56.83327005768018,17.198866273306635,0.0007755465,0.003664563,0.07102405,0.4000717,0.2829617,9999000.0,0.001220231,0.000524847,
5,0.0002377869,8.195884418954636,-3.4311319642955027,58.67270498712526,16.353105634243967,0.000784978,0.003742151,0.07046385,0.3982131,0.2828891,9999000.0,0.001251066,0.0005346723,
6,0.0002389043,8.255569379891789,-3.7202510298565628,61.13005402839565,15.773647629916471,0.0007877813,0.003787886,0.06992528,0.396385,0.2830913,9999000.0,0.001273874,0.0005397998,
7,0.0002384822,8.30105036693603,-3.806777291649901,62.27555787014131,15.385083017638818,0.0007852495,0.003807495,0.06941949,0.394607,0.2838483,9999000.0,0.001288438,0.000540925,
8,0.0002371963,8.345338856055873,-3.7549084389639376,62.05596316026801,15.11389217450162,0.000779727,0.003811269,0.06894863,0.3929059,0.2849571,9999000.0,0.001297442,0.0005396783,
9,0.0002355138,8.38722028004356,-3.777224055697914,61.476149097250925,14.909340660832447,0.0007729909,0.003806835,0.06850896,0.3913016,0.2860286,9999000.0,0.001305,0.0005373954,
10,0.0002330882,8.440641723398507,-3.701571775363007,60.82946388729357,14.92476193716508,0.0007650993,0.003782816,0.06821938,0.3903242,0.2855627,9999000.0,0.001300739,0.0005336544,
11,0.0002308317,8.48871445512996,-3.5966821518722156,60.41667825047554,14.942300491980959,0.0007578408,0.003760527,0.06794496,0.3894026,0.2849956,9999000.0,0.001296497,0.0005302607,
12,0.0002287168,8.533018227787025,-3.500409989110395,59.829344601571336,14.95881578893001,0.0007511072,0.003739656,0.06768371,0.3885288,0.2843495,9999000.0,0.001292332,0.0005271496,
13,0.0002267123,8.574772993924114,-3.442329800597065,59.71812590469807,14.974756836392826,0.0007447874,0.003719862,0.06743301,0.3876933,0.2836338,9999000.0,0.001288212,0.0005242597,
14,0.0002248048,8.614721876774524,-3.512936122200365,59.27578124284098,14.990246879962905,0.0007388283,0.003701012,0.06719157,0.386891,0.2828599,9999000.0,0.001284176,0.0005215615,
15,0.0002229727,8.653401054316593,-3.4870890107923813,58.91457841138616,15.005777147081783,0.0007331523,0.003682834,0.06695814,0.3861172,0.2820362,9999000.0,0.001280202,0.0005190079,
16,0.0002215752,8.685615353240346,-3.501684307212223,58.79826632046097,14.985781268941896,0.0007284043,0.003672936,0.06669519,0.3851853,0.2818611,9999000.0,0.001277993,0.0005171755,
17,0.0002198286,8.723220248438107,-3.4806144700673514,58.512583346436855,14.999693150552385,0.000723058,0.003655307,0.06647304,0.3844491,0.2809692,9999000.0,0.00127408,0.0005147703,
18,0.0002183014,8.755983194961116,-3.4690310957883597,58.2576928068366,15.013609795351798,0.0007182516,0.003640445,0.06626369,0.383734,0.2803673,9999000.0,0.001270456,0.0005126106,
19,0.000217327,8.787011334177318,-3.504493195124887,58.30861965328535,14.954381336794292,0.0007147174,0.003638705,0.06596891,0.3826607,0.2803548,9999000.0,0.00127128,0.0005117816,
20,0.0002156604,8.8236166803969,-3.4884426765527223,58.08073376928505,14.970496495924582,0.0007096986,0.003621245,0.06576219,0.3819753,0.2793738,9999000.0,0.001267355,0.0005094926,
21,0.0002140365,8.860070561201596,-3.480011267228903,57.85561487221807,14.989710880936446,0.0007048459,0.00360415,0.06555996,0.3813063,0.2783509,9999000.0,0.001263482,0.00050729,
22,0.0002124432,8.896373523888405,-3.446130579676293,57.637425621517394,15.009618437944123,0.0007001164,0.003587227,0.06536227,0.3806533,0.2772939,9999000.0,0.001259628,0.0005051418,
23,0.0002116069,8.92436552444677,-3.5015977037581933,57.68179376975404,14.972573348147387,0.0006972264,0.003584525,0.06512689,0.3797943,0.2770825,9999000.0,0.00125948,0.0005044277,
24,0.0002100231,8.96083349356367,-3.4905798174771405,57.52275127827387,14.991729031820062,0.0006925615,0.003567231,0.06493552,0.3791614,0.2759742,9999000.0,0.001255563,0.0005022735,
25,0.0002084687,8.997459096579245,-3.4764687132499006,57.360009276855536,15.014549510196524,0.0006880139,0.003550161,0.06474744,0.3785403,0.2748307,9999000.0,0.001251686,0.0005001788,
26,0.0002078462,9.024704621678625,-3.52158496849065,57.43101320348299,14.954622376541149,0.0006857365,0.003551603,0.06449518,0.3775988,0.2747016,9999000.0,0.001253352,0.0004999768,
