Iteration No,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,0.003713308,7.265588941265388,6.448392796334744,66.11763731634377,14.247671864796327,0.01403999,0.0453325,0.08818967,0.4633391,0.1554277,9999000.0,0.02920321,0.01025661,2.0,
2,0.003562964,6.489388432301809,6.355616928922302,65.16039841463086,14.668109665167865,0.01337113,0.04366199,0.08800497,0.4622632,0.1627759,9999000.0,0.02801926,0.009484539,2.0,
3,0.003500816,6.461685307221334,6.5102178581993115,64.31924442520022,14.583946317379112,0.01306897,0.04342761,0.08722948,0.4595893,0.1679741,9999000.0,0.02762169,0.009122585,2.0,
4,0.003496038,6.90172736447334,6.543831977944052,64.32476419398515,14.175635180876228,0.01300194,0.04413726,0.08607748,0.4559087,0.1715236,9999000.0,0.02772419,0.009014018,2.0,
5,0.003522475,7.542109006981929,7.05542215946474,63.455565625687996,13.689444750419453,0.01306126,0.04530539,0.0848455,0.4520444,0.1741332,9999000.0,0.0280802,0.009035993,2.0,
6,0.003561897,8.242018076849352,6.927825510527882,64.02487319120607,13.182291666299943,0.01317518,0.04667368,0.08360214,0.4481738,0.1761246,9999000.0,0.02854689,0.009121227,2.0,
7,0.003603322,8.883864606065508,6.66980264216717,66.83354410968147,12.70350532397873,0.01330386,0.04808044,0.08238454,0.4444039,0.1775237,9999000.0,0.02902493,0.009236251,2.0,
8,0.003639782,9.362931108091715,5.786013851813607,78.99483840039926,12.24770108666096,0.0134195,0.04940764,0.08122637,0.4408216,0.1785218,9999000.0,0.02939982,0.009353419,2.0,
9,0.003658338,9.602101412264883,5.240729207631304,80.73074491476001,11.834189000041038,0.01347998,0.05048757,0.08010524,0.4373784,0.178851,9999000.0,0.02973138,0.009447755,2.0,
10,0.00365324,9.72899645701293,5.000014849624563,83.43099054104607,11.537265994638284,0.01346326,0.05122835,0.07901873,0.4340609,0.1785897,9999000.0,0.02984726,0.00950015,3.0,
11,0.003624558,9.840759728469314,4.937057683160248,87.10054369238242,11.356979184456652,0.01337508,0.05152171,0.07809021,0.4312753,0.177417,9999000.0,0.02978601,0.009512228,3.0,
12,0.003585471,9.94595542928257,4.894625830396677,91.2723206170252,11.219012441227543,0.01325049,0.05160631,0.07723478,0.4287044,0.1761544,9999000.0,0.02963295,0.009495349,3.0,
13,0.003551023,10.035388283611503,4.861158911176489,97.26626202181569,11.100972081679028,0.01313869,0.05167406,0.07648107,0.4264141,0.1751709,9999000.0,0.02949549,0.009475691,3.0,
14,0.003515389,10.130938359351266,4.806791082142254,97.8082084956605,11.007932664218307,0.01302637,0.05169883,0.07575289,0.4242085,0.1739214,9999000.0,0.0293466,0.009459148,3.0,
15,0.003482588,10.21780000440507,4.762773391260566,94.37422560271858,10.906373446816763,0.01292097,0.05175829,0.07502527,0.4219735,0.1728798,9999000.0,0.02920687,0.009442953,3.0,
16,0.003449869,10.298947704622003,4.71987108088689,90.90570316801399,10.817032738000599,0.01281675,0.05176758,0.07435824,0.4199213,0.1717671,9999000.0,0.02906313,0.009425256,3.0,
17,0.003416951,10.380532789502068,4.6724710831185945,89.54484005690182,10.735684082936306,0.01271101,0.05175486,0.07370849,0.4179075,0.1706827,9999000.0,0.0288866,0.009404503,3.0,
18,0.003384541,10.459809428007762,4.625320092227952,88.34326949863043,10.661850112240083,0.01261043,0.05172167,0.07308849,0.4159916,0.1693765,9999000.0,0.02873503,0.00938981,3.0,
19,0.00335487,10.534171066415308,4.578722929029709,87.28909433086562,10.5910835625009,0.01251845,0.05170016,0.0725016,0.4141629,0.1681561,9999000.0,0.02860023,0.009377602,3.0,
20,0.003325493,10.605120740254044,4.533963788038875,86.34980008214987,10.524201194449091,0.0124277,0.05165874,0.07194078,0.4124076,0.1669165,9999000.0,0.02846349,0.009364851,3.0,
21,0.003297371,10.674270609909637,4.4875614330875635,85.50382700709412,10.462161367927106,0.01234206,0.05161498,0.07140285,0.4107178,0.1656359,9999000.0,0.02833092,0.009355169,3.0,
22,0.003270267,10.740009667712865,4.443462616362098,85.56217509853226,10.403162296798683,0.01226058,0.0515648,0.07088911,0.4090984,0.1643204,9999000.0,0.02820042,0.009347733,3.0,
23,0.003243528,10.807470488316335,4.394920539820461,84.79016403133969,10.34797698544822,0.0121805,0.05151275,0.07037963,0.4074817,0.1629892,9999000.0,0.02807263,0.009341201,3.0,
24,0.003217171,10.870973555619363,4.351710395521721,84.08536250016385,10.296769141861589,0.01210229,0.05143882,0.06990256,0.4059646,0.1616235,9999000.0,0.02794362,0.009334767,3.0,
25,0.003190954,10.934907435406963,4.305508982608018,84.87990723617582,10.2472785876543,0.01202494,0.05136043,0.0694288,0.4044493,0.1602228,9999000.0,0.02781505,0.009329363,3.0,
26,0.003165791,10.993841860263577,4.263303901777704,84.92026784748339,10.20129614514313,0.01195163,0.05126807,0.06899228,0.4030507,0.1588136,9999000.0,0.02769032,0.009325062,3.0,
27,0.003141759,11.049389110324084,4.223687210792832,84.9627411150253,10.156173771920479,0.01188211,0.05117612,0.06857545,0.4017076,0.1574288,9999000.0,0.02757581,0.009322022,3.0,
28,0.003118654,11.104812433797964,4.1826925367349475,85.00373382296209,10.112227328261557,0.01181488,0.05109228,0.06816345,0.400367,0.1560944,9999000.0,0.02744578,0.009319586,3.0,
29,0.003096101,11.157522948939626,4.145005329796376,85.04086686521003,10.071105183633055,0.0117504,0.05099535,0.06777786,0.3991113,0.1547285,9999000.0,0.0273291,0.009318354,3.0,
30,0.003074263,11.209103284501044,4.1056865261572,85.07408399200972,10.032288143183315,0.0116883,0.05089827,0.06740467,0.3978888,0.1533754,9999000.0,0.02721541,0.0093181,3.0,
31,0.003052214,11.260002203008614,4.067007245267519,85.1000685488211,9.996409821813842,0.01162612,0.05078607,0.06704361,0.3967038,0.1519726,9999000.0,0.02709699,0.009318258,3.0,
32,0.003008371,11.369215651885822,4.049975624420284,83.53331020723061,10.07216768578421,0.01151179,0.05026506,0.06674112,0.3958563,0.1487544,9999000.0,0.02679,0.009313915,3.0,
33,0.002998385,11.381994600897478,3.9206308499674662,99.7049585371322,9.991386168599593,0.01148097,0.05030445,0.06644279,0.3948162,0.1482281,9999000.0,0.02675527,0.009316632,3.0,
