Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,Rd,-0.0008693950608905176,-0.0007210505927377879,0.0,0.0,-6.232709084075541e-05,-8.601737731192949e-05,0.0,0.0,Ibias,263.25648777898607,73.03960837085677,0.0,0.0,55.29365531455113,134.92322409358593,0.0,0.0,W1,-23830.85255598101,-13714.498092543792,0.0,0.0,-9848.852036316204,-267.50242712089914,0.0,0.0,W2,-11268.65823235278,-3277.1939099138285,0.0,0.0,-8332.159151667438,340.69482922867286,0.0,0.0,Alo,-1.5966569341002081,-0.32883605991673515,0.0,0.0,-1.2678208741834625,0.0,0.0,0.0,Rbias2,-6.407907692991699e-06,-3.810244422239447e-06,0.0,0.0,3.316196264018151e-06,-5.913859534770404e-06,0.0,0.0,Rbias3,3.911378755953199e-06,2.429908198596092e-06,0.0,0.0,-1.9750883189232648e-06,3.4565588762804623e-06,0.0,0.0,
2,Rd,-0.0004034503366190573,-0.0003223495693773468,0.0,0.0,3.0424645320828307e-06,-8.414323177375889e-05,0.0,0.0,Ibias,296.83133439813054,108.18878295246475,0.0,0.0,53.84253349889161,134.80001794678338,0.0,0.0,W1,-18643.6788991651,-11585.586151585396,0.0,0.0,-6835.986345420781,-222.10640215829758,0.0,0.0,W2,-4017.7798841331246,-405.043108993411,0.0,0.0,-4656.256984070922,1043.5202089315637,0.0,0.0,Alo,-0.9266809492775008,0.028172927401340336,0.0,0.0,-0.9548538766788018,0.0,0.0,0.0,Rbias2,-6.469822557554106e-06,-7.436874676523206e-06,0.0,0.0,6.8254202719710355e-06,-5.858368153001013e-06,0.0,0.0,Rbias3,6.97954057642991e-06,4.53639017916397e-06,0.0,0.0,-9.929460135716585e-07,3.4360964108378714e-06,0.0,0.0,
3,Rd,-0.000654362343928564,-0.00025423299906907217,0.0,0.0,-0.0003192389814071703,-8.089036345233016e-05,0.0,0.0,Ibias,234.83932624299902,107.4096669273593,0.0,0.0,-7.051198676725969,134.4808579923657,0.0,0.0,W1,-19728.618763903814,-9934.613781269907,0.0,0.0,-9418.033256519546,-375.9717261144566,0.0,0.0,W2,-9771.031292585043,-1868.3258011632925,0.0,0.0,-8233.110033431689,330.4045420101989,0.0,0.0,Alo,-1.0240100921965265,0.16138505002140593,0.0,0.0,-1.1853951422179136,0.0,0.0,0.0,Rbias2,-1.2840587686394548e-05,-8.156196051253871e-06,0.0,0.0,1.154997286755442e-06,-5.839388921895966e-06,0.0,0.0,Rbias3,3.966940985941163e-06,5.0094431015275815e-06,0.0,0.0,-4.525215842581787e-06,3.4827137269952766e-06,0.0,0.0,
4,Rd,-0.0006357237464415182,-6.146487191991251e-05,0.0,0.0,-0.0004944382581125974,-7.98206164090413e-05,0.0,0.0,Ibias,207.43557165649634,122.41021781487024,0.0,0.0,-48.484663311183,133.51001715280364,0.0,0.0,W1,-18806.37897169266,-8371.601602047045,0.0,0.0,-10294.494763748524,-140.28260589708756,0.0,0.0,W2,-7167.759140499447,343.86455741345367,0.0,0.0,-8463.361542657209,951.7378447440162,0.0,0.0,Alo,-0.9431419745557382,0.3139701302456279,0.0,0.0,-1.2571121048013796,0.0,0.0,0.0,Rbias2,-1.7828247583914893e-05,-9.64650182992399e-06,0.0,0.0,-2.388878805812703e-06,-5.792866948178349e-06,0.0,0.0,Rbias3,2.832896536631133e-06,5.95748740216455e-06,0.0,0.0,-6.6406968016325485e-06,3.5161059360989017e-06,0.0,0.0,
5,Rd,-0.00038282470826027577,4.8987394171933385e-05,0.0,0.0,-0.0003536489686747707,-7.816313375743039e-05,0.0,0.0,Ibias,223.52529687492228,128.51332475920938,0.0,0.0,-36.90996956401962,131.92194167973634,0.0,0.0,W1,-15236.815700167113,-7110.271248359175,0.0,0.0,-7999.600777674843,-126.9436741328117,0.0,0.0,W2,-5088.932951132054,614.1014418398922,0.0,0.0,-6621.536569438484,918.5021764666177,0.0,0.0,Alo,-0.5870586147234738,0.4129264858036469,0.0,0.0,-0.9999851005271015,0.0,0.0,0.0,Rbias2,-1.6134498981534614e-05,-1.0090391200858977e-05,0.0,0.0,-3.826926075013234e-07,-5.66141517317406e-06,0.0,0.0,Rbias3,4.690988523367433e-06,6.420543114648558e-06,0.0,0.0,-5.283856954058414e-06,3.5543023627774275e-06,0.0,0.0,
6,Rd,-0.00022709953844861808,9.170684311672621e-05,0.0,0.0,-0.0002424714913957559,-7.633489016956255e-05,0.0,0.0,Ibias,232.2448250575302,128.38431184943323,0.0,0.0,-26.44884555241477,130.30935876051262,0.0,0.0,W1,-12474.240453216582,-6133.833992776305,0.0,0.0,-6238.5663182548315,-101.84014218536062,0.0,0.0,W2,-3682.2233483537407,704.5198968851264,0.0,0.0,-5270.994909239054,884.2516640003148,0.0,0.0,Alo,-0.37659868309901195,0.46335107594437785,0.0,0.0,-0.8399497590433621,0.0,0.0,0.0,Rbias2,-1.4482793006335265e-05,-1.017356961164107e-05,0.0,0.0,1.2606263040830996e-06,-5.569849698777116e-06,0.0,0.0,Rbias3,6.071668007692422e-06,6.6878651856416615e-06,0.0,0.0,-4.232741017425397e-06,3.616543839476284e-06,0.0,0.0,
7,Rd,-0.00012868235792620072,0.00010177086901806832,0.0,0.0,-0.00015624405281948809,-7.420917412478637e-05,0.0,0.0,Ibias,236.32109218215393,124.94655380467039,0.0,0.0,-17.515699168344455,128.89023754583218,0.0,0.0,W1,-10574.550596424608,-5473.909397920308,0.0,0.0,-5014.431603047805,-86.2095954563876,0.0,0.0,W2,-2760.2292326087545,700.6772720017747,0.0,0.0,-4329.290611269123,868.3841066586438,0.0,0.0,Alo,-0.22783791424819072,0.49584658917054514,0.0,0.0,-0.7236845034187391,0.0,0.0,0.0,Rbias2,-1.3176135845282779e-05,-1.0104971086968127e-05,0.0,0.0,2.4441096883995514e-06,-5.51527444671439e-06,0.0,0.0,Rbias3,7.065653252154193e-06,6.817170609492165e-06,0.0,0.0,-3.4465133231912436e-06,3.6949959658533445e-06,0.0,0.0,
8,Rd,-2.5603693943353107e-05,4.5244508515874675e-05,0.0,0.0,0.0,-7.084820245922778e-05,0.0,0.0,Ibias,241.15238356653182,114.38865695117228,0.0,0.0,0.0,126.763726615361,0.0,0.0,W1,-6314.395503616427,-6585.463133878096,0.0,0.0,0.0,271.06763026166925,0.0,0.0,W2,1421.374489681041,573.7485233643512,0.0,0.0,0.0,847.6259663166898,0.0,0.0,Alo,0.510593476084302,0.510593476084302,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.4758798018407942e-05,-9.395065001905524e-06,0.0,0.0,0.0,-5.363733016502417e-06,0.0,0.0,Rbias3,1.0570559074314457e-05,6.776915606762657e-06,0.0,0.0,0.0,3.7936434675517994e-06,0.0,0.0,
9,Rd,-0.00024059470942504525,-0.00011349025270276208,0.0,0.0,-6.001820861347489e-05,-6.708624810881615e-05,0.0,0.0,Ibias,210.69446123251265,92.57102351252162,0.0,0.0,-5.897541595902066,124.02097931589162,0.0,0.0,W1,-8295.755775629055,-4813.2078328790285,0.0,0.0,-3399.275295224205,-83.27264752585108,0.0,0.0,W2,-2479.2530604259578,183.0054527814691,0.0,0.0,-3509.483455841197,847.224942633705,0.0,0.0,Alo,-0.22540594884137893,0.45802773492381843,0.0,0.0,-0.6834336837652044,0.0,0.0,0.0,Rbias2,-9.031963779104582e-06,-8.156674376469643e-06,0.0,0.0,4.380686084037529e-06,-5.255975486672727e-06,0.0,0.0,Rbias3,7.446984367832199e-06,6.274869846668809e-06,0.0,0.0,-2.788083323593155e-06,3.960197844756512e-06,0.0,0.0,
10,Rd,-0.00016628162497089942,-0.00010095568141243488,0.0,0.0,0.0,-6.532594355846453e-05,0.0,0.0,Ibias,213.32863967143868,90.64307821973556,0.0,0.0,0.0,122.68556145170312,0.0,0.0,W1,-5404.734630547837,-5620.85900026111,0.0,0.0,0.0,216.12436971321264,0.0,0.0,W2,1023.7891392588441,196.57729252211217,0.0,0.0,0.0,827.2118467368067,0.0,0.0,Alo,0.4841492027049306,0.4841492027049306,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.338244613081558e-05,-8.171474838232072e-06,0.0,0.0,0.0,-5.210971292583509e-06,0.0,0.0,Rbias3,1.0520895772487842e-05,6.48741556383595e-06,0.0,0.0,0.0,4.0334802086518924e-06,0.0,0.0,
