Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,Rd,-0.0009210054872776358,-0.0007210505927377879,0.0,0.0,-6.232709084075541e-05,-0.00013762780369910152,0.0,0.0,Ibias,344.2104222351485,73.03960837085677,0.0,0.0,55.29365531455113,215.87715854974059,0.0,0.0,W1,-23991.35401225255,-13714.498092543792,0.0,0.0,-9848.852036316204,-428.0038833933476,0.0,0.0,W2,-11064.241334815204,-3277.1939099138285,0.0,0.0,-8332.159151667438,545.1117267658766,0.0,0.0,Alo,-1.5966569341001244,-0.32883605991673515,0.0,0.0,-1.2678208741834625,0.0,0.0,0.0,Rbias2,-9.956223413854619e-06,-3.810244422239447e-06,0.0,0.0,3.316196264018151e-06,-9.462175255633014e-06,0.0,0.0,Rbias3,5.98531408172191e-06,2.429908198596092e-06,0.0,0.0,-1.9750883189232648e-06,5.53049420204845e-06,0.0,0.0,
2,Rd,-0.0004539362766290252,-0.00032234956937734767,0.0,0.0,3.042463586359388e-06,-0.00013462917083802834,0.0,0.0,Ibias,377.71134511833986,108.18878295246488,0.0,0.0,53.84253345102582,215.6800287148505,0.0,0.0,W1,-18776.942746089986,-11585.586151585434,0.0,0.0,-6835.986351050524,-355.37024345361164,0.0,0.0,W2,-3391.6677610384263,-405.0431089934116,0.0,0.0,-4656.256986335501,1669.63233429022,0.0,0.0,Alo,-0.9266809506528467,0.02817292740134043,0.0,0.0,-0.9548538780541381,0.0,0.0,0.0,Rbias2,-9.984843450812507e-06,-7.4368746765231995e-06,0.0,0.0,6.8254202705135645e-06,-9.373389044802104e-06,0.0,0.0,Rbias3,9.041198413027001e-06,4.536390179163983e-06,0.0,0.0,-9.929460234769048e-07,5.497754257340465e-06,0.0,0.0,
3,Rd,-0.000703074909827266,-0.0002594305275767436,0.0,0.0,-0.0003144245974715264,-0.00012921978477900458,0.0,0.0,Ibias,315.6793960487286,106.87969681802377,0.0,0.0,-6.423990347870334,215.2236895785738,0.0,0.0,W1,-19873.62743528239,-9921.904110834515,0.0,0.0,-9353.393019913348,-598.3303045345237,0.0,0.0,W2,-9511.598095721085,-1862.039049960078,0.0,0.0,-8178.004784377619,528.4457386166993,0.0,0.0,Alo,-1.018052051208944,0.16126691404010596,0.0,0.0,-1.1793189652490592,0.0,0.0,0.0,Rbias2,-1.6256104786694175e-05,-8.151715257820113e-06,0.0,0.0,1.2340519149959894e-06,-9.33844144387005e-06,0.0,0.0,Rbias3,6.090447052944753e-06,4.993582170310885e-06,0.0,0.0,-4.475204868378256e-06,5.572069751012032e-06,0.0,0.0,
4,Rd,-0.0006894370891001873,-6.680117252510893e-05,0.0,0.0,-0.0004950040813988047,-0.00012763183517625718,0.0,0.0,Ibias,286.8930442489315,121.90365041098882,0.0,0.0,-48.64002027076928,213.62941410871403,0.0,0.0,W1,-18907.964397862415,-8388.50083057109,0.0,0.0,-10295.06066762081,-224.4028996705154,0.0,0.0,W2,-6626.578158622683,322.81474410954723,0.0,0.0,-8469.698041951011,1520.3051392189466,0.0,0.0,Alo,-0.9465095023483813,0.31167706196284234,0.0,0.0,-1.258186564311197,0.0,0.0,0.0,Rbias2,-2.1286713252329593e-05,-9.621495745198896e-06,0.0,0.0,-2.398060902011154e-06,-9.267156605119693e-06,0.0,0.0,Rbias3,4.9144657327230755e-06,5.9387998941402446e-06,0.0,0.0,-6.649361049751613e-06,5.625026888334536e-06,0.0,0.0,
5,Rd,-0.0004427451181902259,5.202923699678068e-05,0.0,0.0,-0.0003697397622530196,-0.00012503459293401116,0.0,0.0,Ibias,300.20079047707054,128.88700555238376,0.0,0.0,-39.83645061231226,211.1502355369994,0.0,0.0,W1,-15472.683400868314,-7110.232939119061,0.0,0.0,-8160.547878847538,-201.90258290179736,0.0,0.0,W2,-4679.388900388377,614.1700922843393,0.0,0.0,-6760.682067594232,1467.1230749213537,0.0,0.0,Alo,-0.6031775165917412,0.4129038659640623,0.0,0.0,-1.0160813825558226,0.0,0.0,0.0,Rbias2,-1.9923133396604522e-05,-1.0165988110463113e-05,0.0,0.0,-6.934511526812356e-07,-9.06369413346021e-06,0.0,0.0,Rbias3,6.638171191700071e-06,6.42334382106618e-06,0.0,0.0,-5.466771499386561e-06,5.681598870020222e-06,0.0,0.0,
6,Rd,-0.0002794929866258145,9.916811316889157e-05,0.0,0.0,-0.00025675018215324397,-0.00012191091764146015,0.0,0.0,Ibias,309.0188412734061,129.5661141626084,0.0,0.0,-28.971998899491307,208.4247260102922,0.0,0.0,W1,-12808.595388497879,-6196.68188043857,0.0,0.0,-6442.396358597365,-169.51714946190577,0.0,0.0,W2,-3260.4423453659574,723.1057027776923,0.0,0.0,-5401.414233250322,1417.866185106868,0.0,0.0,Alo,-0.38063469123059646,0.46530733198058893,0.0,0.0,-0.8459420232111762,0.0,0.0,0.0,Rbias2,-1.8086340993411943e-05,-1.0192190180014388e-05,0.0,0.0,9.932967287046193e-07,-8.887447542102015e-06,0.0,0.0,Rbias3,8.070882229555536e-06,6.68682120405039e-06,0.0,0.0,-4.391221803478374e-06,5.775282828983819e-06,0.0,0.0,
7,Rd,-0.0001538786412430471,0.00010990267656132852,0.0,0.0,-0.0001453996689200914,-0.00011838164888430316,0.0,0.0,Ibias,315.79405810612144,125.96059112912982,0.0,0.0,-16.29128046165528,206.12474743864914,0.0,0.0,W1,-12574.210611694753,-7127.906622073668,0.0,0.0,-5937.390191921909,491.08620230078316,0.0,0.0,W2,-2079.7158965953363,739.1906513075687,0.0,0.0,-4203.56512335492,1384.6585754519836,0.0,0.0,Alo,-0.20671897133983896,0.5023338709771218,0.0,0.0,-0.7090528423169618,0.0,0.0,0.0,Rbias2,-1.6292175362572695e-05,-1.009194888485122e-05,0.0,0.0,2.6033223526579315e-06,-8.803548830379535e-06,0.0,0.0,Rbias3,9.478072536040772e-06,6.883176012826522e-06,0.0,0.0,-3.310697958582748e-06,5.905594481796837e-06,0.0,0.0,
8,Rd,-3.042417725902059e-05,8.445229820625831e-05,0.0,0.0,0.0,-0.00011487647546527105,0.0,0.0,Ibias,321.88001225792374,118.09151721848274,0.0,0.0,0.0,203.78849503943812,0.0,0.0,W1,-4863.338342078026,-4752.6450213971675,0.0,0.0,0.0,-110.69332068079282,0.0,0.0,W2,2018.4664815746478,664.1480206830157,0.0,0.0,0.0,1354.318460891481,0.0,0.0,Alo,0.5205279417793865,0.5205279417793629,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.8560506600752584e-05,-9.835608251193693e-06,0.0,0.0,0.0,-8.72489834955916e-06,0.0,0.0,Rbias3,1.299630327551138e-05,6.928907829956301e-06,0.0,0.0,0.0,6.067395445554795e-06,0.0,0.0,
9,Rd,-0.00018669939722503888,-7.155736987749667e-05,0.0,0.0,-6.009024675963403e-06,-0.00010913300267158932,0.0,0.0,Ibias,296.17481968069546,97.5367531121424,0.0,0.0,-1.11295917369015,199.75102574224127,0.0,0.0,W1,-5732.641668552908,-6070.600748807047,0.0,0.0,-48.26319474298399,386.2222749970381,0.0,0.0,W2,1569.6406313053576,272.4438806616489,0.0,0.0,-57.7107865194632,1354.9075371631466,0.0,0.0,Alo,0.4674025528295298,0.4736338285643431,0.0,0.0,-0.006231275734816008,0.0,0.0,0.0,Rbias2,-1.25442487974265e-05,-8.72587409251251e-06,0.0,0.0,4.803212215655893e-06,-8.621586920570026e-06,0.0,0.0,Rbias3,1.2851751926818352e-05,6.560540315447872e-06,0.0,0.0,-7.489565956885911e-08,6.3661072709394055e-06,0.0,0.0,
10,Rd,-0.00047412420750815994,-0.0002549301208226698,0.0,0.0,-0.00011452307558601668,-0.00010467101109946292,0.0,0.0,Ibias,249.70652511253024,71.0849274065379,0.0,0.0,-17.99359858563179,196.6151962916252,0.0,0.0,W1,-8191.908328960495,-4565.754869325251,0.0,0.0,-3511.0771756665995,-115.07628396841199,0.0,0.0,W2,-2970.382379239023,-143.54254025130618,0.0,0.0,-4175.366027043173,1348.5261880557232,0.0,0.0,Alo,-0.44316520836303075,0.3485010607381083,0.0,0.0,-0.7916662691011165,0.0,0.0,0.0,Rbias2,-1.1682937062947959e-05,-6.839379176979366e-06,0.0,0.0,3.7002079824533453e-06,-8.543765868421939e-06,0.0,0.0,Rbias3,8.337191133074454e-06,5.527809202778911e-06,0.0,0.0,-3.7711696243241687e-06,6.58055155461992e-06,0.0,0.0,
