Iteration No,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,0.00136472,7.74855401181772,7.51606522069909,92.42206850944964,17.493561360261378,0.004879766,0.01523076,0.09883422,0.4837179,0.2000327,9999000.0,0.01081461,0.002921368,2.0,
2,0.001328558,8.167882330645998,7.1790394114335925,95.79375327564105,16.919732380901863,0.004752992,0.01562388,0.09510275,0.473353,0.2001917,9999000.0,0.01066625,0.002893795,2.0,
3,0.001308002,8.521925837332583,7.181356790002482,80.35355040090661,16.31486251404113,0.004685102,0.01607465,0.09191484,0.4646105,0.1993208,9999000.0,0.01065684,0.002905667,2.0,
4,0.001283681,8.82497050763418,9.519598508186135,74.24616315319795,15.762573443130465,0.004613806,0.01642965,0.08925655,0.4571068,0.1956472,9999000.0,0.01059677,0.002923743,2.0,
5,0.001255773,9.086859093093494,6.044474928630308,77.9909842025481,15.389262999019508,0.004532191,0.0166418,0.0867065,0.4502919,0.1917226,9999000.0,0.01048845,0.002937849,2.0,
6,0.001228648,9.3666908830578,6.381605783737271,82.53046980519963,15.08504277666641,0.004450488,0.01685452,0.08413919,0.4433386,0.1884725,9999000.0,0.01038163,0.002947581,2.0,
7,0.001201321,9.659360861054669,5.555761011275507,75.331302445142,14.859045964706237,0.004369639,0.0170178,0.08195693,0.4371674,0.1845698,9999000.0,0.0102474,0.002952009,2.0,
8,0.001160409,9.976345651090208,5.901861700012645,74.66052172881135,15.00031715412649,0.0042611,0.01671692,0.0806075,0.4340127,0.1763107,9999000.0,0.009986286,0.002953843,2.0,
9,0.001127531,10.251720180607574,5.602556265431005,87.32813083469878,15.094096411202628,0.004168668,0.01656322,0.07921809,0.4303116,0.1705792,9999000.0,0.009770736,0.002949139,3.0,
10,0.001113786,10.404393834833021,5.440461913089962,77.44576945548295,14.858644188749599,0.004128325,0.01667558,0.07780135,0.42628,0.1685439,9999000.0,0.009709781,0.002956634,3.0,
11,0.001076162,10.686357102013723,5.222158266986483,89.59338429186954,14.919321646156192,0.004027283,0.01645015,0.07642311,0.4225316,0.1606305,9999000.0,0.009456098,0.002959692,3.0,
