Corner,Temperature,Voutp,Voutn,vg1,vd1,i_src,v_src,p_src,Io,gm1,gds1,vt,vdsat1,cgs1,cgd1,cgs2,cgd2,region,Vcmlo,gm2,vt2,conv_gain_db,gain_freq,bb_BW,iip2_dbm,nf_db,iip3_dbm
tsmc065_tt,-40.0,0.8025681,0.8025681,0.3714007,0.1249904,0.00151235,1.0,0.00151235,0.0002621398,0.006360217,0.001037607,0.4881841,0.04037446,3.4489179999999996e-14,1.643798e-14,1.0240210000000001e-14,4.861880000000001e-15,3.0,0.4676687,0.003107179,0.4630998,13.167882697130027,1000.000000119209,9999000.0,64.65702214587412,14.261560992834188,5.031356831320011
tsmc065_tt,-34.83870967741935,0.7977781,0.7977781,0.3680748,0.126772,0.00152426,1.0,0.00152426,0.0002682619,0.006426928,0.001045638,0.4837627,0.0413528,3.4645899999999996e-14,1.642868e-14,1.031537e-14,4.857844e-15,3.0,0.4676701,0.00313449,0.4597091,13.14192804619247,1000.000000119209,9999000.0,64.8050484798463,14.287406689207977,4.885878789029135
tsmc065_tt,-29.67741935483871,0.7929865,0.7929865,0.3648006,0.1285101,0.001536132,1.0,0.001536132,0.0002743682,0.006488831,0.001053328,0.4793446,0.04233454,3.480372e-14,1.641938e-14,1.038991e-14,4.853867000000001e-15,3.0,0.4676715,0.003160499,0.4563131,13.106091264756316,1000.000000119209,9999000.0,65.15709321990306,14.3199644397027,4.791192804153411
tsmc065_tt,-24.516129032258064,0.7881964,0.7881964,0.3615735,0.1302101,0.001547957,1.0,0.001547957,0.0002804544,0.006546216,0.001060675,0.4749294,0.04331946,3.496198e-14,1.641012e-14,1.046358e-14,4.849965e-15,3.0,0.4676731,0.003185084,0.4529125,13.06133235126076,1000.000000119209,9999000.0,65.77691386688508,14.359060004987032,4.30756484052344
tsmc065_tt,-19.35483870967742,0.7834102,0.7834102,0.3583898,0.1318767,0.001559728,1.0,0.001559728,0.0002865169,0.006599353,0.001067682,0.4705168,0.04430734,3.512015e-14,1.640091e-14,1.0536190000000001e-14,4.846149e-15,3.0,0.4676749,0.00320814,0.4495079,13.0082964844219,1000.000000119209,9999000.0,66.83348337764022,14.403025340440422,4.07403941509051
tsmc065_tt,-14.193548387096776,0.7786311,0.7786311,0.3552459,0.1335127,0.001571435,1.0,0.001571435,0.0002925509,0.006648467,0.001074354,0.4661066,0.04529796,3.527778e-14,1.639177e-14,1.060765e-14,4.842425000000001e-15,3.0,0.4676767,0.003229686,0.4460998,12.947845107277857,1000.000000119209,9999000.0,67.5898759503855,14.452735242675786,3.9914747082745237
tsmc065_tt,-9.032258064516128,0.773862,0.773862,0.352139,0.1351204,0.00158307,1.0,0.00158307,0.0002985523,0.006693765,0.001080695,0.4616986,0.04629112,3.543449e-14,1.638273e-14,1.067793e-14,4.8387950000000006e-15,3.0,0.4676786,0.003249762,0.4426882,12.880318594975819,1000.000000119209,9999000.0,71.37370588150714,14.506965760222784,4.018554999235064
tsmc065_tt,-3.8709677419354875,0.7691055,0.7691055,0.3490661,0.136702,0.001594626,1.0,0.001594626,0.0003045173,0.006735442,0.001086714,0.4572925,0.04728659,3.558999e-14,1.637379e-14,1.074698e-14,4.8352600000000004e-15,3.0,0.4676807,0.003268417,0.4392734,12.806198412083528,1000.000000119209,9999000.0,74.6420045416468,14.565600878215484,3.9161290889721414
tsmc065_tt,1.2903225806451601,0.7643639,0.7643639,0.346025,0.138259,0.001606096,1.0,0.001606096,0.0003104426,0.006773683,0.001092419,0.4528884,0.04828417,3.574405e-14,1.636496e-14,1.081479e-14,4.831821e-15,3.0,0.4676829,0.003285703,0.4358554,12.72683638007545,1000.000000119209,9999000.0,74.48495335854312,14.628475380067776,3.9072739111362864
tsmc065_tt,6.451612903225808,0.7596882,0.7596882,0.3430135,0.1397343,0.001617345,1.0,0.001617345,0.0003162609,0.006807354,0.001097809,0.4484906,0.04928298,3.589584e-14,1.6356379999999998e-14,1.088447e-14,4.828268e-15,3.0,0.4676852,0.0033065,0.4324172,12.642751624180681,1000.000000119209,9999000.0,75.42642391504529,14.695131058688633,3.923693721062051
