Iteration No,alpha,Rd,W2,W1,Ibias,Alo,Rbias2,Rbias3,
1,0.12,1.6057599938738574,1.3685847569777767,1.7754629797972332,0.8474865094671552,1.7428794966028167,1.2435878091420773,1.2315939460230796,
2,0.12,1.7762636562683611,1.4020925909176416,1.692940723298069,0.8135639187747872,1.5778437428584768,1.2719821555058286,1.3768297941614716,
3,0.12,1.7054721917634743,1.2574585998348928,1.6298817693268823,0.7537469154561869,1.5952783981822265,1.2938577207607493,1.4131651110097476,
4,0.12,1.61878030190353,1.2986368942616473,1.4800267462477719,0.639939810123457,1.6802386501586015,1.1891151149771513,1.4795787257788948,
5,0.12,1.4152456447024409,1.3325043288748815,1.4651325261428052,0.8390015094543066,1.373936022610244,1.8166699287785348,1.4927858270879013,
6,0.12,1.6798267402934224,1.4139591817901378,1.614011037148007,0.9613480928386255,1.2839437447103237,1.7984899182373604,1.3223780031438197,
7,0.12,1.5554969007406914,1.3864668575047314,1.724447717991549,0.7918402327165771,1.5125333225890072,1.2695161287103043,1.5167100904130846,
8,0.12,1.5065651068360342,1.3660206960429397,1.4185458421707724,0.7393431756703357,1.617933212039259,1.303851775289738,1.6061564549822818,
9,0.12,1.4221453127486485,1.1455916929466536,1.225956606173093,0.7424983324178305,2.041748228520836,1.680385761512127,1.6337620915794997,
10,0.12,1.943204029917696,1.181902300578797,1.349937253991755,0.7843732835664629,1.585522066985903,1.7686383921449602,1.3994807602766977,
11,0.12,1.4410027173138442,1.2783081804462577,1.3567087128222655,0.8003052848561031,1.8374972679115498,1.464401858261248,1.5749961453428982,
12,0.12,1.6140993401671815,1.4033981578254284,1.4225861960797361,0.9058802654224674,1.4842705782026953,2.134642725928384,1.2170875448174068,
13,0.12,1.4996147269163889,1.29111620663599,1.2960717659006005,0.7758502495882554,1.7925802735169853,1.395586085628144,1.6229648234664944,
14,0.12,1.7045363062956416,1.367743540901354,1.4858775603560062,0.9087771725844309,1.3957919665310985,1.8248639785353866,1.343422403431449,
15,0.12,1.3806912986076523,1.2910401900742676,1.4256552122960127,0.8306973447557312,1.6912326970499452,1.6487200550051264,1.5415436611677606,
16,0.12,1.4055878264945612,1.2726869377653653,1.3261472048664091,0.7158275751303342,1.7162107869193923,1.4872124635847943,1.6460108508730824,
17,0.12,1.8167572620477395,1.2519002484643356,1.2980929766278158,0.733955817098122,1.7989846199762993,1.3456827089344199,1.480191170288683,
18,0.12,1.4712605208507248,1.4352169012952471,1.389324016001135,0.7996533120938347,1.7421963072844457,1.2809267174028036,1.5885906979124182,
19,0.12,1.7090512435772867,1.3746771828133937,1.4470938667413713,0.8590328219398141,1.4061969236419247,1.640254706254319,1.4337375514042123,
20,0.12,1.605443844417593,1.384500485787468,1.60189753395326,0.8124330254255738,1.580544978347011,1.1749909468482627,1.6073671344237135,
21,0.12,1.3481754797847152,1.4492828109152858,1.3544003194395862,0.8718685569930882,1.6356096513546572,1.8657730621967143,1.3984585724981158,
22,0.12,1.7138790916182058,1.3724683843724246,1.4570038435514514,0.8594336870812807,1.3957565558184295,1.6660508006919472,1.4201678000880087,
23,0.12,1.572867165923067,1.388224924402883,1.4775625549348825,0.8079879338393965,1.6216317005956626,1.2077151644048383,1.6550539600744045,
24,0.12,1.5252419114026974,1.2992914147120984,1.2581838039198348,0.7924893716126028,1.8014461613461483,1.3932821372809971,1.637133998455175,
25,0.12,1.6992225646129304,1.377163786806253,1.4453089800074197,0.8474224570045352,1.417651699498887,1.6377776062185658,1.4314995828281676,
26,0.12,1.8385186646551137,1.4102556533397734,1.5485665346078739,0.8216487583930498,1.6464033092067714,1.0774166604366249,1.49174978550716,
27,0.12,1.5351049276404514,1.3934769330381478,1.2930065501715773,0.7885634137909678,1.8018353305665615,1.226983573287636,1.634419606265981,
28,0.12,1.6805256652330902,1.3921692339390883,1.4334400087415682,0.8364054663877533,1.438716683631849,1.6016025991072145,1.4408642801724747,
29,0.12,1.7144391025044279,1.4125705726985172,1.3813722016524017,0.7750274964881234,1.7415947635471725,1.1043021278982086,1.5518790150519233,
30,0.12,1.508849615344444,1.4068657631747428,1.304416548069834,0.8047757662299581,1.7813146523236487,1.2788578094631637,1.6119121586320726,
