Iteration No,Rd,Ibias,W1,W2,Rbias1,Rbias2,Rbias3,C1,C2,Cload,Alo,flo,frf,mismatch,Temp,
1,270.0876285017354,0.0017550047495468917,1.947749187537662e-05,9.390890664890927e-06,26616.184642141292,15800.515377950524,64975.73611278648,5.920426000000001e-13,1.240008e-12,2.1390808599455574e-11,0.2407215434073489,1000000000.0,1010000000.0,0,27,
2,262.58423248751967,0.0016984062688905652,1.8959306328157616e-05,9.152214543976709e-06,26616.184642141292,15350.217519059082,63062.83538172232,5.920426000000001e-13,1.240008e-12,5.892715041217547e-11,0.19119727280383786,1000000000.0,1010000000.0,0,27,
3,262.84880314436424,0.0016924030392530462,1.8998705544220263e-05,9.182787295255921e-06,26616.184642141292,15352.774241226181,63015.75480911898,5.920426000000001e-13,1.240008e-12,6.061100530834796e-11,0.19231528015919763,1000000000.0,1010000000.0,0,27,
4,263.19338158321733,0.0016870192480199434,1.904366197920662e-05,9.21578441448233e-06,26616.184642141292,15359.65923297105,62988.01628940878,5.920426000000001e-13,1.240008e-12,6.054999725621075e-11,0.19348052616451178,1000000000.0,1010000000.0,0,27,
5,263.54130743218076,0.0016817552995334242,1.9088668426891244e-05,9.248548691961202e-06,26616.184642141292,15366.410604189407,62961.21890776828,5.920426000000001e-13,1.240008e-12,6.047072389682155e-11,0.19463746386481817,1000000000.0,1010000000.0,0,27,
6,263.8917223530659,0.0016766021969733176,1.9133671323490546e-05,9.28106109759385e-06,26616.184642141292,15372.986577513317,62935.15029957095,5.920426000000001e-13,1.240008e-12,6.039089076495227e-11,0.1957856708637646,1000000000.0,1010000000.0,0,27,
7,264.2445680681777,0.001671556251928822,1.9178669267278805e-05,9.313330344609847e-06,26616.184642141292,15379.396372718795,62909.79080489919,5.920426000000001e-13,1.240008e-12,6.031069927951692e-11,0.19692536575228303,1000000000.0,1010000000.0,0,27,
8,264.53316234811257,0.001666178521073829,1.9218854997344792e-05,9.343097949998642e-06,26616.184642141292,15381.82676583432,62869.16823572913,5.920426000000001e-13,1.240008e-12,6.023016641569403e-11,0.19760420762826378,1000000000.0,1010000000.0,0,27,
9,264.7335511744767,0.0016603011930317816,1.9252500896570215e-05,9.369625696828318e-06,26616.184642141292,15378.97507871264,62807.525241958814,5.920426000000001e-13,1.240008e-12,6.01644578997832e-11,0.19765898827394496,1000000000.0,1010000000.0,0,27,
10,264.9469941100655,0.001654565550942928,1.9286932574086657e-05,9.396468803630242e-06,26616.184642141292,15376.714520810583,62748.94768309414,5.920426000000001e-13,1.240008e-12,6.01189166940921e-11,0.19778761586668395,1000000000.0,1010000000.0,0,27,
11,265.16227742631713,0.0016488992697713668,1.932134055937265e-05,9.42323576110736e-06,26616.184642141292,15374.399564258692,62690.7760774901,5.920426000000001e-13,1.240008e-12,6.00704845233226e-11,0.19790653419961,1000000000.0,1010000000.0,0,27,
12,265.38058873100493,0.0016433083782542526,1.9355813866709693e-05,9.449971394628098e-06,26616.184642141292,15372.100878080963,62633.28502002953,5.920426000000001e-13,1.240008e-12,6.002171373570324e-11,0.198025151046535,1000000000.0,1010000000.0,0,27,
13,265.601719940305,0.0016377903358510044,1.9390339993651284e-05,9.476672013401796e-06,26616.184642141292,15369.810884741608,62576.4236981315,5.920426000000001e-13,1.240008e-12,5.997233778587249e-11,0.19814232576738225,1000000000.0,1010000000.0,0,27,
14,265.8256292584874,0.0016323436824137877,1.9424920228569028e-05,9.503338892937019e-06,26616.184642141292,15367.530182076534,62520.1925765044,5.920426000000001e-13,1.240008e-12,5.992240680055312e-11,0.19825829783755342,1000000000.0,1010000000.0,0,27,
15,266.05227557116206,0.0016269670058216088,1.9459554143105136e-05,9.529973313118961e-06,26616.184642141292,15365.258024946024,62464.56945765881,5.920426000000001e-13,1.240008e-12,5.987193316756298e-11,0.19837303063722853,1000000000.0,1010000000.0,0,27,
16,266.2815741086266,0.0016216586518903709,1.9494238049033637e-05,9.556578295034846e-06,26616.184642141292,15362.993885418002,62409.53916468171,5.920426000000001e-13,1.240008e-12,5.982092908253496e-11,0.19848650766261142,1000000000.0,1010000000.0,0,27,
17,266.51351409821274,0.0016164173179045163,1.9528973649175438e-05,9.583164118066306e-06,26616.184642141292,15360.737323329475,62355.09281087579,5.920426000000001e-13,1.240008e-12,5.976941650005789e-11,0.19859878216206225,1000000000.0,1010000000.0,0,27,
18,266.74801880404885,0.0016112414705773948,1.9563757761330556e-05,9.60973147038701e-06,26616.184642141292,15358.488215076964,62301.22313508217,5.920426000000001e-13,1.240008e-12,5.971740068432149e-11,0.19870986798238557,1000000000.0,1010000000.0,0,27,
19,266.9850814851829,0.0016061298980767922,1.9598592313108867e-05,9.636281818749188e-06,26616.184642141292,15356.247714327686,62247.916807261805,5.920426000000001e-13,1.240008e-12,5.966490165717384e-11,0.19881986824830153,1000000000.0,1010000000.0,0,27,
20,267.22464798971305,0.0016010812794582166,1.963347398553208e-05,9.662814880449957e-06,26616.184642141292,15354.015590732333,62195.16094292827,5.920426000000001e-13,1.240008e-12,5.96119237099501e-11,0.19892879398619592,1000000000.0,1010000000.0,0,27,
21,267.46661962091736,0.0015960941904464196,1.9668401341073e-05,9.689332164268952e-06,26616.184642141292,15351.788992463755,62142.943362191785,5.920426000000001e-13,1.240008e-12,5.955848170787826e-11,0.19903648015822065,1000000000.0,1010000000.0,0,27,
22,267.71100568804627,0.0015911674595135072,1.9703375652561145e-05,9.715834751473925e-06,26616.184642141292,15349.56992401431,62091.254990924965,5.920426000000001e-13,1.240008e-12,5.95046003562863e-11,0.19914315345009825,1000000000.0,1010000000.0,0,27,
23,267.95776963551015,0.00158629996237017,1.9738394814162557e-05,9.742322907129242e-06,26616.184642141292,15347.35776992067,62040.08754249962,5.920426000000001e-13,1.240008e-12,5.945028023141967e-11,0.19924876106307146,1000000000.0,1010000000.0,0,27,
24,268.2068336271888,0.0015814904849209156,1.977345879546479e-05,9.768796197898688e-06,26616.184642141292,15345.152182904061,61989.42842939081,5.920426000000001e-13,1.240008e-12,5.939553210507239e-11,0.19935330584941197,1000000000.0,1010000000.0,0,27,
25,268.45816630629497,0.0015767378377300916,1.980856580939815e-05,9.795255868311719e-06,26616.184642141292,15342.9541598565,61939.26512558258,5.920426000000001e-13,1.240008e-12,5.934037583588302e-11,0.19945680384913067,1000000000.0,1010000000.0,0,27,
26,268.711744917428,0.0015720407717373036,1.984371467763732e-05,9.82170258957555e-06,26616.184642141292,15340.761086353978,61889.58738535925,5.920426000000001e-13,1.240008e-12,5.92848209021546e-11,0.19955936016976,1000000000.0,1010000000.0,0,27,
27,268.9675045942592,0.001567398367210623,1.9878906243363262e-05,9.848136303572927e-06,26616.184642141292,15338.573306045146,61840.38597109666,5.920426000000001e-13,1.240008e-12,5.922887484534843e-11,0.19966085954520515,1000000000.0,1010000000.0,0,27,
28,269.22541430308223,0.0015628095104813396,1.991413693115132e-05,9.87455733671681e-06,26616.184642141292,15336.390428502853,61791.64883570978,5.920426000000001e-13,1.240008e-12,5.917255444369852e-11,0.19976129173330026,1000000000.0,1010000000.0,0,27,
29,269.4855343254172,0.0015582735144599612,1.994940993623999e-05,9.900968477006507e-06,26616.184642141292,15334.214609220611,61743.37991007285,5.920426000000001e-13,1.240008e-12,5.911586894717363e-11,0.199860923324396,1000000000.0,1010000000.0,0,27,
30,269.74771713053883,0.0015537890354368278,1.9984719883068928e-05,9.927369134185966e-06,26616.184642141292,15332.04139143756,61695.5674448668,5.920426000000001e-13,1.240008e-12,5.905880754983599e-11,0.19995945059874906,1000000000.0,1010000000.0,0,27,
31,270.0119794920518,0.0015493553058863218,2.002007012270153e-05,9.953761293904743e-06,26616.184642141292,15329.874423247,61648.199831193284,5.920426000000001e-13,1.240008e-12,5.900140501091826e-11,0.20005715996797635,1000000000.0,1010000000.0,0,27,
32,270.2783022541262,0.0015449713672289417,2.0055459621136534e-05,9.980144764781498e-06,26616.184642141292,15327.713936084534,61601.273585159055,5.920426000000001e-13,1.240008e-12,5.894365997808638e-11,0.2001539237488279,1000000000.0,1010000000.0,0,27,
33,270.5466080245611,0.0015406362178230547,2.009088298491785e-05,1.0006518894460706e-05,26616.184642141292,15325.558170864233,61554.77196988097,5.920426000000001e-13,1.240008e-12,5.888557896232887e-11,0.20024969801326226,1000000000.0,1010000000.0,0,27,
34,270.81691253453346,0.001536349151302447,2.0126345185784406e-05,1.0032882184747907e-05,26616.184642141292,15323.407986600976,61508.69999189891,5.920426000000001e-13,1.240008e-12,5.882718111085935e-11,0.2003447325066022,1000000000.0,1010000000.0,0,27,
35,271.08916395590296,0.0015321091126629083,2.0161842804161583e-05,1.0059226390320183e-05,26616.184642141292,15321.260469175688,61463.037313957975,5.920426000000001e-13,1.240008e-12,5.876846523446003e-11,0.20043877409547586,1000000000.0,1010000000.0,0,27,
36,271.36329188028225,0.0015279154474464672,2.0197376007037257e-05,1.0085551885898688e-05,26616.184642141292,15319.11546986243,61417.77397343006,5.920426000000001e-13,1.240008e-12,5.870944480753368e-11,0.2005318627495957,1000000000.0,1010000000.0,0,27,
37,271.63933170339453,0.0015237673376577508,2.023294433498359e-05,1.0111860430653988e-05,26616.184642141292,15316.975000722232,61372.908998638086,5.920426000000001e-13,1.240008e-12,5.865013723451953e-11,0.20062420860995503,1000000000.0,1010000000.0,0,27,
38,271.9172449102836,0.0015196639527374886,2.0268546902242118e-05,1.013815185962813e-05,26616.184642141292,15314.838133630552,61328.440210898,5.920426000000001e-13,1.240008e-12,5.85905369792612e-11,0.20071568979397775,1000000000.0,1010000000.0,0,27,
39,272.1970137835783,0.001515604595623169,2.030418436240646e-05,1.0164427607177861e-05,26616.184642141292,15312.70509395386,61284.37014641632,5.920426000000001e-13,1.240008e-12,5.853065448070678e-11,0.20080642081804956,1000000000.0,1010000000.0,0,27,
40,272.47861297850045,0.001511588285077553,2.033985510726963e-05,1.0190687142809565e-05,26616.184642141292,15310.57444288769,61240.67363584812,5.920426000000001e-13,1.240008e-12,5.847049564564223e-11,0.20089616199090057,1000000000.0,1010000000.0,0,27,
41,272.76204676737876,0.0015076146070802086,2.037555970456315e-05,1.021693182685911e-05,26616.184642141292,15308.44892096111,61197.35826280933,5.920426000000001e-13,1.240008e-12,5.841006798741054e-11,0.2009852843056326,1000000000.0,1010000000.0,0,27,
42,273.04721965650685,0.0015036824711200905,2.041129633122419e-05,1.0243160993670714e-05,26616.184642141292,15306.325639720233,61154.40910301428,5.920426000000001e-13,1.240008e-12,5.834937264113888e-11,0.20107349684390538,1000000000.0,1010000000.0,0,27,
43,273.33413094404096,0.0014997910806446564,2.0447063477559593e-05,1.0269374968371007e-05,26616.184642141292,15304.20450939796,61111.817319071226,5.920426000000001e-13,1.240008e-12,5.828843204926682e-11,0.20116085215484172,1000000000.0,1010000000.0,0,27,
44,273.62277273999746,0.0014959401229814456,2.0482862457852007e-05,1.0295575470717939e-05,26616.184642141292,15302.08627284342,61069.58275454459,5.920426000000001e-13,1.240008e-12,5.822724829212006e-11,0.2012475607267448,1000000000.0,1010000000.0,0,27,
45,273.9130985300901,0.0014921286968776566,2.0518691680735456e-05,1.0321761916361901e-05,26616.184642141292,15299.970794317089,61027.696585727026,5.920426000000001e-13,1.240008e-12,5.8165824977999165e-11,0.20133339337848827,1000000000.0,1010000000.0,0,27,
46,274.2051237114177,0.001488356391822256,2.055455083236141e-05,1.034793604750704e-05,26616.184642141292,15297.857596111697,60986.15906698043,5.920426000000001e-13,1.240008e-12,5.8104173895288076e-11,0.20141857867719404,1000000000.0,1010000000.0,0,27,
47,274.4987892422998,0.0014846225155272456,2.059043903073309e-05,1.0374096765172526e-05,26616.184642141292,15295.747087078198,60944.958663266494,5.920426000000001e-13,1.240008e-12,5.8042293644153466e-11,0.20150297759362099,1000000000.0,1010000000.0,0,27,
48,274.7940929038395,0.0014809263291073037,2.062635630934651e-05,1.0400244276962341e-05,26616.184642141292,15293.6378018305,60904.08667699858,5.920426000000001e-13,1.240008e-12,5.798019857618003e-11,0.20158659861311534,1000000000.0,1010000000.0,0,27,
49,275.0910203424179,0.0014772674060372674,2.0662303423154427e-05,1.0426380836977173e-05,26616.184642141292,15291.532605170178,60863.551781066184,5.920426000000001e-13,1.240008e-12,5.7917890959755624e-11,0.20166958108213207,1000000000.0,1010000000.0,0,27,
50,275.3895329932667,0.0014736448397430382,2.0698277675702643e-05,1.0452505267483834e-05,26616.184642141292,15289.428033690241,60823.332384562855,5.920426000000001e-13,1.240008e-12,5.785537561123885e-11,0.20175175800814749,1000000000.0,1010000000.0,0,27,
51,275.6896190461344,0.0014700583608058247,2.07342799807525e-05,1.0478619039183165e-05,26616.184642141292,15287.325789932192,60783.43268788515,5.920426000000001e-13,1.240008e-12,5.7792662401510626e-11,0.2018332968589379,1000000000.0,1010000000.0,0,27,
52,275.9912724656273,0.0014665072598103845,2.0770310056365154e-05,1.0504721316652771e-05,26616.184642141292,15285.22547438741,60743.84854129389,5.920426000000001e-13,1.240008e-12,5.77297555281768e-11,0.20191416906041182,1000000000.0,1010000000.0,0,27,
53,276.2944366991168,0.0014629909255398346,2.080636713168488e-05,1.053081272224122e-05,26616.184642141292,15283.126326423133,60704.56936849525,5.920426000000001e-13,1.240008e-12,5.7666657959887824e-11,0.20199420461707152,1000000000.0,1010000000.0,0,27,
54,276.599124417879,0.0014595090081825264,2.0842450615829604e-05,1.0556893948956332e-05,26616.184642141292,15281.028927691872,60665.595072232776,5.920426000000001e-13,1.240008e-12,5.760338318545815e-11,0.20207363465702552,1000000000.0,1010000000.0,0,27,
55,276.9053365469721,0.0014560608667515448,2.0878562398052766e-05,1.0582966088640377e-05,26616.184642141292,15278.93448843186,60626.92314712705,5.920426000000001e-13,1.240008e-12,5.753993018844414e-11,0.2021524855058269,1000000000.0,1010000000.0,0,27,
56,277.2130085898259,0.0014526458797159772,2.0914697735667227e-05,1.0609027733233966e-05,26616.184642141292,15276.83931582092,60588.5415626203,5.920426000000001e-13,1.240008e-12,5.747630041246877e-11,0.20223054099061927,1000000000.0,1010000000.0,0,27,
57,277.52213643301553,0.0014492636346714622,2.0950858088615308e-05,1.0635079745189445e-05,26616.184642141292,15274.745538354144,60550.45158189178,5.920426000000001e-13,1.240008e-12,5.74125088506891e-11,0.2023080446648933,1000000000.0,1010000000.0,0,27,
58,277.8327071101917,0.0014459136832118975,2.0987044271151212e-05,1.0661121804219909e-05,26616.184642141292,15272.65233480819,60512.642812003156,5.920426000000001e-13,1.240008e-12,5.7348557897942665e-11,0.20238485762727826,1000000000.0,1010000000.0,0,27,
59,278.14472034277554,0.001442595414533562,2.1023254704171445e-05,1.0687154935514166e-05,26616.184642141292,15270.560822870735,60475.11754047915,5.920426000000001e-13,1.240008e-12,5.728445176498699e-11,0.20246100469075148,1000000000.0,1010000000.0,0,27,
60,278.45813871338225,0.0014393085009221066,2.1059489976132793e-05,1.0713179551350351e-05,26616.184642141292,15268.470018523805,60437.86980488785,5.920426000000001e-13,1.240008e-12,5.722019202656751e-11,0.20253657424254481,1000000000.0,1010000000.0,0,27,
61,278.77298256019463,0.001436052460585796,2.1095750072188846e-05,1.0739196599521466e-05,26616.184642141292,15266.380948535307,60400.89677649474,5.920426000000001e-13,1.240008e-12,5.7155787877945266e-11,0.20261159207356816,1000000000.0,1010000000.0,0,27,
62,279.08919564944745,0.001432826879368044,2.113203247244506e-05,1.0765205754561046e-05,26616.184642141292,15264.292821514933,60364.19333510499,5.920426000000001e-13,1.240008e-12,5.7091236614914606e-11,0.2026859337356563,1000000000.0,1010000000.0,0,27,
63,279.4067757815199,0.0014296311730866381,2.1168337113050963e-05,1.0791206236020028e-05,26616.184642141292,15262.204195347196,60327.75181217289,5.920426000000001e-13,1.240008e-12,5.702655121476052e-11,0.20275957451364768,1000000000.0,1010000000.0,0,27,
64,279.7257200042861,0.0014264649914966217,2.1204665502705094e-05,1.0817199752544688e-05,26616.184642141292,15260.117212317493,60291.5739936061,5.920426000000001e-13,1.240008e-12,5.6961733532312536e-11,0.20283274534231702,1000000000.0,1010000000.0,0,27,
65,280.04598672256446,0.0014233279049478808,2.1241016219137502e-05,1.0843185676435984e-05,26616.184642141292,15258.028225095675,60255.65330575427,5.920426000000001e-13,1.240008e-12,5.689678556889824e-11,0.20290523351861323,1000000000.0,1010000000.0,0,27,
66,280.36760689715857,0.0014202197459512594,2.1277391667574848e-05,1.0869166168528695e-05,26616.184642141292,15255.942444147588,60219.99882226995,5.920426000000001e-13,1.240008e-12,5.6831717159927276e-11,0.20297717541227886,1000000000.0,1010000000.0,0,27,
67,280.6905104908708,0.0014171398394503063,2.131378992558999e-05,1.0895140335991635e-05,26616.184642141292,15253.857113305676,60184.59308874552,5.920426000000001e-13,1.240008e-12,5.6766523370253265e-11,0.2030485134388763,1000000000.0,1010000000.0,0,27,
68,281.01470668550286,0.0014140878147735267,2.135020676766102e-05,1.0921109512294584e-05,26616.184642141292,15251.771420118297,60149.43603454157,5.920426000000001e-13,1.240008e-12,5.6701219721880024e-11,0.20311937314595788,1000000000.0,1010000000.0,0,27,
69,281.34017698719043,0.0014110631620840128,2.13866441793969e-05,1.0947072228065775e-05,26616.184642141292,15249.685448465907,60114.516729398405,5.920426000000001e-13,1.240008e-12,5.663580563775025e-11,0.20318954968881525,1000000000.0,1010000000.0,0,27,
70,281.6669082331478,0.0014080656275039587,2.1423102854178104e-05,1.0973028909490512e-05,26616.184642141292,15247.599526224003,60079.834816986826,5.920426000000001e-13,1.240008e-12,5.657028611990307e-11,0.20325914657303612,1000000000.0,1010000000.0,0,27,
71,281.9949301373309,0.001405094961406868,2.1459583469828976e-05,1.0998980816740989e-05,26616.184642141292,15245.515165546794,60045.394748500905,5.920426000000001e-13,1.240008e-12,5.6504665063513936e-11,0.20332827911019227,1000000000.0,1010000000.0,0,27,
72,282.32416672249053,0.0014021506037010538,2.1496083577382315e-05,1.102492591000218e-05,26616.184642141292,15243.430472902548,60011.18277122605,5.920426000000001e-13,1.240008e-12,5.643893775479837e-11,0.2033968172038544,1000000000.0,1010000000.0,0,27,
73,282.6546484978086,0.0013992323197655522,2.1532605557558528e-05,1.1050866322630292e-05,26616.184642141292,15241.34579718987,59977.208204804316,5.920426000000001e-13,1.240008e-12,5.637312063629894e-11,0.20346487534000737,1000000000.0,1010000000.0,0,27,
74,282.9863666900507,0.001396339789438377,2.1569148782349593e-05,1.1076801789265595e-05,26616.184642141292,15239.261713106622,59943.462407024264,5.920426000000001e-13,1.240008e-12,5.630720879268655e-11,0.20353237131127283,1000000000.0,1010000000.0,0,27,
75,283.31927534424557,0.0013934725130211015,2.1605709777938166e-05,1.1102732291053244e-05,26616.184642141292,15237.179181062846,59909.93827504742,5.920426000000001e-13,1.240008e-12,5.624120516951071e-11,0.20359924714457373,1000000000.0,1010000000.0,0,27,
76,283.65339444595844,0.0013906301102956564,2.1642291760988427e-05,1.1128657819837955e-05,26616.184642141292,15235.096758711017,59876.63820589638,5.920426000000001e-13,1.240008e-12,5.617512006499204e-11,0.2036657810260776,1000000000.0,1010000000.0,0,27,
77,283.98865906422776,0.0013878121117876943,2.167888979877487e-05,1.115457759786963e-05,26616.184642141292,15233.011995934155,59843.551150977575,5.920426000000001e-13,1.240008e-12,5.61089506447692e-11,0.20373168071072706,1000000000.0,1010000000.0,0,27,
78,284.3250955889995,0.0013850184988401545,2.1715507567868467e-05,1.118049270991375e-05,26616.184642141292,15230.927339282454,59810.68070405018,5.920426000000001e-13,1.240008e-12,5.6042710866105524e-11,0.20379704213682,1000000000.0,1010000000.0,0,27,
79,284.6627384352698,0.0013822489831152459,2.175214777571226e-05,1.1206403733701062e-05,26616.184642141292,15228.842213825763,59778.027966376685,5.920426000000001e-13,1.240008e-12,5.5976396583001107e-11,0.20386200962717435,1000000000.0,1010000000.0,0,27,
80,285.0015284676577,0.0013795030248981628,2.1788804241795233e-05,1.1232310086163955e-05,26616.184642141292,15226.756798687864,59745.583056663374,5.920426000000001e-13,1.240008e-12,5.591000211925735e-11,0.20392639242641727,1000000000.0,1010000000.0,0,27,
