Iteration No,Rd,Ibias,C1,C2,Cload,W1,W2,Rbias1,Rbias2,Rbias3,mismatch,flo,frf,Alo,Temp,
1,531.0215829635706,0.0006904739527553206,5.920426e-13,1.240008e-12,3.04326606245226e-11,4.1308109379289736e-05,2.521781994368902e-05,26616.1846421413,8986.615332570498,32488.7249222451,0,1000000000.0,1010000000.0,0.22482183604453085,27,
2,525.5204353243251,0.0006779788643994059,5.920426e-13,1.240008e-12,2.9971464098251866e-11,4.086681092096925e-05,2.496074785259256e-05,26616.1846421413,8794.228026089182,31758.74177589162,0,1000000000.0,1010000000.0,0.2172724699931778,27,
3,531.3447341634243,0.0006799250659691704,5.920426e-13,1.240008e-12,3.0285205368592906e-11,4.1246542846546764e-05,2.520308711714811e-05,26616.1846421413,8772.980887625396,31696.10980362497,0,1000000000.0,1010000000.0,0.2218497681328416,27,
4,530.4250936499533,0.0006734393684994187,5.920426e-13,1.240008e-12,2.995323616831864e-11,4.1134106476169905e-05,2.514539283024566e-05,26616.1846421413,8651.721486315622,31245.807502815256,0,1000000000.0,1010000000.0,0.21912349090733352,27,
5,533.5133471657064,0.0006720318787916499,5.920426e-13,1.240008e-12,3.0005168495464777e-11,4.1311230363808634e-05,2.5263572039471766e-05,26616.1846421413,8590.084474878076,31028.3032743278,0,1000000000.0,1010000000.0,0.22073216331752255,27,
6,534.2470306866225,0.0006677698536317684,5.920426e-13,1.240008e-12,2.9831482930540945e-11,4.131646030423551e-05,2.5276646098485504e-05,26616.1846421413,8494.973076037317,30681.109423626105,0,1000000000.0,1010000000.0,0.21977833004797137,27,
7,536.3846898766243,0.0006652939276253468,5.920426e-13,1.240008e-12,2.9790515239241844e-11,4.142198997188765e-05,2.535056992677079e-05,26616.1846421413,8420.81004820623,30415.683981579383,0,1000000000.0,1010000000.0,0.22032913348861768,27,
8,537.7063954510272,0.0006618905174940326,5.920426e-13,1.240008e-12,2.967179080530861e-11,4.146795273798592e-05,2.53879307310416e-05,26616.1846421413,8335.945464034803,30108.701592225523,0,1000000000.0,1010000000.0,0.21999163015358014,27,
9,539.5187515922231,0.0006591447764805604,5.920426e-13,1.240008e-12,2.959885626028242e-11,4.154876417981345e-05,2.5446038621670545e-05,26616.1846421413,8258.855317382935,29831.828094806577,0,1000000000.0,1010000000.0,0.22017242013627022,27,
10,541.0632944162836,0.0006561369544080997,5.920426e-13,1.240008e-12,2.949942752169385e-11,4.160967583262092e-05,2.549163754262659e-05,26616.1846421413,8179.014160160458,29543.97420966375,0,1000000000.0,1010000000.0,0.2200513928869297,27,
11,542.7729750946153,0.0006533818320971697,5.920426e-13,1.240008e-12,2.9415217172252794e-11,4.1682193711139765e-05,2.5544135329407058e-05,26616.1846421413,8102.384271607326,29268.322832509482,0,1000000000.0,1010000000.0,0.22010356506763976,27,
12,544.3903196808717,0.0006505820803389617,5.920426e-13,1.240008e-12,2.932256217512519e-11,4.1748092033982446e-05,2.5592246188923145e-05,26616.1846421413,8025.525325488706,28991.488545975753,0,1000000000.0,1010000000.0,0.22005524751818967,27,
13,546.063259285308,0.0006479055654209688,5.920426e-13,1.240008e-12,2.923544694644716e-11,4.181792796173709e-05,2.56424311318188e-05,26616.1846421413,7950.445349893203,28720.696710441654,0,1000000000.0,1010000000.0,0.2200643830525927,27,
14,547.7066622414557,0.0006452533935013873,5.920426e-13,1.240008e-12,2.914588014952674e-11,4.1885819102981e-05,2.569109875010288e-05,26616.1846421413,7876.006532607893,28451.90917312223,0,1000000000.0,1010000000.0,0.22004444672842108,27,
15,549.3635923074007,0.0006426768102584831,5.920426e-13,1.240008e-12,2.9058427451030734e-11,4.195512109417373e-05,2.574030711952722e-05,26616.1846421413,7802.8649381699925,28187.343288091437,0,1000000000.0,1010000000.0,0.2200449616673943,27,
16,551.0091452635021,0.0006401442915492266,5.920426e-13,1.240008e-12,2.8970784617055387e-11,4.202391534937437e-05,2.5788886422528987e-05,26616.1846421413,7730.649609642871,27925.633959722192,0,1000000000.0,1010000000.0,0.2200371645568341,27,
17,552.6606051772029,0.0006376746915403296,5.920426e-13,1.240008e-12,2.888426525403398e-11,4.2093712491369795e-05,2.5837783145234077e-05,26616.1846421413,7659.599564004361,27667.656468545967,0,1000000000.0,1010000000.0,0.22003933540760745,27,
18,554.3012938953497,0.0006352518866608335,5.920426e-13,1.240008e-12,2.8797953319083514e-11,4.2163527579338224e-05,2.5886363232944715e-05,26616.1846421413,7589.545922953952,27412.63561889692,0,1000000000.0,1010000000.0,0.2200407370240181,27,
19,555.9380318670603,0.0006328864337692223,5.920426e-13,1.240008e-12,2.8712713617071818e-11,4.223406216845867e-05,2.5935075507997107e-05,26616.1846421413,7520.604592844938,27161.002878111925,0,1000000000.0,1010000000.0,0.2200487953211438,27,
20,557.5700993461384,0.0006305691898201735,5.920426e-13,1.240008e-12,2.8628180474969475e-11,4.230504224478088e-05,2.5983754779513035e-05,26616.1846421413,7452.753178038193,26912.53300449411,0,1000000000.0,1010000000.0,0.22005969179304402,27,
21,559.1969313765435,0.0006283025704091408,5.920426e-13,1.240008e-12,2.8544382720403424e-11,4.237641991736634e-05,2.6032372064174318e-05,26616.1846421413,7385.953173690843,26667.15057417191,0,1000000000.0,1010000000.0,0.22007575949644823,27,
22,560.8142481160736,0.0006260809237682852,5.920426e-13,1.240008e-12,2.8461340569253948e-11,4.244837395161654e-05,2.6081038830561664e-05,26616.1846421413,7320.258937830364,26424.92573176649,0,1000000000.0,1010000000.0,0.22009776802438152,27,
23,562.4266710390068,0.000623907979501606,5.920426e-13,1.240008e-12,2.837926169432031e-11,4.2520944512728635e-05,2.612977953621741e-05,26616.1846421413,7255.610531117312,26185.67629218219,0,1000000000.0,1010000000.0,0.2201245638483838,27,
24,564.033352640991,0.0006217752808138038,5.920426e-13,1.240008e-12,2.8297901093111077e-11,4.259384977826706e-05,2.6178421047209223e-05,26616.1846421413,7192.02859770077,25949.358310301373,0,1000000000.0,1010000000.0,0.22015723290398395,27,
