Iteration No,Rd,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Ibias,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W1,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Alo,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias3,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,Rd,-0.002991607642915713,0.0065426274671759954,0.11455012410567826,0.04923577124871792,0.009381457074001997,-0.0019300969848534118,-0.0024915370178732288,-0.0004254422535840674,0.0,-0.003842581156431093,0.0,-0.004098261534557267,-0.0015189753832865398,0.0,Ibias,0.029749636367882207,-0.003960425937825832,0.0897945856364117,0.03282420434282166,0.008361646216616175,0.032456445616721355,0.02304211320225204,0.007796826653848757,0.005663584685537649,-0.007193065181613293,0.0,0.02319191588872596,0.026556764197797473,0.0,W1,0.0036479972679436556,-2.5386499108751718e-05,0.004877715374528662,-0.023478015099535027,0.006142380493851928,0.00235634073579847,0.011118516829495023,-0.008517068426692037,-0.0056078375609583675,-0.0008055277151271925,0.0,0.0023424233598523026,0.009778530554955691,0.0,W2,0.003118036643884215,-0.004545930120101286,-0.004767156064918917,-0.01631952440767575,0.0035029431744384963,0.0020092976818194912,0.0025932682019889847,0.0004429750670979561,0.0,0.003998462856391896,0.0,0.010728002629754799,0.0015837562081623723,0.0,Alo,0.0,0.00041187167910759043,0.02070671478323448,0.006330796497653374,-0.0012154175754253659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.009489909552692572,-0.00465250311125414,-0.2635621617012262,-0.04950597184100784,0.009908970908893486,-0.006322135634793677,-0.007910476557978035,-0.00135064727113381,0.0,-0.012208510251653084,0.0,-0.00712912197871999,-0.0048153746491038886,0.0,Rbias3,0.00935113513162981,-0.009712926345291022,0.0520519062111896,0.01024387469751284,0.007880868760104538,0.005332366924828954,0.007770157683335331,0.0013275287825185173,0.0,0.011973715177737128,0.0,0.006459079551783596,0.0047532930252644455,0.0,
2,Rd,-0.0029107044258016193,0.015450645258244477,0.39387814127617565,0.04405281597332636,0.001535318176074397,-0.0018787300467170997,-0.0024243415991584325,-0.0004137145680193778,0.0,-0.0037268181881137284,0.0,-0.0038416190412574646,-0.0014844804318488306,0.0,Ibias,0.029876920898081773,0.004063379443744781,0.36312608381164635,0.029266896705378277,0.00042893243668314297,0.03250422287830226,0.023173539636562192,0.007797035951842725,0.00566001415947138,-0.006984667802385035,0.0,0.022736095080632242,0.02661241154428435,0.0,W1,0.0036558193931911405,0.006742357562979006,0.031233558235799076,0.00024816580217381707,-0.0018710343639246293,0.0023607181183655374,0.011098077335251902,-0.008497849476564805,-0.005604476247837249,-0.0008204872508691686,0.0,0.0025571094979658974,0.009776197620173004,0.0,W2,0.003215393788353238,0.0021201642524283685,0.0022359120265678083,0.00960773065300713,-0.00445894291194545,0.002075619006217783,0.0026760248979704345,0.0004564376270526977,0.0,0.004110746388554134,0.0,0.009824029787089213,0.0016399843811011076,0.0,Alo,0.0,0.00782784486582982,0.26848491028954535,0.017081719769173973,-0.008991981869654376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.009610699699945787,0.0007268774190240117,-0.12312146903788461,-0.03153023559939976,0.0017474476908526436,-0.006412536953230909,-0.00801384524945558,-0.0013669825324830584,-2.696015127957611e-07,-0.012326145067242845,0.0,-0.0064791614130709895,-0.004897346842310716,0.0,Rbias3,0.009408227730083964,-0.0023242071745381643,0.3112027122721162,0.01616843100585532,-5.704793151361169e-05,0.005344268143269017,0.007820858409023593,0.001334668364196344,0.0,0.012009528953892583,0.0,0.0064121915524424375,0.004801441322948201,0.0,
3,Rd,-0.0029008108150823937,0.009684174829351213,0.13409977363244235,0.050659979482702254,0.006007974291643971,-0.0018697792076471957,-0.0024174181619830387,-0.0004112059614441565,0.0,-0.0037115357802860478,0.0,-0.004518995835229665,-0.0014809266740065175,0.0,Ibias,0.02982050376957891,-0.001102519160610798,0.10874301923825726,0.037041712160131635,0.004905649014161707,0.0324679773585674,0.02315674078901691,0.0077712170140627045,0.0056571025186573165,-0.007048037362608755,0.0,0.022771490366304492,0.026600744624393,0.0,W1,0.0036955947444914043,0.002217154941689905,0.018066393890110482,-0.009431779486390143,0.0027130499835353646,0.0023887304014533423,0.011099757018482159,-0.008472740918773876,-0.005601783590192963,-0.0007711346184283606,0.0,0.0021471804270917186,0.009775753185254175,0.0,W2,0.0032554530381293367,-0.0023053024100940056,0.007599388064830393,-0.0028737706316385087,0.00012063616868097864,0.0021039875179603624,0.0027114045465170197,0.00046130369870648545,2.698484315407362e-07,0.004159470195591612,0.0,0.009381389292594003,0.0016637402846161756,0.0,Alo,0.0,0.0029349579813309737,0.036249044581425735,0.013865157277115164,-0.004523660885760108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.009492399502356735,-0.0029341966353810737,-0.2699132808943846,-0.036983196334240125,0.0064162717852402264,-0.00633188483753871,-0.007920807860416799,-0.0013470379168303312,0.0,-0.012166020682041223,0.0,-0.007462281260183326,-0.004845242821496191,0.0,Rbias3,0.009346538588039308,-0.007142062915774731,0.06868900916042227,0.017165951957759093,0.0044585259108895344,0.005303214727718207,0.007775585670465962,0.0013232337124788668,2.698484315407362e-07,0.011923204748991839,0.0,0.00686228071019707,0.004779075208700795,0.0,
4,Rd,-0.0029624178498567815,0.01293937251609395,0.14114112819636385,0.05557577798190018,0.003314112093005602,-0.0019131225911524531,-0.002470599245094691,-0.00041952993641300907,0.0,-0.0037828177218188637,0.0,-0.003592951932634455,-0.001517681087728685,0.0,Ibias,0.029841521565270528,0.0018832479876602461,0.11565966036837791,0.04358337587837961,0.0021632535035048246,0.03245991721717301,0.0231997468794424,0.007756863941285109,0.005654031711954521,-0.006990284061410735,0.0,0.022801838235166964,0.02661335202094122,0.0,W1,0.0036529712222916474,0.004731464151884573,0.020993025730880768,0.008206141947762107,-3.394136778749575e-05,0.002359697406389492,0.011035699802583808,-0.008460546348555007,-0.00559892840270359,-0.0008401956692839711,0.0,0.0026892648408635336,0.0097422896441798,0.0,W2,0.0031987196627831014,0.0001767664506864786,0.00974311318139318,0.003402697237115156,-0.0025986621835919614,0.002065408520471331,0.002664896011123143,0.00045271221508219345,2.7011426104132713e-07,0.004078380625242751,0.0,0.009897138128156726,0.0016399749915838291,0.0,Alo,0.0,0.005673447395867424,0.040401045461027824,0.022378096362253515,-0.007180533109352861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.009535491000434842,-0.0008919442529407161,-0.27959071848072875,-0.02535798156164603,0.0036186920773810293,-0.006366139443965339,-0.007960819789749388,-0.0013515936607204724,0.0,-0.012196397674905152,0.0,-0.007283641845140787,-0.004882137532548726,0.0,Rbias3,0.0093921628789872,-0.004390718615630954,0.0738833977864059,0.02147596315125811,0.001728294163928026,0.005318745222702227,0.007817325389150687,0.0013280700734947756,2.7011426104132713e-07,0.011956460374091869,0.0,0.006665211264535741,0.004816868314199234,0.0,
5,Rd,-0.0029446162508439257,0.010941044091514859,0.13757628747546136,0.05661809728328956,0.0048714475449006716,-0.0019008433429545098,-0.002457267433051367,-0.00041635064680199153,0.0,-0.0037554669240031403,0.0,-0.003964413376702525,-0.0015120004728438954,0.0,Ibias,0.029749400887818855,0.00013064196710464544,0.1120356387590942,0.038769072414899027,0.003706187389638507,0.0323883701923052,0.023151077828620487,0.007726900182857369,0.005651101399716841,-0.007088187902826003,0.0,0.02345112307452974,0.026576157401998216,0.0,W1,0.0035907250661977664,0.0031751721578649407,0.018820615289659056,-0.005728900643135149,0.001570067523448526,0.002316606859803706,0.01095476025376615,-0.008450716968605448,-0.005596488325238747,-0.000925725086762569,0.0,0.0032971598638013963,0.00969261030387079,0.0,W2,0.003187571387052206,-0.0013297380769310392,0.008339267775449374,-0.0029462068738601377,-0.0009848599763111984,0.002057735236105166,0.0026578061245407527,0.0004502015611356178,0.0,0.0040592464055528065,0.0,0.009953602000929866,0.0016370841483244916,0.0,Alo,0.0,0.003986911945126665,0.03871194558185797,0.020647160469188696,-0.005610160902033209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.009544796219861077,-0.002124132982405891,-0.27681330666535003,-0.03247515782650624,0.005253540523452685,-0.0063747137335810125,-0.007973418373622258,-0.0013506046834066369,-2.7036175485022383e-07,-0.012193785855938822,0.0,-0.007213294264855779,-0.00489819425907166,0.0,Rbias3,0.009420585406474568,-0.006033480178702034,0.07111739423032382,0.019764135891760626,0.0032983380581366496,0.0053323632184606555,0.007845964894142252,0.0013297013538181852,0.0,0.011978262890431295,0.0,0.006414528130117172,0.0048418378778109766,0.0,
6,Rd,-0.00294644986434991,0.012054942365098353,0.14044263081762415,0.05356518647557814,0.003931700607889689,-0.0018969236333035346,-0.0024602248734996875,-0.00041625730793183667,-5.41226728281048e-07,-0.003748757001281774,0.0,-0.003853808915568528,-0.0015177627941744122,0.0,Ibias,0.029709082514480806,0.0011809886860097978,0.11480021574417704,0.04122204627259253,0.002735249334376974,0.03234969220566386,0.02314311172820515,0.007704274564257488,0.005647700909450348,-0.007110588331537776,0.0,0.023845247212234227,0.02656050379509723,0.0,W1,0.0036432773994584207,0.004037529577722396,0.019820868062841886,-0.005712056255221837,0.0006209116783677679,0.0023580977945428113,0.010971708308582002,-0.008426047554859147,-0.005594119463352027,-0.0008680953804943689,0.0,0.0028895748752923852,0.009706365700079251,0.0,W2,0.0031933224178434857,-0.0004649060457322449,0.009197004798150386,0.0002856612499844371,-0.001916527778185058,0.002068385821456602,0.0026641998811935117,0.00045046381841500776,0.0,0.004059679415499013,0.0,0.009858815288199978,0.0016447606814540285,0.0,Alo,0.0,0.004931447141929521,0.04062782203584441,0.023477451204981452,-0.006523381023438796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.009588816825905592,-0.0013911751771136713,-0.28124629244124405,-0.028843399237731764,0.004285953747431942,-0.006403225854132942,-0.00801407069702186,-0.0013552963080397781,-5.41226728281048e-07,-0.012227127579895967,0.0,-0.0069589899969840574,-0.004934282044362235,0.0,Rbias3,0.009419606898943422,-0.005064077266788829,0.07320927267462743,0.01868463205866617,0.0023438686700966824,0.005325674688928984,0.007849459287304263,0.0013274937561404906,-2.70613364140524e-07,0.011959596115929505,0.0,0.006527777584737921,0.004852837747085093,0.0,
7,Rd,-0.003095232631957359,0.011341048171085904,0.13930496437144144,0.05138504035557698,0.004462918457841098,-0.002004231759737231,-0.0025857457851716837,-0.0004363398871896767,0.0,-0.003936389101193339,0.0,-0.0025161908650333143,-0.0015966719520265665,0.0,Ibias,0.029794788248701562,0.0005919620949269281,0.11359376526119953,0.03866683068890913,0.0032425282894226475,0.03239079604607607,0.02323945744136602,0.007699913263763049,0.0056454633827655145,-0.006987774295276888,0.0,0.022987869621006768,0.026612351699325024,0.0,W1,0.0036570982767718694,0.0034912821174771357,0.018836651479121815,-0.009167121579830958,0.0011724184688209766,0.002361900922677827,0.010955821019084941,-0.008406189582955975,-0.0055910212132153515,-0.0008618015574852824,0.0,0.0028473785269614183,0.009698969596848895,0.0,W2,0.003202924821978909,-0.0009784660730542969,0.008609180726169475,-0.003053332743677907,-0.0013528133711719979,0.0020684541232487003,0.0026735500426029596,0.0004511973385458092,0.0,0.00406648799016009,0.0,0.00973618631577127,0.0016533748970530547,0.0,Alo,0.0,0.004340355634422303,0.040249083472088956,0.02054325143232497,-0.005975535345047435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.009602655591503915,-0.0017995442836344238,-0.2811494819510356,-0.03256832977120348,0.004851003110837734,-0.006421248314780567,-0.008030505707724738,-0.0013548431694351624,0.0,-0.012231229091989832,0.0,-0.006860962268101239,-0.0049518266992040864,0.0,Rbias3,0.009417100724321647,-0.005627463024507687,0.07226081817282505,0.01966099605476983,0.002875919501124742,0.00530970740785207,0.007852209307430476,0.0013252846609482654,2.7085656493440954e-07,0.011937332663411635,0.0,0.006633151101803691,0.004863314785016343,0.0,
8,Rd,-0.0029571551853865246,0.01169431869791738,0.140549035350847,0.053618415509548496,0.004127989978473186,-0.0019098620495383938,-0.0024725010624027668,-0.000416213667623764,0.0,-0.0037549576204525454,0.0,-0.0037681735579694316,-0.001529637507127844,0.0,Ibias,0.029791134983738646,0.0009644082603676038,0.11475710661953337,0.0457954938489921,0.0028804290677811846,0.0323739223240111,0.023260556869770476,0.007683041234748567,0.0056429201345842925,-0.006971166451848009,0.0,0.023008161990975006,0.026616386337180664,0.0,W1,0.0036651956132512068,0.0037791283078622635,0.019074295239392417,-0.0023726357120598296,0.0008407508987272623,0.0023676139767584807,0.01093578594897057,-0.008387691913569719,-0.005588429289181808,-0.0008611148677553301,0.0,0.0028530058042647846,0.009689091638120472,0.0,W2,0.003202228384881633,-0.0006853128995829253,0.00892954151480531,0.00034845580481293663,-0.0016686694834804688,0.0020685626093547515,0.002673751148877465,0.00045035007828673226,2.7109873335318383e-07,0.0040593838060725,0.0,0.009712924580508896,0.0016572807276773469,0.0,Alo,0.0,0.004647183679160781,0.041263648273469296,0.02754564796182962,-0.006288440083304541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.009610677575188083,-0.001526883239927125,-0.2835738894340773,-0.025929596912692986,0.004515351166244964,-0.006429852368804115,-0.008041917518011522,-0.001354025426614958,0.0,-0.012223691146800802,0.0,-0.006879988244527141,-0.0049676799041010146,0.0,Rbias3,0.009425337129203893,-0.005288695164705079,0.07314246035115272,0.0266573645581528,0.0025353775909511514,0.005304566211857383,0.007863128378688035,0.0013244300981046114,2.7109873335318383e-07,0.011930028897027793,0.0,0.006652417925909396,0.004879578333395881,0.0,
9,Rd,-0.0029607410723815884,0.011431664726406117,0.14029636849612603,0.05502129422047303,0.004294869459157362,-0.0019127069404648949,-0.002476410635873089,-0.0004160998990948584,0.0,-0.0037542573626031836,0.0,-0.003769502840417239,-0.0015345965652015432,0.0,Ibias,0.029781907167583912,0.0007790727498623142,0.1144429080082835,0.042269167286153105,0.0030249476561915807,0.0323543457497613,0.02327699971734168,0.007665864569046587,0.00564025602155054,-0.006962932397439852,0.0,0.023027612360248074,0.026618679523809304,0.0,W1,0.0036713558928126023,0.003592636502022948,0.018569907721480233,-0.005733839275851239,0.0010245625096810629,0.0023713586437440998,0.010913850435959885,-0.008369659763860858,-0.005586260209346451,-0.000861678054571446,0.0,0.0028603524754455658,0.00967831879974665,0.0,W2,0.00320100095965344,-0.000851801922186836,0.008690186504306797,0.0039058004285496156,-0.0014714745331786355,0.0020679122890798407,0.0026744514718935494,0.0004494945029034243,0.0,0.004052700273949649,0.0,0.00968903525139177,0.0016597562306916386,0.0,Alo,0.0,0.004437539619623256,0.0413961891416562,0.028187020227832583,-0.006102476293311377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.009616401988058236,-0.0016307759170886198,-0.28427827789895566,-0.029202215694584175,0.0047038491804500685,-0.0064365448901623715,-0.008051260169846992,-0.001352716627502387,0.0,-0.012214369171123073,0.0,-0.006893734504311058,-0.0049820500179742835,0.0,Rbias3,0.009431124651911952,-0.005469643037579605,0.07288727000321372,0.023197874214361883,0.002699166493892065,0.005298869786692079,0.00787212323181034,0.0013233983603093843,2.713357397273661e-07,0.011921442764607416,0.0,0.006666053455033691,0.004893047589181548,0.0,
10,Rd,-0.00296123841979309,0.01151155664928399,0.14089509357118926,0.05498516180059891,0.004172058647898481,-0.0019132417493009212,-0.00247769085708614,-0.000415661066701346,-2.7157028457001613e-07,-0.003749716097649134,0.0,-0.003764133247582559,-0.0015387994296612226,0.0,Ibias,0.029740488704010387,0.0008990891437600985,0.11495465509944366,0.042238977927102926,0.0028792157258237462,0.032311972710474,0.023267375867327172,0.007644207940413509,0.005637527537226756,-0.0069941962641757414,0.0,0.023370965901412057,0.026603729514340334,0.0,W1,0.003678252784341324,0.003673737802547649,0.018522948278681086,-0.005764497014549699,0.0009096630694062625,0.002375953750762412,0.010894260527479372,-0.008351836372697924,-0.005584028191168122,-0.0008616298530763885,0.0,0.00286648370111361,0.009667871722555902,0.0,W2,0.0032001401886704926,-0.0007484354825634561,0.0088195686866929,0.003874862593956397,-0.0015720281283557137,0.002067479083121418,0.002675292567829797,0.00044878209580759986,0.0,0.004046021949235013,0.0,0.009665026497401568,0.0016629074035983855,0.0,Alo,0.0,0.004523351900667735,0.04205210776535447,0.024049375460722156,-0.006205254899952407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.009623136322819742,-0.0015201301168919423,-0.28577958992876873,-0.0320530864523216,0.00459038507438355,-0.006444524973969329,-0.008061067049238039,-0.0013518402969906007,-2.7157028457001613e-07,-0.012206422918582325,0.0,-0.006910025926839444,-0.0049970890404989286,0.0,Rbias3,0.009437856102325276,-0.005358054137829256,0.07328651726004293,0.023168137374857345,0.002572049982604597,0.005292986044765761,0.00788241344774381,0.0013223296170282793,0.0,0.011913424667200289,0.0,0.006682502179267354,0.00490714562118482,0.0,
