Iteration No,alpha,fixed_alpha,Rd,W2,W1,L,Ibias,Alo,Rbias2,Rbias3,
1,0.1,0.02,1.4021796844958923,1.0694819737279622,1.0463254741781232,2.3029995805985495,0.830560828612864,1.4901154251336288,1.4793679668035653,1.4299256198598325,
2,0.02,0.02,1.4460299319979268,1.1210032970512258,1.0893076986122956,1.6593453335972703,0.7880815126339249,1.7321829030429243,1.3791474261980166,1.4996526004362074,
3,0.02,0.02,1.2915801847919686,1.0677577580619984,1.0730518839828553,1.6736925144947874,0.7682832516615969,1.8527927293186455,1.6350018644540725,1.3825601813296189,
4,0.02,0.02,1.344473703503123,1.0724412742065694,1.0474540572468511,1.8023305770496696,0.8047779735585621,2.0713006865765604,1.3816766976925745,1.3988791885420258,
5,0.02,0.02,1.4345630985932587,1.0816827405810463,1.090834190700959,1.9871649328517766,0.7574649532066193,1.4585551294298102,1.531511350946691,1.3689674460791332,
6,0.02,0.02,1.235660126354244,1.0845666773658043,1.0888386230611613,2.3257499078379142,0.7610240903942777,1.5107303252032613,1.4405506202262819,1.4038642141454702,
7,0.02,0.02,1.313828145324124,1.6624848715881548,1.0694418331162356,2.1744196844177095,0.8673741802947486,1.3891181788426064,1.3234089998582024,1.2763823935863619,
8,0.02,0.02,1.4033762614114689,1.348332852128435,1.4334880132932455,1.6263420919069218,0.9110912903394003,1.1608256246867255,2.5190854262431435,1.0227716386930938,
9,0.02,0.02,1.257029061181615,1.515323537480227,1.5541822745835827,1.3583565649910159,0.9137997343177366,1.1864863991638,2.040314277547733,1.2858560567748776,
10,0.02,0.02,1.3915246555621121,1.3976484390535056,1.517271046944857,1.3748803654977446,0.9186264305669939,1.1806405489281009,2.7231139723386226,1.0157356816187673,
11,0.02,0.02,1.5093228674635324,1.099180319491178,1.0444249387031754,1.7784050136254814,0.7961802458392379,1.5951025359652529,1.6089257973267272,1.415297293697579,
12,0.02,0.02,1.5205346606998207,1.1033946097533207,1.041723525517154,1.8210942752400745,0.7969800487623587,1.6421661666063923,1.4850533814037097,1.4317350413248755,
13,0.02,0.02,1.4969791942633335,1.1138936239636983,1.0482331168202847,1.7718754616672052,0.7976552253244605,1.6348258614981497,1.5327630025627688,1.4336665524796486,
14,0.02,0.02,1.5095241946559306,1.1059054697052688,1.0427174278983191,1.8155136892724004,0.8012035141015901,1.6329367577900473,1.5272630947646195,1.4195943022229989,
15,0.02,0.02,1.2035655842856767,1.7067111300605056,1.7728167213265698,1.2880643513131063,0.9354372725373852,1.0597737964178295,2.133613715034314,1.2173738365126068,
16,0.02,0.02,1.4349071637361246,1.149899393942369,1.049564565468286,1.9391343937536998,0.8520473657338403,1.4636556149363473,1.5785881994011113,1.5514134334673684,
17,0.02,0.02,1.5071226320986786,1.1252164772066655,1.0408565036535604,1.7389814756650952,0.7957389496648865,1.6223270775834322,1.5662816337515664,1.424776415989755,
18,0.02,0.02,1.4657501883499375,1.1214088892890919,1.0416456020328724,1.6586658926424656,0.8146471207145037,1.5870582559801851,1.8251367851575475,1.3964947925956053,
19,0.02,0.02,1.5046898054615947,1.127975515169174,1.0351902400483857,1.7191028972041131,0.7937825476024417,1.6253984854699066,1.5908928517582526,1.4224672214814125,
20,0.02,0.02,1.2562545798245566,1.5605779727974136,1.6028777110693593,1.2954967912273263,0.8597118511952785,1.0624240488154661,2.339583892262076,1.170381724695433,
21,0.02,0.02,1.468537501066695,1.1346500793034984,1.0486077978978618,1.5902601782488406,0.8043101375479231,2.2067745114145354,1.374507711594577,1.3504407814524717,
22,0.02,0.02,1.4744892041970512,1.1481729734658337,1.045723994152472,1.8568313526589226,0.8330383299853326,1.5656701246896252,1.772974627310148,1.2767702999875916,
23,0.02,0.02,1.6136826076267399,1.1118778619543936,1.0445493687087313,1.7107838177639099,0.7255411716292881,1.6332747047692657,1.4471813810058065,1.3881904295701428,
24,0.02,0.02,1.7746560296772267,1.1250112510432546,1.0373423985127248,1.5273754399107362,0.8467027203481485,1.9275876909984364,1.4532236307998552,1.341593335933301,
25,0.02,0.02,1.3070205668226809,1.5253088090767581,1.548608679539906,1.4329457473625271,0.822264938829995,1.0293177990610232,2.0812114967342414,1.195978773904879,
26,0.02,0.02,1.6006889721970272,1.1508765108329633,1.0685104729778871,1.7115933222877555,0.7119983855229794,1.5602220405858367,1.4248039849610383,1.343928976998815,
27,0.02,0.02,1.6158463207003273,1.1136400269230176,1.032122092663321,1.7052485136395283,0.7247166563337573,1.6580325980063186,1.369032972016709,1.4079389077742162,
28,0.02,0.02,1.660111626174992,1.0851275139997298,1.0433218560097122,1.741554366400544,0.6954070488647841,1.5979456902245557,1.422724692879939,1.3526878651841436,
29,0.02,0.02,1.6202362274333233,1.1221684534651268,1.033700429624693,1.7083916721936074,0.7133021259713406,1.6375458662740934,1.371776356095078,1.3858362697590743,
30,0.02,0.02,1.350334825882146,1.4698763867820013,1.4699375428132766,1.4877481006662676,0.7861717304252467,1.0462399677354437,1.990401618123452,1.1971930413869045,
