Iteration No,Rd,Ibias,C1,C2,Cload,L,W1,W2,Rbias1,Rbias2,Rbias3,mismatch,flo,frf,Alo,Temp,
1,827.5834113552685,0.0011839222978045159,2.491468e-12,2.540252e-12,1.95623356064492e-11,6.76941322988408e-08,0.00021294223484518403,7.759815837957176e-05,12649.502347703,17400.70644244642,8573.42708289282,0,1000000000.0,1010000000.0,0.3093343862134269,27,
2,828.6687080025586,0.0011817468514094384,2.491468e-12,2.540252e-12,1.92312872525151e-11,6.770834178357236e-08,0.00021289795375453228,7.750902198973586e-05,12649.502347703,17548.494184954685,8494.993250488918,0,1000000000.0,1010000000.0,0.3093343862134269,27,
3,829.6294021762714,0.001179741264272604,2.491468e-12,2.540252e-12,1.9206100285302912e-11,6.775305901759518e-08,0.00021285543910710798,7.742293414363264e-05,12649.502347703,17727.338910991082,8422.392525683485,0,1000000000.0,1010000000.0,0.3093343862134269,27,
4,830.6169905419052,0.0011777647413483046,2.491468e-12,2.540252e-12,1.9183860007179408e-11,6.783571758479444e-08,0.00021281517320053805,7.733522791721362e-05,12649.502347703,17881.841151092773,8348.597712957611,0,1000000000.0,1010000000.0,0.3093343862134269,27,
5,831.6552076469496,0.0011760118235734827,2.491468e-12,2.540252e-12,1.9161050749523026e-11,6.796205285629732e-08,0.00021277447799495313,7.724561970062974e-05,12649.502347703,18056.36545993893,8276.1918322394,0,1000000000.0,1010000000.0,0.3093343862134269,27,
6,832.5327121574671,0.0011743614032587132,2.491468e-12,2.540252e-12,1.9137130583502467e-11,6.815277135616963e-08,0.00021273525506706263,7.715458649855633e-05,12649.502347703,18223.775555113443,8201.75579207924,0,1000000000.0,1010000000.0,0.3093343862134269,27,
7,833.4441797882497,0.0011726032810877793,2.491468e-12,2.540252e-12,1.9116959702334485e-11,6.837030346099088e-08,0.0002126981485153375,7.695323086968374e-05,12649.502347703,18380.454949610124,8133.969664299359,0,1000000000.0,1010000000.0,0.3093343862134269,27,
8,834.392403512766,0.001170875227168366,2.491468e-12,2.540252e-12,1.9096053095281232e-11,6.855957704069966e-08,0.0002126502791766611,7.678843113412964e-05,12649.502347703,18683.45945023949,8079.6370116642665,0,1000000000.0,1010000000.0,0.3070597,27,
9,831.0430648995264,0.0011684523470350588,2.491468e-12,2.540252e-12,1.9074351878307854e-11,6.874523772238212e-08,0.00021171954150124656,7.646523811043014e-05,12649.502347703,18707.19147014627,8011.432623105125,0,1000000000.0,1010000000.0,0.3021917,27,
10,825.67451130901,0.0011668688874105317,2.491468e-12,2.540252e-12,1.915122691158457e-11,6.872279899066503e-08,0.00021061409261089354,7.627235344341994e-05,12649.502347703,18367.085402224915,8011.511696832625,0,1000000000.0,1010000000.0,0.30065065644736627,27,
11,823.8806822718435,0.0011684830614627406,2.491468e-12,2.540252e-12,1.9275748604564995e-11,6.893514710899067e-08,0.00021055697157114725,7.638431534201828e-05,12649.502347703,18266.03831631553,8031.212278577885,0,1000000000.0,1010000000.0,0.30148389175666396,27,
12,824.8607000961177,0.0011670292750870926,2.491468e-12,2.540252e-12,1.9317717542912526e-11,6.916528227390264e-08,0.000210523149011502,7.624861282648699e-05,12649.502347703,18446.220337473773,7954.928478463309,0,1000000000.0,1010000000.0,0.30148389175666396,27,
13,823.2857715957362,0.0011687944191407238,2.491468e-12,2.540252e-12,1.9294766143343915e-11,6.944079856133031e-08,0.00021050382931525575,7.63771873567092e-05,12649.502347703,18353.08652142669,7980.56802635234,0,1000000000.0,1010000000.0,0.30259194732953654,27,
