Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,L,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,Rd,-2.4923068501233608e-05,2.780669102548548e-05,0.0,0.0,0.0,-5.2729759526717734e-05,0.0,0.0,Ibias,161.0212475770328,45.415473302291765,0.0,0.0,0.0,115.60577427474088,0.0,0.0,L,-8243577.230214877,-9280327.230214879,0.0,0.0,0.0,1036750.0000000214,0.0,0.0,W1,-67.90434998277576,-120.85391358834237,0.0,0.0,0.0,52.949563605576415,0.0,0.0,W2,452.12907630672635,42.59928920939771,0.0,0.0,0.0,409.5297870973286,0.0,0.0,Alo,0.21620448132622505,0.21620448132622977,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.586578538768767e-05,-3.4839116144156143e-06,0.0,0.0,0.0,-1.2381873773271936e-05,0.0,0.0,Rbias3,3.376576649906972e-05,9.398519792551146e-06,0.0,0.0,0.0,2.4367246706518745e-05,0.0,0.0,
2,Rd,-5.479206008460399e-05,0.0,0.0,0.0,0.0,-5.479206008460399e-05,0.0,0.0,Ibias,98.46930006824773,0.0,0.0,0.0,0.0,98.46930006824773,0.0,0.0,L,-93434.98151474206,0.0,0.0,0.0,0.0,-93434.98151474206,0.0,0.0,W1,44.824362846299586,0.0,0.0,0.0,0.0,44.824362846299586,0.0,0.0,W2,660.2605148099778,0.0,0.0,0.0,0.0,660.2605148099778,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.769554592616353e-05,0.0,0.0,0.0,0.0,-1.769554592616353e-05,0.0,0.0,Rbias3,3.557737145844849e-05,0.0,0.0,0.0,0.0,3.557737145844849e-05,0.0,0.0,
3,Rd,-5.415915861983306e-05,0.0,0.0,0.0,0.0,-5.415915861983306e-05,0.0,0.0,Ibias,93.46333342734718,0.0,0.0,0.0,0.0,93.46333342734718,0.0,0.0,L,-291396.8867095797,0.0,0.0,0.0,0.0,-291396.8867095797,0.0,0.0,W1,43.70638531700896,0.0,0.0,0.0,0.0,43.70638531700896,0.0,0.0,W2,671.0186590521938,0.0,0.0,0.0,0.0,671.0186590521938,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.7760213310336943e-05,0.0,0.0,0.0,0.0,-1.7760213310336943e-05,0.0,0.0,Rbias3,3.6383195476018666e-05,0.0,0.0,0.0,0.0,3.6383195476018666e-05,0.0,0.0,
4,Rd,-5.336117534392273e-05,0.0,0.0,0.0,0.0,-5.336117534392273e-05,0.0,0.0,Ibias,88.23121064954643,0.0,0.0,0.0,0.0,88.23121064954643,0.0,0.0,L,-499534.6408080204,0.0,0.0,0.0,0.0,-499534.6408080204,0.0,0.0,W1,42.42315835516377,0.0,0.0,0.0,0.0,42.42315835516377,0.0,0.0,W2,682.1622118069013,0.0,0.0,0.0,0.0,682.1622118069013,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.779144639720598e-05,0.0,0.0,0.0,0.0,-1.779144639720598e-05,0.0,0.0,Rbias3,3.718302121932802e-05,0.0,0.0,0.0,0.0,3.718302121932802e-05,0.0,0.0,
5,Rd,-5.244896323584544e-05,0.0,0.0,0.0,0.0,-5.244896323584544e-05,0.0,0.0,Ibias,83.4164893470395,0.0,0.0,0.0,0.0,83.4164893470395,0.0,0.0,L,-690786.5305828558,0.0,0.0,0.0,0.0,-690786.5305828558,0.0,0.0,W1,41.18597310607589,0.0,0.0,0.0,0.0,41.18597310607589,0.0,0.0,W2,692.5692396915805,0.0,0.0,0.0,0.0,692.5692396915805,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.781891457975096e-05,0.0,0.0,0.0,0.0,-1.781891457975096e-05,0.0,0.0,Rbias3,3.794230011925962e-05,0.0,0.0,0.0,0.0,3.794230011925962e-05,0.0,0.0,
6,Rd,-5.1337380692655514e-05,0.0,0.0,0.0,0.0,-5.1337380692655514e-05,0.0,0.0,Ibias,78.4048239581637,0.0,0.0,0.0,0.0,78.4048239581637,0.0,0.0,L,-887701.2606956584,0.0,0.0,0.0,0.0,-887701.2606956584,0.0,0.0,W1,39.78390679073809,0.0,0.0,0.0,0.0,39.78390679073809,0.0,0.0,W2,703.3408523429417,0.0,0.0,0.0,0.0,703.3408523429417,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.782224671482078e-05,0.0,0.0,0.0,0.0,-1.782224671482078e-05,0.0,0.0,Rbias3,3.870499941194854e-05,0.0,0.0,0.0,0.0,3.870499941194854e-05,0.0,0.0,
7,Rd,-5.004608154318199e-05,0.0,0.0,0.0,0.0,-5.004608154318199e-05,0.0,0.0,Ibias,73.48674757236404,0.0,0.0,0.0,0.0,73.48674757236404,0.0,0.0,L,-1076918.7890604266,0.0,0.0,0.0,0.0,-1076918.7890604266,0.0,0.0,W1,38.33403164619129,0.0,0.0,0.0,0.0,38.33403164619129,0.0,0.0,W2,1017.3082840832691,0.0,0.0,0.0,0.0,1017.3082840832691,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.7824242787541222e-05,0.0,0.0,0.0,0.0,-1.7824242787541222e-05,0.0,0.0,Rbias3,3.947447451589189e-05,0.0,0.0,0.0,0.0,3.947447451589189e-05,0.0,0.0,
8,Rd,-4.8635530708605416e-05,0.0,0.0,0.0,0.0,-4.8635530708605416e-05,0.0,0.0,Ibias,68.97047049448626,0.0,0.0,0.0,0.0,68.97047049448626,0.0,0.0,L,-1244838.7046952252,0.0,0.0,0.0,0.0,-1244838.7046952252,0.0,0.0,W1,36.90676225813434,0.0,0.0,0.0,0.0,36.90676225813434,0.0,0.0,W2,1031.9904583926368,0.0,0.0,0.0,0.0,1031.9904583926368,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.78017900480173e-05,0.0,0.0,0.0,0.0,-1.78017900480173e-05,0.0,0.0,Rbias3,4.014644920957284e-05,0.0,0.0,0.0,0.0,4.014644920957284e-05,0.0,0.0,
9,Rd,0.00019135642968574272,0.0,0.0,0.0,0.00023803710395365585,-4.668067426791423e-05,0.0,0.0,Ibias,96.70071178101638,0.0,0.0,0.0,33.393368453527785,63.30734332748939,0.0,0.0,L,-1453917.9543191353,0.0,0.0,0.0,0.0,-1453917.9543191353,0.0,0.0,W1,662.1607475568635,0.0,0.0,0.0,627.2207511046273,34.939996452237885,0.0,0.0,W2,1808.568755096438,0.0,0.0,0.0,763.6847951695661,1044.8839599268647,0.0,0.0,Alo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-1.6660692623198982e-06,0.0,0.0,0.0,1.5909904870018375e-05,-1.7575974132338274e-05,0.0,0.0,Rbias3,4.062620629195648e-05,0.0,0.0,0.0,0.0,4.062620629195648e-05,0.0,0.0,
10,Rd,0.00023373055914873897,0.0,0.0,0.0,0.0002793118311669126,-4.5581272018172686e-05,0.0,0.0,Ibias,124.07099409091911,0.0,0.0,0.0,63.12713088529168,60.94386320562777,0.0,0.0,L,-1369618.1446940466,0.0,0.0,0.0,172670.50704011566,-1542288.651734181,0.0,0.0,W1,846.978207234117,0.0,0.0,0.0,812.6875605204547,34.29064671366237,0.0,0.0,W2,2234.955160483139,0.0,0.0,0.0,1180.1621330486214,1054.7930274345154,0.0,0.0,Alo,-0.23586948509258393,0.0,0.0,0.0,-0.23586948509258335,0.0,0.0,0.0,Rbias2,2.457970344312203e-07,0.0,0.0,0.0,1.784437673173022e-05,-1.7598579697299058e-05,0.0,0.0,Rbias3,4.104810653389692e-05,0.0,0.0,0.0,-6.064585705226054e-08,4.110875239094907e-05,0.0,0.0,
