Iteration No,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,0.0004774136,15.90671403884771,0.18692838789087318,56.804789249002425,14.641332971342575,0.002215297,0.009799222,0.05287772,0.3299657,0.04088784,9999000.0,0.005176924,0.006499936,3.0,
2,0.0004657549,15.948330545046613,0.1147424926796532,56.00933197593119,14.681951210255505,0.002189601,0.009541653,0.05285692,0.3299025,0.03923133,9999000.0,0.005060561,0.006802795,3.0,
3,0.0004533242,15.984429402727647,-0.09479770447610747,55.64880834048819,14.726260785728089,0.002162426,0.009267385,0.05284414,0.3298679,0.03749362,9999000.0,0.004936563,0.007141765,3.0,
4,0.0004415036,16.012415544418875,0.18051520261397513,55.67927734730179,14.766949761077317,0.002136576,0.009007394,0.05284199,0.3298618,0.03587701,9999000.0,0.004818781,0.007476706,3.0,
5,0.0004289023,16.03606289933655,0.4937992922343284,55.785804792491035,14.80842933383196,0.002109329,0.008730648,0.05285157,0.3298959,0.03418037,9999000.0,0.004693291,0.007851654,3.0,
6,0.0004161549,16.0572546519329,0.6726130747220225,56.710225512830846,14.847462984545889,0.00208192,0.008451273,0.05287794,0.3299794,0.03248723,9999000.0,0.004566664,0.008252376,3.0,
7,0.0004038578,16.073153111056136,0.8805019604914435,57.90910147966099,14.884679839119013,0.002055318,0.008183121,0.05291127,0.3300757,0.03091336,9999000.0,0.004443994,0.008644858,3.0,
8,0.0003874921,16.05951776689387,1.4043584382779528,62.03127864473484,14.963840897088879,0.002020165,0.007829178,0.05293537,0.3301532,0.02898297,9999000.0,0.004278995,0.009138684,3.0,
9,0.0003797493,16.004914096066113,1.9997758285357747,72.74426403353002,15.04143685138846,0.002002381,0.007659125,0.05298682,0.3303662,0.02811094,9999000.0,0.004201086,0.00936978,3.0,
10,0.000391796,15.999578238234381,2.0604594798678164,73.51626659920248,15.01303101266423,0.002025847,0.007915665,0.05302456,0.3305508,0.02951529,9999000.0,0.004323463,0.008996913,3.0,
11,0.0003971414,16.043555020550855,1.8799915702922192,68.37135789144634,14.971833759538649,0.002038384,0.008025809,0.0530929,0.3307742,0.02990691,9999000.0,0.004381051,0.008942266,3.0,
12,0.0003829759,16.03124121257028,2.0969528055762936,75.28839258385685,15.01686115006592,0.002008304,0.007719595,0.05313049,0.3308821,0.02824285,9999000.0,0.004238653,0.009388341,3.0,
13,0.000388385,16.08695367510388,1.8214801666781568,67.99601939778864,14.968118505157118,0.002021079,0.007829709,0.05321378,0.3311407,0.02858541,9999000.0,0.004297791,0.009354872,3.0,
14,0.0003736595,16.073432703249672,2.0473226510692086,75.13781914075335,15.01430632663688,0.001989923,0.007512722,0.05325707,0.33126,0.0269263,9999000.0,0.004149242,0.00981926,3.0,
15,0.0003848991,15.999119928442553,2.363889226963181,82.28774883018966,15.028899814726525,0.002009557,0.007751563,0.05325976,0.3314091,0.02839917,9999000.0,0.004259176,0.009364113,3.0,
16,0.0003915622,16.0791672320435,2.0832901874254333,74.3592930540029,14.96605487588155,0.002024747,0.00788705,0.05336978,0.3317317,0.02881523,9999000.0,0.004332281,0.009325585,3.0,
17,0.0003765171,16.05936265018939,2.2803071867290896,88.84971229983046,15.013745821446749,0.001992923,0.007563181,0.05340927,0.3318372,0.02712925,9999000.0,0.004180493,0.00979321,3.0,
18,0.0003826825,16.108404377434905,2.08460550608811,75.83812622092842,14.969002065947045,0.002007175,0.007689783,0.05347731,0.3320418,0.02758851,9999000.0,0.004246699,0.009715975,3.0,
19,0.0003671957,16.08629639658693,2.9770051653849947,83.51163037768572,15.017954577287107,0.001974527,0.007357844,0.05352152,0.3321561,0.02591861,9999000.0,0.004089876,0.01019677,3.0,
20,0.000379942,16.022765222351634,3.239387359432115,75.46188450977235,15.021002150459202,0.00199764,0.007628505,0.05351408,0.3322558,0.02747469,9999000.0,0.004217199,0.009707365,3.0,
21,0.0003857298,16.093852180197786,2.342251044945158,82.43456944752901,14.963386523628547,0.002010958,0.007745699,0.05360408,0.3325173,0.02785044,9999000.0,0.004280404,0.009664268,3.0,
22,0.0003698174,16.068521241886486,3.197681633473394,76.10941752500588,15.013231527273515,0.001977277,0.007404339,0.05365114,0.3326343,0.02612561,9999000.0,0.004119435,0.01015921,3.0,
23,0.0003754376,16.11065676235674,3.1075761722536015,83.86721652119417,14.973728752086826,0.001989863,0.007518809,0.05372029,0.3328385,0.02653885,9999000.0,0.004180019,0.01008722,3.0,
24,0.0003605814,16.083146519862645,3.178137540678023,73.60854666805983,15.021830340084998,0.001958477,0.007202021,0.05376165,0.3329354,0.02500357,9999000.0,0.004028888,0.01053963,3.0,
25,0.0003721541,16.008778602626993,3.4145917972697504,68.48519139738647,15.029329028480108,0.001979367,0.007446829,0.05374471,0.3330172,0.0263909,9999000.0,0.00414442,0.01008182,3.0,
26,0.0003784998,16.085268906275893,3.3286484850770677,73.09030677012018,14.969781234001013,0.001993606,0.007575441,0.0538352,0.3332617,0.02681965,9999000.0,0.004213434,0.01002191,3.0,
27,0.0003634141,16.05680771798836,3.3410717062490676,69.09059275696407,15.017608968079209,0.001961975,0.007252994,0.05388319,0.3333764,0.02523757,9999000.0,0.004060156,0.01048981,3.0,
28,0.0003693877,16.11003570875845,3.280804343064972,72.23181955182548,14.97203739261482,0.001975203,0.007373871,0.05396256,0.3335921,0.02565619,9999000.0,0.004124856,0.0104205,3.0,
29,0.0003541154,16.079894753365675,3.259805816008395,68.59808245176575,15.020600439789543,0.001943269,0.007048848,0.05401562,0.3337149,0.02411122,9999000.0,0.003969126,0.01089371,3.0,
30,0.0003657284,15.993050300705764,3.494779295706408,65.52253572207778,15.031802333851253,0.001964141,0.00729446,0.05398192,0.3337551,0.025478,9999000.0,0.004084874,0.01042154,3.0,
