Iteration No,Rd,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Ibias,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,L,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W1,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,W2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Alo,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias2,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,Rbias3,Io,conv_gain_db,iip3_dbm,iip2_dbm,nf_db,p_src,gm1,vdsat1,vg1,vd1,bb_BW,gm2,gds1,region,
1,Rd,-0.0018996107358483076,-0.0018066381099116485,-0.8810078504459062,0.011123218061261785,0.0004249314391609564,-0.0008188518288970533,-0.0020732258132328658,-2.137005907217563e-05,-3.030618029309241e-07,-0.003419109446720649,0.0,-0.0018014558452085587,0.003980346883415422,0.0,Ibias,0.004883815626534401,-0.00196999111091381,-0.9487949808177867,0.00868898007005133,-0.001266666795342004,0.00744911404655892,0.0033658794545118297,0.0012614008319571253,0.0013565046306329657,-0.007638701384078971,0.0,0.004477948681495047,0.019106803513142263,0.0,L,-0.0002649694101717798,0.003233190050201097,-0.7190672600967171,0.008828728335503466,-0.0018677152826205746,-0.00011420590557382237,-0.0014046013040626534,0.0030863660536043403,0.0014959130600545405,-0.020711047587742462,0.0,0.001675319166362079,0.035359117382078725,0.0,W1,0.0003998629280775535,0.00024714857479345024,-0.44160893644742244,-3.177477015212029e-05,-0.00017678696859787534,0.00017243737521412537,0.0014826687261499914,-0.0013243763157716642,-0.0013734760916058457,-0.0006258584459340221,0.0,0.0003664338128200909,0.0005487746340886217,0.0,W2,0.00214635695338391,-0.00015351316808937608,-0.43179324503077465,0.0006266903972750941,-0.0005742447236938502,0.0009249324131254758,0.002343655445299739,2.4017677010235345e-05,3.030618030991572e-07,0.0038798821361070075,0.0,0.0028988256346819154,-0.00449589042107493,0.0,Alo,0.0,-0.0019573826715614897,-0.7196133973229067,0.016235362582534073,-0.002335187135834341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.012899297380719718,0.001438910106487272,-0.37913954401649885,-0.008922853840451397,0.0013035377892488464,-0.005789291458436572,-0.014062749063139916,-0.00014278225309264468,-2.4244944246250247e-06,-0.022956458448282042,0.0,-0.011842167279257056,0.027059497201203174,0.0,Rbias3,0.01277801889179532,-0.0016280384106692012,-0.7000886690714038,0.009578640702899693,-0.001628503010741221,0.005393859152971278,0.013967435373951191,0.00014524075546366264,2.4244944247932577e-06,0.023358289408293403,0.0,0.011709849323652311,-0.02672826317059125,0.0,
2,Rd,-0.0019271938953299612,-0.0013488469061079483,-0.026257724367293126,0.007529499692704988,0.0005766694767019365,-0.000819784061114216,-0.0020976449258844313,-1.9864948619829493e-05,-3.0311986117982e-07,-0.003371030245469639,0.0,-0.0018270701607983938,0.0037788879423824783,0.0,Ibias,0.004742837917539844,-0.0016065170639521706,-0.3139202133982046,0.005418245321160368,-0.0011046800453230453,0.00741459288701471,0.0032147469626069643,0.0012617080223365491,0.0013564613787406569,-0.007632675211368184,0.0,0.004354062721504547,0.018713484677988966,0.0,L,-0.0008472267280494771,0.003450972718640737,-0.13897137675663615,0.0059252747267340275,-0.0017199484439360156,-0.0003603396235203299,-0.0020402125292127518,0.003091364385212022,0.0014952902751571445,-0.021144070313190978,0.0,0.0011528366123834295,0.035107040562004185,0.0,W1,0.0003995663813735103,0.0002768217342092001,-0.09121761850717416,0.00021667372125449606,-1.916950188856627e-05,0.00016989396698312588,0.0014943951535440563,-0.001322059628143322,-0.0013734360909662222,-0.0006431084543909442,0.0,0.0003667577566992539,0.0005909335795065917,0.0,W2,0.0022333635137279663,-0.00010708091575717915,-0.03519233461777297,0.0005242754198977614,-0.00042206880122407607,0.0009504014658379,0.0024317589415585976,2.345955837002184e-05,6.0623972235964e-07,0.0039223753056548205,0.0,0.0029714096915341723,-0.004378200430852404,0.0,Alo,0.0,-0.0015608617867488687,0.30674278042289405,0.012578703521532222,-0.0022079934680658457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.013383219371390432,0.0010987311675166036,-0.36709974855623334,-0.0077577458462442595,0.001477905037915716,-0.005926193859063644,-0.014548422584640201,-0.00013735193045682546,-2.121839028090475e-06,-0.023151139663121267,0.0,-0.012301600553772588,0.026252150770381802,0.0,Rbias3,0.013272002076628648,-0.001294151610708486,0.03814635822087599,0.007184896292324157,-0.0014931094130729286,0.005532971532256353,0.014468142993671948,0.00014018978025960197,2.42495888943856e-06,0.02356483963199816,0.0,0.012178294066606558,-0.026000489504681572,0.0,
3,Rd,-0.0019531275850705313,-0.0008710304601101798,-2.0877425783376364,0.0010811535367142794,0.0005794689686924407,-0.0008189875630425291,-0.0021188285584336853,-1.8734338376957687e-05,-3.031516555653811e-07,-0.0033146972738294527,0.0,-0.0018512880317743383,0.0035550035600444238,0.0,Ibias,0.00459229840365895,-0.0012313177193551258,-1.0630963019410395,-0.0028428058762249944,-0.0010914144640869457,0.007381061825930737,0.0030545833587361693,0.001262580865163087,0.0013566036586160387,-0.007623697044990469,0.0,0.004221155488140322,0.018269853460594152,0.0,L,-0.001493191848129882,0.0036808979125793058,-1.4001183825590926,-0.0017375373357080095,-0.0017181352675074125,-0.0006261485942177221,-0.0027392840590952866,0.0030974106116591054,0.0014918092969943282,-0.02158873963090258,0.0,0.0005686142362612416,0.03468526337677037,0.0,W1,0.0003983903793354706,0.00030901469997368435,0.2653546336031874,-9.252948156138572e-05,-1.5755050977064513e-05,0.00016694212888689438,0.0015076529139558769,-0.0013208654734469115,-0.0013735801513271952,-0.0006617125793668392,0.0,0.0003660441485301354,0.0006349970910553376,0.0,W2,0.0023301204744859824,-5.653201994557623e-05,0.3626311367828089,0.00021126931375850172,-0.00042396343155921417,0.0009771432640932924,0.0025291924313061453,2.2329817459483692e-05,3.031516555653811e-07,0.003970275476201036,0.0,0.0030533389323705576,-0.004241668551121441,0.0,Alo,0.0,-0.0011272140701750687,-2.486986575670349,0.006444081742517449,-0.0022321991011973385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.013914765635719487,0.0007402944413867996,-1.6895306853783565,-0.000926160045761704,0.0014960952255325018,-0.006070034304064058,-0.015076529139557647,-0.00013208654734463862,-2.4252132443547656e-06,-0.02336450841503163,0.0,-0.012807291226709707,0.02532301188851777,0.0,Rbias3,0.013816601893302801,-0.0009389234961732919,-1.632004101129897,-0.0009172239721084786,-0.001510001175809849,0.0056801943742815185,0.015014267778882748,0.0001345466119801479,2.4252132445230486e-06,0.023790980972229373,0.0,0.012693649407492649,-0.025149525362427917,0.0,
4,Rd,-0.0019734833419251686,-0.0004426308409085974,-1.2868321140691001,-0.003664684012202638,0.0005846535940329285,-0.0008157912473040028,-0.002134024558046537,-1.7410396542625953e-05,-3.031572616255522e-07,-0.0032569603765754637,0.0,-0.0018701825212642123,0.003338101030052576,0.0,Ibias,0.004450473337023766,-0.0008984637557156086,-1.2449761655538367,-0.003769233044614494,-0.0010768451071827255,0.0073514819973641106,0.002904058598968812,0.0012649031575078563,0.0013563255884738465,-0.007612674523322921,0.0,0.004095641615586881,0.01783459186438527,0.0,L,-0.0021227459979940547,0.0038833820218158177,-0.9431461509112957,-0.0023947874380243813,-0.0017097480373872251,-0.0008771043014616843,-0.0034159713675231632,0.003104160157480869,0.001485470581922461,-0.021981207464055776,0.0,-5.603076794843663e-06,0.034140301892303916,0.0,W1,0.00039705225506663774,0.00033651256915676194,-0.13628406858506212,-0.0009910834906077968,-1.430187996205999e-05,0.00016428154205607346,0.0015209726586846507,-0.0013207299725086078,-0.0013733023951242043,-0.0006792650781099852,0.0,0.0003652375984714715,0.000675564881112178,0.0,W2,0.00242625428195833,-1.0379559258922196e-05,-0.16859291587505756,-0.0006989299350865018,-0.00042705366289610904,0.0010030066798466441,0.0026248435452030047,2.1762995678216785e-05,3.031572616255522e-07,0.004019287003013827,0.0,0.003135647791422686,-0.004104882551219663,0.0,Alo,0.0,-0.0007244306559622858,-1.1350708244747096,0.0007001011846593285,-0.002253326302781607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.014434083889689583,0.00041759493081079777,1.4212465386934103,-0.003289307819518825,0.0015099268356208045,-0.006204319434459474,-0.015588304452986129,-0.0001266038618151341,-2.1221008312105793e-06,-0.02357749433411541,0.0,-0.013301704310696062,0.024398712481138174,0.0,Rbias3,0.014349373368643082,-0.0006133607905984858,-0.9265285546758153,-0.0012427255406685805,-0.0015254757216140807,0.005817719566259445,0.015543674452344428,0.00012944251342542195,2.1221008313788653e-06,0.024014821747966195,0.0,0.013199188757488685,-0.024290108505002014,0.0,
5,Rd,-0.001990896295030286,-2.533912732888634e-05,-0.24922529363081844,-0.004079441914490524,0.000592983396795548,-0.0008097361767652199,-0.0021450870542485323,-1.6271985865289565e-05,-3.031259254900578e-07,-0.003191305418870669,0.0,-0.0018865226980385363,0.003104441433613872,0.0,Ibias,0.00429958058047255,-0.0005768084518262088,-0.2908236234749742,-0.010632938597983844,-0.0010583868752691184,0.007323656006246506,0.002744126209188513,0.0012684580609430786,0.0013561853906034803,-0.00759909854691454,0.0,0.003961399367735867,0.01735838079467074,0.0,L,-0.0028132280941370632,0.004074185040181836,-0.24479186466864306,-0.008124517957915207,-0.001693582509725111,-0.001143965687666625,-0.0041535290393107036,0.00311230111044944,0.0014759201311685195,-0.02237424580248848,0.0,-0.0006396364512661469,0.03342454978275918,0.0,W1,0.0003947285897044584,0.00036565147110979493,-0.0367696474208871,-0.0016123510685030265,-1.3215492498743669e-05,0.00016024053146754293,0.001536083003231791,-0.0013220042469883043,-0.001373160442430587,-0.0006980614896796186,0.0,0.0003634975968889685,0.0007174284552018824,0.0,W2,0.0025334440967092293,3.536320973828071e-05,-0.034356268316058806,-0.0019275112806159502,-0.0004306293038903792,0.001030185428636237,0.002731183298192731,2.0813005176514845e-05,3.031259254900578e-07,0.004075731187228127,0.0,0.003229077421365989,-0.003952288269452562,0.0,Alo,0.0,-0.00031399957208353904,-0.5097284230784185,1.7539511953447083e-05,-0.0022746983860294136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.015005981548711671,9.470442278546651e-05,0.21370474727855365,0.009644361511881028,0.0015245175777259504,-0.006345619862999026,-0.01614759866621597,-0.00012109384830012855,-2.1218814784304044e-06,-0.02381630157894732,0.0,-0.013846360688054327,0.023372654984542232,0.0,Rbias3,0.014937201316010711,-0.0002843466146011848,-0.17060137279175616,-0.007580091424835965,-0.0015416278952986233,0.005962085573184562,0.016122972773613117,0.00012355356709361045,2.121881478262136e-06,0.024265389754411698,0.0,0.013756871244506426,-0.02332489434710186,0.0,
6,Rd,-0.0020023794024772766,0.00034832190167319354,-0.28333024996272854,-0.017470143455369094,0.000605386321880296,-0.0008007031970490388,-0.0021493803359565523,-1.494006763501968e-05,-3.0304922065703364e-07,-0.003118456082589999,0.0,-0.0018974463634722667,0.0028660836588152317,0.0,Ibias,0.004147494118175749,-0.000293248786383218,-0.29296835843279556,-0.015153309820685598,-0.00103526099409104,0.0072990316630801725,0.0025824511881227387,0.0012740662741401064,0.0013558422131807084,-0.007583595154157365,0.0,0.003825768657383115,0.016868717566916342,0.0,L,-0.0035272923615701423,0.004226937828140475,-0.24618017809953088,-0.012220818039511291,-0.0016663947350723254,-0.0014102367045805112,-0.004913697616915377,0.0031219067913766108,0.0014619094404076422,-0.022728007281630415,0.0,-0.0013011686430182076,0.03255135248321201,0.0,W1,0.0003919213735077936,0.0003909001689083514,-0.030666697106564732,-0.0018221695572217679,-9.837889341544663e-06,0.00015658622809700272,0.0015529021485875293,-0.0013251272647913,-0.0013728129695368292,-0.0007168970700180409,0.0,0.00036131407959959596,0.0007575999930201912,0.0,W2,0.0037721531093349767,0.00028168708747345917,-0.04120437541815142,0.11916764183729783,-0.0007171823753994229,0.0015082231786043654,0.0040518156258826064,2.8178102248306664e-05,3.0304922065703364e-07,0.005899241024858123,0.0,0.00409379801097694,-0.005403292336655601,0.0,Alo,0.0,7.248681147721355e-05,-0.23276527560577023,-0.013675889760972457,-0.00229381636052388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.015610773776783583,-0.0002059862196017025,0.2129903330627042,0.013617102290070054,0.0015433951262332015,-0.006487280971410973,-0.016735940254207812,-0.00011536001591580532,-2.1213445444310095e-06,-0.024080846535700216,0.0,-0.014422125210000018,0.0223106654374449,0.0,Rbias3,0.015559590911941671,2.0378128483282638e-05,-0.1950153626172498,-0.011561421703324047,-0.0015559922283024648,0.0061087841992005796,0.016732745469232854,0.00011762939327820306,2.1213445445992357e-06,0.02454195079112626,0.0,0.014347453633549641,-0.022315997235220607,0.0,
7,Rd,-0.002007389729751368,0.00037499754282987156,-0.10083383730773503,-0.008706283332684759,0.002332144439389356,-0.0007891722838023938,-0.002147346959674728,-1.379668263499134e-05,-3.029608056663231e-07,-0.003044638305250533,0.0,-0.0019023428024429723,0.002643074067844739,0.0,Ibias,0.004005122595131364,-0.0003988382700340551,-0.09551480986087234,-0.004625674014354299,0.000705615367935576,0.007278679017066974,0.0024308573709224783,0.0012802565502585117,0.0013557496053177788,-0.007568248808929272,0.0,0.0036982498176191076,0.016404549386467654,0.0,L,-0.004214849880329112,0.003966061954911814,-0.049328854703612035,-0.0011698431071602462,7.460944785195123e-05,-0.00165667794472688,-0.005641001764485632,0.003131279971166718,0.0014460319254036521,-0.02303922964051787,0.0,-0.0019414967706977346,0.031631288796183904,0.0,W1,0.00038875069393244985,-7.386362113742476e-05,0.1622638382570524,0.016502641975255944,0.0017014038643641308,0.00015228786980897815,0.001569450091230501,-0.0013288284329596317,-0.0013724124496290902,-0.0007346338282219135,0.0,0.00035868635286199645,0.0007944607071625875,0.0,W2,0.003932819918297991,-0.0001453053951755742,0.15346059975564272,0.014860745626335563,0.000978785747299878,0.0015452596629816572,0.004209151984921131,2.7026378312157536e-05,6.059216111644692e-07,0.005988025889130096,0.0,0.0042369544153301264,-0.005182040005746816,0.0,Alo,0.0,0.00013713040178700925,-0.0676071265953152,-0.006135168263509833,-0.0006067888787514837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.016203970803584735,-0.0011191881637922574,0.3837822139801716,0.041729807105633086,0.00328431264067987,-0.006618440552751474,-0.01731014364812638,-0.00010999546977427682,-2.1207256396642617e-06,-0.02435128371681375,0.0,-0.014986968929300942,0.021294623925575195,0.0,Rbias3,0.016171533643772624,-4.653212027562213e-05,-0.010467890217738857,-0.0002062850728323926,0.00012384062779880682,0.0062433161194520494,0.01732822965711979,0.00011226341760452826,2.1207256394960846e-06,0.02482421839618862,0.0,0.014927562908500775,-0.021342166638249078,0.0,
8,Rd,-0.0020103635661217712,-0.000630308129660454,0.07130105167218853,0.02323851126711904,0.004407394869984071,-0.0007712241326822453,-0.0021401991371251044,-1.2279124524959651e-05,-3.028896887956124e-07,-0.002952423440385857,0.0,-0.0019053539440918859,0.002374849595412358,0.0,Ibias,0.0038258844502893808,-0.0015904658195975666,0.07281477353851883,0.030351691407991863,0.0028083714188907017,0.007263268099388022,0.002245829638820521,0.0012859077021658007,0.0013554313573215257,-0.007551331005759633,0.0,0.003538213996510931,0.015826567588944,0.0,L,-0.005144879082696087,0.002587658427916662,0.1039690359080877,0.03741891421207042,0.0021755949480263296,-0.001973601166241372,-0.006609122950072078,0.0031417556918936413,0.0014323653382732572,-0.023552796694058617,0.0,-0.002803462027882769,0.030545207603195474,0.0,W1,0.0003834916892498893,-0.0017480472040628755,0.24341789204698056,0.07483657195042387,0.0037534416111184962,0.00014701769409935876,0.0015868843446911621,-0.0013316238273199837,-0.0013720902902046117,-0.0007576863240724268,0.0,0.00035475619859332203,0.000841040132255345,0.0,W2,0.004141245718299845,-0.001766937552624825,0.24176775618171364,0.07192230800236865,0.0030042705489588457,0.0015889791180423473,0.004411574241893606,2.569170669816537e-05,6.057793775912248e-07,0.006104964398058599,0.0,0.00442300119537411,-0.004897422867450058,0.0,Alo,0.0,-0.0007725049148585119,0.09714601240325828,0.026006772445356586,0.0014053545535803577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.01694899070200401,-0.0034353342912318134,0.34880874312422183,0.12809068887198516,0.005396135446832586,-0.006755883801570557,-0.018021048953031738,-0.00010352246522508768,-1.8173381326055366e-06,-0.0246782852136962,0.0,-0.01570064933471532,0.019980119675874614,0.0,Rbias3,0.016942022818013602,-0.0011429781992788382,0.13886827197930832,0.03845695071948305,0.0021161227096870385,0.006388587070858088,0.01806779715571694,0.00010578938052184197,2.1202278215692867e-06,0.025165467859229056,0.0,0.015663491076759784,-0.020070832955817228,0.0,
9,Rd,-0.0019950003857809213,0.0006700916359316509,-0.04520305067020297,-0.028265054368496,0.002314807047980492,-0.0007570986740285776,-0.002120085518907188,-1.1701023009114105e-05,-3.026944039761803e-07,-0.002888555131916614,0.0,-0.001891177662156798,0.0022394335832858895,0.0,Ibias,0.0037503689934385454,-0.00037877233732279246,-0.0487760781876079,-0.017616691460920084,0.0007355784388148356,0.007257859518243397,0.0021618657483720204,0.001293151768685165,0.0013548601521584,-0.007534077480155409,0.0,0.0034700551238418674,0.015558316203795705,0.0,L,-0.005583947093516681,0.003686284935367721,-0.026368977792342603,-0.0016418096706674993,0.0001183757426707005,-0.0021179785465405003,-0.00708122664142445,0.003156634045976007,0.0014211502266273353,-0.023740935023873342,0.0,-0.003217025312026351,0.029954918898843032,0.0,W1,0.0003823575184996154,-0.0008446708124360209,0.06403826157756,0.08514951187332857,0.0017158783372607886,0.0001448275827627272,0.0016016189838917413,-0.0013359926109925864,-0.0013706002611646574,-0.0007680283903705065,0.0,0.00035348002873559884,0.0008609593821840524,0.0,W2,0.0042478024317622355,-0.0007482554460539704,0.06502162373810011,0.07202021813536563,0.0008999277735638588,0.0016110820068707386,0.004515920552282338,2.4911855438881568e-05,3.026944039761803e-07,0.006171262860651411,0.0,0.00451835549188965,-0.004772150466713148,0.0,Alo,0.0,0.0005590411823853394,-0.023076759712852814,-0.02493646117141331,-0.0007060093446548311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.01733880747113963,-0.002739654236380217,0.12711785190944916,0.2394667999109329,0.003328985543243687,-0.006833864284569179,-0.018399882493104616,-0.0001005910526428617,-2.118860827833262e-06,-0.02488995387560861,0.0,-0.016072034707216118,0.019416250968539352,0.0,Rbias3,0.017345127430122967,0.00011526957026486968,0.0037745578922004754,-0.00039544141546916364,-4.8452172732402415e-06,0.006467800083999878,0.018460594389045713,0.00010266704059617822,1.8161664238570817e-06,0.025386201955537587,0.0,0.01604513690031583,-0.01952383086902779,0.0,
10,Rd,-0.0019785806899508037,0.0018529783580520385,-0.10845783919262889,-0.07529683260916631,0.0007190894238948374,-0.0007656056948031167,-0.002110372280787595,-1.2635654119548096e-05,-3.025253607096869e-07,-0.002930684401203572,0.0,-0.0018744233499857015,0.0024080481827487756,0.0,Ibias,0.0038902898447152317,0.0008427595235671043,-0.10941421197402412,-0.06746398540504558,-0.0008758124705812776,0.007264122117810537,0.00229759596951101,0.001295437435030167,0.001354708565219017,-0.007531689507370525,0.0,0.0035948035174581893,0.015969032933851778,0.0,L,-0.004883408712697357,0.0049294676115053115,-0.08492138121474663,-0.056211242272421226,-0.0014872968877841597,-0.0018890863920128637,-0.006373816981896107,0.003153444366157889,0.0014197515177697523,-0.02327878194657751,0.0,-0.0025738626651829813,0.030668741600591257,0.0,W1,0.00038719129342824877,0.0004081048760526347,0.0061568993071529415,-0.0023660347304252064,0.00012972519287933197,0.00014956706997128053,0.001596580956874608,-0.0013401337040797282,-0.001370439883975417,-0.0007497808762847554,0.0,0.00035758372397328407,0.0008230600873877805,0.0,W2,0.004099327200890272,0.0004763497957424073,0.005795923633854789,-0.007618019601270499,-0.0006671554607433065,0.0015855096658337312,0.0043748693255713875,2.6025675649212606e-05,3.025253607096869e-07,0.0060948071321678355,0.0,0.0043867612605914446,-0.004993490545034801,0.0,Alo,0.0,0.0016493125839818989,-0.07867163701297128,-0.07030199691911523,-0.002245870953651437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.01683120807767304,-0.001344916281382148,0.07881539743890612,0.11202767335636507,0.0017082066749850597,-0.006766552459292268,-0.017928247342453324,-0.00010542284556439058,-2.117677524799873e-06,-0.02470990459521145,0.0,-0.015579640672303661,0.020440010923746716,0.0,Rbias3,0.016816404455379876,0.0012289095345854896,-0.06151595561778317,-0.055497170591160695,-0.0015492431660766653,0.006391894353324781,0.01796741019232115,0.00010749735594230886,1.8151521642581213e-06,0.025197787316336713,0.0,0.015535000530824506,-0.020521038716279708,0.0,
11,Rd,-0.0019698273713090624,0.001687732936258014,-0.1327666793646794,-0.05651841834315929,0.0006658326594142098,-0.0007677650531007961,-0.0021038377564180097,-1.261938978660471e-05,-3.023210395577272e-07,-0.002936110751662315,0.0,-0.0018655340921619509,0.002451392074447282,0.0,Ibias,0.003930841760642434,0.0007161890593126661,-0.13193894857443675,-0.049311469969066934,-0.0009360482889512276,0.007264087630201144,0.0023277404184426477,0.0013029990827399147,0.001354398257179683,-0.007528360502639587,0.0,0.0036299508953443827,0.016087421241998218,0.0,L,-0.004615988159381105,0.004790862354972461,-0.10556687310605185,-0.040530298227192896,-0.0015317481559866393,-0.001798974089278435,-0.006119258507148682,0.0031586144286712497,0.0014042812287051976,-0.022916108685250257,0.0,-0.0023432733378360793,0.030592581343475898,0.0,W1,0.0003882748059003652,0.00040178900044784017,-0.0033490963529112924,-0.003418545936173503,7.997957121414355e-05,0.00015110008712788123,0.001602704475025522,-0.0013476378197460794,-0.0013698166301967915,-0.0007439752217797815,0.0,0.00035836149818829993,0.0008075134423422388,0.0,W2,0.004054223508301979,0.0004521954849557979,-0.004560465407682887,-0.006538830656804896,-0.0007078230754569172,0.0015796827290637874,0.004332896534168802,2.6180525079697817e-05,3.023210395577272e-07,0.006067159729975552,0.0,0.004346902147452588,-0.005050397740349187,0.0,Alo,0.0,0.001456029192986787,-0.11230059494683299,-0.05376141395145268,-0.0022818498770709682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.016725528992948196,-0.0012083306381594021,0.07702692808654035,0.05300875116123809,0.0016472968121382507,-0.006772521762337215,-0.017840319897969147,-0.00010622889312885904,-2.11624727690409e-06,-0.024710008489676805,0.0,-0.01547140172529383,0.02077158071567087,0.0,Rbias3,0.016704881435176365,0.0010825557887731365,-0.0815517729011725,-0.040167799084929234,-0.0015839423848817375,0.00639624329861299,0.017873587572293313,0.00010867743144567659,2.1162472767362683e-06,0.0251968524999741,0.0,0.015421185464401084,-0.02084505202596304,0.0,
12,Rd,-0.001967486726971572,0.001889571046720066,-0.11776963828346895,-0.08581226239123275,0.0006370104598572399,-0.0007508823365386374,-0.002093114988545447,-1.14811664640219e-05,-3.022224532631882e-07,-0.002854173711222427,0.0,-0.0018642715032347783,0.0022249937449012164,0.0,Ibias,0.0037754333888895346,0.0008514325873873933,-0.12011688753692049,-0.07851447687931744,-0.0009470333807403913,0.007250396354336881,0.002165139492421576,0.001309605840262336,0.0013542588130334243,-0.00751482233556454,0.0,0.003490731607423415,0.015589122721469137,0.0,L,-0.0054086954296602005,0.0048216934400191576,-0.09613779368466004,-0.0652367536198799,-0.0015290511325665875,-0.002062934695145683,-0.006946089788389186,0.003168613728200091,0.0013884099502511579,-0.02330218090596387,0.0,-0.0030821112273168223,0.029564435292667876,0.0,W1,0.0003840972760949648,0.0004163791600152506,-0.00867667420062698,-0.00837781402968746,4.372448050905518e-05,0.0001463921796700477,0.0016199036348409895,-0.001351954405088338,-0.0013693699356962482,-0.0007644412656654132,0.0,0.00035459378250588593,0.0008478601277903694,0.0,W2,0.004239431254029325,0.0004952414534380238,-0.008224059137385636,-0.01247967644197176,-0.0007560689088595973,0.0016167870999609915,0.004511894730228669,2.4844491364546038e-05,6.044449065263764e-07,0.006170057200317921,0.0,0.004511338861661922,-0.004797865778415941,0.0,Alo,0.0,0.0017213625861815598,-0.09790286673992148,-0.08310110450517144,-0.0023571634860283103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rbias2,-0.017399528273188997,-0.0014181472599585042,0.05705089884949348,0.12252596252058508,0.0016451560364840712,-0.006895370422007774,-0.018483871239359084,-0.00010050726052026834,-1.8133347195791293e-06,-0.025020845984027863,0.0,-0.01611667668950499,0.019627429382891057,0.0,Rbias3,0.017402661629622066,0.0013002003230999746,-0.07063488920710978,-0.06440362765511606,-0.0016530261846683237,0.006524410646993676,0.018543071236250076,0.0001027658506443061,2.11555717267455e-06,0.02552044145686427,0.0,0.01608647841661021,-0.019734583564870553,0.0,
