Iteration No,Rd,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Ibias,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W1,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,W2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Alo,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias2,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,Rbias3,loss,loss_gain,loss_iip3,loss_iip2,loss_nf,loss_Io,loss_BW,loss_region,
1,Rd,-0.002116035005847374,-0.002270991950702957,0.0,0.0,0.00020819589203107465,-5.323894717549135e-05,0.0,0.0,Ibias,200.94699645851668,-17.744381396853836,0.0,0.0,125.06721238174546,93.62416547361518,0.0,0.0,W1,-27487.022673998887,-19024.18460381097,0.0,0.0,-8196.352086262985,-266.4859839255561,0.0,0.0,W2,-17973.72463728148,-7961.556355884713,0.0,0.0,-11211.892746313799,1199.7244649164415,0.0,0.0,Alo,-4.007594829245862,-2.1708998790770995,0.0,0.0,-1.836694950168815,0.0,0.0,0.0,Rbias2,6.7916289079010265e-06,8.906812018976555e-06,0.0,0.0,2.0406693028998014e-06,-4.155852413974969e-06,0.0,0.0,Rbias3,-5.100845697881362e-06,-6.881899311286824e-06,0.0,0.0,-1.5173902485550654e-06,3.2984438619610095e-06,0.0,0.0,
2,Rd,0.0006384252095899759,-0.0020687435096720455,0.0,0.0,0.0027597944491353416,-5.2625729873382244e-05,0.0,0.0,Ibias,649.6729695703779,-20.493759591181366,0.0,0.0,575.6170970611619,94.54963210039739,0.0,0.0,W1,7291.493074373759,-17335.789330515014,0.0,0.0,24881.240138343037,-253.95773345465997,0.0,0.0,W2,21323.91095866933,-6912.702806516171,0.0,0.0,27096.25275929904,1140.3610058865734,0.0,0.0,Alo,0.5695019229551822,-1.8452922371187774,0.0,0.0,2.414794160073984,0.0,0.0,0.0,Rbias2,4.5250006785274195e-05,7.43396923821825e-06,0.0,0.0,4.191624189083835e-05,-4.100204343782038e-06,0.0,0.0,Rbias3,2.723177424024752e-05,-5.609553310019279e-06,0.0,0.0,2.9672537078181967e-05,3.1687904720850262e-06,0.0,0.0,
3,Rd,-0.0016847377469480346,-0.002207660140638883,0.0,0.0,0.000571121082507034,-4.819868881620965e-05,0.0,0.0,Ibias,232.7448754142275,-44.1330188088977,0.0,0.0,179.35421362661188,97.52368059650438,0.0,0.0,W1,-27070.649503723147,-22269.383998051184,0.0,0.0,-5390.311379213699,589.0458735418356,0.0,0.0,W2,-11185.033801546293,-7101.714560243682,0.0,0.0,-5187.639578957011,1104.3203376545162,0.0,0.0,Alo,-2.8946216296002816,-1.856701165572566,0.0,0.0,-1.0379204640276416,0.0,0.0,0.0,Rbias2,1.1724438933250103e-05,8.137834349767388e-06,0.0,0.0,7.743265615177373e-06,-4.156661031695451e-06,0.0,0.0,Rbias3,5.371876382459921e-07,-5.91600073311057e-06,0.0,0.0,3.3327692006362676e-06,3.1204191707204935e-06,0.0,0.0,
4,Rd,-0.0025559857816182113,-0.002036278406594701,0.0,0.0,-0.00047194001501911606,-4.7767360004417334e-05,0.0,0.0,Ibias,22.01358783914329,-44.867285901110144,0.0,0.0,-31.66623964234793,98.54711338260438,0.0,0.0,W1,-30465.944555839284,-15722.063191166077,0.0,0.0,-14536.517769526728,-207.3635951459123,0.0,0.0,W2,-31251.06334486194,-9587.234008477211,0.0,0.0,-21721.457378302286,57.62804191790418,0.0,0.0,Alo,-4.078797309264028,-1.6383427486079771,0.0,0.0,-2.440454560656087,0.0,0.0,0.0,Rbias2,-7.112081300014108e-06,6.932350285388437e-06,0.0,0.0,-9.900687425163539e-06,-4.143744160238735e-06,0.0,0.0,Rbias3,-1.156108982820373e-05,-4.8554050873460854e-06,0.0,0.0,-9.737156993940853e-06,3.031472253083703e-06,0.0,0.0,
5,Rd,-0.002532282376695478,-0.0016264225172570497,0.0,0.0,-0.0008569103786109579,-4.89494808274344e-05,0.0,0.0,Ibias,-42.260594214182404,-10.398862298129217,0.0,0.0,-129.99678128084827,98.1350493647951,0.0,0.0,W1,-31937.921920763507,-13977.851157192214,0.0,0.0,-17793.62113197765,-166.44963159337982,0.0,0.0,W2,-28069.383541461237,-5125.308286018828,0.0,0.0,-23942.324293812646,998.2490383712305,0.0,0.0,Alo,-4.037779703910325,-1.2599948228986804,0.0,0.0,-2.777784881011623,0.0,0.0,0.0,Rbias2,-1.695325202049836e-05,3.6910952425412172e-06,0.0,0.0,-1.653325285571627e-05,-4.111094407322907e-06,0.0,0.0,Rbias3,-1.4351108325030647e-05,-2.362181457803013e-06,0.0,0.0,-1.4940719409598444e-05,2.9517925423717802e-06,0.0,0.0,
6,Rd,-0.0016838840802092289,-0.0006800805711025206,0.0,0.0,-0.0009532582930521496,-5.054521605458536e-05,0.0,0.0,Ibias,48.50384002244615,121.72185241854812,0.0,0.0,-169.97754126337833,96.7595288672704,0.0,0.0,W1,-33747.6743368572,-15446.45304729168,0.0,0.0,-18629.283871532134,328.0625819663711,0.0,0.0,W2,-24423.198209487728,-2501.03441518794,0.0,0.0,-22873.55803035443,951.3942360547492,0.0,0.0,Alo,-3.033583006400196,-0.3858325289827375,0.0,0.0,-2.647750477417479,0.0,0.0,0.0,Rbias2,-2.5228313646869622e-05,-5.897258156014598e-06,0.0,0.0,-1.5258604263954978e-05,-4.072451226900445e-06,0.0,0.0,Rbias3,-8.588757199832949e-06,4.651062937768687e-06,0.0,0.0,-1.612021221636752e-05,2.8803920787658853e-06,0.0,0.0,
7,Rd,-0.000501752352186207,0.00011833537794222965,0.0,0.0,-0.0005748996236795819,-4.518810644883892e-05,0.0,0.0,Ibias,238.48107722064432,242.32792314037528,0.0,0.0,-99.16721276878252,95.3203668490486,0.0,0.0,W1,-20138.28835855286,-9992.04340935452,0.0,0.0,-10092.343295411525,-53.90165378700542,0.0,0.0,W2,-13938.046710449384,-16.115689530071208,0.0,0.0,-14931.334909141447,1009.403888221628,0.0,0.0,Alo,-1.5069030894678228,0.3571972133003439,0.0,0.0,-1.8641003027681764,0.0,0.0,0.0,Rbias2,-2.362123063477139e-05,-1.4514551405569349e-05,0.0,0.0,-5.275219170340979e-06,-3.8314600588613176e-06,0.0,0.0,Rbias3,3.0494234523954203e-06,1.0723895866110327e-05,0.0,0.0,-1.0494099568088308e-05,2.8196271543728954e-06,0.0,0.0,
8,Rd,-5.5453263813239746e-05,0.00019487067006791986,0.0,0.0,-0.0001994948285848314,-5.082910529631248e-05,0.0,0.0,Ibias,321.4191229611563,246.97505396417387,0.0,0.0,-20.075259164847413,94.51932816183731,0.0,0.0,W1,-14299.121638661944,-8985.896022093937,0.0,0.0,-5186.66399317225,-126.561623395614,0.0,0.0,W2,-7231.822824536604,370.9432148041476,0.0,0.0,-8443.372332674695,840.6062933345356,0.0,0.0,Alo,-0.7011153774814375,0.508497465861342,0.0,0.0,-1.2096128433427749,0.0,0.0,0.0,Rbias2,-1.6799677456857372e-05,-1.5112732015686206e-05,0.0,0.0,2.3480876371968568e-06,-4.0350330783679615e-06,0.0,0.0,Rbias3,8.980061806461816e-06,1.1352444274264681e-05,0.0,0.0,-5.2132505419350445e-06,2.840868074132456e-06,0.0,0.0,
9,Rd,-4.772066874548e-05,6.994058403645717e-05,0.0,0.0,-6.874018605163064e-05,-4.892106673031282e-05,0.0,0.0,Ibias,319.3703714809938,219.57593353494593,0.0,0.0,5.8984166157221845,93.89602133032038,0.0,0.0,W1,-11998.051500835758,-8397.85009836656,0.0,0.0,-3501.6860403071123,-98.5153621622894,0.0,0.0,W2,-5354.449342043178,84.81758952538041,0.0,0.0,-6290.45799347643,851.1910619071909,0.0,0.0,Alo,-0.5051594756175946,0.48002550390627263,0.0,0.0,-0.985184979523933,0.0,0.0,0.0,Rbias2,-1.2755990278996516e-05,-1.3569698857195128e-05,0.0,0.0,4.65058327901241e-06,-3.836874700814106e-06,0.0,0.0,Rbias3,9.920714773860595e-06,1.0591058413072909e-05,0.0,0.0,-3.4762123833653973e-06,2.805868744152803e-06,0.0,0.0,
10,Rd,-0.00014343650991872233,-3.7926377358585164e-05,0.0,0.0,-5.3189862352028824e-05,-5.2320270208111474e-05,0.0,0.0,Ibias,293.5535767086074,195.5265291582092,0.0,0.0,4.714782051585551,93.31226549881265,0.0,0.0,W1,-11323.91501741018,-7961.455300291772,0.0,0.0,-3228.9425984539803,-133.51711866452567,0.0,0.0,W2,-5400.852960415367,-189.63914547780558,0.0,0.0,-6058.421987598638,847.2081726608357,0.0,0.0,Alo,-0.49234319015143746,0.4495630018748469,0.0,0.0,-0.9419061920262843,0.0,0.0,0.0,Rbias2,-1.1446133232752835e-05,-1.2255652034706593e-05,0.0,0.0,4.582328024514902e-06,-3.7728092225610237e-06,0.0,0.0,Rbias3,9.377679233816475e-06,9.901514702818757e-06,0.0,0.0,-3.453881944475069e-06,2.9300464754726444e-06,0.0,0.0,
