Corner,Temperature,vd,vg,vs,i_source,v_source,p_source,Io,gm1,gds1,vt,vdsat,cgd1,cgs1,gain_db,freq,s11_db,nf_db,iip3_dbm
tsmc065_tt,-40.0,0.7401893,0.6529783,0.2758318,0.001668671,1.0,0.001668671,0.0008459339,0.02044272,0.002457919,0.5000618,0.03930921,8.170343000000001e-14,3.953522e-14,12.73737,1000000000.0,-16.0219,3.130729,2.7342844550706786
tsmc065_tt,-32.0,0.7394485,0.6483776,0.2766093,0.001669643,1.0,0.001669643,0.0008469057,0.02012699,0.002421697,0.4940915,0.0406595,8.195297999999999e-14,3.951569e-14,12.67555,1000000000.0,-15.9354,3.226764,2.3527540578090367
tsmc065_tt,-24.0,0.7386803,0.6439153,0.2774148,0.001670613,1.0,0.001670613,0.0008478783,0.01979657,0.002384907,0.4881318,0.04201101,8.222362999999999e-14,3.9495010000000004e-14,12.60755,1000000000.0,-15.8385,3.325536,2.0363198636734126
tsmc065_tt,-16.0,0.7379145,0.6395314,0.2782167,0.001671486,1.0,0.001671486,0.0008487489,0.0194551,0.002347663,0.4821739,0.04336261,8.25066e-14,3.9473630000000004e-14,12.53434,1000000000.0,-15.7317,3.426706,1.7725636388637014
tsmc065_tt,-8.0,0.7371216,0.6352635,0.2790461,0.001672357,1.0,0.001672357,0.0008496188,0.01910903,0.002310626,0.4762267,0.04471484,8.28001e-14,3.94518e-14,12.45744,1000000000.0,-15.6164,3.5297,1.5518480518731934
tsmc065_tt,0.0,0.7363018,0.6311035,0.279903,0.001673224,1.0,0.001673224,0.0008504874,0.01876179,0.002274053,0.4702904,0.0460674,8.310059e-14,3.942974e-14,12.37776,1000000000.0,-15.4934,3.634153,1.3666818510325953
tsmc065_tt,8.0,0.7354762,0.6270099,0.2807649,0.00167402,1.0,0.00167402,0.0008512815,0.01841463,0.002237909,0.4643585,0.04741933,8.340351999999999e-14,3.940767e-14,12.29574,1000000000.0,-15.3633,3.739891,1.2112028430029511
tsmc065_tt,16.0,0.734581,0.6230823,0.2816996,0.001674949,1.0,0.001674949,0.0008522234,0.01807383,0.00220302,0.4584511,0.04877225,8.371249000000001e-14,3.93856e-14,12.21296,1000000000.0,-15.228,3.846229,1.0806721353137618
tsmc065_tt,24.0,0.7337447,0.6191034,0.2825706,0.0016756,1.0,0.0016756,0.0008528631,0.01773232,0.002168119,0.4525278,0.05012179,8.401455e-14,3.93639e-14,12.12793,1000000000.0,-15.0863,3.953814,0.9713988511178826
tsmc065_tt,32.0,0.7328592,0.6152478,0.2834927,0.001676318,1.0,0.001676318,0.0008535796,0.01739848,0.002134434,0.4466229,0.05147096,8.431806e-14,3.934241e-14,12.04273,1000000000.0,-14.9408,4.061712,0.8803426373100649
tsmc065_tt,40.0,0.731947,0.6114745,0.284442,0.001677032,1.0,0.001677032,0.0008542932,0.01707159,0.00210177,0.4407292,0.05281865,8.462006000000001e-14,3.932125e-14,11.95736,1000000000.0,-14.792,4.169903,0.8050282423775172
tsmc065_tt,48.0,0.7309861,0.6078181,0.2854417,0.001677812,1.0,0.001677812,0.0008550922,0.01675379,0.002070404,0.4348541,0.05416532,8.492188000000001e-14,3.93004e-14,11.87253,1000000000.0,-14.6409,4.278028,0.743432984197355
tsmc065_tt,56.0,0.7300506,0.6041502,0.2864135,0.001678421,1.0,0.001678421,0.0008556909,0.01644031,0.002039532,0.4289738,0.05550781,8.521618999999999e-14,3.928007e-14,11.7871,1000000000.0,-14.4868,4.386608,0.6938763879122973
tsmc065_tt,64.0,0.7290792,0.600572,0.2874221,0.001679055,1.0,0.001679055,0.0008563213,0.01613557,0.002009826,0.4231081,0.0568479,8.550812e-14,3.926014e-14,11.70236,1000000000.0,-14.3314,4.495,0.6550130173170174
tsmc065_tt,72.0,0.7280821,0.5970644,0.2884569,0.001679681,1.0,0.001679681,0.0008569473,0.01583902,0.001981175,0.4172539,0.05818478,8.579649e-14,3.924066e-14,11.6183,1000000000.0,-14.1752,4.60318,0.6256209461695335
tsmc065_tt,80.0,0.7270621,0.5936203,0.2895148,0.00168029,1.0,0.00168029,0.0008575586,0.01555049,0.001953537,0.4114103,0.05951787,8.608081e-14,3.922164e-14,11.535,1000000000.0,-14.0185,4.71108,0.6047646499493169
tsmc065_tt,88.0,0.7260202,0.5902371,0.2905948,0.00168088,1.0,0.00168088,0.0008581532,0.01526989,0.001926888,0.4055772,0.06084665,8.636089e-14,3.920309e-14,11.45255,1000000000.0,-13.8618,4.818628,0.5916327452164438
tsmc065_tt,96.0,0.7249563,0.586913,0.291697,0.00168145,1.0,0.00168145,0.0008587322,0.01499714,0.00190121,0.3997547,0.0621706,8.663665e-14,3.9185e-14,11.37105,1000000000.0,-13.7054,4.925749,0.5854795931752079
tsmc065_tt,104.0,0.7238704,0.5836468,0.2928215,0.001682001,1.0,0.001682001,0.000859297,0.01473211,0.001876485,0.3939429,0.06348919,8.690804e-14,3.916739e-14,11.29057,1000000000.0,-13.5496,5.03238,0.5857618007678553
tsmc065_tt,112.0,0.7227623,0.5804376,0.2939682,0.001682532,1.0,0.001682532,0.0008598489,0.01447465,0.001852691,0.3881419,0.06480186,8.717509e-14,3.915024e-14,11.21117,1000000000.0,-13.3948,5.138464,0.5919851035439905
tsmc065_tt,120.0,0.7216321,0.5772845,0.2951373,0.001683044,1.0,0.001683044,0.0008603893,0.01422457,0.001829805,0.382352,0.06610803,8.743783e-14,3.9133550000000004e-14,11.13291,1000000000.0,-13.2412,5.243951,0.6037105123705118
tsmc065_ff,-40.0,0.7776687,0.5307905,0.2363023,0.001734568,1.0,0.001734568,0.0009118201,0.02231185,0.002846861,0.4167281,0.03826859,8.220378999999999e-14,4.223871e-14,11.67569,1000000000.0,-17.149,3.300811,1.7628081501777189
tsmc065_ff,-32.0,0.7770236,0.5263131,0.2369829,0.001735842,1.0,0.001735842,0.0009140424,0.02192059,0.00280115,0.4107129,0.03962077,8.250284999999999e-14,4.22133e-14,11.59739,1000000000.0,-17.144,3.408154,1.5077859127954554
tsmc065_ff,-24.0,0.7764237,0.5218236,0.2376148,0.001736857,1.0,0.001736857,0.0009156788,0.02151231,0.002753877,0.4046856,0.04097125,8.279907e-14,4.218814e-14,11.51273,1000000000.0,-17.1302,3.518092,1.2948296347531425
tsmc065_ff,-16.0,0.7757225,0.5174626,0.2383536,0.001738212,1.0,0.001738212,0.0009154649,0.0210655,0.002702426,0.3986908,0.04231362,8.307362e-14,4.2165030000000004e-14,11.4159,1000000000.0,-17.105,3.633067,1.1163206255053524
tsmc065_ff,-8.0,0.7750494,0.513188,0.2390622,0.001739379,1.0,0.001739379,0.0009166392,0.02065107,0.002655524,0.3926894,0.04366327,8.337065000000001e-14,4.214037e-14,11.32403,1000000000.0,-17.0678,3.746394,0.9663352769479729
tsmc065_ff,0.0,0.7743638,0.5089866,0.2397833,0.001740523,1.0,0.001740523,0.000917803,0.02024217,0.002609662,0.3866936,0.04501307,8.366748e-14,4.2115929999999996e-14,11.23082,1000000000.0,-17.0185,3.860504,0.8401856062641713
tsmc065_ff,8.0,0.773666,0.5048535,0.2405167,0.001741642,1.0,0.001741642,0.0009189676,0.01984077,0.002565005,0.3807034,0.04636276,8.396276e-14,4.20918e-14,11.13687,1000000000.0,-16.9575,3.975136,0.734147837533385
tsmc065_ff,16.0,0.7729562,0.5007847,0.2412624,0.001742736,1.0,0.001742736,0.0009201475,0.0194484,0.002521678,0.3747189,0.04771206,8.425558e-14,4.206804e-14,11.04271,1000000000.0,-16.8849,4.090052,0.6452201928938592
tsmc065_ff,24.0,0.7722346,0.4967767,0.2420198,0.001743803,1.0,0.001743803,0.0009213589,0.01906621,0.002479772,0.3687399,0.04906072,8.454533e-14,4.204469e-14,10.94879,1000000000.0,-16.8016,4.205034,0.5709913306158683
tsmc065_ff,32.0,0.7715016,0.4928266,0.2427887,0.001744843,1.0,0.001744843,0.0009226172,0.01869499,0.002439349,0.3627664,0.05040848,8.483162e-14,4.202178e-14,10.85547,1000000000.0,-16.7083,4.31988,0.5094544947476578
tsmc065_ff,40.0,0.7707572,0.4889324,0.2435692,0.001745855,1.0,0.001745855,0.0009239351,0.01833526,0.002400443,0.3567986,0.05175507,8.511415e-14,4.199931e-14,10.76308,1000000000.0,-16.6061,4.434413,0.4589468490746782
tsmc065_ff,48.0,0.7700011,0.4850923,0.2443615,0.00174684,1.0,0.00174684,0.0009253211,0.01798725,0.002363061,0.3508364,0.05310018,8.539274e-14,4.19773e-14,10.67186,1000000000.0,-16.4958,4.548479,0.4181405006713419
tsmc065_ff,56.0,0.7692326,0.4813055,0.2451663,0.0017478,1.0,0.0017478,0.0009267784,0.01765096,0.002327188,0.3448803,0.05444345,8.566720999999999e-14,4.195576e-14,10.582,1000000000.0,-16.3787,4.661953,0.38585653725819213
tsmc065_ff,64.0,0.7683838,0.4775508,0.2460558,0.001749009,1.0,0.001749009,0.0009262551,0.01729034,0.00228819,0.3389519,0.05577102,8.590901000000001e-14,4.19369e-14,10.48224,1000000000.0,-16.2449,4.780252,0.3611406454154462
tsmc065_ff,72.0,0.7675718,0.4738541,0.2469055,0.001749995,1.0,0.001749995,0.0009272424,0.01696703,0.002253941,0.3330139,0.05710504,8.616644000000001e-14,4.191695e-14,10.39196,1000000000.0,-16.1128,4.894042,0.34317648664051603
tsmc065_ff,80.0,0.7667448,0.4702031,0.2477705,0.001750967,1.0,0.001750967,0.0009282163,0.01665369,0.002220941,0.327083,0.05843527,8.641833e-14,4.1897549999999996e-14,10.30286,1000000000.0,-15.9758,5.007261,0.3312582820029917
tsmc065_ff,88.0,0.7659025,0.4665965,0.2486512,0.001751926,1.0,0.001751926,0.0009291776,0.01635008,0.002189155,0.3211593,0.05976127,8.666470999999999e-14,4.1878710000000006e-14,10.21499,1000000000.0,-15.8348,5.119846,0.3248016435319414
tsmc065_ff,96.0,0.7650446,0.4630332,0.2495477,0.001752873,1.0,0.001752873,0.0009301273,0.01605594,0.002158547,0.3152429,0.06108257,8.69056e-14,4.1860410000000006e-14,10.12842,1000000000.0,-15.6905,5.231739,0.32328192160704816
tsmc065_ff,104.0,0.7641711,0.4595122,0.2504602,0.001753808,1.0,0.001753808,0.0009310661,0.01577097,0.002129079,0.309334,0.06239869,8.714109e-14,4.184264e-14,10.04318,1000000000.0,-15.5437,5.342892,0.3262406265307902
tsmc065_ff,112.0,0.7632815,0.4560326,0.2513891,0.001754732,1.0,0.001754732,0.0009319949,0.01549487,0.002100714,0.3034327,0.06370912,8.737124e-14,4.182539e-14,9.959316,1000000000.0,-15.395,5.45326,0.3333086705350752
tsmc065_ff,120.0,0.7623757,0.4525937,0.2523347,0.001755647,1.0,0.001755647,0.0009329145,0.01522735,0.002073415,0.2975392,0.06501336,8.759616e-14,4.180866e-14,9.876842,1000000000.0,-15.245,5.562806,0.3441708749999748
tsmc065_ss,-40.0,0.7114168,0.7580683,0.3061018,0.001635911,1.0,0.001635911,0.0008131793,0.01912667,0.002058856,0.571766,0.04110814,8.233388e-14,3.688821e-14,13.59927,1000000000.0,-15.1091,3.112692,4.79647970266447
tsmc065_ss,-32.0,0.710585,0.7533115,0.3069716,0.001636741,1.0,0.001636741,0.0008140067,0.01890862,0.002034887,0.5657614,0.04248071,8.247929e-14,3.687981e-14,13.55908,1000000000.0,-15.0315,3.195465,4.158357186841016
tsmc065_ss,-24.0,0.709757,0.7487156,0.3078357,0.001637457,1.0,0.001637457,0.0008155779,0.01867991,0.002011336,0.559758,0.04385968,8.268098999999999e-14,3.686835e-14,13.51366,1000000000.0,-14.9449,3.280587,3.6347858169716005
tsmc065_ss,-16.0,0.7088659,0.7442562,0.3087653,0.001638247,1.0,0.001638247,0.0008159306,0.01840833,0.001984485,0.553776,0.04523137,8.288967e-14,3.685663e-14,13.45434,1000000000.0,-14.8397,3.371602,3.2051319633633426
tsmc065_ss,-8.0,0.7079577,0.7399264,0.3097113,0.001638981,1.0,0.001638981,0.0008164439,0.01812679,0.001957612,0.5478019,0.04660494,8.312557e-14,3.68435e-14,13.38992,1000000000.0,-14.7255,3.465044,2.8549813200616114
tsmc065_ss,0.0,0.7070282,0.7357168,0.3106783,0.001639671,1.0,0.001639671,0.0008170286,0.01783797,0.001930811,0.5418369,0.0479796,8.338096e-14,3.682941e-14,13.32117,1000000000.0,-14.6032,3.560607,2.5681200062364837
tsmc065_ss,8.0,0.7060747,0.7316197,0.3116691,0.001640325,1.0,0.001640325,0.0008176338,0.01754443,0.001904199,0.5358821,0.04935476,8.365026e-14,3.681467e-14,13.24886,1000000000.0,-14.4738,3.657991,2.325026145793231
tsmc065_ss,16.0,0.7050954,0.7276287,0.3126856,0.001640948,1.0,0.001640948,0.0008182341,0.01724851,0.001877897,0.529938,0.05072994,8.39294e-14,3.679951e-14,13.17368,1000000000.0,-14.3382,3.756905,2.118168184572454
tsmc065_ss,24.0,0.7041045,0.7237134,0.3137129,0.001641501,1.0,0.001641501,0.0008187683,0.01695132,0.00185188,0.5240004,0.05210418,8.421396e-14,3.678415e-14,13.09606,1000000000.0,-14.1973,3.857176,1.9459715210703763
tsmc065_ss,32.0,0.7030558,0.7199438,0.3147999,0.00164211,1.0,0.00164211,0.0008193753,0.01665718,0.001826651,0.5180838,0.05347884,8.450581e-14,3.67686e-14,13.01717,1000000000.0,-14.0524,3.958271,1.8045632547129884
tsmc065_ss,40.0,0.7019945,0.7162414,0.3158985,0.001642652,1.0,0.001642652,0.0008199183,0.01636495,0.001801895,0.5121742,0.05485188,8.479918e-14,3.6753079999999996e-14,12.9369,1000000000.0,-13.904,4.060235,1.689466943665849
tsmc065_ss,48.0,0.7009049,0.7126276,0.3170256,0.00164317,1.0,0.00164317,0.0008204361,0.01607637,0.001777789,0.5062767,0.05622344,8.509392e-14,3.673764e-14,12.85582,1000000000.0,-13.7529,4.162803,1.5969559579296089
tsmc065_ss,56.0,0.6997978,0.7090812,0.3181696,0.001643634,1.0,0.001643634,0.0008208987,0.01579174,0.001754287,0.500388,0.0575927,8.538807e-14,3.672235e-14,12.77412,1000000000.0,-13.5995,4.265873,1.524054846221432
tsmc065_ss,64.0,0.6986679,0.7056079,0.3193362,0.001644059,1.0,0.001644059,0.0008213218,0.01551193,0.001731464,0.4945099,0.05895943,8.568122e-14,3.670725e-14,12.69215,1000000000.0,-13.4447,4.369265,1.468464620118084
tsmc065_ss,72.0,0.6974985,0.7022327,0.320543,0.00164449,1.0,0.00164449,0.000821753,0.01523818,0.001709473,0.4886478,0.06032381,8.597405e-14,3.6692369999999996e-14,12.61034,1000000000.0,-13.2892,4.472739,1.428306697572694
tsmc065_ss,80.0,0.6962573,0.699007,0.3218244,0.001645016,1.0,0.001645016,0.0008222836,0.01497231,0.001688582,0.4828122,0.0616867,8.626860999999999e-14,3.667769e-14,12.52929,1000000000.0,-13.1338,4.575948,1.4021055563775633
