Input_Current,Temperature,vd,vg,vs,i_source,v_source,p_source,Io,gm1,gds1,vt,vdsat,cgd1,cgs1,gain_db,freq,s11_db,nf_db,iip3_dbm
4.370090758274046e-05,-40.0,1.710594,0.4468037,0.02031386,0.0001195693,1.8,0.00021522474,7.586888e-05,0.002300221,4.290451e-05,0.5219679,0.02975464,1.567116e-13,1.521066e-13,7.089947,1000000000.0,-5.95124,8.341186,-14.383971245444009
4.370090758274046e-05,-25.454545454545453,1.711228,0.4424319,0.02016966,0.0001190308,1.8,0.00021425544,7.532999000000001e-05,0.002163405,4.110612e-05,0.5165711,0.03188749,1.581798e-13,1.520992e-13,6.556897,1000000000.0,-5.78499,8.816836,-14.063626929835111
4.370090758274046e-05,-10.90909090909091,1.711874,0.4382095,0.02002299,0.000118483,1.8,0.0002132694,7.478219e-05,0.00203844,3.94147e-05,0.5111739,0.03403049,1.5982900000000001e-13,1.52091e-13,6.03948,1000000000.0,-5.63386,9.28692,-13.743564188532089
4.370090758274046e-05,3.636363636363633,1.712526,0.4341176,0.01987491,0.00011793,1.8,0.000212274,7.422920000000001e-05,0.001924258,3.782398000000001e-05,0.5057766,0.03618275,1.616465e-13,1.520819e-13,5.538011,1000000000.0,-5.49635,9.749699,-13.426321833482216
4.370090758274046e-05,18.18181818181818,1.71318,0.4301408,0.01972636,0.0001173751,1.8,0.00021127518,7.367462e-05,0.001819826,3.632771e-05,0.5003794,0.03834347,1.6361650000000001e-13,1.5207200000000002e-13,5.052463,1000000000.0,-5.37104,10.2039,-13.113585092920571
4.370090758274046e-05,32.72727272727272,1.713832,0.4262664,0.01957818,0.0001168217,1.8,0.00021027906000000001,7.312176e-05,0.001724178,3.491986e-05,0.4949826,0.04051193,1.6572130000000002e-13,1.5206150000000002e-13,4.582612,1000000000.0,-5.25663,10.64859,-12.80628639425688
4.370090758274046e-05,47.272727272727266,1.714479,0.4224839,0.01943113,0.0001162725,1.8,0.0002092905,7.257357000000001e-05,0.001636434,3.359474e-05,0.4895866,0.04268746,1.679419e-13,1.520505e-13,4.12812,1000000000.0,-5.15197,11.08313,-12.505006595764344
4.370090758274046e-05,61.81818181818181,1.715118,0.418784,0.01928583,0.0001157298,1.8,0.00020831364,7.203258e-05,0.001555802,3.2346970000000005e-05,0.4841913,0.04486941,1.70259e-13,1.520389e-13,3.688581,1000000000.0,-5.05603,11.50705,-12.210090263208915
4.370090758274046e-05,76.36363636363636,1.715748,0.4151587,0.0191428,0.0001151957,1.8,0.00020735226000000002,7.150086000000001e-05,0.001481569,3.117151e-05,0.478797,0.0470572,1.72653e-13,1.520269e-13,3.263558,1000000000.0,-4.9679,11.92009,-11.921516443071608
4.370090758274046e-05,90.9090909090909,1.716366,0.4116009,0.01900245,0.0001146716,1.8,0.00020640888,7.098005e-05,0.0014131,3.006363e-05,0.4734039,0.04925028,1.7510540000000002e-13,1.520147e-13,2.852595,1000000000.0,-4.88678,12.32206,-11.639230554862353
4.370090758274046e-05,105.45454545454544,1.71697,0.4081039,0.01886504,0.0001141588,1.8,0.00020548584000000002,7.047127e-05,0.001349825,2.9018860000000005e-05,0.4680119,0.05144809,1.77598e-13,1.520022e-13,2.455216,1000000000.0,-4.81195,12.71294,-11.363074489732028
4.370090758274046e-05,120.0,1.71756,0.4046608,0.01873055,0.0001136581,1.8,0.00020458458,6.997469e-05,0.001291228,2.803277e-05,0.4626211,0.05365008,1.8011400000000001e-13,1.519896e-13,2.070884,1000000000.0,-4.74278,13.09279,-11.09289471229651
