Input_Current,Temperature,vd,vg,vs,i_source,v_source,p_source,Io,gm1,gds1,vt,vdsat,cgd1,cgs1,gain_db,freq,s11_db,nf_db,iip3_dbm
6.396971669108595e-05,-40.0,0.9310512,0.2616345,0.04800106,0.0002433212,1.0,0.0002433212,0.0001792385,0.005256637,0.0005266179,0.4401273,0.03423611,9.731645999999999e-14,7.762807e-14,5.460974,1000000000.0,-8.52683,7.072451,-9.857500028081773
6.396971669108595e-05,-28.57142857142857,0.9308521,0.2503303,0.04813818,0.0002438391,1.0,0.0002438391,0.0001797735,0.005048128,0.0005077993,0.4309714,0.03595708,9.807061e-14,7.757136e-14,5.160129,1000000000.0,-8.33557,7.328345,-9.46831988978721
6.396971669108595e-05,-17.142857142857142,0.9306381,0.2391231,0.04828561,0.0002443958,1.0,0.0002443958,0.0001803601,0.004855848,0.0004904733,0.4218194,0.03767687,9.881176e-14,7.751599e-14,4.870354,1000000000.0,-8.15847,7.579074,-9.080856345898752
6.396971669108595e-05,-5.714285714285715,0.9304537,0.2279124,0.04841235,0.0002448754,1.0,0.0002448754,0.0001807561,0.004672455,0.0004738916,0.4126612,0.03939403,9.952234000000001e-14,7.746291e-14,4.582056,1000000000.0,-7.98877,7.830418,-8.696118563637398
6.396971669108595e-05,5.714285714285715,0.930224,0.2168463,0.04857065,0.0002454729,1.0,0.0002454729,0.000181348,0.004506653,0.0004589754,0.403514,0.04110855,1.0022670000000001e-13,7.741078e-14,4.310775,1000000000.0,-7.83487,8.071936,-8.314853909006757
6.396971669108595e-05,17.142857142857146,0.9299666,0.2058828,0.04874824,0.0002461425,1.0,0.0002461425,0.0001820278,0.00435432,0.0004453156,0.3943739,0.04281924,1.009174e-13,7.735996e-14,4.052046,1000000000.0,-7.69304,8.306128,-7.937711719284138
6.396971669108595e-05,28.57142857142857,0.9297071,0.1949674,0.04892727,0.0002468176,1.0,0.0002468176,0.0001826806,0.004211672,0.0004325312,0.3852351,0.04452483,1.01586e-13,7.73109e-14,3.800999,1000000000.0,-7.5598,8.535915,-7.565205037322507
6.396971669108595e-05,40.0,0.9294089,0.184182,0.04913318,0.0002475932,1.0,0.0002475932,0.0001835152,0.004082377,0.0004210246,0.3761061,0.04622489,1.0224740000000002e-13,7.726275e-14,3.565846,1000000000.0,-7.4388,8.755573,-7.197848357798549
6.396971669108595e-05,51.42857142857143,0.9290936,0.173469,0.049351,0.0002484133,1.0,0.0002484133,0.0001843844,0.003962147,0.0004103608,0.366982,0.04791796,1.02891e-13,7.721608e-14,3.340323,1000000000.0,-7.32603,8.969055,-6.83611575067296
6.396971669108595e-05,62.85714285714286,0.9287395,0.1628186,0.04959589,0.0002493345,1.0,0.0002493345,0.0001851796,0.00384799,0.0004002435,0.357868,0.0496025,1.035093e-13,7.717134e-14,3.119693,1000000000.0,-7.21866,9.179437,-6.480490313595709
