Corner,Temperature,vd,vg,vs,i_source,v_source,p_source,Io,gm1,gds1,vt,vdsat,cgd1,cgs1,gain_db,freq,s11_db,nf_db,iip3_dbm
tsmc065_tt,-40.0,0.7667809,0.5062286,0.188263,0.00140527,1.0,0.00140527,0.000744742,0.01963799,0.00225013,0.4825717,0.03576436,1.179644e-13,7.138518000000001e-14,12.6931,1000000000.0,-18.2846,3.167934,-4.221249333397154
tsmc065_tt,-32.0,0.761954,0.5051107,0.1921594,0.001402405,1.0,0.001402405,0.0007418659,0.01910777,0.002201683,0.4775502,0.0370132,1.187766e-13,7.134222e-14,12.65514,1000000000.0,-17.9281,3.257922,-4.201558768998822
tsmc065_tt,-24.0,0.7572285,0.503966,0.1959739,0.001399815,1.0,0.001399815,0.0007392754,0.01859491,0.002155186,0.4725152,0.03826192,1.195818e-13,7.129959000000001e-14,12.61105,1000000000.0,-17.5398,3.350544,-4.176866252008409
tsmc065_tt,-16.0,0.7526076,0.5027829,0.1997039,0.001397467,1.0,0.001397467,0.000736933,0.01810047,0.002110666,0.4674655,0.03951019,1.203765e-13,7.125748e-14,12.56181,1000000000.0,-17.1356,3.445484,-4.148025271100423
tsmc065_tt,-8.0,0.7481196,0.5015179,0.2033267,0.001395259,1.0,0.001395259,0.0007347207,0.01762301,0.00206784,0.4623936,0.04075736,1.2115480000000001e-13,7.121612e-14,12.50771,1000000000.0,-16.7267,3.542657,-4.115731222362541
tsmc065_tt,0.0,0.7437385,0.5002,0.2068632,0.001393253,1.0,0.001393253,0.0007327145,0.01716485,0.002026986,0.4573055,0.04200348,1.2191890000000002e-13,7.117548e-14,12.44997,1000000000.0,-16.322,3.641609,-4.080541454138299
tsmc065_tt,8.0,0.7395141,0.4988281,0.2102732,0.001391294,1.0,0.001391294,0.0007319035,0.01674732,0.001990566,0.4521881,0.04325162,1.2269620000000003e-13,7.11336e-14,12.3961,1000000000.0,-15.9341,3.739193,-4.042911457584481
tsmc065_tt,16.0,0.7353157,0.4973627,0.2136622,0.001389736,1.0,0.001389736,0.0007292015,0.01630432,0.001950834,0.4470746,0.04449108,1.2339850000000003e-13,7.109655e-14,12.3254,1000000000.0,-15.5455,3.844095,-4.0032176079542126
tsmc065_tt,24.0,0.7312745,0.4958357,0.2169242,0.0013882,1.0,0.0013882,0.0007276785,0.01590125,0.001915434,0.4419308,0.04573194,1.241134e-13,7.105829e-14,12.25948,1000000000.0,-15.1795,3.947214,-3.961768546354648
tsmc065_tt,32.0,0.7273472,0.4942327,0.2200944,0.001386799,1.0,0.001386799,0.0007263138,0.01551586,0.001881766,0.4367673,0.04697045,1.248119e-13,7.102078999999999e-14,12.19171,1000000000.0,-14.8303,4.051301,-3.918813068717519
tsmc065_tt,40.0,0.7235344,0.4925515,0.2231721,0.001385521,1.0,0.001385521,0.0007251205,0.01514785,0.001849802,0.4315837,0.04820635,1.2549470000000002e-13,7.098398999999999e-14,12.12254,1000000000.0,-14.4984,4.156128,-3.8745583446405476
