Input_Current,Temperature,vd,vg,vs,i_source,v_source,p_source,Io,gm1,gds1,vt,vdsat,cgd1,cgs1,gain_db,freq,s11_db,nf_db,iip3_dbm
6.605274639043875e-05,-40.0,0.9409661,0.2641918,0.04762314,0.0002545692,1.0,0.0002545692,0.0001884444,0.00550156,0.0005505025,0.4392826,0.03428298,9.208171999999999e-14,7.249165999999999e-14,4.604654,1000000000.0,-9.14397,6.885213,-9.701232924565765
6.605274639043875e-05,-32.0,0.9400633,0.2568542,0.04835028,0.0002528499,1.0,0.0002528499,0.0001867436,0.005291241,0.0005311241,0.433066,0.03548403,9.250159999999999e-14,7.246052e-14,4.472632,1000000000.0,-8.81813,7.108717,-9.5074967552533
6.605274639043875e-05,-24.0,0.939211,0.2494627,0.0490366,0.0002511699,1.0,0.0002511699,0.0001849829,0.005090043,0.000512536,0.4268388,0.03668398,9.290292e-14,7.243061e-14,4.332891,1000000000.0,-8.51402,7.335817,-9.311902740725337
6.605274639043875e-05,-16.0,0.9383473,0.2421535,0.04973218,0.0002497084,1.0,0.0002497084,0.0001835192,0.004906728,0.0004956537,0.4206166,0.0378834,9.330724e-14,7.240071e-14,4.200155,1000000000.0,-8.23838,7.557212,-9.115194319450325
6.605274639043875e-05,-8.0,0.9374923,0.2348759,0.05042063,0.0002483897,1.0,0.0002483897,0.0001821992,0.004736281,0.0004799721,0.4143942,0.03908166,9.370597999999999e-14,7.237129999999999e-14,4.069227,1000000000.0,-7.98474,7.775957,-8.917987459763886
6.605274639043875e-05,0.0,0.9366444,0.2276311,0.05110327,0.0002472074,1.0,0.0002472074,0.0001810179,0.004577758,0.0004654047,0.408172,0.04027847,9.409933e-14,7.234238e-14,3.940527,1000000000.0,-7.75091,7.991647,-8.720784595363952
6.605274639043875e-05,8.0,0.9358016,0.220422,0.05178184,0.0002461576,1.0,0.0002461576,0.0001799731,0.00443033,0.0004518771,0.4019506,0.04147355,9.448768e-14,7.231391e-14,3.814496,1000000000.0,-7.53505,8.203875,-8.524017690371728
6.605274639043875e-05,16.0,0.9349611,0.2132528,0.05245848,0.0002452385,1.0,0.0002452385,0.0001790654,0.004293282,0.000439326,0.3957306,0.0426666,9.487165e-14,7.228585e-14,3.691612,1000000000.0,-7.33557,8.412222,-8.328018753518009
6.605274639043875e-05,24.0,0.9341596,0.206046,0.05310361,0.0002443426,1.0,0.0002443426,0.0001781367,0.004162354,0.0004273107,0.3895026,0.04385688,9.524063e-14,7.225879e-14,3.565705,1000000000.0,-7.14767,8.620775,-8.133070057147393
6.605274639043875e-05,32.0,0.9333427,0.1989134,0.0537612,0.0002436122,1.0,0.0002436122,0.0001774031,0.00404194,0.0004163076,0.3832805,0.04504467,9.56102e-14,7.223186e-14,3.446032,1000000000.0,-6.97493,8.823263,-7.93942208017868
