Temperature,vd,vg,vs,i_source,v_source,p_source,Io,gm1,gds1,vt,vdsat,cgd1,cgs1,gain_db,freq,s11_db,nf_db,iip3_dbm
-40.0,0.7391266,0.5400425,0.2131868,0.001383826,1.0,0.001383826,0.0007203167,0.01895667,0.002224935,0.490017,0.03580276,1.162465e-13,6.991841e-14,13.12197,1000000000.0,-16.4769,3.007045,-4.305224845349954
-32.0,0.7382649,0.5347709,0.2139122,0.001385038,1.0,0.001385038,0.0007215302,0.01855034,0.002183068,0.484046,0.03705357,1.170019e-13,6.98597e-14,13.01796,1000000000.0,-16.3442,3.120312,-4.273041737164895
-24.0,0.7374036,0.5295673,0.2146402,0.001386177,1.0,0.001386177,0.0007226665,0.01814649,0.002141846,0.4780778,0.03830435,1.177482e-13,6.980198e-14,12.91111,1000000000.0,-16.2015,3.235414,-4.235706583090398
-16.0,0.7364874,0.5244974,0.215416,0.001387397,1.0,0.001387397,0.0007239006,0.01775177,0.002102039,0.4721264,0.03955548,1.184897e-13,6.974527e-14,12.80326,1000000000.0,-16.0509,3.351649,-4.194017781803581
-8.0,0.7356106,0.5194308,0.2161626,0.001388439,1.0,0.001388439,0.0007249297,0.01736135,0.00206279,0.466168,0.04080545,1.192119e-13,6.968999e-14,12.69343,1000000000.0,-15.8924,3.469334,-4.148627976820848
0.0,0.7346932,0.5144684,0.2169453,0.001389522,1.0,0.001389522,0.0007260104,0.01698221,0.002025014,0.4602228,0.04205493,1.199238e-13,6.963593999999999e-14,12.5836,1000000000.0,-15.7283,3.587679,-4.100074682233554
8.0,0.7337902,0.5096115,0.2177191,0.001390495,1.0,0.001390495,0.0007282779,0.01663934,0.001991584,0.454277,0.04330755,1.206563e-13,6.958095e-14,12.48202,1000000000.0,-15.5681,3.70313,-4.048824126195996
16.0,0.7327979,0.5047594,0.218569,0.001391641,1.0,0.001391641,0.0007281314,0.01625635,0.001953385,0.4483574,0.04455033,1.213053e-13,6.953193e-14,12.36454,1000000000.0,-15.3874,3.825848,-3.995264452339846
24.0,0.7318229,0.5000028,0.2194077,0.001392669,1.0,0.001392669,0.0007291684,0.01591024,0.001919533,0.4424366,0.0457955,1.219737e-13,6.948198999999999e-14,12.25593,1000000000.0,-15.2127,3.945294,-3.9397299089521454
32.0,0.7308301,0.495308,0.220264,0.001393674,1.0,0.001393674,0.0007302008,0.01557566,0.001886998,0.4365236,0.04703853,1.226273e-13,6.943340000000001e-14,12.14832,1000000000.0,-15.0366,4.06473,-3.8825021290487314
40.0,0.7298199,0.4906732,0.2211374,0.001394656,1.0,0.001394656,0.0007312436,0.0152528,0.001855788,0.4306185,0.04827908,1.232664e-13,6.938613e-14,12.04202,1000000000.0,-14.8599,4.183962,-3.8238412031109874
48.0,0.7287934,0.4860964,0.2220272,0.001395612,1.0,0.001395612,0.0007323173,0.01494181,0.001825916,0.4247211,0.04951684,1.238917e-13,6.934011e-14,11.93729,1000000000.0,-14.6835,4.302794,-3.7639658455672347
56.0,0.7277516,0.4815765,0.2229325,0.001396538,1.0,0.001396538,0.0007334447,0.01464281,0.00179739,0.4188311,0.05075148,1.2450410000000002e-13,6.929528000000001e-14,11.83444,1000000000.0,-14.5083,4.421024,-3.7030613346534835
64.0,0.7266954,0.4771123,0.2238526,0.001397432,1.0,0.001397432,0.0007346477,0.01435581,0.001770213,0.4129484,0.05198269,1.251044e-13,6.925156e-14,11.73371,1000000000.0,-14.3349,4.538463,-3.6413138470403226
72.0,0.725625,0.4727037,0.2247873,0.001398294,1.0,0.001398294,0.0007359431,0.01408068,0.001744372,0.407073,0.05321009,1.256934e-13,6.92089e-14,11.6353,1000000000.0,-14.1638,4.654947,-3.578851353797262
80.0,0.7244539,0.4683426,0.2258075,0.001399355,1.0,0.001399355,0.0007358405,0.01379028,0.001716621,0.4012285,0.05442671,1.262295e-13,6.917019e-14,11.52831,1000000000.0,-13.9824,4.775863,-3.5158286470365994
88.0,0.7233208,0.4640367,0.2267996,0.001400243,1.0,0.001400243,0.0007367298,0.01352761,0.001692099,0.3953774,0.05564233,1.267802e-13,6.91307e-14,11.4303,1000000000.0,-13.8118,4.892478,-3.4523543700440342
96.0,0.7221667,0.4597821,0.2278119,0.001401117,1.0,0.001401117,0.0007376053,0.01327393,0.001668578,0.3895357,0.05685212,1.273175e-13,6.909237e-14,11.33393,1000000000.0,-13.6435,5.008361,-3.3885459592584155
104.0,0.7209914,0.4555781,0.2288446,0.001401976,1.0,0.001401976,0.0007384677,0.0130289,0.001646017,0.3837037,0.05805553,1.2784180000000002e-13,6.905518e-14,11.23923,1000000000.0,-13.4776,5.123459,-3.324493309692741
112.0,0.7197945,0.4514241,0.229898,0.001402822,1.0,0.001402822,0.000739318,0.01279215,0.001624383,0.3778815,0.05925199,1.283536e-13,6.90191e-14,11.1462,1000000000.0,-13.3142,5.237724,-3.2602814181623785
120.0,0.7185757,0.4473197,0.2309723,0.001403656,1.0,0.001403656,0.0007401572,0.01256335,0.001603638,0.3720693,0.06044089,1.288533e-13,6.898408e-14,11.05488,1000000000.0,-13.1535,5.351118,-3.196001900505209
